word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,SCONJ,VERB
add,0,0,0,0,0,0,0,0,8
computer,0,0,0,0,0,167,0,0,0
life,0,0,0,0,0,9,0,0,0
common,3,0,0,0,0,0,0,0,0
gadget,0,0,0,0,0,1,0,0,0
use,0,0,0,0,0,17,0,0,12
everyday,4,0,0,0,0,0,0,0,0
household,0,0,0,0,0,2,0,0,0
develop,0,0,0,0,0,0,0,0,18
world,0,0,0,0,0,21,0,0,0
find,0,0,0,0,0,0,0,0,15
school,0,0,0,0,0,1,0,0,0
library,0,0,0,0,0,1,0,0,0
store,0,0,0,0,0,2,0,0,14
music,0,0,0,0,0,3,0,0,0
photograph,0,0,0,0,0,2,0,0,0
research,0,0,0,0,0,2,0,0,1
homework,0,0,0,0,0,1,0,0,0
shop,0,0,0,0,0,0,0,0,1
play,0,0,0,0,0,0,0,0,6
game,0,0,0,0,0,2,0,0,0
touch,0,0,0,0,0,2,0,0,1
friend,0,0,0,0,0,4,0,0,0
versatile,1,0,0,0,0,0,0,0,0
tool,0,0,0,0,0,5,0,0,0
come,0,0,0,0,0,0,0,0,15
need,0,0,0,1,0,4,0,0,7
count,0,0,0,0,0,1,0,0,5
thing,0,0,0,0,0,5,0,0,0
people,0,0,0,0,0,24,0,0,0
thousand,0,0,0,0,0,4,2,0,0
year,0,0,0,0,0,32,0,0,0
exactly,0,0,1,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,13
calculation,0,0,0,0,0,21,0,0,0
present,1,0,0,0,0,0,0,0,1
problem,0,0,0,0,0,8,0,0,0
lose,0,0,0,0,0,0,0,0,5
track,0,0,0,0,0,6,0,0,0
mistake,0,0,0,0,0,4,0,0,0
reason,0,0,0,0,0,2,0,0,0
look,0,0,0,0,0,0,0,0,8
way,0,0,1,0,0,35,0,0,0
help,0,0,0,0,0,1,0,0,7
right,2,0,2,0,0,0,0,0,0
early,12,0,1,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,14
counting,0,0,0,0,0,3,0,0,0
device,0,0,0,0,0,13,0,0,0
beaded,1,0,0,0,0,0,0,0,0
frame,0,0,0,0,0,3,0,0,0
call,0,0,0,0,0,1,0,0,35
abacus,0,0,0,0,0,5,0,0,0
invent,0,0,0,0,0,0,0,0,11
ago,0,0,4,0,0,0,0,0,0
today,0,0,0,0,0,17,0,0,0
part,0,0,0,0,0,5,0,0,0
calculator,0,0,0,0,0,15,0,0,0
operator,0,0,0,0,0,2,0,0,0
math,0,0,0,0,0,1,0,0,0
head,0,0,0,0,0,1,0,0,0
move,0,0,0,0,0,0,0,0,2
bead,0,0,0,0,0,2,0,0,0
