word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,0,7,0,0,0,0
fine,25,0,0,0,0,0,0,0,0
art,0,0,0,0,98,0,0,0,0
mode,0,0,0,0,2,0,0,0,0
expression,0,0,0,0,19,0,0,0,0
use,0,0,0,0,47,0,0,16,0
skill,0,0,0,0,5,0,0,0,0
imagination,0,0,0,0,1,0,0,0,0
creation,0,0,0,0,2,0,0,0,0
aesthetic,11,0,0,0,1,0,0,0,0
object,0,0,0,0,37,0,0,0,0
environment,0,0,0,0,9,0,0,0,0
experience,0,0,0,0,13,0,0,2,0
share,0,0,0,0,0,0,0,6,0
traditional,35,0,0,0,0,0,0,0,0
category,0,0,0,0,3,0,0,0,0
include,0,0,0,0,0,0,0,35,0
literature,0,0,0,0,2,0,0,0,0
visual,25,0,0,0,0,0,0,0,0
painting,0,0,0,0,453,0,0,0,0
drawing,0,0,0,0,25,0,0,0,0
sculpture,0,0,0,0,6,0,0,0,0
etc,0,0,0,0,0,0,0,0,2
graphic,6,0,0,0,0,0,0,0,0
design,2,0,0,0,79,0,0,13,0
form,0,0,0,0,116,0,0,16,0
express,0,0,0,0,0,0,0,28,0
flat,22,0,0,0,0,0,0,0,0
surface,0,0,0,0,99,0,0,0,0
plastic,3,0,0,0,4,0,0,0,0
modeling,0,0,0,0,5,0,0,0,0
decorative,11,0,0,0,0,0,0,0,0
enamel,0,0,0,0,2,0,0,0,0
work,0,0,0,0,84,0,0,25,0
furniture,0,0,0,0,4,0,0,0,0
mosaic,0,0,0,0,4,0,0,0,0
perform,0,0,0,0,0,0,0,2,0
music,0,0,0,0,8,0,0,0,0
architecture,0,0,0,0,4,0,0,0,0
varied,4,0,0,0,0,0,0,0,0
life,0,0,0,0,42,0,0,0,0
spring,0,0,0,0,1,0,0,2,0
artist,0,0,0,0,154,0,0,0,0
portray,0,0,0,0,0,0,0,11,0
different,26,0,0,0,0,0,0,0,0
aspect,0,0,0,0,9,0,0,0,0
world,0,0,0,0,29,0,0,0,0
great,39,0,0,0,0,0,0,0,0
able,4,0,0,0,0,0,0,0,0
depth,0,0,0,0,15,0,0,0,0
meaning,0,0,0,0,12,0,0,0,0
device,0,0,0,0,8,0,0,0,0
common,13,0,0,0,0,0,0,0,0
