word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
certain,5,0,0,0,0,0,0,0,0,0,0,0
king,0,0,0,0,0,0,116,0,0,0,0,0
beautiful,55,0,0,0,0,0,0,0,0,0,0,0
garden,0,0,0,0,0,0,18,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,71,0
tree,0,0,0,0,0,0,59,0,0,0,0,0
bear,0,0,0,0,0,0,14,0,0,0,13,0
golden,41,0,0,0,0,0,0,0,0,0,0,0
apple,0,0,0,0,0,0,22,0,0,0,0,0
count,0,0,0,0,0,0,0,0,0,0,2,0
time,0,0,0,0,0,0,99,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,78,0
grow,0,0,0,0,0,0,0,0,0,0,28,0
ripe,3,0,0,0,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,97,0
night,0,0,0,0,0,0,54,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,287,0
angry,11,0,0,0,0,0,0,0,0,0,0,0
order,0,0,0,0,0,0,10,0,0,0,12,0
gardener,0,0,0,0,0,0,5,0,0,0,0,0
watch,0,0,0,0,0,0,3,0,0,0,17,0
set,0,0,0,0,0,0,0,0,0,0,55,0
eld,15,0,0,0,0,0,0,0,0,0,0,0
son,0,0,0,0,0,0,46,0,0,0,0,0
fall,0,0,0,0,0,0,1,0,0,0,89,0
asleep,38,0,3,0,0,0,0,0,0,0,0,0
morning,0,0,0,0,0,0,65,0,0,0,0,0
miss,0,0,0,0,0,0,0,0,0,0,7,0
second,18,0,0,0,0,0,0,0,0,0,0,0
midnight,0,0,0,0,0,0,3,0,0,0,0,0
offer,0,0,0,0,0,0,0,0,0,0,6,0
let,0,0,0,0,0,0,0,0,0,0,79,0
fear,0,0,0,0,0,0,9,0,0,0,3,0
harm,0,0,0,0,0,0,8,0,0,0,2,0
come,0,0,0,0,0,0,0,0,0,0,327,0
consent,0,0,0,0,0,0,0,0,0,0,6,0
young,44,0,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,84,0,0,0,0,0
lay,0,0,0,0,0,0,0,0,0,0,41,0
clock,0,0,0,0,0,0,1,0,0,0,0,0
strike,0,0,0,0,0,0,0,0,0,0,14,0
hear,0,0,0,0,0,0,0,0,0,0,76,0
rustle,0,0,0,0,0,0,0,0,0,0,1,0
noise,0,0,0,0,0,0,15,0,0,0,0,0
air,0,0,0,0,0,0,14,0,0,0,0,0
bird,0,0,0,0,0,0,70,0,0,0,0,0
fly,0,0,0,0,0,0,7,0,0,0,43,0
pure,2,0,0,0,0,0,0,0,0,0,0,0
gold,2,0,0,0,0,0,31,0,0,0,0,0
snap,0,0,0,0,0,0,0,0,0,0,3,0
beak,0,0,0,0,0,0,3,0,0,0,0,0
jump,0,0,0,0,0,0,0,0,0,0,19,0
shoot,0,0,0,0,0,0,0,0,0,0,7,0
arrow,0,0,0,0,0,0,3,0,0,0,0,0
drop,0,0,0,0,0,0,9,0,0,0,9,0
feather,0,0,0,0,0,0,9,0,0,0,0,0
tail,0,0,0,0,0,0,17,0,0,0,0,0
away,0,7,136,0,0,0,0,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,65,0
council,0,0,0,0,0,0,1,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,50,0
agree,0,0,0,0,0,0,0,0,0,0,13,0
worth,1,0,0,0,0,0,0,0,0,0,0,0
wealth,0,0,0,0,0,0,3,0,0,0,0,0
kingdom,0,0,0,0,0,0,15,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,616,0
use,0,0,0,0,0,0,8,0,0,0,3,0
think,0,0,0,0,0,0,0,0,0,0,119,0
easily,0,0,4,0,0,0,0,0,0,0,0,0
little,190,0,1,0,0,0,0,0,0,0,0,0
way,0,0,0,0,0,0,77,0,0,0,0,0
wood,0,0,0,0,0,0,52,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,121,0
fox,0,0,0,0,0,0,41,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,105,0
take,0,0,0,0,0,0,0,0,0,0,116,0
bow,0,0,0,0,0,0,1,0,0,0,1,0
ready,19,0,0,0,0,0,0,0,0,0,0,0
good,112,0,0,0,0,0,4,0,0,0,0,0
counsel,0,0,0,0,0,0,10,0,0,0,1,0
know,0,0,0,0,0,0,0,0,0,0,67,0
business,0,0,0,0,0,0,4,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,53,0
reach,0,0,0,0,0,0,1,0,0,0,19,0
village,0,0,0,0,0,0,14,0,0,0,0,0
evening,0,0,0,0,0,0,29,0,0,0,0,0
inn,0,0,0,0,0,0,8,0,0,0,0,0
opposite,2,0,0,0,0,0,0,0,0,0,0,0
pleasant,2,0,0,0,0,0,0,0,0,0,0,0
look,0,0,0,0,0,0,4,0,0,0,116,0
rest,0,0,0,0,0,0,10,0,0,0,16,0
appear,0,0,0,0,0,0,0,0,0,0,4,0
poor,46,0,0,0,0,0,0,0,0,0,0,0
mean,1,0,0,0,0,0,3,0,0,0,7,0
beast,0,0,0,0,0,0,20,0,0,0,0,0
matter,0,0,1,0,0,0,14,0,0,0,2,0
run,0,0,0,0,0,0,0,0,0,0,115,0
people,0,0,0,0,0,0,13,0,0,0,0,0
singe,0,0,0,0,0,0,0,0,0,0,11,0
dance,0,0,0,0,0,0,1,0,0,0,19,0
feast,0,0,0,0,0,0,13,0,0,0,1,0
dirty,4,0,0,0,0,0,0,0,0,0,3,0
silly,6,0,0,0,0,0,0,0,0,0,0,0
shabby,5,0,0,0,0,0,0,0,0,0,0,0
house,0,0,0,0,0,0,80,0,0,0,0,0
leave,0,0,0,0,0,0,12,0,0,0,50,0
charming,2,0,0,0,0,0,0,0,0,0,0,0
place,0,0,0,0,0,0,21,0,0,0,9,0
smart,2,0,0,0,0,0,0,0,0,0,0,0
ate,0,0,0,0,0,0,0,0,0,0,3,0
drank,0,0,0,0,0,0,0,0,0,0,6,0
ease,0,0,0,0,0,0,5,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,0,0,15,0
country,0,0,0,0,0,0,17,0,0,0,0,0
pass,0,0,0,0,0,0,0,0,0,0,33,0
tiding,0,0,0,0,0,0,2,0,0,0,0,0
thing,0,0,0,0,0,0,42,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,33,0
meet,0,0,0,0,0,0,0,0,0,0,21,0
give,0,0,0,0,0,0,0,0,0,0,73,0
advice,0,0,0,0,0,0,6,0,0,0,0,0
brother,0,0,0,0,0,0,12,0,0,0,0,0
window,0,0,0,0,0,0,37,0,0,0,0,0
merrymaking,0,0,0,0,0,0,1,0,0,0,0,0
withstand,0,0,0,0,0,0,0,0,0,0,1,0
temptation,0,0,0,0,0,0,1,0,0,0,0,0
manner,0,0,0,0,0,0,3,0,0,0,0,0
wish,0,0,0,0,0,0,4,0,0,0,44,0
wide,4,0,1,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,33,0,0,0,0,0
seek,0,0,0,0,0,0,0,0,0,0,7,0
father,0,0,0,0,0,0,42,0,0,0,0,0
listen,0,0,0,0,0,0,0,0,0,0,19,0
long,33,0,60,0,0,0,0,0,0,0,3,0
fond,7,0,0,0,0,0,0,0,0,0,0,0
afraid,15,0,0,0,0,0,0,0,0,0,0,0
ill,5,0,0,0,0,0,0,0,0,0,0,0
luck,0,0,0,0,0,0,14,0,0,0,0,0
prevent,0,0,0,0,0,0,0,0,0,0,2,0
home,0,0,76,0,0,0,15,0,0,0,0,0
thankful,2,0,0,0,0,0,0,0,0,0,0,0
attempt,0,0,0,0,0,0,1,0,0,0,1,0
life,0,0,0,0,0,0,26,0,0,0,0,0
travel,0,0,0,0,0,0,0,0,0,0,11,0
fast,1,0,41,0,0,0,0,0,0,0,1,0
stock,0,0,0,0,0,0,5,0,0,0,0,0
stone,0,0,0,0,0,0,30,0,0,0,0,0
quick,2,0,1,0,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,0,32,0,0,0,0,0
whistle,0,0,0,0,0,0,0,0,0,0,8,0
wind,0,0,0,0,0,0,15,0,0,0,1,0
follow,0,0,0,0,0,0,0,0,0,0,20,0
journey,0,0,0,0,0,0,10,0,0,0,1,0
straight,0,0,15,0,0,0,0,0,0,0,0,0
forward,0,0,5,0,0,0,0,0,0,0,0,0
till,0,0,0,0,0,0,0,0,0,68,0,0
castle,0,0,0,0,0,0,24,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,0,73,0
troop,0,0,0,0,0,0,3,0,0,0,0,0
soldier,0,0,0,0,0,0,23,0,0,0,0,0
snore,0,0,0,0,0,0,0,0,0,0,10,0
notice,0,0,0,0,0,0,1,0,0,0,1,0
room,0,0,0,0,0,0,29,0,0,0,0,0
wooden,4,0,0,0,0,0,0,0,0,0,0,0
cage,0,0,0,0,0,0,16,0,0,0,0,0
close,3,0,16,0,0,0,0,0,0,0,3,0
try,0,0,0,0,0,0,0,0,0,0,31,0
handsome,9,0,0,0,0,0,0,0,0,0,0,0
repent,0,0,0,0,0,0,0,0,0,0,2,0
stretch,0,0,0,0,0,0,1,0,0,0,14,0
gate,0,0,0,0,0,0,14,0,0,0,0,0
chamber,0,0,0,0,0,0,13,0,0,0,0,0
hang,0,0,0,0,0,0,0,0,0,0,14,0
lose,0,0,0,0,0,0,0,0,0,0,18,0
droll,2,0,0,0,0,0,0,0,0,0,0,0
fine,32,0,1,0,0,0,0,0,0,0,0,0
open,10,2,0,0,0,0,0,0,0,0,28,0
door,0,0,0,0,0,0,88,0,0,0,0,0
hold,0,0,0,0,0,0,9,0,0,0,22,0
loud,3,0,7,0,0,0,0,0,0,0,0,0
scream,0,0,0,0,0,0,1,0,0,0,11,0
awake,2,0,1,0,0,0,0,0,0,0,21,0
prisoner,0,0,0,0,0,0,5,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,45,0
court,0,0,0,0,0,0,15,0,0,0,0,0
judge,0,0,0,0,0,0,0,0,0,0,3,0
sentence,0,0,0,0,0,0,1,0,0,0,3,0
die,0,0,0,0,0,0,0,0,0,0,26,0
horse,0,0,0,0,0,0,58,0,0,0,0,0
swiftly,0,0,2,0,0,0,0,0,0,0,0,0
sigh,0,0,0,0,0,0,0,0,0,0,3,0
great,100,0,0,0,0,0,0,0,0,0,0,0
despair,0,0,0,0,0,0,2,0,0,0,0,0
sudden,5,0,0,0,0,0,0,0,0,0,0,0
friend,0,0,0,0,0,0,18,0,0,0,0,0
account,0,0,0,0,0,0,2,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,88,0
