word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
say,0,0,0,0,0,0,0,0,0,0,280,0
sit,0,0,0,0,0,0,0,0,0,0,50,0
big,64,0,0,0,0,0,0,0,0,0,0,0
acacia,0,0,0,0,0,0,2,0,0,0,0,0
tree,0,0,0,0,0,0,48,0,0,0,0,0
look,0,0,0,0,0,0,13,0,0,0,99,0
blue,8,0,0,0,0,0,0,0,0,0,0,0
ocean,0,0,0,0,0,0,20,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,118,0
find,0,0,0,0,0,0,0,0,0,0,112,0
answer,0,0,0,0,0,0,2,0,0,0,42,0
little,136,0,2,0,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,0,103,0,0,0,0,0
voice,0,0,0,0,0,0,41,0,0,0,0,0
moment,0,0,0,0,0,0,24,0,0,0,0,0
thought,0,0,0,0,0,0,7,0,0,0,0,0
eye,0,0,0,0,0,0,59,0,0,0,4,0
follow,0,0,0,0,0,0,0,0,0,0,39,0
old,99,0,0,0,0,0,0,0,0,0,0,0
sailor,0,0,0,0,0,0,68,0,0,0,0,0
man,0,0,0,0,0,0,98,0,0,0,0,0
glassy,1,0,0,0,0,0,0,0,0,0,0,0
surface,0,0,0,0,0,0,14,0,0,0,0,0
sea,0,0,0,0,0,0,6,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,0,6,0
jus,0,1,0,0,0,0,0,0,2,0,0,1
gain,0,0,0,0,0,0,0,0,0,0,3,0
way,0,0,1,0,0,0,96,0,0,0,0,0
sight,0,0,0,0,0,0,12,0,0,0,1,0
nod,0,0,0,0,0,0,0,0,0,0,9,0
head,0,0,0,0,0,0,61,0,0,0,2,0
habit,0,0,0,0,0,0,2,0,0,0,0,0
thinkin,0,0,0,0,0,0,0,0,0,0,1,0
admit,0,0,0,0,0,0,0,0,0,0,16,0
world,0,0,0,0,0,0,27,0,0,0,0,0
one,0,0,0,0,0,0,5,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,0,0,12,0
lifetime,0,0,0,0,0,0,1,0,0,0,0,0
long,31,0,29,0,0,0,0,0,0,0,3,0
git,0,0,0,0,0,0,0,0,0,0,1,0
dip,0,0,0,0,0,0,1,0,0,0,1,0
oar,0,0,0,0,0,0,4,0,0,0,0,0
knowledge,0,0,0,0,0,0,3,0,0,0,0,0
solemn,5,0,0,0,0,0,0,0,0,0,0,0
earnest,1,0,0,0,0,0,0,0,0,0,0,0
simple,3,0,0,0,0,0,0,0,0,0,0,0
manner,0,0,0,0,0,0,19,0,0,0,0,0
