word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,VERB
sting,0,0,0,0,1,0,0
feel,0,0,0,0,0,0,4
touch,0,0,0,0,1,0,5
hot,35,0,0,0,0,0,0
pan,0,0,0,0,1,0,0
welcome,1,0,0,0,0,0,0
relief,0,0,0,0,1,0,0
cold,26,0,0,0,0,0,0
drink,0,0,0,0,1,0,0
warm,8,0,0,0,0,0,3
day,0,0,0,0,1,0,0
comfort,0,0,0,0,1,0,0
heater,0,0,0,0,3,0,0
thaw,0,0,0,0,0,0,1
frozen,1,0,0,0,0,0,0
limb,0,0,0,0,1,0,0
sensation,0,0,0,0,1,0,0
familiar,2,0,0,0,0,0,0
hotness,0,0,0,0,2,0,0
coldness,0,0,0,0,2,0,0
texture,0,0,0,0,0,0,1
number,0,0,0,0,5,0,0
everyday,3,0,0,0,0,0,0
experience,0,0,0,0,1,0,1
throw,0,0,0,0,0,0,1
term,0,0,0,0,5,0,0
heat,0,0,0,0,162,0,28
temperature,0,0,0,0,125,0,0
casually,0,0,1,0,0,0,0
conversation,0,0,0,0,1,0,0
describe,0,0,0,0,0,0,3
perceive,0,0,0,0,0,0,1
situation,0,0,0,0,1,0,0
physics,0,0,0,0,3,0,0
show,0,0,0,0,0,0,3
interchangeable,1,0,0,0,0,0,0
discover,0,0,0,0,0,0,2
page,0,0,0,0,1,0,0
begin,0,0,0,0,0,0,6
atomic,2,0,0,0,0,0,0
level,0,0,0,0,3,0,0
matter,0,0,0,0,17,0,0
understand,0,0,0,0,0,0,3
relate,0,0,0,0,0,0,2
concept,0,0,0,0,7,0,0
thermal,34,0,0,0,0,0,0
energy,0,0,0,0,114,0,0
relationship,0,0,0,0,4,0,0
physic,0,0,0,0,1,0,0
refer,0,0,0,0,0,0,2
transfer,0,0,0,0,29,0,27
object,0,0,0,0,22,0,0
course,0,0,0,0,1,0,0
come,0,0,0,0,0,0,1
fact,0,0,0,0,1,0,0
start,0,0,0,0,0,0,3
atom,0,0,0,0,5,0,0
molecule,0,0,0,0,17,0,0
compose,0,0,0,0,0,0,4
particle,0,0,0,0,38,0,0
constantly,0,0,3,0,0,0,0
move,0,0,0,0,0,0,10
generate,0,0,0,0,0,0,6
motion,0,0,0,0,20,0,0
call,0,0,0,0,0,0,23
kinetic,11,0,0,0,0,0,0
total,7,0,0,0,0,0,0
equal,11,0,0,0,0,0,2
store,0,0,0,0,0,0,3
result,0,0,0,0,2,0,1
illustrate,0,0,0,0,0,0,1
let,0,0,0,0,0,0,1
consider,0,0,0,0,0,0,4
pot,0,0,0,0,5,0,0
soup,0,0,0,0,26,0,0
cup,0,0,0,0,5,0,0
ladle,0,0,0,0,0,0,2
great,10,0,0,0,0,0,0
create,0,0,0,0,0,0,4
represent,0,0,0,0,0,0,4
average,5,0,0,0,0,0,0
speed,0,0,0,0,5,0,7
fast,0,0,9,0,0,0,0
high,5,0,0,0,0,0,0
unlike,0,1,0,0,0,0,0
depend,0,0,0,0,0,0,5
quantity,0,0,0,0,4,0,0
substance,0,0,0,0,32,0,0
case,0,0,0,0,6,0,0
give,0,0,0,0,0,0,5
differ,0,0,0,0,0,0,1
size,0,0,0,0,4,0,0
instance,0,0,0,0,4,0,0
decrease,0,0,0,0,0,0,6
increase,0,0,0,0,7,0,7
continue,0,0,0,0,0,0,3
time,0,0,0,0,3,0,2
cause,0,0,0,0,0,0,11
change,0,0,0,0,22,0,16
absorb,0,0,0,0,0,0,11
