word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
grandfather,0,0,0,0,0,0,2,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,27,0
fish,0,0,0,0,0,0,1,0,0,0,1,0
pond,0,0,0,0,0,0,1,0,0,0,0,0
farm,0,0,0,0,0,0,2,0,0,0,0,0
seven,0,0,0,0,0,0,0,3,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,32,0
throw,0,0,0,0,0,0,0,0,0,0,5,0
stone,0,0,0,0,0,0,3,0,0,0,0,0
water,0,0,0,0,0,0,16,0,0,0,4,0
watch,0,0,0,0,0,0,0,0,0,0,13,0
circle,0,0,0,0,0,0,11,0,0,0,1,0
create,0,0,0,0,0,0,0,0,0,0,14,0
ask,0,0,0,0,0,0,0,0,0,0,48,0
think,0,0,0,0,0,0,0,0,0,0,37,0
lot,0,0,0,0,0,0,6,0,0,0,0,0
splash,0,0,0,0,0,0,3,0,0,0,1,0
life,0,0,0,0,0,0,119,0,0,0,0,0
wave,0,0,0,0,0,0,2,0,0,0,1,0
come,0,0,0,0,0,0,0,0,0,0,46,0
disturb,0,0,0,0,0,0,0,0,0,0,1,0
peace,0,0,0,0,0,0,8,0,0,0,0,0
fellow,1,0,0,0,0,0,0,0,0,0,0,0
creature,0,0,0,0,0,0,4,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,56,0
remember,0,0,0,0,0,0,0,0,0,0,15,0
responsible,2,0,0,0,0,0,0,0,0,0,0,0
touch,0,0,0,0,0,0,1,0,0,0,6,0
need,0,0,0,0,0,0,5,0,0,0,20,0
live,0,0,0,0,0,0,0,0,0,0,21,0
way,0,0,0,0,0,0,40,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,0,10,0
good,32,0,1,0,0,1,1,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,9,0
goodness,0,0,0,0,0,0,16,0,0,0,0,0
anger,0,0,0,0,0,0,6,0,0,0,1,0
jealousy,0,0,0,0,0,0,1,0,0,0,0,0
feeling,0,0,0,0,0,0,6,0,0,0,0,0
time,0,0,0,0,0,0,55,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,0,0,11,0
person,0,0,0,0,0,0,10,0,0,0,0,0
inner,3,0,0,0,0,0,0,0,0,0,0,0
discord,0,0,0,0,0,0,2,0,0,0,0,0
flow,0,0,0,0,0,0,0,0,0,0,3,0
world,0,0,0,0,0,0,38,0,0,0,0,0
riddle,0,0,0,0,0,0,0,0,0,0,1,0
conflict,0,0,0,0,0,0,2,0,0,0,0,0
hatred,0,0,0,0,0,0,1,0,0,0,0,0
doubt,0,0,0,0,0,0,3,0,0,0,1,0
radiate,0,0,0,0,0,0,0,0,0,0,1,0
thought,0,0,0,0,0,0,30,0,0,0,0,0
hold,0,0,0,0,0,0,0,0,0,0,13,0
inside,0,3,7,0,0,0,2,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,13,0
spill,0,0,0,0,0,0,0,0,0,0,1,0
beauty,0,0,0,0,0,0,5,0,0,0,0,0
elementary,2,0,0,0,0,0,0,0,0,0,0,0
school,0,0,0,0,0,0,14,0,0,0,0,0
music,0,0,0,0,0,0,1,0,0,0,0,0
teacher,0,0,0,0,0,0,3,0,0,0,0,0
supplement,0,0,0,0,0,0,0,0,0,0,1,0
