word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
year,0,0,0,0,0,0,21,0,0,0,0,0
signalise,0,0,0,0,0,0,0,0,0,0,1,0
remarkable,9,0,0,0,0,0,0,0,0,0,0,0
incident,0,0,0,0,0,0,6,0,0,0,0,0
mysterious,7,0,0,0,0,0,0,0,0,0,0,0
puzzling,4,0,0,0,0,0,0,0,0,0,0,0
phenomenon,0,0,0,0,0,0,10,0,0,0,0,0
doubtless,1,0,4,0,0,0,0,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,0,0,10,0
mention,0,0,0,0,0,0,0,0,0,0,5,0
rumour,0,0,0,0,0,0,1,0,0,0,0,0
agitate,0,0,0,0,0,0,0,0,0,0,5,0
maritime,2,0,0,0,0,0,0,0,0,0,0,0
population,0,0,0,0,0,0,2,0,0,0,0,0
excite,0,0,0,0,0,0,0,0,0,0,6,0
public,6,0,0,0,0,0,2,0,0,0,0,0
mind,0,0,0,0,0,0,16,0,0,0,1,0
interior,4,0,0,0,0,0,11,0,0,0,0,0
continent,0,0,0,0,0,0,14,0,0,0,0,0
seafare,0,0,0,0,0,0,0,0,0,0,1,0
man,0,0,0,0,0,0,83,0,0,0,1,0
particularly,0,0,4,0,0,0,0,0,0,0,0,0
excited,1,0,0,0,0,0,0,0,0,0,0,0
merchant,0,0,0,0,0,0,1,0,0,0,0,0
common,7,0,0,0,0,0,0,0,0,0,0,0
sailor,0,0,0,0,0,0,20,0,0,0,0,0
captain,0,0,0,0,0,0,57,0,0,0,0,0
vessel,0,0,0,0,0,0,63,0,0,0,0,0
skipper,0,0,0,0,0,0,1,0,0,0,0,0
naval,2,0,0,0,0,0,0,0,0,0,0,0
officer,0,0,0,0,0,0,13,0,0,0,0,0
country,0,0,0,0,0,0,6,0,0,0,0,0
government,0,0,0,0,0,0,4,0,0,0,0,0
deeply,0,0,2,0,0,0,0,0,0,0,0,0
interested,2,0,0,0,0,0,0,0,0,0,0,0
matter,0,0,1,0,0,0,9,0,0,0,0,0
time,0,0,0,0,0,0,87,0,0,0,0,0
past,2,4,0,0,0,0,1,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,17,0
enormous,17,0,0,0,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,0,26,0,0,0,0,0
long,55,0,36,0,0,0,0,0,0,0,1,0
object,0,0,0,0,0,0,20,0,0,0,2,0
spindle,1,0,0,0,0,0,1,0,0,0,0,0
shaped,2,0,0,0,0,0,0,0,0,0,0,0
occasionally,0,0,3,0,0,0,0,0,0,0,0,0
phosphorescent,7,0,0,0,0,0,0,0,0,0,0,0
infinitely,0,0,1,0,0,0,0,0,0,0,0,0
large,49,0,0,0,0,0,0,0,0,0,0,0
rapid,5,0,0,0,0,0,0,0,0,0,0,0
movement,0,0,0,0,0,0,20,0,0,0,0,0
whale,0,0,0,0,0,0,22,0,0,0,0,0
fact,0,0,0,0,0,0,12,0,0,0,0,0
relate,0,0,0,0,0,0,0,0,0,0,6,0
apparition,0,0,0,0,0,0,4,0,0,0,0,0
enter,0,0,0,0,0,0,0,0,0,0,23,0
log,0,0,0,0,0,0,5,0,0,0,0,0
book,0,0,0,0,0,0,10,0,0,0,0,0
agree,0,0,0,0,0,0,0,0,0,0,9,0
respect,0,0,0,0,0,0,2,0,0,0,1,0
shape,0,0,0,0,0,0,10,0,0,0,0,0
creature,0,0,0,0,0,0,10,0,0,0,0,0
question,0,0,0,0,0,0,32,0,0,0,5,0
untiring,1,0,0,0,0,0,0,0,0,0,0,0
rapidity,0,0,0,0,0,0,11,0,0,0,0,0
surprising,4,0,0,0,0,0,0,0,0,0,0,0
power,0,0,0,0,0,0,26,0,0,0,0,0
locomotion,0,0,0,0,0,0,1,0,0,0,0,0
peculiar,6,0,0,0,0,0,0,0,0,0,0,0
life,0,0,0,0,0,0,26,0,0,0,0,0
endow,0,0,0,0,0,0,0,0,0,0,1,0
surpass,0,0,0,0,0,0,0,0,0,0,3,0
size,0,0,0,0,0,0,8,0,0,0,0,0
hitherto,0,0,1,0,0,0,0,0,0,0,0,0
classify,0,0,0,0,0,0,0,0,0,0,5,0
science,0,0,0,0,0,0,8,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,52,0
consideration,0,0,0,0,0,0,1,0,0,0,0,0
mean,5,0,0,0,0,0,23,0,0,0,8,0
observation,0,0,0,0,0,0,11,0,0,0,0,0
diver,0,0,0,0,0,0,9,0,0,0,0,0
reject,0,0,0,0,0,0,0,0,0,0,2,0
timid,1,0,0,0,0,0,0,0,0,0,0,0
estimate,0,0,0,0,0,0,1,0,0,0,8,0
assign,0,0,0,0,0,0,0,0,0,0,1,0
length,0,0,0,0,0,0,24,0,0,0,0,0
foot,0,0,0,0,0,0,82,0,0,0,0,0
equally,0,0,3,0,0,0,0,0,0,0,0,0
exaggerated,1,0,0,0,0,0,0,0,0,0,0,0
opinion,0,0,0,0,0,0,14,0,0,0,0,0
set,0,0,0,0,0,0,0,0,0,0,21,0
mile,0,0,0,0,0,0,51,0,0,0,0,0
width,0,0,0,0,0,0,1,0,0,0,0,0
fairly,0,0,2,0,0,0,0,0,0,0,0,0
conclude,0,0,0,0,0,0,0,0,0,0,4,0
greatly,0,0,2,0,0,0,0,0,0,0,0,0
dimension,0,0,0,0,0,0,9,0,0,0,0,0
admit,0,0,0,0,0,0,0,0,0,0,14,0
learned,4,0,0,0,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,4,0,0,0,0,0
day,0,0,0,0,0,0,74,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,0,0,10,0
undeniable,1,0,0,0,0,0,0,0,0,0,0,0
tendency,0,0,0,0,0,0,2,0,0,0,0,0
dispose,0,0,0,0,0,0,0,0,0,0,4,0
human,9,0,0,0,0,0,0,0,0,0,0,0
favour,0,0,0,0,0,0,4,0,0,0,1,0
marvellous,7,0,0,0,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,0,30,0
excitement,0,0,0,0,0,0,5,0,0,0,0,0
produce,0,0,0,0,0,0,2,0,0,0,27,0
entire,3,0,0,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,22,0,0,0,0,0
supernatural,6,0,0,0,0,0,0,0,0,0,0,0
class,0,0,0,0,0,0,4,0,0,0,8,0
list,0,0,0,0,0,0,1,0,0,0,0,0
fable,0,0,0,0,0,0,1,0,0,0,0,0
idea,0,0,0,0,0,0,10,0,0,0,0,0
steamer,0,0,0,0,0,0,5,0,0,0,0,0
move,0,0,0,0,0,0,0,0,0,0,16,0
mass,0,0,0,0,0,0,15,0,0,0,0,0
east,5,0,1,0,0,0,10,0,0,0,0,0
coast,0,0,0,0,0,0,23,0,0,0,1,0
think,0,0,0,0,0,0,0,0,0,0,63,0
presence,0,0,0,0,0,0,8,0,0,0,0,0
unknown,9,0,0,0,0,0,0,0,0,0,0,0
sandbank,0,0,0,0,0,0,3,0,0,0,0,0
prepare,0,0,0,0,0,0,0,0,0,0,11,0
determine,0,0,0,0,0,0,0,0,0,0,3,0
exact,4,0,0,0,0,0,0,0,0,0,1,0
position,0,0,0,0,0,0,8,0,0,0,0,0
column,0,0,0,0,0,0,5,0,0,0,0,0
water,0,0,0,0,0,0,131,0,0,0,1,0
project,0,0,0,0,0,0,1,0,0,0,1,0
shoot,0,0,0,0,0,0,0,0,0,0,2,0
hissing,1,0,0,0,0,0,2,0,0,0,0,0
noise,0,0,0,0,0,0,13,0,0,0,0,0
air,0,0,0,0,0,0,48,0,0,0,0,0
submit,0,0,0,0,0,0,0,0,0,0,4,0
intermittent,2,0,0,0,0,0,0,0,0,0,0,0
eruption,0,0,0,0,0,0,1,0,0,0,0,0
geyser,0,0,0,0,0,0,1,0,0,0,0,0
aquatic,4,0,0,0,0,0,0,0,0,0,0,0
mammal,0,0,0,0,0,0,4,0,0,0,0,0
till,0,0,0,0,0,0,0,0,0,14,0,0
throw,0,0,0,0,0,0,0,0,0,0,18,0
blow,0,0,0,0,0,0,8,0,0,0,2,0
hole,0,0,0,0,0,0,10,0,0,0,0,0
mix,0,0,0,0,0,0,0,0,0,0,2,0
vapour,0,0,0,0,0,0,1,0,0,0,0,0
similar,4,0,0,0,0,0,0,0,0,0,0,0
observe,0,0,0,0,0,0,0,0,0,0,13,0
extraordinary,6,0,0,0,0,0,0,0,0,0,0,0
transport,0,0,0,0,0,0,0,0,0,0,3,0
place,0,0,0,0,0,0,27,0,0,0,17,0
velocity,0,0,0,0,0,0,4,0,0,0,0,0
interval,0,0,0,0,0,0,3,0,0,0,0,0
different,13,0,0,0,0,0,0,0,0,0,0,0
point,0,0,0,0,0,0,29,0,0,0,5,0
chart,0,0,0,0,0,0,7,0,0,0,0,0
separate,2,0,0,0,0,0,0,0,0,0,8,0
distance,0,0,0,0,0,0,19,0,0,0,1,0
seven,0,0,0,0,0,0,0,15,0,0,0,0
nautical,4,0,0,0,0,0,0,0,0,0,0,0
league,0,0,0,0,0,0,11,0,0,0,0,0
later,0,0,4,0,0,0,0,0,0,0,0,0
thousand,0,0,0,0,0,0,1,22,0,0,0,0
far,0,0,13,0,0,0,0,0,0,0,0,0
sail,0,0,0,0,0,0,2,0,0,0,12,0
windward,3,0,2,0,0,0,0,0,0,0,0,0
portion,0,0,0,0,0,0,6,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,0,20,0
respectively,0,0,1,0,0,0,0,0,0,0,0,0
signal,0,0,0,0,0,0,1,0,0,0,2,0
monster,0,0,0,0,0,0,32,0,0,0,0,0
lat,1,0,0,0,0,0,3,0,0,0,0,0
simultaneous,1,0,0,0,0,0,0,0,0,0,0,0
justified,1,0,0,0,0,0,0,0,0,0,0,0
minimum,1,0,0,0,0,0,0,0,0,0,0,0
small,22,0,0,0,0,0,0,0,0,0,0,0
measure,0,0,0,0,0,0,1,0,0,0,7,0
frequent,0,0,0,0,0,0,0,0,0,0,4,0
part,0,0,0,0,0,0,11,0,0,0,0,0
sea,0,0,0,0,0,0,148,0,0,0,0,0
round,3,14,5,0,0,0,1,0,0,0,0,0
aleutian,1,0,0,0,0,0,0,0,0,0,0,0
island,0,0,0,0,0,0,58,0,0,0,0,0
exceed,0,0,0,0,0,0,0,0,0,0,3,0
yard,0,0,0,0,0,0,43,0,0,0,0,0
attain,0,0,0,0,0,0,0,0,0,0,12,0
great,72,0,0,0,0,0,0,0,0,0,0,0
resort,0,0,0,0,0,0,1,0,0,0,2,0
fashion,0,0,0,0,0,0,2,0,0,0,0,0
sing,0,0,0,0,0,0,0,0,0,0,1,0
cafe,0,0,0,0,0,0,1,0,0,0,0,0
ridicule,0,0,0,0,0,0,0,0,0,0,1,0
paper,0,0,0,0,0,0,7,0,0,0,0,0
represent,0,0,0,0,0,0,0,0,0,0,8,0
stage,0,0,0,0,0,0,1,0,0,0,0,0
kind,2,0,0,0,0,0,18,0,0,0,0,0
story,0,0,0,0,0,0,6,0,0,0,0,0
circulate,0,0,0,0,0,0,0,0,0,0,2,0
appear,0,0,0,0,0,0,0,0,0,0,40,0
caricature,0,0,0,0,0,0,1,0,0,0,0,0
gigantic,10,0,0,0,0,0,0,0,0,0,0,0
imaginary,2,0,0,0,0,0,0,0,0,0,0,0
white,15,0,0,0,0,0,0,0,0,0,0,0
terrible,10,0,0,0,0,0,0,0,0,0,0,0
sub,2,0,0,0,0,0,0,0,0,0,0,0
arctic,2,0,0,0,0,0,0,0,0,0,0,0
region,0,0,0,0,0,0,8,0,0,0,0,0
immense,12,0,0,0,0,0,0,0,0,0,0,0
kraken,0,0,0,0,0,0,1,0,0,0,0,0
tentacle,0,0,0,0,0,0,4,0,0,0,0,0
entangle,0,0,0,0,0,0,0,0,0,0,1,0
ship,0,0,0,0,0,0,32,0,0,0,3,0
ton,0,0,0,0,0,0,11,0,0,0,0,0
hurry,0,0,0,0,0,0,0,0,0,0,5,0
abyss,0,0,0,0,0,0,4,0,0,0,0,0
ocean,0,0,0,0,0,0,52,0,0,0,0,0
legend,0,0,0,0,0,0,1,0,0,0,0,0
ancient,2,0,0,0,0,0,0,0,0,0,0,0
revive,0,0,0,0,0,0,0,0,0,0,3,0
burst,0,0,0,0,0,0,0,0,0,0,4,0
forth,0,0,3,0,0,0,0,0,0,0,0,0
unending,1,0,0,0,0,0,0,0,0,0,0,0
argument,0,0,0,0,0,0,4,0,0,0,0,0
believer,0,0,0,0,0,0,2,0,0,0,0,0
unbeliever,0,0,0,0,0,0,1,0,0,0,0,0
society,0,0,0,0,0,0,2,0,0,0,0,0
wise,3,0,0,0,0,0,0,0,0,0,0,0
scientific,5,0,0,0,0,0,0,0,0,0,0,0
journal,0,0,0,0,0,0,4,0,0,0,0,0
inflame,0,0,0,0,0,0,0,0,0,0,1,0
editor,0,0,0,0,0,0,1,0,0,0,0,0
quarrel,0,0,0,0,0,0,0,0,0,0,1,0
spill,0,0,0,0,0,0,0,0,0,0,1,0
ink,0,0,0,0,0,0,1,0,0,0,0,0
memorable,1,0,0,0,0,0,0,0,0,0,0,0
campaign,0,0,0,0,0,0,2,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,0,23,0
blood,0,0,0,0,0,0,8,0,0,0,0,0
serpent,1,0,0,0,0,0,3,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,67,0
direct,3,0,0,0,0,0,0,0,0,0,13,0
personality,0,0,0,0,0,0,1,0,0,0,0,0
month,0,0,0,0,0,0,14,0,0,0,0,0
bury,0,0,0,0,0,0,0,0,0,0,7,0
new,13,0,0,0,0,0,0,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,41,0
problem,0,0,0,0,0,0,3,0,0,0,0,0
solve,0,0,0,0,0,0,0,0,0,0,2,0
real,16,0,0,0,0,0,0,0,0,0,0,0
danger,0,0,0,0,0,0,8,0,0,0,0,0
seriously,0,0,1,0,0,0,0,0,0,0,0,0
avoid,0,0,0,0,0,0,0,0,0,0,5,0
rock,0,0,0,0,0,0,18,0,0,0,2,0
reef,0,0,0,0,0,0,17,0,0,0,0,0
indefinite,1,0,0,0,0,0,0,0,0,0,0,0
shifting,1,0,0,0,0,0,0,0,0,0,0,0
proportion,0,0,0,0,0,0,3,0,0,0,1,0
find,0,0,0,0,0,0,0,0,0,0,59,0
night,0,0,0,0,0,0,26,0,0,0,0,0
strike,0,0,0,0,0,0,0,0,0,0,26,0
starboard,3,0,0,0,0,0,3,0,0,0,0,0
quarter,1,0,0,0,0,0,15,0,0,0,0,0
mark,0,0,0,0,0,0,2,0,0,0,10,0
combine,0,0,0,0,0,0,0,0,0,0,1,0
effort,0,0,0,0,0,0,7,0,0,0,0,0
wind,0,0,0,0,0,0,15,0,0,0,1,0
horse,0,0,0,0,0,0,2,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,82,0
rate,0,0,0,0,0,0,8,0,0,0,1,0
thirteen,0,0,0,0,0,0,0,2,0,0,0,0
knot,0,0,0,0,0,0,5,0,0,0,0,0
superior,8,0,0,0,0,0,0,0,0,0,0,0
strength,0,0,0,0,0,0,12,0,0,0,0,0
hull,0,0,0,0,0,0,19,0,0,0,0,0
break,0,0,0,0,0,0,1,0,0,0,34,0
shock,0,0,0,0,0,0,18,0,0,0,0,0
passenger,0,0,0,0,0,0,5,0,0,0,0,0
home,0,0,1,0,0,0,0,0,0,0,0,0
accident,0,0,0,0,0,0,6,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,9,0
morning,0,0,0,0,0,0,26,0,0,0,0,0
deck,0,0,0,0,0,0,8,0,0,0,2,0
examine,0,0,0,0,0,0,0,0,0,0,18,0
careful,2,0,0,0,0,0,0,0,0,0,0,0
attention,0,0,0,0,0,0,10,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,84,0
strong,20,0,0,0,0,0,0,0,0,0,0,0
eddy,0,0,0,0,0,0,2,0,0,0,0,0
cable,0,0,0,0,0,0,9,0,0,0,0,0
distant,1,0,2,0,0,0,0,0,0,0,0,0
surface,0,0,0,0,0,0,57,0,0,0,0,0
violently,0,0,3,0,0,0,0,0,0,0,0,0
bearing,0,0,0,0,0,0,3,0,0,0,0,0
exactly,0,0,12,0,0,0,0,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,0,18,0
route,0,0,0,0,0,0,8,0,0,0,0,0
apparent,1,0,0,0,0,0,0,0,0,0,0,0
damage,0,0,0,0,0,0,1,0,0,0,0,0
submerged,3,0,0,0,0,0,0,0,0,0,0,0
wreck,0,0,0,0,0,0,9,0,0,0,2,0
tell,0,0,0,0,0,0,0,0,0,0,27,0
examination,0,0,0,0,0,0,3,0,0,0,0,0
undergo,0,0,0,0,0,0,0,0,0,0,7,0
repair,0,0,0,0,0,0,2,0,0,0,1,0
keel,0,0,0,0,0,0,7,0,0,0,0,0
grave,9,0,0,0,0,0,6,0,0,0,0,0
like,2,67,0,0,0,0,0,0,0,0,7,0
week,0,0,0,0,0,0,5,0,0,0,0,0
enact,0,0,0,0,0,0,0,0,0,0,1,0
circumstance,0,0,0,0,0,0,12,0,0,0,0,0
thank,0,0,0,0,0,0,6,0,0,0,4,0
nationality,0,0,0,0,0,0,3,0,0,0,0,0
victim,0,0,0,0,0,0,5,0,0,0,0,0
reputation,0,0,0,0,0,0,3,0,0,0,0,0
company,0,0,0,0,0,0,7,0,0,0,0,0
belong,0,0,0,0,0,0,0,0,0,0,12,0
extensively,0,0,1,0,0,0,0,0,0,0,0,0
beautiful,20,0,0,0,0,0,0,0,0,0,0,0
breeze,0,0,0,0,0,0,8,0,0,0,0,0
favourable,2,0,0,0,0,0,0,0,0,0,0,0
line,0,0,0,0,0,0,9,0,0,0,1,0
speed,0,0,0,0,0,0,27,0,0,0,2,0
half,9,0,13,0,10,0,15,0,0,0,0,0
seventeen,0,0,0,0,0,0,0,1,0,0,0,0
minute,1,0,0,0,0,0,26,0,0,0,0,0
afternoon,0,0,0,0,0,0,3,0,0,0,0,0
whilst,0,0,0,0,0,0,0,0,0,11,0,0
assemble,0,0,0,0,0,0,0,0,0,0,2,0
lunch,0,0,0,0,0,0,1,0,0,0,0,0
saloon,0,0,0,0,0,0,18,0,0,0,0,0
slight,14,0,0,0,0,0,0,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,31,0
little,35,0,6,0,0,0,0,0,0,0,0,0
aft,0,0,3,0,0,0,0,0,0,0,0,0
port,2,0,0,0,0,0,7,0,0,0,0,0
paddle,0,0,0,0,0,0,2,0,0,0,0,0
seemingly,0,0,1,0,0,0,0,0,0,0,0,0
sharp,3,0,0,0,0,0,0,0,0,0,0,0
penetrating,3,0,0,0,0,0,0,0,0,0,0,0
blunt,1,0,0,0,0,0,0,0,0,0,1,0
alarmed,1,0,0,0,0,0,0,0,0,0,0,0
shout,0,0,0,0,0,0,1,0,0,0,3,0
carpenter,0,0,0,0,0,0,1,0,0,0,0,0
watch,0,0,0,0,0,0,3,0,0,0,19,0
rush,0,0,0,0,0,0,0,0,0,0,6,0
bridge,0,0,0,0,0,0,8,0,0,0,0,0
exclaim,0,0,0,0,0,0,0,0,0,0,10,0
sink,0,0,0,0,0,0,0,0,0,0,24,0
frightened,1,0,0,0,0,0,0,0,0,0,0,0
hasten,0,0,0,0,0,0,0,0,0,0,7,0
reassure,0,0,0,0,0,0,0,0,0,0,3,0
imminent,2,0,0,0,0,0,0,0,0,0,0,0
divide,0,0,0,0,0,0,0,0,0,0,4,0
compartment,0,0,0,0,0,0,5,0,0,0,0,0
partition,0,0,0,0,0,0,11,0,0,0,0,0
brave,6,0,0,0,0,0,0,0,0,0,3,0
impunity,0,0,0,0,0,0,2,0,0,0,0,0
leak,0,0,0,0,0,0,3,0,0,0,0,0
immediately,0,0,13,0,0,0,0,0,0,0,0,0
hold,0,0,0,0,0,0,2,0,0,0,15,0
pour,0,0,0,0,0,0,0,0,0,0,3,0
fifth,3,0,0,0,0,0,1,0,0,0,0,0
influx,0,0,0,0,0,0,1,0,0,0,0,0
prove,0,0,0,0,0,0,0,0,0,0,8,0
force,0,0,0,0,0,0,7,0,0,0,9,0
considerable,10,0,0,0,0,0,0,0,0,0,0,0
fortunately,0,0,1,0,0,0,0,0,0,0,0,0
boiler,0,0,0,0,0,0,3,0,0,0,0,0
fire,0,0,0,0,0,0,13,0,0,0,6,0
extinguish,0,0,0,0,0,0,0,0,0,0,1,0
order,0,0,0,0,0,0,21,0,0,0,2,0
engine,0,0,0,0,0,0,13,0,0,0,0,0
stop,0,0,0,0,0,0,1,0,0,0,24,0
ascertain,0,0,0,0,0,0,0,0,0,0,2,0
extent,0,0,0,0,0,0,4,0,0,0,0,0
injury,0,0,0,0,0,0,2,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,6,0
existence,0,0,0,0,0,0,17,0,0,0,0,0
diameter,0,0,0,0,0,0,4,0,0,0,0,0
oblige,0,0,0,0,0,0,0,0,0,0,13,0
course,0,0,1,0,0,0,29,0,0,0,0,0
delay,0,0,0,0,0,0,2,0,0,0,2,0
cause,0,0,0,0,0,0,3,0,0,0,15,0
uneasiness,0,0,0,0,0,0,2,0,0,0,0,0
basin,0,0,0,0,0,0,1,0,0,0,0,0
engineer,0,0,0,0,0,0,15,0,0,0,0,0
visit,0,0,0,0,0,0,5,0,0,0,9,0
dry,3,0,0,0,0,0,0,0,0,0,0,0
dock,0,0,0,0,0,0,1,0,0,0,0,0
scarcely,0,0,11,0,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,0,17,0
possible,13,0,0,0,0,0,0,0,0,0,0,0
regular,5,0,0,0,0,0,0,0,0,0,0,0
rent,0,0,0,0,0,0,1,0,0,0,0,0
form,0,0,0,0,0,0,6,0,0,0,31,0
isosceles,0,0,0,0,0,0,0,0,0,0,0,1
triangle,0,0,0,0,0,0,1,0,0,0,0,0
broken,4,0,0,0,0,0,0,0,0,0,0,0
iron,0,0,0,0,0,0,35,0,0,0,0,0
plate,0,0,0,0,0,0,20,0,0,0,2,0
perfectly,0,0,8,0,0,0,0,0,0,0,0,0
defined,1,0,0,0,0,0,0,0,0,0,0,0
neatly,0,0,1,0,0,0,0,0,0,0,0,0
