word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,SCONJ,VERB
baseball,0,0,0,0,4,0,0,0
long,2,0,5,0,0,0,0,0
consider,0,0,0,0,0,0,0,5
american,12,0,0,0,0,0,0,0
national,11,0,0,0,0,0,0,0
pastime,0,0,0,0,1,0,0,0
football,0,0,0,0,2,0,0,0
watch,0,0,0,0,0,0,0,1
televise,0,0,0,0,0,0,0,1
sport,0,0,0,0,24,0,0,0
country,0,0,0,0,3,0,0,0
basketball,0,0,0,0,90,0,0,0
conceive,0,0,0,0,0,0,0,1
entirely,0,0,1,0,0,0,0,0
physical,5,0,0,0,0,0,0,0
education,0,0,0,0,2,0,0,0
instructor,0,0,0,0,2,0,0,0
truly,0,0,2,0,0,0,0,0
institution,0,0,0,0,3,0,0,0
casual,2,0,0,0,0,0,0,0
game,0,0,0,0,104,0,0,0
gym,0,0,0,0,2,0,0,0
international,14,0,0,0,0,0,0,0
olympic,8,0,0,0,0,0,0,0
level,0,0,0,0,5,0,0,0
competition,0,0,0,0,7,0,0,0
shoot,0,0,0,0,0,0,0,7
hoop,0,0,0,0,5,0,0,0
come,0,0,0,0,0,0,0,7
occupy,0,0,0,0,0,0,0,1
unique,1,0,0,0,0,0,0,0
place,0,0,0,0,1,0,0,2
cultural,1,0,0,0,0,0,0,0
landscape,0,0,0,0,1,0,0,0
volume,0,0,0,0,1,0,0,0
examine,0,0,0,0,0,0,0,1
history,0,0,0,0,11,0,0,0
love,0,0,0,0,0,0,0,1
form,0,0,0,0,2,0,0,5
recreation,0,0,0,0,1,0,0,0
introduce,0,0,0,0,0,0,0,7
change,0,0,0,0,2,0,0,7
professional,36,0,0,0,0,0,0,0
player,0,0,0,0,95,0,0,0
ability,0,0,0,0,6,0,0,0
elevate,0,0,0,0,0,0,0,1
artistry,0,0,0,0,1,0,0,0
glance,0,0,0,0,1,0,0,0
complicated,1,0,0,0,0,0,0,0
suggest,0,0,0,0,0,0,0,1
key,3,0,0,0,1,0,0,0
component,0,0,0,0,1,0,0,0
ball,0,0,0,0,48,0,0,0
basket,0,0,0,0,32,0,0,0
throw,0,0,0,0,11,0,0,1
order,0,0,0,0,5,0,0,0
score,0,0,0,0,3,0,0,14
point,0,0,0,0,42,0,0,0
actual,2,0,0,0,0,0,0,0
peach,0,0,0,0,2,0,0,0
early,14,0,0,0,0,0,0,0
later,0,0,9,0,0,0,0,0
replace,0,0,0,0,0,0,0,2
open,5,0,0,0,0,0,0,0
use,0,0,0,0,2,0,0,4
today,0,0,0,0,7,0,0,0
number,0,0,0,0,6,0,0,0
element,0,0,0,0,2,0,0,0
add,0,0,0,0,0,0,0,1
certain,3,0,0,0,0,0,0,0
drama,0,0,0,0,1,0,0,0
short,1,0,1,0,0,0,0,0
time,0,0,0,0,29,0,0,0
gain,0,0,0,0,0,0,0,2
possession,0,0,0,0,4,0,0,0
team,0,0,0,0,113,0,0,1
attempt,0,0,0,0,2,0,0,8
sink,0,0,0,0,0,0,0,2
shot,0,0,0,0,27,0,0,0
opposing,1,0,0,0,0,0,0,0
defend,0,0,0,0,0,0,0,6
offensive,9,0,0,0,0,0,0,0
