word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
return,0,0,0,0,0,0,0,0,0,0,19
visit,0,0,0,0,0,0,7,0,0,0,27
landlord,0,0,0,0,0,0,6,0,0,0,0
delighted,6,0,0,0,0,0,0,0,0,0,0
house,0,0,0,0,0,0,55,0,0,0,0
rent,0,0,0,0,0,0,4,0,0,0,5
mile,0,0,0,0,0,0,10,0,0,0,0
away,0,1,51,0,0,0,0,0,0,0,0
town,0,0,0,0,0,0,2,0,0,0,0
village,0,0,0,0,0,0,6,0,0,0,0
suit,0,0,0,0,0,0,0,0,0,0,1
perfectly,0,0,1,0,0,0,0,0,0,0,0
scenery,0,0,0,0,0,0,1,0,0,0,0
beautiful,14,0,0,0,0,0,0,0,0,0,0
fact,0,0,0,0,0,0,5,0,0,0,0
neighbour,0,0,0,0,0,0,3,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,75
character,0,0,0,0,0,0,4,0,0,0,0
similar,2,0,0,0,0,0,0,0,0,0,0
like,0,35,0,0,0,0,0,0,0,0,23
people,0,0,0,0,0,0,13,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,120
meet,0,0,0,0,0,0,0,0,0,0,13
gate,0,0,0,0,0,0,6,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,80
come,0,0,0,0,0,0,0,0,0,0,99
introduce,0,0,0,0,0,0,0,0,0,0,1
frown,0,0,0,0,0,0,0,0,0,0,2
encourage,0,0,0,0,0,0,0,0,0,0,4
enter,0,0,0,0,0,0,0,0,0,0,19
decide,0,0,0,0,0,0,0,0,0,0,14
invite,0,0,0,0,0,0,0,0,0,0,12
horse,0,0,0,0,0,0,8,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,24
bring,0,0,0,0,0,0,0,0,0,0,17
wine,0,0,0,0,0,0,4,0,0,0,0
cellar,0,0,0,0,0,0,3,0,0,0,0
old,20,0,0,0,0,0,0,0,0,0,0
servant,0,0,0,0,0,0,32,0,0,0,0
sour,1,0,0,0,0,0,0,0,0,0,0
expression,0,0,0,0,0,0,6,0,0,0,0
face,0,0,0,0,0,0,44,0,0,0,0
look,0,0,0,0,0,0,0,0,0,0,100
crossly,0,0,7,0,0,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,30
help,0,0,0,0,0,0,3,0,0,0,23
visitor,0,0,0,0,0,0,1,0,0,0,0
mutter,0,0,0,0,0,0,0,0,0,0,8
hardly,0,0,1,0,0,0,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,0,0,10
guest,1,0,0,0,0,0,6,0,0,0,0
mean,2,0,0,0,0,0,0,0,0,0,5
windswept,1,0,0,0,0,0,0,0,0,0,0
hill,0,0,0,0,0,0,6,0,0,0,0
good,12,0,0,0,0,0,0,0,0,0,0
description,0,0,0,0,0,0,1,0,0,0,0
tree,0,0,0,0,0,0,8,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,9
straight,0,0,5,0,0,0,0,0,0,0,0
bend,0,0,0,0,0,0,0,0,0,0,3
north,0,0,0,0,0,0,1,0,0,0,0
wind,0,0,0,0,0,0,10,0,0,0,0
blow,0,0,0,0,0,0,0,0,0,0,2
moor,0,0,0,0,0,0,20,0,0,0,0
day,0,0,0,0,0,0,49,0,0,0,0
year,0,0,0,0,0,0,21,0,0,0,0
fortunately,0,0,2,0,0,0,0,0,0,0,0
strongly,0,0,1,0,0,0,0,0,0,0,0
build,0,0,0,0,0,0,0,0,0,0,1
damage,0,0,0,0,0,0,0,0,0,0,2
bad,22,0,0,0,0,0,0,0,0,0,0
winter,0,0,0,0,0,0,5,0,0,0,0
storm,0,0,0,0,0,0,1,0,0,0,0
cut,0,0,0,0,0,0,0,0,0,0,4
stone,0,0,0,0,0,0,2,0,0,0,0
door,0,0,0,0,0,0,47,0,0,0,0
huge,1,0,0,0,0,0,0,0,0,0,0
main,5,0,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,64,0,0,0,0
farmhouse,0,0,0,0,0,0,1,0,0,0,0
kitchen,0,0,0,0,0,0,39,0,0,0,0
sign,0,0,0,0,0,0,4,0,0,0,0
