word,ADJ,ADP,ADV,INTJ,NOUN,NUM,PRON,VERB
cold,9,0,0,0,1,0,0,0
dark,6,0,0,0,5,0,0,0
road,0,0,0,0,4,0,0,0
rain,0,0,0,0,7,0,0,0
stop,0,0,0,0,0,0,0,20
minute,0,0,0,0,17,0,0,0
little,10,0,0,0,0,0,0,0
living,0,0,0,0,7,0,0,0
room,0,0,0,0,18,0,0,0
number,0,0,0,0,1,0,0,0
nice,8,0,0,0,0,0,0,0
warm,8,0,0,0,0,0,0,1
old,41,0,0,0,0,0,0,0
son,0,0,0,0,25,0,0,0
play,0,0,0,0,0,0,0,2
chess,0,0,0,0,1,0,0,0
sit,0,0,0,0,0,0,0,18
watch,0,0,0,0,0,0,0,7
woman,0,0,0,0,8,0,0,0
happy,4,0,0,0,0,0,0,0
husband,0,0,0,0,22,0,0,0
good,11,0,0,0,0,0,0,0
friend,0,0,0,0,14,0,0,0
like,0,0,0,0,0,0,0,2
think,0,0,0,0,0,0,0,21
wait,0,0,0,0,0,0,0,13
long,7,0,0,0,0,0,0,0
time,0,0,0,0,15,0,0,0
nearly,0,0,2,0,0,0,0,0
bear,0,0,0,0,0,0,0,1
family,0,0,0,0,13,0,0,0
smile,0,0,0,0,0,0,0,5
true,7,0,0,0,0,0,0,0
young,6,0,0,0,0,0,0,0
laugh,0,0,0,0,0,0,0,17
lot,0,0,0,0,4,0,0,0
mother,0,0,0,0,8,0,0,0
father,0,0,0,0,4,0,0,0
get,0,0,0,0,0,0,0,12
money,0,0,0,0,25,0,0,0
man,0,0,0,0,16,0,0,0
talk,0,0,0,0,0,0,0,14
carefully,0,0,4,0,0,0,0,0
quiet,7,0,0,0,0,0,0,0
noise,0,0,0,0,9,0,0,0
bad,4,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,10
window,0,0,0,0,10,0,0,0
suddenly,0,0,13,0,0,0,0,0
look,0,0,0,0,0,0,0,27
listen,0,0,0,0,0,0,0,13
say,0,0,0,0,0,0,0,84
yes,0,0,0,20,0,0,0,0
night,0,0,0,0,9,0,0,0
answer,0,0,0,0,1,0,0,35
come,0,0,0,0,0,0,0,35
tonight,0,0,0,0,2,0,0,0
right,7,0,0,0,0,0,0,0
seven,0,0,0,0,0,1,0,0
finish,0,0,0,0,0,0,0,6
door,0,0,0,0,14,0,0,0
chair,0,0,0,0,2,0,0,0
go,0,0,0,0,0,0,0,38
open,2,0,0,0,0,0,0,6
begin,0,0,0,0,0,0,0,24
thing,0,0,0,0,13,0,0,0
away,0,1,5,0,0,0,0,0
wonderful,8,0,0,0,0,0,0,0
coat,0,0,0,0,3,0,0,0
live,0,0,0,0,0,0,0,3
feel,0,0,0,0,0,0,0,8
big,4,0,0,0,0,0,0,0
red,1,0,0,0,0,0,0,0
faced,1,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,9
wife,0,0,0,0,17,0,0,0
work,0,0,0,0,1,0,0,4
please,0,0,0,0,0,0,0,2
meet,0,0,0,0,0,0,0,2
thank,0,0,0,0,0,0,0,4
let,0,0,0,0,0,0,0,3
whisky,0,0,0,0,6,0,0,0
need,0,0,0,0,0,0,0,10
bottle,0,0,0,0,1,0,0,0
drink,0,0,0,0,0,0,0,3
interest,0,0,0,0,1,0,0,0
visitor,0,0,0,0,1,0,0,0
far,0,0,1,0,0,0,0,0
strange,7,0,0,0,0,0,0,0
story,0,0,0,0,18,0,0,0
soldier,0,0,0,0,20,0,0,0
year,0,0,0,0,2,0,0,0
country,0,0,0,0,2,0,0,0
cry,0,0,0,0,3,0,0,27
afraid,15,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,25
lose,0,0,0,0,0,0,0,2
well,3,0,0,0,0,0,0,0
quickly,0,0,12,0,0,0,0,0
see,0,0,0,0,0,0,0,7
day,0,0,0,0,7,0,0,0
stay,0,0,0,0,0,0,0,2
interesting,4,0,0,0,0,0,0,0
monkey,0,0,0,0,31,0,0,0
paw,0,0,0,0,49,0,0,0
important,1,0,0,0,0,0,0,0
take,0,0,0,0,0,0,0,11
hand,0,0,0,0,20,0,0,0
slowly,0,0,9,0,0,0,0,0
pocket,0,0,0,0,5,0,0,0
dirty,2,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,6
ask,0,0,0,0,0,0,0,22
carry,0,0,0,0,0,0,0,1
magic,3,0,0,0,0,0,0,0
boy,0,0,0,0,4,0,0,0
remember,0,0,0,0,0,0,0,6
give,0,0,0,0,0,0,0,3
wish,0,0,0,0,15,0,0,6
people,0,0,0,0,7,0,0,0
bring,0,0,0,0,0,0,0,5
happiness,0,0,0,0,1,0,0,0
teach,0,0,0,0,0,0,0,1
change,0,0,0,0,0,0,0,1
quietly,0,0,11,0,0,0,0,0
die,0,0,0,0,0,0,0,8
know,0,0,0,0,0,0,0,6
everybody,0,0,0,0,0,0,2,0
fast,1,0,0,0,0,0,0,0
car,0,0,0,0,2,0,0,0
difficulty,0,0,0,0,1,0,0,0
accident,0,0,0,0,3,0,0,0
end,0,0,0,0,5,0,0,0
late,3,0,0,0,0,0,0,0
child,0,0,0,0,1,0,0,0
dead,8,0,0,0,0,0,0,0
unhappy,5,0,0,0,0,0,0,0
face,0,0,0,0,12,0,0,0
unhappiness,0,0,0,0,2,0,0,0
course,0,0,0,0,5,0,0,0
careful,2,0,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,14
dinner,0,0,0,0,5,0,0,0
help,0,0,0,0,0,0,0,6
difficult,1,0,0,0,0,0,0,0
mouth,0,0,0,0,1,0,0,0
white,2,0,0,0,0,0,0,0
table,0,0,0,0,2,0,0,0
forgot,0,0,0,0,0,0,0,1
question,0,0,0,0,2,0,0,0
leave,0,0,0,0,0,0,0,4
evening,0,0,0,0,5,0,0,0
life,0,0,0,0,1,0,0,0
exciting,2,0,0,0,0,0,0,0
visit,0,0,0,0,0,0,0,1
soon,0,0,2,0,0,0,0,0
goodbye,0,0,0,1,2,0,0,0
midnight,0,0,0,0,1,0,0,0
kitchen,0,0,0,0,1,0,0,0
happen,0,0,0,0,0,0,0,4
angry,2,0,0,0,0,0,0,0
