word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB,X
care,0,0,0,0,0,0,6,0,0,3,0
bear,0,0,0,0,0,0,0,0,0,4,0
father,0,0,0,0,0,0,14,0,0,0,0
british,1,0,0,0,0,0,0,0,0,0,0
official,0,0,0,0,0,0,1,0,0,0,0
busy,2,0,0,0,0,0,0,0,0,0,0
work,0,0,0,0,0,0,3,0,0,10,0
mother,0,0,0,0,0,0,21,0,0,0,0
beautiful,12,0,0,0,0,0,0,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,7,0
time,0,0,0,0,0,0,29,0,0,0,0
go,0,0,0,0,0,0,0,0,0,52,0
party,0,0,0,0,0,0,1,0,0,0,0
indian,4,0,0,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,0,8,0,0,0,0
pay,0,0,0,0,0,0,1,0,0,1,0
little,22,0,1,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,0,11,0,0,0,0
pretty,6,0,0,0,0,0,0,0,0,0,0
child,0,0,0,0,0,0,21,0,0,0,0
thin,6,0,0,0,0,0,0,0,0,0,0
angry,9,0,0,0,0,0,0,0,0,0,0
face,0,0,0,0,0,0,16,0,0,0,0
yellow,1,0,0,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,0,2,0,0,0,0
give,0,0,0,0,0,0,0,0,0,6,0
order,0,0,0,0,0,0,3,0,0,0,0
obey,0,0,0,0,0,0,0,0,0,2,0
think,0,0,0,0,0,0,0,0,0,59,0
people,0,0,0,0,0,0,17,0,0,0,0
fact,0,0,0,0,0,0,2,0,0,0,0
selfish,8,0,0,0,0,0,0,0,0,0,0
disagreeable,9,0,0,0,0,0,0,0,0,0,0
bad,8,0,1,0,0,0,0,0,0,0,0
tempered,7,0,0,0,0,0,0,0,0,0,0
hot,5,0,0,0,0,0,0,0,0,0,0
morning,0,0,0,0,0,0,9,0,0,0,0
year,0,0,0,0,0,0,12,0,0,0,0
old,27,0,0,0,0,0,0,0,0,0,0
wake,0,0,0,0,0,0,0,0,0,8,0
see,0,0,0,0,0,0,0,0,0,20,0
instead,0,0,5,0,0,0,0,0,0,0,0
different,9,0,0,0,0,0,0,0,0,0,0
servant,0,0,0,0,0,0,28,0,0,0,0
bed,0,0,0,0,0,0,9,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,46,0
crossly,0,0,9,0,0,0,0,0,0,0,0
away,0,0,19,0,0,0,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,6,0
look,0,0,0,0,0,0,0,0,0,69,0
afraid,6,0,0,0,0,0,0,0,0,0,0
sorry,8,0,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,48,0
strange,17,0,0,0,0,0,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,9,0
day,0,0,0,0,0,0,33,0,0,0,0
house,0,0,0,0,0,0,39,0,0,0,0
miss,0,0,0,0,0,0,11,0,0,2,0
everybody,0,0,0,0,0,0,0,0,7,0,0
frightened,4,0,0,0,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,45,0
garden,0,0,0,0,0,0,93,0,0,1,0
play,0,0,0,0,0,0,0,0,0,20,0
tree,0,0,0,0,0,0,13,0,0,0,0
