word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB
place,0,0,0,0,0,0,19,0,0,0
remember,0,0,0,0,0,0,0,0,0,5
pleasant,10,0,0,0,0,0,0,0,0,0
field,0,0,0,0,0,0,30,0,0,0
pond,0,0,0,0,0,0,2,0,0,0
clear,1,0,0,0,0,0,0,0,0,1
water,0,0,0,0,0,0,15,0,0,0
tree,0,0,0,0,0,0,11,0,0,0
shadow,0,0,0,0,0,0,1,0,0,0
plant,0,0,0,0,0,0,1,0,0,0
grow,0,0,0,0,0,0,0,0,0,7
deep,2,0,0,0,0,0,0,0,0,0
end,0,0,0,0,0,0,11,0,0,1
look,0,0,0,0,0,0,2,0,0,57
gate,0,0,0,0,0,0,8,0,0,0
master,0,0,0,0,0,0,65,0,0,0
house,0,0,0,0,0,0,21,0,0,0
stand,0,0,0,0,0,0,8,0,0,21
roadside,0,0,0,0,0,0,1,0,0,0
tall,9,0,0,0,0,0,0,0,0,0
fast,2,0,15,0,0,0,0,0,0,0
run,0,0,0,0,0,0,1,0,0,22
stream,0,0,0,0,0,0,5,0,0,0
young,49,0,0,0,0,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,11
mother,0,0,0,0,0,0,22,0,0,0
milk,0,0,0,0,0,0,1,0,0,0
soon,0,0,25,0,0,0,0,0,0,0
old,34,0,0,0,0,0,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,10
grass,0,0,0,0,0,0,11,0,0,0
go,0,0,0,0,0,0,0,0,0,76
work,0,0,0,0,0,0,23,0,0,14
day,0,0,0,0,0,0,61,0,0,0
come,0,0,0,0,0,0,0,0,0,114
evening,0,0,0,0,0,0,5,0,0,0
horse,0,0,0,0,0,0,155,0,0,0
gallop,0,0,0,0,0,0,2,0,0,14
round,0,8,7,0,0,0,0,0,0,0
great,9,0,0,0,0,0,0,0,0,0
fun,0,0,0,0,0,0,2,0,0,0
kick,0,0,0,0,0,0,2,0,0,9
bite,0,0,0,0,0,0,0,0,0,12
farm,0,0,0,0,0,0,2,0,0,0
learn,0,0,0,0,0,0,0,0,0,9
behave,0,0,0,0,0,0,0,0,0,5
tell,0,0,0,0,0,0,0,0,0,43
different,7,0,0,0,0,0,0,0,0,0
father,0,0,0,0,0,0,8,0,0,0
know,0,0,0,0,0,0,0,0,0,47
grandfather,0,0,0,0,0,0,4,0,0,0
twice,0,0,2,0,0,0,0,0,0,0
win,0,0,0,0,0,0,0,0,0,2
important,3,0,0,0,0,0,0,0,0,0
race,0,0,0,0,0,0,2,0,0,3
grandmother,0,0,0,0,0,0,1,0,0,0
quiet,10,0,0,0,0,0,0,0,0,0
gentle,10,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,29
hope,0,0,0,0,0,0,0,0,0,9
willing,3,0,0,0,0,0,0,0,0,0
worker,0,0,0,0,0,0,1,0,0,0
forget,0,0,0,0,0,0,0,0,0,3
advice,0,0,0,0,0,0,4,0,0,0
clever,5,0,0,0,0,0,0,0,0,0
sensible,3,0,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,25
