word,ADJ,ADP,ADV,NOUN,NUM,VERB,X
ancient,19,0,0,0,0,0,0
time,0,0,0,10,0,0,0
land,0,0,0,2,0,0,0
central,5,0,0,0,0,0,0
northern,1,0,0,0,0,0,0
home,0,0,0,2,0,0,0
advanced,3,0,0,0,0,0,0
civilization,0,0,0,21,0,0,0
american,1,0,0,0,0,0,0
continent,0,0,0,2,0,0,0
territory,0,0,0,1,0,0,0
call,0,0,0,0,0,12,0
cover,0,0,0,1,0,3,0
half,0,0,0,1,0,0,0
modern,2,0,0,0,0,0,0
day,0,0,0,15,0,0,0
part,0,0,0,4,0,0,0
people,0,0,0,36,0,0,0
sophisticated,1,0,0,0,0,0,0
culture,0,0,0,15,0,0,0
native,2,0,0,0,0,0,0
like,1,9,0,0,0,1,0
advance,0,0,0,0,0,1,0
primitive,1,0,0,0,0,0,0
way,0,0,0,6,0,0,0
complex,4,0,0,0,0,0,0
society,0,0,0,4,0,0,0
begin,0,0,0,0,0,6,0
eventually,0,0,3,0,0,0,0
establish,0,0,0,0,0,3,0
elaborate,2,0,0,0,0,0,0
city,0,0,0,28,0,0,0
build,0,0,0,0,0,15,0
massive,2,0,0,0,0,0,0
monument,0,0,0,3,0,0,0
create,0,0,0,0,0,11,0
beautiful,2,0,0,0,0,0,0
work,0,0,0,4,0,3,0
art,0,0,0,11,0,0,0
learn,0,0,0,0,0,4,0
grow,0,0,0,0,0,8,0
food,0,0,0,12,0,0,0
tropical,1,0,0,0,0,0,0
rain,0,0,0,11,0,0,0
forest,0,0,0,3,0,0,0
mountain,0,0,0,4,0,0,0
slope,0,0,0,1,0,0,0
develop,0,0,0,0,0,10,0
custom,0,0,0,2,0,0,0
law,0,0,0,2,0,0,0
amazing,1,0,0,0,0,0,0
discovery,0,0,0,3,0,0,0
astronomy,0,0,0,4,0,0,0
math,0,0,0,1,0,0,0
believe,0,0,0,0,0,8,0
live,1,0,0,0,0,4,0
fortunately,0,0,2,0,0,0,0
leave,0,0,0,1,0,4,0
record,0,0,0,2,0,2,0
item,0,0,0,4,0,0,0
building,0,0,0,4,0,0,0
artwork,0,0,0,1,0,0,0
picture,0,0,0,7,0,3,0
writing,0,0,0,10,0,0,0
archaeologist,0,0,0,9,0,0,0
piece,0,0,0,1,0,1,0
fascinating,1,0,0,0,0,0,0
civilize,0,0,0,0,0,1,0
year,0,0,0,13,0,0,0
ago,0,0,2,0,0,0,0
chapter,0,0,0,4,0,0,0
story,0,0,0,5,0,0,0
come,0,0,0,0,0,9,0
hunter,0,0,0,2,0,0,0
gatherer,0,0,0,2,0,0,0
small,7,0,0,0,0,0,0
family,0,0,0,2,0,0,0
base,0,0,0,1,0,3,0
group,0,0,0,4,0,0,0
band,0,0,0,2,0,0,0
place,0,0,0,10,0,0,0
look,0,0,0,0,0,5,0
kill,0,0,0,0,0,1,0
wild,1,0,0,0,0,0,0
animal,0,0,0,5,0,0,0
collect,0,0,0,0,0,1,0
fruit,0,0,0,1,0,0,0
edible,2,0,0,0,0,0,0
plant,0,0,0,8,0,5,0
exhaust,0,0,0,0,0,1,0
supply,0,0,0,2,0,0,0
