word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
little,9,0,1,0,0,0,0,0,0,0,0,0
century,0,0,0,0,0,39,0,0,0,0,0,0
ago,0,0,1,0,0,0,0,0,0,0,0,0
achieve,0,0,0,0,0,0,0,0,0,0,22,0
power,0,0,0,0,0,38,0,0,0,0,52,0
sustained,8,0,0,0,0,0,0,0,0,0,0,0
control,0,0,0,0,0,92,0,0,0,0,30,0
flight,0,0,0,0,0,245,0,0,1,0,0,0
airplane,0,0,0,0,0,54,0,0,0,0,0,0
experiment,0,0,0,0,0,12,0,0,0,0,3,0
change,0,0,0,0,0,18,0,0,0,0,16,0
world,0,0,0,0,0,57,0,0,0,0,0,0
principle,0,0,0,0,0,12,0,0,0,0,0,0
establish,0,0,0,0,0,0,0,0,0,0,19,0
study,0,0,0,0,0,5,0,0,0,0,4,0
test,0,0,0,0,0,6,0,0,0,0,4,0
explorer,0,0,0,0,0,1,0,0,0,0,0,0
inventor,0,0,0,0,0,12,0,0,0,0,0,0
worldwide,2,0,2,0,0,0,0,0,0,0,0,0
ancient,2,0,0,0,0,0,0,0,0,0,0,0
greek,2,0,0,0,0,0,0,0,0,0,0,0
brother,0,0,0,0,0,42,0,0,0,0,0,0
humankind,0,0,0,0,0,1,0,0,0,0,0,0
seek,0,0,0,0,0,0,0,0,0,0,4,0
unlock,0,0,0,0,0,0,0,0,0,0,1,0
secret,0,0,0,0,0,2,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,19,0
way,0,0,0,0,0,17,0,0,0,0,0,0
human,8,0,0,0,0,1,0,0,0,0,0,0
defy,0,0,0,0,0,0,0,0,0,0,2,0
gravity,0,0,0,0,0,7,0,0,0,0,0,0
slip,0,0,0,0,0,0,0,0,0,0,1,0
bond,0,0,0,0,0,1,0,0,0,0,0,0
earthbound,1,0,0,0,0,0,0,0,0,0,0,0
history,0,0,0,0,0,13,0,0,0,0,0,0
examine,0,0,0,0,0,0,0,0,0,0,1,0
origin,0,0,0,0,0,2,0,0,0,0,0,0
quest,0,0,0,0,0,1,0,0,0,0,0,0
explain,0,0,0,0,0,0,0,0,0,0,5,0
mechanism,0,0,0,0,0,3,0,0,0,0,0,0
possible,25,0,0,0,0,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,1,0
story,0,0,0,0,0,4,0,0,0,0,0,0
aviation,0,0,0,0,0,52,0,0,0,0,0,0
