word,ADJ,ADP,ADV,NOUN,NUM,VERB
ill,1,0,0,0,0,0
bird,0,0,0,7,0,0
foul,0,0,0,0,0,4
nest,0,0,0,2,0,0
english,1,0,0,0,0,0
proverb,0,0,0,1,0,0
live,0,0,0,0,0,11
age,0,0,0,2,0,0
marvel,0,0,0,1,0,0
idea,0,0,0,1,0,0
people,0,0,0,23,0,0
good,2,0,0,3,0,0
speedily,0,0,1,0,0,0
fly,0,0,0,0,0,1
world,0,0,0,10,0,0
store,0,0,0,1,0,1
cram,0,0,0,0,0,1
tempting,1,0,0,0,0,0
cell,0,0,0,1,0,0
phone,0,0,0,1,0,0
computer,0,0,0,2,0,0
exotic,1,0,0,0,0,0
food,0,0,0,5,0,0
buy,0,0,0,0,0,2
new,9,0,0,0,0,0
thing,0,0,0,6,0,0
planet,0,0,0,6,0,0
pay,0,0,0,0,0,3
price,0,0,0,2,0,0
fragile,3,0,0,0,0,0
environment,0,0,0,22,0,0
destroy,0,0,0,0,0,9
overfarming,0,0,0,1,0,0
stream,0,0,0,9,0,0
poison,0,0,0,1,0,2
factory,0,0,0,7,0,0
toxin,0,0,0,1,0,0
filthy,1,0,0,0,0,0
air,0,0,0,32,0,0
fossil,6,0,0,2,0,0
fuel,0,0,0,14,0,0
spew,0,0,0,0,0,2
truck,0,0,0,3,0,0
carry,0,0,0,0,0,4
market,0,0,0,2,0,1
modern,3,0,0,0,0,0
human,20,0,0,9,0,0
industrial,8,0,0,0,0,0
way,0,0,0,5,0,0
outsized,1,0,0,0,0,0
burden,0,0,0,1,0,0
reason,0,0,0,1,0,0
predict,0,0,0,0,0,2
billion,0,0,0,1,7,0
time,0,0,0,14,0,0
number,0,0,0,11,0,0
forget,0,0,0,0,0,1
early,11,0,2,0,0,0
childhood,0,0,0,1,0,0
lesson,0,0,0,1,0,0
mess,0,0,0,1,0,0
clean,1,0,0,0,0,3
volume,0,0,0,3,0,0
learn,0,0,0,0,0,2
city,0,0,0,16,0,0
like,0,5,0,0,0,0
frequently,0,0,2,0,0,0
shroud,0,0,0,0,0,1
brown,1,0,0,0,0,0
smoggy,2,0,0,0,0,0
sky,0,0,0,1,0,0
cause,0,0,0,3,0,32
burning,0,0,0,2,0,0
especially,0,0,10,0,0,0
gas,0,0,0,23,0,0
emission,0,0,0,12,0,0
car,0,0,0,5,0,0
acid,10,0,0,6,0,0
rain,0,0,0,22,0,0
precipitation,0,0,0,4,0,0
mix,0,0,0,0,0,1
release,0,0,0,2,0,5
coal,0,0,0,8,0,0
burn,0,0,0,2,0,15
plant,0,0,0,40,0,0
kill,0,0,0,0,0,9
fish,0,0,0,7,0,0
forest,0,0,0,57,0,0
damage,0,0,0,0,0,8
structure,0,0,0,3,0,0
include,0,0,0,0,0,15
important,3,0,0,0,0,0
monument,0,0,0,3,0,0
smog,0,0,0,5,0,0
harm,0,0,0,2,0,2
lung,0,0,0,4,0,0
heart,0,0,0,2,0,0
tissue,0,0,0,2,0,0
emit,0,0,0,0,0,3
carbon,0,0,0,12,0,0
dioxide,0,0,0,11,0,0
call,0,0,0,0,0,12
greenhouse,0,0,0,7,0,0
excessive,3,0,0,0,0,0
amount,0,0,0,9,0,1
heat,0,0,0,10,0,4
unhealthy,1,0,0,0,0,0
level,0,0,0,11,0,0
aerial,1,0,0,0,0,0
photo,0,0,0,2,0,0
take,0,0,0,0,0,13
show,0,0,0,0,0,3
reservoir,0,0,0,2,0,0
red,2,0,0,0,0,0
sludge,0,0,0,1,0,0
pour,0,0,0,0,0,3
wall,0,0,0,2,0,0
dam,0,0,0,2,0,0
aluminum,0,0,0,3,0,0
near,0,6,0,0,0,0
ecological,2,0,0,0,0,0
disaster,0,0,0,6,0,0
begin,0,0,0,0,0,11
day,0,0,0,8,0,0
give,0,0,0,0,0,5
allow,0,0,0,0,0,3
wave,0,0,0,1,0,0
toxic,8,0,0,0,0,0
mud,0,0,0,1,0,0
sweep,0,0,0,0,0,1
nearby,2,0,0,0,0,0
small,6,0,0,0,0,0
village,0,0,0,2,0,0
fertilizer,0,0,0,3,0,0
contain,0,0,0,0,0,11
chemical,3,0,0,18,0,0
nitrogen,0,0,0,10,0,0
use,0,0,0,9,0,4
growth,0,0,0,7,0,0
end,0,0,0,2,0,2
waterway,0,0,0,3,0,0
farmer,0,0,0,8,0,0
poor,3,0,0,0,0,0
soil,0,0,0,10,0,0
conservation,0,0,0,3,0,0
technique,0,0,0,3,0,0
algae,0,0,0,5,0,0
blossom,0,0,0,0,0,1
choke,0,0,0,0,0,1
life,0,0,0,16,0,0
water,0,0,0,48,0,0
problem,0,0,0,19,0,0
increase,0,0,0,3,0,17
mountain,0,0,0,4,0,0
garbage,0,0,0,9,0,0
pile,0,0,0,1,0,2
landfill,0,0,0,7,0,0
solution,0,0,0,8,0,0
recycling,0,0,0,9,0,0
recycle,0,0,0,0,0,7
percent,0,0,0,13,0,0
solid,9,0,0,1,0,0
waste,0,0,0,26,0,0
instance,0,0,0,4,0,0
make,0,0,0,0,0,4
trash,0,0,0,1,0,0
nation,0,0,0,4,0,0
approximately,0,0,1,0,0,0
pound,0,0,0,4,0,0
kilogram,0,0,0,4,0,0
person,0,0,0,5,0,0
generate,0,0,0,0,0,4
significantly,0,0,2,0,0,0
european,3,0,0,0,0,0
radioactive,10,0,0,0,0,0
pollutant,0,0,0,8,0,0
major,6,0,0,0,0,0
concern,0,0,0,2,0,0
atomic,3,0,0,0,0,0
bomb,0,0,0,3,0,0
drop,0,0,0,0,0,3
nuclear,18,0,0,0,0,0
power,0,0,0,13,0,2
hard,1,0,0,0,0,0
occasionally,0,0,2,0,0,0
occur,0,0,0,0,0,10
notably,0,0,1,0,0,0
catastrophe,0,0,0,2,0,0
exposure,0,0,0,7,0,0
