word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
admit,0,0,0,0,0,0,0,0,0,0,8,0
title,0,0,0,0,0,0,1,0,0,0,0,0
page,0,0,0,0,0,0,2,0,0,0,0,0
book,0,0,0,0,0,0,5,0,0,0,0,0
correspondent,0,0,0,0,0,0,1,0,0,0,0,0
suggestion,0,0,0,0,0,0,3,0,0,0,0,0
convey,0,0,0,0,0,0,0,0,0,0,1,0
letter,0,0,0,0,0,0,13,0,0,0,0,0
child,0,0,0,0,0,0,35,0,0,0,0,0
time,0,0,0,0,0,0,129,0,0,0,0,0
imagine,0,0,0,0,0,0,0,0,0,0,6,0
author,0,0,0,0,0,0,2,0,0,0,0,0
fairy,0,0,0,0,0,0,27,0,0,0,0,0
tale,0,0,0,0,0,0,4,0,0,0,0,0
merely,0,0,12,0,0,0,0,0,0,0,0,0
editor,0,0,0,0,0,0,1,0,0,0,0,0
private,8,0,0,0,0,0,4,0,0,0,0,0
secretary,0,0,0,0,0,0,1,0,0,0,0,0
host,0,0,0,0,0,0,9,0,0,0,0,0
youngster,0,0,0,0,0,0,2,0,0,0,0,0
idea,0,0,0,0,0,0,18,0,0,0,0,0
requestse,0,0,0,0,0,0,0,0,0,0,1,0
weave,0,0,0,0,0,0,0,0,0,0,1,0
thread,0,0,0,0,0,0,1,0,0,0,0,0
story,0,0,0,0,0,0,17,0,0,0,0,0
clever,14,0,0,0,0,0,0,0,0,0,0,0
logical,1,0,0,0,0,0,0,0,0,0,0,0
interesting,13,0,0,0,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,106,0
opportunity,0,0,0,0,0,0,3,0,0,0,0,0
acknowledge,0,0,0,0,0,0,0,0,0,0,6,0
indebtedness,0,0,0,0,0,0,1,0,0,0,0,0
little,149,0,3,0,0,0,0,0,0,0,0,0
friend,0,0,0,0,0,0,64,0,0,0,0,0
imagination,0,0,0,0,0,0,1,0,0,0,0,0
develop,0,0,0,0,0,0,0,0,0,0,1,0
fairly,0,0,3,0,0,0,0,0,0,0,0,0
