word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,0,1,0,0,0,0
century,0,0,0,0,81,0,0,0,0
observer,0,0,0,0,4,0,0,0,0
philosopher,0,0,0,0,1,0,0,0,0
clerical,4,0,0,0,0,0,0,0,0
statesman,0,0,0,0,3,0,0,0,0
suggest,0,0,0,0,0,0,0,1,0
age,0,0,0,0,20,0,0,0,0
attain,0,0,0,0,0,0,0,5,0
conclusion,0,0,0,0,3,0,0,0,0
new,53,0,0,0,0,0,0,0,0
era,0,0,0,0,3,0,0,0,0
begin,0,0,0,0,0,0,0,28,0
symbol,0,0,0,0,1,0,0,0,0
spiritual,2,0,0,0,0,0,0,0,0
unity,0,0,0,0,6,0,0,0,0
lose,0,0,0,0,0,0,0,9,0
prestige,0,0,0,0,2,0,0,0,0
great,26,0,0,0,0,0,0,0,0
period,0,0,0,0,19,0,0,0,0
later,2,0,11,0,0,0,0,0,0
rival,2,0,0,0,1,0,0,1,0
pope,0,0,0,0,7,0,0,0,0
lay,2,0,0,0,0,0,0,3,0
ideal,0,0,0,0,2,0,0,0,0
italian,7,0,0,0,0,0,0,0,0
peninsula,0,0,0,0,1,0,0,0,0
affect,0,0,0,0,0,0,0,10,0
react,0,0,0,0,0,0,0,1,0
worldliness,0,0,0,0,1,0,0,0,0
corruption,0,0,0,0,1,0,0,0,0
roman,13,0,0,0,0,0,0,0,0
catholic,52,0,0,0,0,0,0,0,0
church,0,0,0,0,22,0,0,0,0
respond,0,0,0,0,0,0,0,4,0
turn,0,0,0,0,4,0,0,4,0
revival,0,0,0,0,2,0,0,0,0
piety,0,0,0,0,1,0,0,0,0
know,0,0,0,0,0,0,0,22,0
force,0,0,0,0,30,0,0,8,0
erupt,0,0,0,0,0,0,0,2,0
protestant,45,0,0,0,0,0,0,0,0
movement,0,0,0,0,8,0,0,0,0
gather,0,0,0,0,0,0,0,1,0
strength,0,0,0,0,10,0,0,0,0
narrow,1,0,0,0,0,0,0,0,0
horizon,0,0,0,0,1,0,0,0,0
widen,0,0,0,0,0,0,0,2,0
expansion,0,0,0,0,10,0,0,0,0
vigorous,3,0,0,0,0,0,0,0,0
economic,18,0,0,0,0,0,0,0,0
play,0,0,0,0,0,0,0,5,0
major,12,0,0,0,0,0,0,0,0
role,0,0,0,0,8,0,0,0,0
transformation,0,0,0,0,1,0,0,0,0
social,13,0,0,0,0,0,0,0,0
political,34,0,0,0,0,0,0,0,0
cultural,7,0,0,0,0,0,0,0,0
early,23,0,7,0,0,0,0,0,0
modern,19,0,0,0,0,0,0,0,0
population,0,0,0,0,27,0,0,0,0
