word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
year,0,0,0,0,0,0,46,0,0,0,0,0
month,0,0,0,0,0,0,8,0,0,0,0,0
nineteen,0,0,0,0,0,0,0,2,0,0,0,0
day,0,0,0,0,0,0,105,0,0,0,0,0
ago,0,0,11,0,0,0,0,0,0,0,0,0
awake,1,0,0,0,0,0,0,0,0,0,1,0
sound,1,0,0,0,0,0,11,0,0,0,9,0
bell,0,0,0,0,0,0,64,0,0,0,0,0
triple,5,0,0,0,0,0,0,0,0,0,0,0
circuit,0,0,0,0,0,0,4,0,0,0,0,0
city,0,0,0,0,0,0,61,0,0,0,0,0
university,0,0,0,0,0,0,20,0,0,0,0,0
town,0,0,0,0,0,0,25,0,0,0,0,0
ring,0,0,0,0,0,0,3,0,0,0,10,0
peal,0,0,0,0,0,0,7,0,0,0,0,0
sixth,5,0,0,0,0,0,1,0,0,0,0,0
history,0,0,0,0,0,0,12,0,0,0,0,0
preserve,0,0,0,0,0,0,0,0,0,0,9,0
memory,0,0,0,0,0,0,7,0,0,0,0,0
notable,1,0,0,0,0,0,0,0,0,0,0,0
event,0,0,0,0,0,0,5,0,0,0,0,0
set,0,0,0,0,0,0,2,0,0,0,22,0
bourgeoi,0,0,0,0,0,0,10,0,0,0,0,0
ferment,0,0,0,0,0,0,1,0,0,0,1,0
early,3,0,3,0,0,0,0,0,0,0,0,0
morning,0,0,0,0,0,0,22,0,0,0,0,0
assault,0,0,0,0,0,0,3,0,0,0,0,0
hunt,0,0,0,0,0,0,1,0,0,0,1,0
lead,0,0,0,0,0,0,7,0,0,0,7,0
procession,0,0,0,0,0,0,14,0,0,0,0,0
revolt,0,0,0,0,0,0,5,0,0,0,0,0
scholar,0,0,0,0,0,0,26,0,0,0,0,0
entry,0,0,0,0,0,0,2,0,0,0,0,0
dread,0,0,0,0,0,0,1,0,0,0,0,0
monsieur,0,0,0,0,0,0,2,0,0,0,0,10
king,0,0,0,0,0,0,62,0,0,0,0,0
pretty,23,0,0,0,0,0,0,0,0,0,0,0
hanging,0,0,0,0,0,0,2,0,0,0,0,0
male,5,0,0,0,0,0,0,0,0,0,0,0
female,11,0,0,0,0,0,1,0,0,0,0,0
thief,0,0,0,0,0,0,21,0,0,0,0,0
court,0,0,0,0,0,0,25,0,0,0,0,0
arrival,0,0,0,0,0,0,7,0,0,0,0,0
frequent,4,0,0,0,0,0,0,0,0,0,1,0
fifteenth,21,0,0,0,0,0,1,0,0,0,0,0
century,0,0,0,0,0,0,55,0,0,0,0,0
plumed,1,0,0,0,0,0,0,0,0,0,0,0
bedizen,0,0,0,0,0,0,0,0,0,0,1,0
embassy,0,0,0,0,0,0,8,0,0,0,0,0
barely,0,0,4,0,0,0,0,0,0,0,0,0
cavalcade,0,0,0,0,0,0,1,0,0,0,0,0
nature,0,0,0,0,0,0,7,0,0,0,0,0
flemish,20,0,0,0,0,0,0,0,0,0,0,0
ambassador,0,0,0,0,0,0,11,0,0,0,0,0
charge,0,0,0,0,0,0,1,0,0,0,3,0
conclude,0,0,0,0,0,0,0,0,0,0,2,0
