word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,PRON,SCONJ,VERB,X
child,0,0,0,0,0,0,0,51,0,0,0,0
name,0,0,0,0,0,0,0,3,0,0,0,0
story,0,0,0,0,0,0,0,20,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,32,0
send,0,0,0,0,0,0,0,0,0,0,7,0
away,0,5,45,0,0,0,0,0,0,0,0,0
war,0,0,0,0,0,0,0,3,0,0,0,0
air,0,0,0,0,0,0,0,11,0,0,0,0
raid,0,0,0,0,0,0,0,1,0,0,0,0
house,0,0,0,0,0,0,0,40,0,0,0,0
old,31,0,0,0,0,0,0,0,0,0,0,0
live,1,0,0,0,0,0,0,0,0,0,21,0
heart,0,0,0,0,0,0,0,8,0,0,0,0
country,0,0,0,0,0,0,0,22,0,0,0,0
mile,0,0,0,0,0,0,0,8,0,0,0,0
near,4,3,9,0,0,0,0,0,0,0,0,0
railway,0,0,0,0,0,0,0,3,0,0,0,0
station,0,0,0,0,0,0,0,1,0,0,0,0
post,0,0,0,0,0,0,0,14,0,0,1,0
office,0,0,0,0,0,0,0,1,0,0,0,0
wife,0,0,0,0,0,0,0,5,0,0,0,0
large,12,0,0,0,0,0,0,0,0,0,0,0
housekeeper,0,0,0,0,0,0,0,2,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,19,0
servant,0,0,0,0,0,0,0,1,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,171,0
man,0,0,0,0,0,0,0,24,0,0,0,0
shaggy,2,0,0,0,0,0,0,0,0,0,0,0
white,26,0,0,0,0,0,0,2,0,0,0,0
hair,0,0,0,0,0,0,0,13,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,23,0
face,0,0,0,0,0,0,0,62,0,0,0,0
head,0,0,0,0,0,0,0,33,0,0,1,0
like,5,76,0,0,0,0,0,0,0,0,31,0
evening,0,0,0,0,0,0,0,9,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,37,0
door,0,0,0,0,0,0,0,47,0,0,0,0
odd,4,0,1,0,0,0,0,0,0,0,0,0
looking,3,0,0,0,0,0,0,1,0,0,0,0
young,10,0,0,0,0,0,0,0,0,0,0,0
little,76,0,0,0,0,0,0,0,0,0,0,0
afraid,19,0,0,0,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,37,0
laugh,0,0,0,0,0,0,0,3,0,0,6,0
pretend,0,0,0,0,0,0,0,0,0,0,15,0
blow,0,0,0,0,0,0,0,3,0,0,7,0
nose,0,0,0,0,0,0,0,6,0,0,1,0
hide,0,0,0,0,0,0,0,0,0,0,17,0
soon,0,0,32,0,0,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,555,0
goodnight,0,0,0,0,0,0,1,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,141,0
upstairs,1,0,3,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,0,0,21,0,0,0,0
boy,0,0,0,0,0,0,0,6,0,0,0,0
talk,0,0,0,0,0,0,0,4,0,0,35,0
fall,0,0,0,0,0,0,0,0,0,0,29,0
foot,0,0,0,0,0,0,0,34,0,0,0,0
mistake,0,0,0,0,0,0,0,3,0,0,1,0
perfectly,0,0,13,0,0,0,0,0,0,0,0,0
splendid,1,0,0,0,0,0,0,0,0,0,0,0
chap,0,0,0,0,0,0,0,4,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,41,0
think,0,0,0,0,0,0,0,0,0,0,127,0
dear,5,0,0,0,0,0,0,5,0,0,0,0
tired,18,0,0,0,0,0,0,0,0,0,0,0
bad,25,0,0,0,0,0,0,0,0,0,0,0
tempered,2,0,0,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,0,0,86,0,0,0,0
