word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
truth,0,0,0,0,0,0,6,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,102
world,0,0,0,0,0,0,16,0,0,0,0
unmarried,1,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,64,0,0,0,0
possession,0,0,0,0,0,0,1,0,0,0,0
large,14,0,0,0,0,0,0,0,0,0,0
fortune,0,0,0,0,0,0,14,0,0,0,0
need,0,0,0,0,0,0,3,0,0,0,7
wife,0,0,0,0,0,0,22,0,0,0,0
move,0,0,0,0,0,0,0,0,0,0,8
neighbourhood,0,0,0,0,0,0,2,0,0,0,0
feeling,0,0,0,0,0,0,31,0,0,0,0
opinion,0,0,0,0,0,0,17,0,0,0,0
clear,6,0,0,0,0,0,0,0,0,0,2
surround,0,0,0,0,0,0,0,0,0,0,1
family,0,0,0,0,0,0,61,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,108
immediately,0,0,14,0,0,0,0,0,0,0,0
future,8,0,0,0,0,0,2,0,0,0,0
husband,0,0,0,0,0,0,23,0,0,0,0
daughter,0,0,0,0,0,0,52,0,0,0,0
dear,38,0,0,0,0,0,17,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,126
day,0,0,0,0,0,0,59,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,44
go,0,0,0,0,0,0,0,0,0,0,39
rent,0,0,0,0,0,0,0,0,0,0,3
want,0,0,0,0,0,0,0,0,0,0,26
cry,0,0,0,0,0,0,0,0,0,0,33
impatiently,0,0,3,0,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,58
mind,0,0,0,0,0,0,8,0,0,0,2
listen,0,0,0,0,0,0,0,0,0,0,25
encouragement,0,0,0,0,0,0,5,0,0,0,0
rich,8,0,0,0,0,0,0,0,0,0,0
young,54,0,0,0,0,0,0,0,0,0,0
north,0,0,1,0,0,0,3,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,72
delighted,15,0,0,0,0,0,0,0,0,0,0
arrange,0,0,0,0,0,0,0,0,0,0,13
course,0,0,7,0,0,0,6,0,0,0,0
fine,6,0,0,0,0,0,0,0,0,0,0
house,0,0,0,0,0,0,43,0,0,0,0
area,0,0,0,0,0,0,6,0,0,0,0
garden,0,0,0,0,0,0,7,0,0,0,0
servant,1,0,0,0,0,0,10,0,0,0,0
end,0,0,0,0,0,0,17,0,0,0,2
week,0,0,0,0,0,0,23,0,0,0,0
arrive,0,0,0,0,0,0,0,0,0,0,32
soon,0,0,62,0,0,0,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,47
married,6,0,0,0,0,0,0,0,0,0,0
single,3,0,0,0,0,0,0,0,0,0,0
income,0,0,0,0,0,0,13,0,0,0,0
thousand,0,0,0,0,0,0,0,12,0,0,0
pound,0,0,0,0,0,0,10,0,0,0,0
year,0,0,0,0,0,0,19,0,0,0,0
wonderful,2,0,0,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,0,45,0,0,0,0
affect,0,0,0,0,0,0,0,0,0,0,1
reply,0,0,0,0,0,0,7,0,0,0,32
annoying,1,0,0,0,0,0,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,0,0,15
marry,0,0,0,0,0,0,0,0,0,0,73
purpose,0,0,0,0,0,0,3,0,0,0,0
likely,10,0,0,0,0,0,0,0,0,0,0
fall,0,0,0,0,0,0,0,0,0,0,6
love,0,0,0,0,0,0,26,0,0,0,12
possible,20,0,0,0,0,0,0,0,0,0,0
neighbour,0,0,0,0,0,0,7,0,0,0,0
introduce,0,0,0,0,0,0,0,0,0,0,11
visit,0,0,0,0,0,0,20,0,0,0,34
send,0,0,0,0,0,0,0,0,0,0,14
yes,0,0,1,0,0,19,0,0,0,0,0
well,9,0,9,0,0,0,0,0,0,0,0
attractive,11,0,0,0,0,0,0,0,0,0,0
like,2,17,0,0,0,0,0,0,0,0,21
flatter,0,0,0,0,0,0,0,0,0,0,10
certainly,0,0,18,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,13
beautiful,11,0,0,0,0,0,0,0,0,0,0
past,1,0,0,0,0,0,4,0,0,0,0
woman,0,0,0,0,0,0,37,0,0,0,0
adult,1,0,0,0,0,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,7
beauty,0,0,0,0,0,0,8,0,0,0,0
beg,0,0,0,0,0,0,0,0,0,0,4
correct,5,0,0,0,0,0,0,0,0,0,0
gentleman,0,0,0,0,0,0,26,0,0,0,0
new,8,0,0,0,0,0,0,0,0,0,0
simply,0,0,4,0,0,0,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,28
surely,0,0,2,0,0,0,0,0,0,0,0
worry,0,0,0,0,0,0,2,0,0,0,8
rule,0,0,0,0,0,0,1,0,0,0,0
polite,9,0,0,0,0,0,0,0,0,0,0
society,0,0,0,0,0,0,6,0,0,0,0
sure,52,0,0,0,0,0,0,0,0,0,0
write,0,0,0,0,0,0,0,0,0,0,15
line,0,0,0,0,0,0,3,0,0,0,0
agree,0,0,0,0,0,0,0,0,0,0,27
gladly,0,0,3,0,0,0,0,0,0,0,0
especially,0,0,4,0,0,0,0,0,0,0,0
recommend,0,0,0,0,0,0,0,0,0,0,3
little,42,0,6,0,0,0,0,0,0,0,0
gasp,0,0,0,0,0,0,0,0,0,0,1
horrify,0,0,0,0,0,0,0,0,0,0,2
favourite,5,0,0,0,0,0,3,0,0,0,0
silly,6,0,0,0,0,0,0,0,0,0,0
ignorant,2,0,0,0,0,0,0,0,0,0,0
true,7,0,0,0,0,0,0,0,0,0,0
