word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,VERB
world,0,0,0,0,19,0,0,0
wheel,0,0,0,0,45,0,0,0
animal,0,0,0,0,2,0,0,0
power,0,0,0,0,23,0,0,14
engine,0,0,0,0,160,0,0,1
invention,0,0,0,0,13,0,0,0
change,0,0,0,0,2,0,0,15
people,0,0,0,0,29,0,0,0
life,0,0,0,0,2,0,0,0
automobile,0,0,0,0,16,0,0,0
land,0,0,0,0,3,0,0,0
vehicle,0,0,0,0,23,0,0,0
cart,0,0,0,0,5,0,0,0
carriage,0,0,0,0,16,0,0,0
pull,0,0,0,0,0,0,0,3
afford,0,0,0,0,0,0,0,3
horse,0,0,0,0,16,0,0,0
sort,0,0,0,0,1,0,0,0
road,0,0,0,0,38,0,0,0
rely,0,0,0,0,0,0,0,2
leg,0,0,0,0,1,0,0,0
carry,0,0,0,0,0,0,0,3
want,0,0,0,0,0,0,0,7
come,0,0,0,0,0,0,0,10
revolutionary,1,0,0,0,0,0,0,0
steam,0,0,0,0,74,0,0,0
locomotive,1,0,0,0,3,0,0,0
gas,0,0,0,0,56,0,0,0
early,11,0,2,0,0,0,0,0
drive,0,0,0,0,11,0,0,44
pump,0,0,0,0,6,0,0,2
later,0,0,7,0,0,0,0,0
ship,0,0,0,0,2,0,0,0
train,0,0,0,0,5,0,0,1
factory,0,0,0,0,19,0,0,0
machine,0,0,0,0,7,0,0,0
try,0,0,0,0,0,0,0,11
successful,2,0,0,0,0,0,0,0
modern,17,0,0,0,0,0,0,0
revolution,0,0,0,0,6,0,0,0
travel,0,0,0,0,1,0,0,8
begin,0,0,0,0,0,0,0,12
internal,9,0,0,0,0,0,0,0
combustion,0,0,0,0,16,0,0,0
slowly,0,0,3,0,0,0,0,0
motorized,2,0,0,0,0,0,0,0
car,0,0,0,0,273,0,0,0
truck,0,0,0,0,6,0,0,0
replace,0,0,0,0,0,0,0,6
draw,0,0,0,0,0,0,0,6
appear,0,0,0,0,0,0,0,4
year,0,0,0,0,20,0,0,0
ago,0,0,2,0,0,0,0,0
scientist,0,0,0,0,7,0,0,0
engineer,0,0,0,0,17,0,0,0
improvement,0,0,0,0,3,0,0,0
auto,0,0,0,0,4,0,0,0
technology,0,0,0,0,14,0,0,0
produce,0,0,0,0,0,0,0,11
fast,7,0,10,0,0,0,0,0
comfortable,3,0,0,0,0,0,0,0
safe,5,0,0,0,0,0,0,0
use,0,0,0,0,4,0,0,10
today,0,0,0,0,16,0,0,0
ongoing,1,0,0,0,0,0,0,0
company,0,0,0,0,8,0,0,0
look,0,0,0,0,2,0,0,8
design,0,0,0,0,10,0,0,16
future,1,0,0,0,5,0,0,0
light,7,0,0,0,3,0,0,0
material,0,0,0,0,4,0,0,0
run,0,0,0,0,1,0,0,23
clean,6,0,0,0,0,0,0,1
alternative,3,0,0,0,4,0,0,0
fuel,0,0,0,0,43,0,0,0
rattle,0,0,0,0,1,0,0,1
city,0,0,0,0,6,0,0,0
street,0,0,0,0,8,0,0,0
walk,0,0,0,0,0,0,0,2
need,0,0,0,0,1,0,0,10
join,0,0,0,0,0,0,0,2
traffic,0,0,0,0,2,0,0,0
put,0,0,0,0,0,0,0,1
piece,0,0,0,0,3,0,0,0
pioneer,0,0,0,0,6,0,0,1
work,0,0,0,0,3,0,0,24
part,0,0,0,0,9,0,0,0
borrow,0,0,0,0,0,0,0,1
idea,0,0,0,0,17,0,0,0
adapt,0,0,0,0,0,0,0,2
useful,2,0,0,0,0,0,0,0
exist,0,0,0,0,0,0,0,2
example,0,0,0,0,3,0,0,0
bicycle,0,0,0,0,10,0,0,0
quick,3,0,1,0,0,0,0,0
adopt,0,0,0,0,0,0,0,3
new,42,0,0,0,0,0,0,0
electric,41,0,0,0,1,0,0,0
battery,0,0,0,0,18,0,0,0
air,0,0,0,0,28,0,0,0
fill,0,0,0,0,0,0,0,6
rubber,0,0,0,0,3,0,0,0
tire,0,0,0,0,10,0,0,0
inventor,0,0,0,0,17,0,0,0
