word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
lifetime,0,0,0,0,0,0,2,0,0,0,0,0
oneself,0,0,0,0,0,0,0,0,8,0,0,0
spend,0,0,0,0,0,0,0,0,0,0,10,0
time,0,0,0,0,0,0,59,0,0,0,0,0
deal,0,0,0,0,0,0,0,0,0,0,5,0
precisely,0,0,1,0,0,0,0,0,0,0,0,0
understanding,0,0,0,0,0,0,5,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,41,0
upwards,0,0,1,0,0,0,0,0,0,0,0,0
life,0,0,0,0,0,0,60,0,0,0,0,0
tend,0,0,0,0,0,0,0,0,0,0,4,0
overestimate,0,0,0,0,0,0,0,0,0,0,1,0
seek,0,0,0,0,0,0,0,0,0,0,5,0
reach,0,0,0,0,0,0,1,0,0,0,8,0
luck,0,0,0,0,0,0,2,0,0,0,0,0
opportunity,0,0,0,0,0,0,4,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,34,0
way,0,0,1,0,0,0,34,0,0,0,0,0
overjoyed,1,0,0,0,0,0,0,0,0,0,0,0
constitute,0,0,0,0,0,0,0,0,0,0,1,0
worth,0,0,0,0,0,0,3,0,0,0,0,0
downhill,0,0,2,0,0,0,0,0,0,0,0,0
underestimate,0,0,0,0,0,0,0,0,0,0,1,0
mistake,0,0,0,0,0,0,4,0,0,0,1,0
difficulty,0,0,0,0,0,0,2,0,0,0,0,0
adversity,0,0,0,0,0,0,3,0,0,0,0,0
incompetence,0,0,0,0,0,0,1,0,0,0,0,0
likely,5,0,1,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,34,0
wise,4,0,0,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,60,0
place,0,0,0,0,0,0,10,0,0,0,3,0
stay,0,0,0,0,0,0,0,0,0,0,11,0
aloof,1,0,0,0,0,0,0,0,0,0,0,0
worldly,1,0,0,0,0,0,0,0,0,0,0,0
success,0,0,0,0,0,0,10,0,0,0,0,0
actually,0,0,3,0,0,0,0,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,0,11,0
mask,0,0,0,0,0,0,2,0,0,0,0,0
cowardice,0,0,0,0,0,0,1,0,0,0,0,0
flow,0,0,0,0,0,0,1,0,0,0,3,0
sap,0,0,0,0,0,0,1,0,0,0,0,0
retard,0,0,0,0,0,0,0,0,0,0,1,0
thorough,4,0,0,0,0,0,0,0,0,0,0,0
gain,0,0,0,0,0,0,0,0,0,0,3,0
correct,1,0,0,0,0,0,0,0,0,0,0,0
view,0,0,0,0,0,0,4,0,0,0,3,0
sober,1,0,0,0,0,0,0,0,0,0,0,0
realist,0,0,0,0,0,0,1,0,0,0,0,0
aware,5,0,0,0,0,0,0,0,0,0,0,0
strength,0,0,0,0,0,0,1,0,0,0,0,0
shortage,0,0,0,0,0,0,1,0,0,0,0,0
look,0,0,0,0,0,0,6,0,0,0,41,0
forward,0,0,2,0,0,0,0,0,0,0,0,0
hopefully,0,0,1,0,0,0,0,0,0,0,0,0
future,2,0,0,0,0,0,4,0,0,0,0,0
sure,8,0,1,0,0,0,0,0,0,0,0,0
expect,0,0,0,0,0,0,0,0,0,0,6,0
ideal,2,0,0,0,0,0,1,0,0,0,0,0
fully,0,0,2,0,0,0,0,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,0,0,5,0
courageous,1,0,0,0,0,0,0,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,8,0
challenge,0,0,0,0,0,0,3,0,0,0,0,0
clear,3,0,0,0,0,0,0,0,0,0,1,0
direct,0,0,0,0,0,0,0,0,0,0,2,0
effort,0,0,0,0,0,0,5,0,0,0,0,0
long,6,0,13,0,0,0,0,0,0,0,3,0
perfect,10,0,0,0,0,0,0,0,0,0,0,0
knowledge,0,0,0,0,0,0,8,0,0,0,0,0
overcome,0,0,0,0,0,0,0,0,0,0,4,0
obstacle,0,0,0,0,0,0,2,0,0,0,0,0
surmount,0,0,0,0,0,0,0,0,0,0,1,0
need,0,0,0,2,0,0,5,0,0,0,18,0
self,0,0,0,0,0,0,12,0,0,0,0,0
appreciation,0,0,0,0,0,0,2,0,0,0,0,0
liken,0,0,0,0,0,0,0,0,0,0,1,0
tower,0,0,0,0,0,0,0,0,0,0,1,0
tree,0,0,0,0,0,0,11,0,0,0,0,0
blade,0,0,0,0,0,0,1,0,0,0,0,0
grass,0,0,0,0,0,0,1,0,0,0,0,0
high,2,0,1,0,0,0,0,0,0,0,0,0
mountain,0,0,0,0,0,0,9,0,0,0,0,0
small,9,0,0,0,0,0,0,0,0,0,0,0
stone,0,0,0,0,0,0,3,0,0,0,0,0
represent,0,0,0,0,0,0,0,0,0,0,1,0
state,0,0,0,0,0,0,6,0,0,0,0,0
nature,0,0,0,0,0,0,3,0,0,0,0,0
raison,0,0,0,0,0,0,0,0,0,0,0,1
earnestly,0,0,1,0,0,0,0,0,0,0,0,0
admire,0,0,0,0,0,0,0,0,0,0,5,0
real,4,0,0,0,0,0,0,0,0,0,0,0
sense,0,0,0,0,0,0,5,0,0,0,0,0
confidence,0,0,0,0,0,0,4,0,0,0,0,0
soon,0,0,8,0,0,0,0,0,0,0,0,0
enable,0,0,0,0,0,0,0,0,0,0,1,0
fight,0,0,0,0,0,0,0,0,0,0,2,0
require,0,0,0,0,0,0,0,0,0,0,1,0
favor,0,0,0,0,0,0,6,0,0,0,0,0
anger,0,0,0,0,0,0,1,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,18,0
vent,0,0,0,0,0,0,1,0,0,0,0,0
quiet,3,0,0,0,0,0,1,0,0,0,0,0
hurt,0,0,0,0,0,0,0,0,0,0,2,0
flame,0,0,0,0,0,0,2,0,0,0,0,0
sadness,0,0,0,0,0,0,1,0,0,0,0,0
share,0,0,0,0,0,0,0,0,0,0,5,0
friend,0,0,0,0,0,0,21,0,0,0,0,0
change,0,0,0,0,0,0,2,0,0,0,8,0
gloomy,1,0,0,0,0,0,0,0,0,0,0,0
mood,0,0,0,0,0,0,2,0,0,0,0,0
cheerful,2,0,0,0,0,0,0,0,0,0,0,0
tiredness,0,0,0,0,0,0,1,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,0,21,0
good,37,0,1,0,0,0,3,0,0,0,0,0
sleep,0,0,0,0,0,0,3,0,0,0,3,0
take,0,0,0,0,0,0,0,0,0,0,30,0
tonic,0,0,0,0,0,0,1,0,0,0,0,0
love,0,0,0,0,0,0,49,0,0,0,43,0
concern,0,0,0,0,0,0,1,0,0,0,1,0
health,0,0,0,0,0,0,6,0,0,0,0,0
daily,3,0,1,0,0,0,0,0,0,0,0,0
person,0,0,0,0,0,0,14,0,0,0,0,0
physically,0,0,2,0,0,0,0,0,0,0,0,0
human,6,0,0,0,0,0,2,0,0,0,0,0
body,0,0,0,0,0,0,7,0,0,0,0,0
vulnerable,1,0,0,0,0,0,0,0,0,0,0,0
expose,0,0,0,0,0,0,0,0,0,0,4,0
element,0,0,0,0,0,0,2,0,0,0,0,0
fall,0,0,0,0,0,0,1,0,0,0,12,0
ill,2,0,0,0,0,0,0,0,0,0,0,0
care,0,0,0,0,0,0,3,0,0,0,5,0
perfectly,0,0,4,0,0,0,0,0,0,0,0,0
confident,3,0,0,0,0,0,0,0,0,0,0,0
ready,5,0,0,0,0,0,0,0,0,0,0,0
resist,0,0,0,0,0,0,0,0,0,0,2,0
attack,0,0,0,0,0,0,2,0,0,0,0,0
illness,0,0,0,0,0,0,1,0,0,0,0,0
control,0,0,0,0,0,0,5,0,0,0,3,0
find,0,0,0,0,0,0,0,0,0,0,27,0
color,0,0,0,0,0,0,3,0,0,0,0,0
flavor,0,0,0,0,0,0,1,0,0,0,0,0
old,74,0,0,0,0,0,0,0,0,0,0,0
grouch,0,0,0,0,0,0,1,0,0,0,0,0
town,0,0,0,0,0,0,8,0,0,0,0,0
kid,0,0,0,0,0,0,4,0,0,0,0,0
yard,0,0,0,0,0,0,2,0,0,0,0,0
pick,0,0,0,0,0,0,0,0,0,0,15,0
