word,ADJ,ADP,ADV,INTJ,NOUN,NUM,PRON,VERB
ship,0,0,0,0,21,0,0,0
leave,0,0,0,0,0,0,0,8
sail,0,0,0,0,0,0,0,2
man,0,0,0,0,66,0,0,0
want,0,0,0,0,0,0,0,29
find,0,0,0,0,0,0,0,7
new,12,0,0,0,0,0,0,0
world,0,0,0,0,6,0,0,0
west,0,0,0,0,1,0,0,0
home,0,0,8,0,3,0,0,0
exciting,4,0,0,0,0,0,0,0
country,0,0,0,0,10,0,0,0
sea,0,0,0,0,6,0,0,0
month,0,0,0,0,8,0,0,0
arrive,0,0,0,0,0,0,0,2
long,6,0,1,0,0,0,0,0
tired,2,0,0,0,0,0,0,0
ill,12,0,0,0,0,0,0,0
hungry,5,0,0,0,0,0,0,0
beautiful,13,0,0,0,0,0,0,0
sky,0,0,0,0,7,0,0,0
blue,10,0,0,0,0,0,0,0
river,0,0,0,0,16,0,0,0
flower,0,0,0,0,1,0,0,0
forest,0,0,0,0,12,0,0,0
tall,4,0,0,0,0,0,0,0
tree,0,0,0,0,4,0,0,0
happy,12,0,0,0,0,0,0,0
afraid,12,0,0,0,0,0,0,0
englishman,0,0,0,0,16,0,0,0
say,0,0,0,0,0,0,0,95
white,9,0,0,0,0,0,0,0
fight,0,0,0,0,0,0,0,3
wait,0,0,0,0,0,0,0,7
interesting,7,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,2
friend,0,0,0,0,24,0,0,0
learn,0,0,0,0,0,0,0,14
try,0,0,0,0,0,0,0,8
talk,0,0,0,0,0,0,0,11
give,0,0,0,0,0,0,0,9
food,0,0,0,0,14,0,0,0
eat,0,0,0,0,0,0,0,3
thing,0,0,0,0,12,0,0,0
little,14,0,1,0,0,0,0,0
knife,0,0,0,0,1,0,0,0
picture,0,0,0,0,1,0,0,0
bead,0,0,0,0,3,0,0,0
begin,0,0,0,0,0,0,0,3
build,0,0,0,0,0,0,0,7
town,0,0,0,0,11,0,0,0
call,0,0,0,0,0,0,0,9
leader,0,0,0,0,2,0,0,0
take,0,0,0,0,0,0,0,10
go,0,0,0,0,0,0,0,37
small,1,0,0,0,0,0,0,0
boat,0,0,0,0,6,0,0,0
stay,0,0,0,0,0,0,0,12
house,0,0,0,0,9,0,0,0
garden,0,0,0,0,1,0,0,0
field,0,0,0,0,5,0,0,0
outside,0,1,0,0,0,0,0,0
important,11,0,0,0,0,0,0,0
work,0,0,0,0,1,0,0,6
quickly,0,0,3,0,0,0,0,0
nearly,0,0,4,0,0,0,0,0
summer,0,0,0,0,2,0,0,0
corn,0,0,0,0,15,0,0,0
vegetable,0,0,0,0,2,0,0,0
winter,0,0,0,0,8,0,0,0
easy,6,0,0,0,0,0,0,0
weather,0,0,0,0,1,0,0,0
hot,3,0,0,0,0,0,0,0
hard,0,0,3,0,0,0,0,0
sit,0,0,0,0,0,0,0,2
sun,0,0,0,0,4,0,0,0
watch,0,0,0,0,0,0,0,7
kilometre,0,0,0,0,1,0,0,0
visit,0,0,0,0,0,0,0,7
indian,5,0,0,0,0,0,0,0
village,0,0,0,0,14,0,0,0
lot,0,0,0,0,6,0,0,0
friendly,6,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,25
please,0,0,0,0,0,0,0,1
dead,9,0,0,0,0,0,0,0
course,0,0,3,0,4,0,0,0
matter,0,0,0,0,2,0,0,0
kill,0,0,0,0,0,0,0,26
yesterday,0,0,0,0,1,0,0,0
ask,0,0,0,0,0,0,0,19
gun,0,0,0,0,51,0,0,0
hundred,0,0,0,0,2,0,0,0
ready,4,0,0,0,0,0,0,0
angrily,0,0,4,0,0,0,0,0
carry,0,0,0,0,0,0,0,4
yes,0,0,0,10,0,0,0,0
nice,2,0,0,0,0,0,0,0
careful,4,0,0,0,0,0,0,0
good,8,0,0,0,0,0,0,0
wall,0,0,0,0,3,0,0,0
round,1,3,0,0,0,0,0,0
big,13,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,2
get,0,0,0,0,0,0,0,5
bad,6,0,0,0,0,0,0,0
water,0,0,0,0,2,0,0,0
soon,0,0,4,0,0,0,0,0
fever,0,0,0,0,1,0,0,0
die,0,0,0,0,0,0,0,6
stop,0,0,0,0,0,0,0,4
bird,0,0,0,0,2,0,0,0
fish,0,0,0,0,2,0,0,0
animal,0,0,0,0,3,0,0,0
time,0,0,0,0,9,0,0,0
like,0,0,0,0,0,0,0,13
love,0,0,0,0,2,0,0,13
language,0,0,0,0,3,0,0,0
understand,0,0,0,0,0,0,0,9
alive,3,0,0,0,0,0,0,0
need,0,0,0,0,0,0,0,10
virginian,1,0,0,0,0,0,0,0
cold,3,0,0,0,0,0,0,0
excited,3,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,9
brother,0,0,0,0,4,0,0,0
live,0,0,0,0,0,0,0,10
people,0,0,0,0,19,0,0,0
daughter,0,0,0,0,10,0,0,0
hear,0,0,0,0,0,0,0,4
thirteen,0,0,0,0,0,2,0,0
year,0,0,0,0,11,0,0,0
old,7,0,0,0,0,0,0,0
father,0,0,0,0,26,0,0,0
smile,0,0,0,0,0,0,0,15
day,0,0,0,0,18,0,0,0
seven,0,0,0,0,0,4,0,0
run,0,0,0,0,0,0,0,2
away,0,0,8,0,0,0,0,0
noise,0,0,0,0,1,0,0,0
see,0,0,0,0,0,0,0,5
bow,0,0,0,0,3,0,0,0
arrow,0,0,0,0,8,0,0,0
hit,0,0,0,0,0,0,0,1
leg,0,0,0,0,1,0,0,0
body,0,0,0,0,1,0,0,0
near,0,2,0,0,0,0,0,0
look,0,0,0,0,0,0,0,28
carefully,0,0,6,0,0,0,0,0
hair,0,0,0,0,4,0,0,0
face,0,0,0,0,7,0,0,0
eye,0,0,0,0,18,0,0,0
brown,2,0,0,0,0,0,0,0
colour,0,0,0,0,3,0,0,0
girl,0,0,0,0,8,0,0,0
close,0,0,0,0,0,0,0,3
second,1,0,0,0,2,0,0,0
laugh,0,0,0,0,0,0,0,7
angry,12,0,0,0,0,0,0,0
land,0,0,0,0,1,0,0,0
king,0,0,0,0,5,0,0,0
grandfather,0,0,0,0,1,0,0,0
think,0,0,0,0,0,0,0,7
walk,0,0,0,0,0,0,0,3
