word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
world,0,0,0,0,0,10,0,0,0,0
small,57,0,0,0,0,0,0,0,0,0
organism,0,0,0,0,0,161,0,0,0,0
loom,0,0,0,0,0,0,0,0,1,0
large,48,0,0,0,0,0,0,0,0,0
news,0,0,0,0,0,1,0,0,0,0
outbreak,0,0,0,0,0,20,0,0,0,0
bacterial,149,0,0,0,0,0,0,0,0,0
illness,0,0,0,0,0,30,0,0,0,0
food,0,0,0,0,0,31,0,0,0,0
poisoning,0,0,0,0,0,10,0,0,0,0
pandemic,5,0,0,0,0,15,0,0,0,0
cause,0,0,0,0,0,14,0,0,276,0
virus,0,0,0,0,0,667,0,0,0,0
influenza,0,0,0,0,0,56,0,0,0,0
attract,0,0,0,0,0,0,0,0,2,0
significant,9,0,0,0,0,0,0,0,0,0
attention,0,0,0,0,0,3,0,0,0,0
generate,0,0,0,0,0,0,0,0,22,0
alarm,0,0,0,0,0,1,0,0,0,0
fear,0,0,0,0,0,1,0,0,0,0
public,1,0,0,0,0,1,0,0,0,0
bacteria,0,0,0,0,0,533,0,0,0,0
ubiquitous,4,0,0,0,0,0,0,0,0,0
occur,0,0,0,0,0,0,0,0,95,0
ecosystem,0,0,0,0,0,4,0,0,0,0
serve,0,0,0,0,0,0,0,0,28,0
vital,4,0,0,0,0,0,0,0,0,0
role,0,0,0,0,0,29,0,0,0,0
survival,0,0,0,0,0,5,0,0,0,0
plant,0,0,0,0,0,87,0,0,0,0
animal,1,0,0,0,0,156,0,0,0,0
actually,0,0,12,0,0,0,0,0,0,0
beneficial,6,0,0,0,0,0,0,0,0,0
human,73,0,0,0,0,155,0,0,0,0
abundant,4,0,0,0,0,0,0,0,0,0
nature,0,0,0,0,0,25,0,0,0,0
generally,0,0,27,0,0,0,0,0,0,0
harmful,9,0,0,0,0,0,0,0,0,0
health,0,0,0,0,0,5,0,0,0,0
aspect,0,0,0,0,0,3,0,0,0,0
lie,0,0,0,0,0,0,0,0,13,0
primarily,0,0,22,0,0,0,0,0,0,0
value,0,0,0,0,0,3,0,0,0,0
scientific,5,0,0,0,0,0,0,0,0,0
research,0,0,0,0,0,17,0,0,0,0
help,0,0,0,0,0,0,0,0,10,0
scientist,0,0,0,0,0,34,0,0,0,0
understand,0,0,0,0,0,0,0,0,8,0
life,0,0,0,0,0,68,0,0,0,0
evolve,0,0,0,0,0,0,0,0,23,0
tool,0,0,0,0,0,5,0,0,0,0
experiment,0,0,0,0,0,7,0,0,1,0
genetic,100,0,0,0,0,4,0,0,0,0
engineering,0,0,0,0,0,3,0,0,0,0
field,0,0,0,0,0,11,0,0,0,0
fact,0,0,0,0,0,18,0,0,0,0
advance,0,0,0,0,0,5,0,0,0,0
science,0,0,0,0,0,3,0,0,0,0
result,0,0,0,0,0,26,0,0,60,0
study,0,0,0,0,0,26,0,0,25,0
involve,0,0,0,0,0,0,0,0,18,0
example,0,0,0,0,0,60,0,0,0,0
create,0,0,0,0,0,0,0,0,6,0
save,0,0,0,0,0,0,0,0,2,0
medicine,0,0,0,0,0,12,0,0,0,0
vaccine,0,0,0,0,0,37,0,0,0,0
antibiotic,15,0,0,0,0,37,0,0,0,0
understanding,0,0,0,0,0,10,0,0,0,0
threaten,0,0,0,0,0,0,0,0,6,0
mark,0,0,0,0,0,0,0,0,1,0
beginning,0,0,0,0,0,1,0,0,0,0
complicated,2,0,0,0,0,0,0,0,0,0
intriguing,2,0,0,0,0,0,0,0,0,0
biochemistry,0,0,0,0,0,3,0,0,0,0
prokaryotic,21,0,0,0,0,0,0,0,0,0
cell,0,0,0,0,0,574,0,0,0,0
material,0,0,0,0,0,41,0,0,0,0
reside,0,0,0,0,0,0,0,0,6,0
freely,0,0,2,0,0,0,0,0,0,0
word,0,0,0,0,0,6,0,0,0,0
genome,0,0,0,0,0,53,0,0,0,0
separate,8,0,0,0,0,0,0,0,11,0
cellular,41,0,0,0,0,0,0,0,0,0
component,0,0,0,0,0,15,0,0,0,0
internal,11,0,0,0,0,0,0,0,0,0
membrane,0,0,0,0,0,94,0,0,0,0
well,4,0,9,0,0,1,0,0,0,0
characterize,0,0,0,0,0,0,0,0,34,0
prokaryote,0,0,0,0,0,26,0,0,0,0
distinction,0,0,0,0,0,3,0,0,0,0
american,15,0,0,0,0,0,0,0,0,0
microbiologist,0,0,0,0,0,13,0,0,0,0
group,0,0,0,0,0,78,0,0,6,0
domain,0,0,0,0,0,18,0,0,0,0
archaea,0,0,0,0,0,57,0,0,0,0
originally,0,0,11,0,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,19,0
similar,36,0,0,0,0,0,0,0,0,0
lack,0,0,0,0,0,4,0,0,18,0
note,0,0,0,0,0,0,0,0,7,0
difference,0,0,0,0,0,10,0,0,0,0
evolutionary,17,0,0,0,0,0,0,0,0,0
lineage,0,0,0,0,0,9,0,0,0,0
biochemical,13,0,0,0,0,0,0,0,0,0
characteristic,11,0,0,0,0,13,0,0,0,0
divide,0,0,0,0,0,0,0,0,22,0
unlike,0,8,0,0,0,0,0,0,0,0
eukaryotic,32,0,0,0,0,0,0,0,0,0
sophisticated,2,0,0,0,0,0,0,0,0,0
design,0,0,0,0,0,4,0,0,2,0
contain,0,0,0,0,0,0,0,0,114,0
structure,0,0,0,0,0,39,0,0,0,0
know,0,0,0,0,0,0,0,0,86,0
organelle,0,0,0,0,0,13,0,0,0,0
include,0,0,0,0,0,0,0,0,139,0
mitochondrion,0,0,0,0,0,5,0,0,0,0
responsible,23,0,0,0,0,0,0,0,0,0
energy,0,0,0,0,0,84,0,0,0,0
production,0,0,0,0,0,42,0,0,0,0
apparatus,0,0,0,0,0,5,0,0,0,0
sort,0,0,0,0,0,1,0,0,1,0
deliver,0,0,0,0,0,0,0,0,3,0
protein,0,0,0,0,0,156,0,0,0,0
destination,0,0,0,0,0,1,0,0,0,0
perform,0,0,0,0,0,0,0,0,5,0
specialized,9,0,0,0,0,0,0,0,0,0
function,0,0,0,0,0,34,0,0,3,0
organ,0,0,0,0,0,6,0,0,0,0
play,0,0,0,0,0,0,0,0,12,0
body,0,0,0,0,0,33,0,0,0,0
despite,0,0,0,0,0,0,0,9,0,0
distinct,15,0,0,0,0,0,0,0,0,0
nucleus,0,0,0,0,0,19,0,0,0,0
metabolic,38,0,0,0,0,0,0,0,0,0
albeit,0,0,0,0,0,0,0,1,0,0
slight,3,0,0,0,0,0,0,0,0,0
variation,0,0,0,0,0,7,0,0,0,0
vary,0,0,0,0,0,0,0,0,27,0
size,0,0,0,0,0,39,0,0,0,0
shape,0,0,0,0,0,30,0,0,3,0
come,0,0,0,0,0,0,0,0,17,0
basic,11,0,0,0,0,0,0,0,0,0
spherical,14,0,0,0,0,0,0,0,0,0
rodlike,6,0,0,0,0,0,0,0,0,0
curved,6,0,0,0,0,0,0,0,0,0
cocci,0,0,0,0,0,2,0,0,0,0
find,0,0,0,0,0,0,0,0,77,0
dimension,0,0,0,0,0,5,0,0,0,0
coccal,0,0,0,0,0,2,0,0,0,0
gather,0,0,0,0,0,0,0,0,1,0
cluster,0,0,0,0,0,4,0,0,0,0
assume,0,0,0,0,0,0,0,0,4,0
cube,0,0,0,0,0,1,0,0,0,0
tonsillitis,0,0,0,0,0,2,0,0,0,0
streptococci,0,0,0,0,0,2,0,0,0,0
long,46,0,10,0,0,0,0,0,0,0
strand,0,0,0,0,0,25,0,0,0,0
bacilli,0,0,0,0,0,2,0,0,0,0
commonly,0,0,14,0,0,0,0,0,0,0
soil,0,0,0,0,0,42,0,0,0,0
water,0,0,0,0,0,60,0,0,0,0
coccus,0,0,0,0,0,7,0,0,0,0
usually,0,0,57,0,0,0,0,0,0,0
pair,0,0,0,0,0,10,0,0,0,0
bacillus,0,0,0,0,0,16,0,0,0,0
single,61,0,0,0,0,0,0,0,0,0
instance,0,0,0,0,0,8,0,0,0,0
join,0,0,0,0,0,0,0,0,5,0
form,0,0,0,0,0,77,0,0,77,0
chain,0,0,0,0,0,27,0,0,0,0
spoilage,0,0,0,0,0,3,0,0,0,0
particularly,0,0,19,0,0,0,0,0,0,0
dangerous,4,0,0,0,0,0,0,0,0,0
species,0,0,0,0,0,28,0,0,0,0
anthracis,0,0,0,0,0,2,0,0,0,0
anthrax,0,0,0,0,0,2,0,0,0,0
comma,0,0,0,0,0,3,0,0,0,0
refer,0,0,0,0,0,0,0,0,16,0
vibrio,0,0,0,0,0,4,0,0,0,0
spiral,3,0,1,0,0,1,0,0,0,0
spirilla,0,0,0,0,0,2,0,0,0,0
spirochete,0,0,0,0,0,9,0,0,0,0
disease,0,0,0,0,0,203,0,0,0,0
cholera,0,0,0,0,0,13,0,0,0,0
rat,0,0,0,0,0,7,0,0,0,0
bite,0,0,0,0,0,10,0,0,4,0
fever,0,0,0,0,0,72,0,0,0,0
live,3,0,0,0,0,0,0,0,45,0
need,0,0,0,0,0,8,0,0,14,0
powerful,3,0,0,0,0,0,0,0,0,0
electron,0,0,0,0,0,64,0,0,0,0
microscope,0,0,0,0,0,18,0,0,0,0
observe,0,0,0,0,0,0,0,0,5,0
use,0,0,0,0,0,16,0,0,39,0
stain,0,0,0,0,0,10,0,0,2,0
colour,0,0,0,0,0,8,0,0,1,0
dyeing,0,0,0,0,0,1,0,0,0,0
technique,0,0,0,0,0,8,0,0,0,0
visible,4,0,0,0,0,0,0,0,0,0
develop,0,0,0,0,0,0,0,0,35,0
danish,3,0,0,0,0,0,0,0,0,0
physician,0,0,0,0,0,5,0,0,0,0
expose,0,0,0,0,0,0,0,0,10,0
dye,0,0,0,0,0,12,0,0,0,0
turn,0,0,0,0,0,5,0,0,3,0
purple,9,0,0,0,0,0,0,0,0,0
slide,0,0,0,0,0,4,0,0,0,0
flush,0,0,0,0,0,0,0,0,3,0
typically,0,0,14,0,0,0,0,0,0,0
alcohol,0,0,0,0,0,5,0,0,0,0
base,1,0,0,0,0,7,0,0,19,0
solution,0,0,0,0,0,4,0,0,0,0
positive,45,0,0,0,0,0,0,0,0,0
remain,0,0,0,0,0,1,0,0,25,0
negative,52,0,0,0,0,0,0,0,0,0
fade,0,0,0,0,0,0,0,0,1,0
pink,5,0,0,0,0,0,0,0,0,0
different,85,0,0,0,0,0,0,0,0,0
reaction,0,0,0,0,0,39,0,0,0,0
surface,0,0,0,0,0,63,0,0,0,0
envelope,0,0,0,0,0,29,0,0,0,0
inside,0,9,0,0,0,2,0,0,0,0
external,5,0,0,0,0,0,0,0,0,0
environment,0,0,0,0,0,77,0,0,0,0
call,0,0,0,0,0,0,0,0,138,0
cytoplasmic,6,0,0,0,0,0,0,0,0,0
purpose,0,0,0,0,0,6,0,0,0,0
nutrient,0,0,0,0,0,25,0,0,0,0
transport,0,0,0,0,0,9,0,0,1,0
wall,0,0,0,0,0,44,0,0,1,0
locate,0,0,0,0,0,0,0,0,6,0
outside,0,5,1,0,0,1,0,0,0,0
comprise,0,0,0,0,0,0,0,0,6,0
molecule,0,0,0,0,0,78,0,0,0,0
peptidoglycan,0,0,0,0,0,25,0,0,0,0
determine,0,0,0,0,0,0,0,0,16,0
bacterium,0,0,0,0,0,56,0,0,0,0
gram,0,0,0,0,0,36,0,0,0,0
method,0,0,0,0,0,8,0,0,0,0
thick,12,0,0,0,0,0,0,0,0,0
layer,0,0,0,0,0,22,0,0,0,0
trap,0,0,0,0,0,0,0,0,7,0
blue,15,0,0,0,0,0,0,0,0,0
produce,0,0,0,0,0,1,0,0,91,0
thin,8,0,0,0,0,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,22,0
