word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,PRON,SCONJ,VERB,X
hundred,0,0,0,0,0,3,0,0,0,0,0
million,0,0,0,0,0,5,44,0,0,0,0
year,0,0,0,0,0,77,0,0,0,0,0
life,0,0,0,0,0,18,0,0,0,0,0
spread,0,0,0,0,0,1,0,0,0,3,0
sea,0,0,0,0,0,3,0,0,0,0,0
surface,0,0,0,0,0,5,0,0,0,0,0
form,0,0,0,0,0,20,0,0,0,8,0
small,26,0,0,0,0,0,0,0,0,0,0
simple,5,0,0,0,0,0,0,0,0,0,0
later,6,0,3,0,0,0,0,0,0,0,0
complex,7,0,0,0,0,1,0,0,0,0,0
diverse,7,0,0,0,0,0,0,0,0,0,0
evolution,0,0,0,0,0,44,0,0,0,0,0
theory,0,0,0,0,0,20,0,0,0,0,0
biology,0,0,0,0,0,7,0,0,0,0,0
postulate,0,0,0,0,0,0,0,0,0,1,0
type,0,0,0,0,0,6,0,0,0,0,0
plant,0,0,0,0,0,10,0,0,0,0,0
animal,0,0,0,0,0,30,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,55,0
thing,0,0,0,0,0,5,0,0,0,0,0
origin,0,0,0,0,0,15,0,0,0,0,0
preexisting,1,0,0,0,0,0,0,0,0,0,0
distinguishable,2,0,0,0,0,0,0,0,0,0,0
difference,0,0,0,0,0,15,0,0,0,0,0
modification,0,0,0,0,0,3,0,0,0,0,0
successive,2,0,0,0,0,0,0,0,0,0,0
generation,0,0,0,0,0,5,0,0,0,0,0
fundamental,3,0,0,0,0,0,0,0,0,0,0
keystone,0,0,0,0,0,1,0,0,0,0,0
modern,59,0,0,0,0,0,0,0,0,0,0
biological,7,0,0,0,0,0,0,0,0,0,0
diversity,0,0,0,0,0,5,0,0,0,0,0
world,0,0,0,0,0,10,0,0,0,0,0
staggering,1,0,0,0,0,0,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,0,11,0
specie,0,0,0,0,0,62,0,0,0,0,0
name,0,0,0,0,0,0,0,0,0,2,0
describe,0,0,0,0,0,0,0,0,0,5,0
remain,0,0,0,0,0,21,0,0,0,6,0
discover,0,0,0,0,0,0,0,0,0,10,0
accord,0,0,0,0,0,0,0,0,0,2,0
estimate,0,0,0,0,0,2,0,0,0,8,0
impressive,1,0,0,0,0,0,0,0,0,0,0
number,0,0,0,0,0,7,0,0,0,1,0
incredible,1,0,0,0,0,0,0,0,0,0,0
heterogeneity,0,0,0,0,0,1,0,0,0,0,0
size,0,0,0,0,0,38,0,0,0,0,0
shape,0,0,0,0,0,9,0,0,0,2,0
way,0,0,0,0,0,17,0,0,0,0,0
virtually,0,0,7,0,0,0,0,0,0,0,0
infinite,1,0,0,0,0,0,0,0,0,0,0
variation,0,0,0,0,0,19,0,0,0,0,0
fruit,0,0,0,0,0,5,0,0,0,0,0
evolutionary,23,0,0,0,0,0,0,0,0,0,0
process,0,0,0,0,0,15,0,0,0,1,0
creature,0,0,0,0,0,6,0,0,0,0,0
relate,0,0,0,0,0,0,0,0,0,12,0
descent,0,0,0,0,0,5,0,0,0,0,0
common,28,0,0,0,0,0,0,0,0,0,0
ancestor,0,0,0,0,0,34,0,0,0,0,0
human,96,0,0,0,0,99,0,0,0,0,0
mammal,0,0,0,0,0,14,0,0,0,0,0
descend,0,0,0,0,0,0,0,0,0,7,0
shrewlike,1,0,0,0,0,0,0,0,0,0,0
ago,0,0,43,0,0,0,0,0,0,0,0
bird,0,0,0,0,0,6,0,0,0,0,0
reptile,1,0,0,0,0,3,0,0,0,0,0
amphibian,0,0,0,0,0,1,0,0,0,0,0
fish,0,0,0,0,0,6,0,0,0,0,0
share,0,0,0,0,0,0,0,0,0,9,0
aquatic,2,0,0,0,0,0,0,0,0,0,0
worm,0,0,0,0,0,1,0,0,0,0,0
derive,0,0,0,0,0,0,0,0,0,1,0
bacteria,0,0,0,0,0,5,0,0,0,0,0
like,4,18,0,0,0,0,0,0,0,0,0
microorganism,0,0,0,0,0,2,0,0,0,0,0
originate,0,0,0,0,0,0,0,0,0,2,0
billion,0,0,0,0,0,0,3,0,0,0,0
lineage,0,0,0,0,0,16,0,0,0,0,0
organism,0,0,0,0,0,36,0,0,0,0,0
change,0,0,0,0,0,17,0,0,0,6,0
arise,0,0,0,0,0,0,0,0,0,4,0
diverge,0,0,0,0,0,0,0,0,0,2,0
time,0,0,0,0,0,45,0,0,0,0,0
nineteenth,3,0,0,0,0,0,0,0,0,0,0
century,0,0,0,0,0,7,0,0,0,0,0
english,2,0,0,0,0,0,0,0,0,0,0
naturalist,0,0,0,0,0,2,0,0,0,0,0
argue,0,0,0,0,0,0,0,0,0,6,0
come,0,0,0,0,0,0,0,0,0,8,0
propose,0,0,0,0,0,0,0,0,0,8,0
scientific,4,0,0,0,0,0,0,0,0,0,0
explanation,0,0,0,0,0,5,0,0,0,0,0
occur,0,0,0,0,0,0,0,0,0,21,0
feature,0,0,0,0,0,17,0,0,0,0,0
wing,0,0,0,0,0,1,0,0,0,0,0
eye,0,0,0,0,0,1,0,0,0,0,0
kidney,0,0,0,0,0,1,0,0,0,0,0
clearly,0,0,5,0,0,0,0,0,0,0,0
structure,0,0,0,0,0,23,0,0,0,1,0
serve,0,0,0,0,0,0,0,0,0,3,0
specific,7,0,0,0,0,0,0,0,0,0,0
function,0,0,0,0,0,5,0,0,0,0,0
natural,19,0,0,0,0,0,0,0,0,0,0
selection,0,0,0,0,0,11,0,0,0,0,0
concept,0,0,0,0,0,2,0,0,0,0,0
individual,1,0,0,0,0,18,0,0,0,0,0
have,0,0,0,0,0,0,0,0,0,6,0
useful,3,0,0,0,0,0,0,0,0,0,0
trait,0,0,0,0,0,9,0,0,0,0,0
acute,1,0,0,0,0,0,0,0,0,0,0
vision,0,0,0,0,0,1,0,0,0,0,0
swift,1,0,0,0,0,0,0,0,0,0,0
leg,0,0,0,0,0,8,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,0,8,0
well,2,0,6,0,0,0,0,0,0,0,0
produce,0,0,0,0,0,0,0,0,0,8,0
offspring,0,0,0,0,0,2,0,0,0,0,0
favorable,1,0,0,0,0,0,0,0,0,0,0
science,0,0,0,0,0,6,0,0,0,0,0
bear,0,0,0,0,0,1,0,0,0,5,0
twentieth,2,0,0,0,0,1,0,0,0,0,0
reveal,0,0,0,0,0,0,0,0,0,7,0
detail,0,0,0,0,0,3,0,0,0,1,0
work,0,0,0,0,0,3,0,0,0,1,0
lead,0,0,0,0,0,0,0,0,0,7,0
development,0,0,0,0,0,12,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,10,0
