word,ADJ,ADP,ADV,NOUN,NUM,VERB,X
introduction,0,0,0,1,0,0,0
young,4,0,0,0,0,0,0
old,18,0,0,0,0,0,0
natural,3,0,0,0,0,0,0
curiosity,0,0,0,2,0,0,0
past,5,0,0,6,0,0,0
civilization,0,0,0,16,0,0,0
human,23,0,0,11,0,0,0
culture,0,0,0,22,0,0,0
ancient,60,0,0,0,0,0,0
people,0,0,0,26,0,0,0
live,0,0,0,0,0,7,0
daily,1,0,0,0,0,0,0
life,0,0,0,5,0,0,0
popular,1,0,0,0,0,0,0
movie,0,0,0,1,0,0,0
television,0,0,0,2,0,0,0
show,0,0,0,1,0,2,0
book,0,0,0,5,0,0,0
provide,0,0,0,0,0,13,0
fictional,1,0,0,0,0,0,0
adventure,0,0,0,1,0,0,0
story,0,0,0,4,0,0,0
discovery,0,0,0,24,0,0,0
strange,1,0,0,0,0,0,0
city,0,0,0,19,0,0,0
unusual,2,0,0,0,0,0,0
characteristic,0,0,0,1,0,0,0
archaeology,0,0,0,52,0,0,0
tell,0,0,0,0,0,1,0
real,2,0,0,0,0,0,0
evolve,0,0,0,0,0,5,0
develop,0,0,0,0,0,6,0
archaeological,53,0,0,0,0,0,0
research,0,0,0,12,0,0,0
important,5,0,0,0,0,0,0
main,6,0,0,0,0,0,0
method,0,0,0,26,0,0,0
learn,0,0,0,0,0,4,0
society,0,0,0,6,0,0,0
exist,0,0,0,0,0,8,0
writing,0,0,0,2,0,0,0
invent,0,0,0,0,0,1,0
additional,3,0,0,0,0,0,0
knowledge,0,0,0,6,0,0,0
leave,0,0,0,0,0,1,0
write,0,0,0,0,0,8,0
record,0,0,0,15,0,18,0
caption,0,0,0,9,0,0,21
archaeologist,0,0,0,123,0,0,0
map,0,0,0,5,0,3,0
find,0,0,0,11,0,47,0
indigenous,1,0,0,0,0,0,0
town,0,0,0,3,0,0,0
occupy,0,0,0,0,0,1,0
approximately,0,0,1,0,0,0,0
bce,0,0,0,8,0,0,0
sack,0,0,0,0,0,1,0
conquistador,0,0,0,1,0,0,0
command,0,0,0,1,0,0,0
word,0,0,0,2,0,0,0
term,0,0,0,2,0,0,0
greek,3,0,0,0,0,0,0
archaios,0,0,0,0,0,0,1
mean,0,0,0,0,0,3,0
logia,0,0,0,0,0,0,1
learning,0,0,0,1,0,0,0
study,0,0,0,19,0,17,0
time,0,0,0,19,0,0,0
thing,0,0,0,10,0,0,0
century,0,0,0,28,0,0,0
expand,0,0,0,0,0,1,0
include,0,0,0,0,0,31,0
change,0,0,0,4,0,13,0
use,0,0,0,5,0,14,0
scientific,8,0,0,0,0,0,0
analytical,2,0,0,0,0,0,0
technology,0,0,0,10,0,0,0
answer,0,0,0,0,0,3,0
question,0,0,0,5,0,0,0
humankind,0,0,0,5,0,0,0
carefully,0,0,3,0,0,0,0
locate,0,0,0,0,0,20,0
artifact,0,0,0,41,0,0,0
remain,0,0,0,23,0,10,0
fashion,0,0,0,0,0,3,0
habitation,0,0,0,1,0,0,0
structure,0,0,0,22,0,0,0
tool,0,0,0,18,0,0,0
