word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
exactly,0,0,16,0,0,0,0,0,0,0,0,0
seven,0,0,0,0,0,0,0,15,0,0,0,0
month,0,0,0,0,0,0,47,0,0,0,0,0
balloon,0,0,0,0,0,0,19,0,0,0,0,0
voyager,0,0,0,0,0,0,1,0,0,0,0,0
throw,0,0,0,0,0,0,0,0,0,0,45,0
time,0,0,0,0,0,0,157,0,0,0,0,0
notwithstanding,0,10,0,0,0,0,0,0,0,0,0,0
research,0,0,0,0,0,0,2,0,0,0,0,0
human,20,0,0,0,0,0,2,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,18,0
smoke,0,0,0,0,0,0,7,0,0,0,7,0
betray,0,0,0,0,0,0,0,0,0,0,5,0
presence,0,0,0,0,0,0,23,0,0,0,0,0
man,0,0,0,0,0,0,105,0,0,0,1,0
surface,0,0,0,0,0,0,5,0,0,0,0,0
island,0,0,0,0,0,0,155,0,0,0,0,0
vestige,0,0,0,0,0,0,2,0,0,0,0,0
handiwork,0,0,0,0,0,0,1,0,0,0,0,0
show,0,0,0,0,0,0,0,0,0,0,23,0
early,2,0,2,0,0,0,0,0,0,0,0,0
late,2,0,1,0,0,0,0,0,0,0,0,0
period,0,0,0,0,0,0,7,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,28,0
appear,0,0,0,0,0,0,0,0,0,0,101,0
uninhabited,3,0,0,0,0,0,0,0,0,0,0,0
colonist,0,0,0,0,0,0,61,0,0,0,0,0
compel,0,0,0,0,0,0,0,0,0,0,5,0
believe,0,0,0,0,0,0,0,0,0,0,17,0
inhabit,0,0,0,0,0,0,0,0,0,0,17,0
scaffolding,0,0,0,0,0,0,1,0,0,0,0,0
reasoning,0,0,0,0,0,0,3,0,0,0,0,0
fall,0,0,0,0,0,0,9,0,0,0,39,0
simple,15,0,0,0,0,0,0,0,0,0,0,0
ball,0,0,0,0,0,0,4,0,0,0,0,0
metal,1,0,0,0,0,0,4,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,107,0
body,0,0,0,0,0,0,13,0,0,0,0,0
inoffensive,1,0,0,0,0,0,0,0,0,0,0,0
rodent,0,0,0,0,0,0,2,0,0,0,0,0
fact,0,0,0,0,0,0,35,0,0,0,0,0
bullet,0,0,0,0,0,0,18,0,0,0,0,0
issue,0,0,0,0,0,0,0,0,0,0,6,0
firearm,0,0,0,0,0,0,8,0,0,0,0,0
weapon,0,0,0,0,0,0,15,0,0,0,0,0
place,0,0,0,0,0,0,42,0,0,0,22,0
table,0,0,0,0,0,0,13,0,0,0,0,0
companion,0,0,0,0,0,0,83,0,0,0,0,0
look,0,0,0,0,0,0,10,0,0,0,38,0
intense,5,0,0,0,0,0,0,0,0,0,0,0
astonishment,0,0,0,0,0,0,4,0,0,0,0,0
consequence,0,0,0,0,0,0,9,0,0,0,0,0
