word,ADJ,ADP,ADV,DET,NOUN,NUM,VERB
planet,0,0,0,0,42,0,0
orbit,0,0,0,0,5,0,16
travel,0,0,0,0,1,0,2
sun,0,0,0,0,21,0,0
solar,8,0,0,0,0,0,0
system,0,0,0,0,7,0,0
fourth,3,0,0,0,0,0,0
outer,2,0,0,0,0,0,0
neighbor,0,0,0,0,1,0,0
close,5,0,1,0,0,0,0
telescope,0,0,0,0,3,0,0
call,0,0,0,0,0,0,11
red,3,0,0,0,0,0,0
surface,0,0,0,0,22,0,0
look,0,0,0,0,0,0,12
like,0,10,0,0,0,0,0
star,0,0,0,0,3,0,0
night,0,0,0,0,2,0,0
sky,0,0,0,0,6,0,0
photograph,0,0,0,0,3,0,0
white,2,0,0,0,0,0,0
area,0,0,0,0,2,0,0
cloud,0,0,0,0,1,0,0
surround,0,0,0,0,0,0,3
volcano,0,0,0,0,6,0,0
dwarf,1,0,0,0,0,0,0
moon,0,0,0,0,11,0,0
asteroid,0,0,0,0,4,0,0
comet,0,0,0,0,1,0,0
small,9,0,0,0,0,0,0
icy,1,0,0,0,0,0,0
body,0,0,0,0,5,0,0
million,0,0,0,0,1,6,0
mile,0,0,0,0,10,0,0
kilometer,0,0,0,0,10,0,0
away,0,0,7,0,0,0,0
rocky,4,0,0,0,0,0,0
century,0,0,0,0,1,0,0
people,0,0,0,0,6,0,0
wonder,0,0,0,0,0,0,2
life,0,0,0,0,10,0,0
far,0,0,3,0,0,0,0
scientist,0,0,0,0,13,0,0
find,0,0,0,0,0,0,7
obvious,1,0,0,0,0,0,0
sign,0,0,0,0,5,0,0
try,0,0,0,0,0,0,1
form,0,0,0,0,2,0,2
exist,0,0,0,0,0,0,3
study,0,0,0,0,0,0,5
water,0,0,0,0,12,0,0
photo,0,0,0,0,7,0,0
take,0,0,0,0,0,0,15
second,1,0,0,0,0,0,0
mercury,0,0,0,0,1,0,0
diameter,0,0,0,0,4,0,0
distance,0,0,0,0,1,0,0
center,0,0,1,0,7,0,0
half,0,0,0,1,4,0,0
size,0,0,0,0,3,0,0
illustration,0,0,0,0,2,0,0
show,0,0,0,0,0,0,7
relative,1,0,0,0,0,0,0
left,0,0,1,0,0,0,0
think,0,0,0,0,0,0,15
dry,1,0,0,0,0,0,0
land,0,0,0,0,2,0,9
tiny,1,0,0,0,0,0,0
compare,0,0,0,0,1,0,6
large,9,0,0,0,0,0,0
time,0,0,0,0,10,0,0
fact,0,0,0,0,1,0,0
storm,0,0,0,0,2,0,0
know,0,0,0,0,0,0,3
right,0,0,1,0,0,0,0
twice,0,0,0,1,0,0,0
