word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
year,0,0,0,0,0,0,17,0,0,0,0
old,19,0,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,29
magnificent,8,0,0,0,0,0,0,0,0,0,0
picture,0,0,0,0,0,0,6,0,0,0,0
book,0,0,0,0,0,0,9,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,2
primeval,2,0,0,0,0,0,0,0,0,0,0
forest,0,0,0,0,0,0,2,0,0,0,0
boa,0,0,0,0,0,0,15,0,0,0,0
constrictor,0,0,0,0,0,0,13,0,0,0,0
act,0,0,0,0,0,0,2,0,0,0,0
swallow,0,0,0,0,0,0,0,0,0,0,3
animal,0,0,0,0,0,0,4,0,0,0,0
copy,0,0,0,0,0,0,1,0,0,0,0
drawing,0,0,0,0,0,0,26,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,201
prey,0,0,0,0,0,0,1,0,0,0,0
chew,0,0,0,0,0,0,0,0,0,0,1
able,13,0,0,0,0,0,0,0,0,0,0
sleep,0,0,0,0,0,0,4,0,0,0,7
month,0,0,0,0,0,0,4,0,0,0,0
need,0,0,0,2,0,0,6,0,0,0,7
digestion,0,0,0,0,0,0,1,0,0,0,0
ponder,0,0,0,0,0,0,0,0,0,0,1
deeply,0,0,3,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,0,1,0,0,0,0
jungle,0,0,0,0,0,0,1,0,0,0,0
work,0,0,0,0,0,0,6,0,0,0,4
colored,1,0,0,0,0,0,0,0,0,0,0
pencil,0,0,0,0,0,0,5,0,0,0,0
succeed,0,0,0,0,0,0,0,0,0,0,4
make,0,0,0,0,0,0,0,0,0,0,13
number,0,0,0,0,0,0,9,0,0,0,0
look,0,0,0,0,0,0,2,0,0,0,57
like,0,50,0,0,0,0,0,0,0,0,10
show,0,0,0,0,0,0,0,0,0,0,5
masterpiece,0,0,0,0,0,0,1,0,0,0,0
grown,5,0,0,0,0,0,17,0,0,0,0
up,0,0,0,0,0,0,20,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,36
frighten,1,0,0,0,0,0,0,0,0,0,3
answer,0,0,0,0,0,0,6,0,0,0,24
hat,0,0,0,0,0,0,8,0,0,0,0
digest,0,0,0,0,0,0,0,0,0,0,1
elephant,0,0,0,0,0,0,5,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,0,26
draw,0,0,0,0,0,0,0,0,0,0,18
inside,0,1,1,0,0,0,5,0,0,0,0
clearly,0,0,2,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,0,22,0,0,0,0
explain,0,0,0,0,0,0,0,0,0,0,3
response,0,0,0,0,0,0,1,0,0,0,0
time,0,0,0,0,0,0,52,0,0,0,0
advise,0,0,0,0,0,0,0,0,0,0,3
lay,0,0,0,0,0,0,0,0,0,0,1
aside,0,0,1,0,0,0,0,0,0,0,0
outside,0,0,0,0,0,0,5,0,0,0,0
devote,0,0,0,0,0,0,0,0,0,0,1
instead,0,0,4,0,0,0,0,0,0,0,0
geography,0,0,0,0,0,0,4,0,0,0,0
history,0,0,0,0,0,0,2,0,0,0,0
arithmetic,0,0,0,0,0,0,2,0,0,0,0
grammar,0,0,0,0,0,0,2,0,0,0,0
age,0,0,0,0,0,0,2,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,14
career,0,0,0,0,0,0,2,0,0,0,0
painter,0,0,0,0,0,0,2,0,0,0,0
disheartened,1,0,0,0,0,0,0,0,0,0,0
failure,0,0,0,0,0,0,1,0,0,0,0
tiresome,1,0,0,0,0,0,0,0,0,0,0
child,0,0,0,0,0,0,10,0,0,0,0
forever,0,0,3,0,0,0,0,0,0,0,0
choose,0,0,0,0,0,0,0,0,0,0,2
profession,0,0,0,0,0,0,3,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,0,10
pilot,0,0,0,0,0,0,0,0,0,0,1
airplane,0,0,0,0,0,0,5,0,0,0,0
fly,0,0,0,0,0,0,1,0,0,0,5
little,253,0,4,0,0,0,1,0,0,0,0
part,0,0,0,0,0,0,1,0,0,0,0
world,0,0,0,0,0,0,13,0,0,0,0
true,13,0,0,0,0,0,0,0,0,0,0
useful,3,0,0,0,0,0,0,0,0,0,0
glance,0,0,0,0,0,0,3,0,0,0,0
distinguish,0,0,0,0,0,0,0,0,0,0,2
get,0,0,0,0,0,0,0,0,0,0,5
lose,0,0,0,0,0,0,0,0,0,0,5
night,0,0,0,0,0,0,16,0,0,0,0
knowledge,0,0,0,0,0,0,2,0,0,0,0
valuable,1,0,0,0,0,0,0,0,0,0,0
course,0,0,1,0,0,0,1,0,0,0,0
life,0,0,0,0,0,0,21,0,0,0,0
