word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,SCONJ,VERB
know,0,0,0,0,0,0,0,0,0,65
read,0,0,0,0,0,0,0,0,0,9
book,0,0,0,0,0,9,0,0,0,0
call,0,0,0,0,0,0,0,0,0,6
write,0,0,0,0,0,0,0,0,0,14
tell,0,0,0,0,0,0,0,0,0,61
honest,1,0,0,0,0,0,0,0,0,0
truth,0,0,0,0,0,3,0,0,0,0
maybe,0,0,13,0,0,0,0,0,0,0
add,0,0,0,0,0,0,0,0,0,1
extra,3,0,1,0,0,0,0,0,0,0
thing,0,0,0,0,0,23,0,0,0,0
course,0,0,2,0,0,1,0,0,0,0
matter,0,0,0,0,0,1,0,0,0,2
hear,0,0,0,0,0,0,0,0,0,34
lot,0,0,0,0,0,12,0,0,0,0
friend,0,0,0,0,0,3,0,0,0,0
good,29,0,3,0,0,1,0,0,0,0
wild,5,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,24,0,0,0,0
awhile,0,0,7,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,33
stash,0,0,0,0,0,1,0,0,0,0
gold,0,0,0,0,0,2,0,0,0,0
robber,0,0,0,0,0,9,0,0,0,0
hide,0,0,0,0,0,2,0,0,0,16
cave,0,0,0,0,0,3,0,0,0,0
finder,0,0,0,0,0,1,0,0,0,0
keeper,0,0,0,0,0,1,0,0,0,0
get,0,0,0,0,0,0,0,0,0,66
heap,0,0,0,0,0,4,0,0,0,0
money,0,0,0,0,0,34,0,0,0,0
bank,0,0,0,0,0,7,0,0,0,0
give,0,0,0,0,0,0,0,0,0,17
dollar,0,0,0,0,0,8,0,0,0,0
day,0,0,0,0,0,22,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,9
think,0,0,0,0,0,0,0,0,0,53
live,0,0,0,0,0,0,0,0,0,15
pappy,0,0,0,0,0,7,0,0,0,0
run,0,0,0,0,0,0,0,0,0,35
idea,0,0,0,0,0,13,0,0,0,0
go,0,0,0,0,0,0,0,0,0,84
feel,0,0,0,0,0,0,0,0,0,12
sorry,5,0,0,0,1,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,28
kind,2,0,1,0,0,6,0,0,0,0
savage,0,0,0,0,0,1,0,0,0,0
want,0,0,0,0,0,0,0,0,0,44
civilize,0,0,0,0,0,0,0,0,0,2
remind,0,0,0,0,0,0,0,0,0,2
manner,0,0,0,0,0,4,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,5
ear,0,0,0,0,0,6,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,6
finger,0,0,0,0,0,7,0,0,0,0
