word,ADJ,ADP,ADV,AUX,NOUN,NUM,PRON,SCONJ,VERB,X
leader,0,0,0,0,4,0,0,0,0,0
set,0,0,0,0,0,0,0,0,5,0
queen,0,0,0,0,2,0,0,0,0,0
succeed,0,0,0,0,0,0,0,0,2,0
year,0,0,0,0,25,0,0,0,0,0
rule,0,0,0,0,12,0,0,0,3,0
bring,0,0,0,0,0,0,0,0,6,0
great,40,0,0,0,0,0,0,0,0,0
glory,0,0,0,0,3,0,0,0,0,0
make,0,0,0,0,0,0,0,0,4,0
beautiful,9,0,0,0,0,0,0,0,0,0
brilliant,6,0,0,0,0,0,0,0,0,0
powerful,12,0,0,0,0,0,0,0,0,0
city,0,0,0,0,56,0,0,0,0,0
greek,76,0,0,0,0,0,0,0,0,0
world,0,0,0,0,21,0,0,0,0,0
rebuild,0,0,0,0,0,0,0,0,2,0
gleam,0,0,0,0,0,0,0,0,1,0
marble,0,0,0,0,3,0,0,0,0,0
temple,0,0,0,0,17,0,0,0,0,0
replace,0,0,0,0,0,0,0,0,2,0
destroy,0,0,0,0,0,0,0,0,6,0
war,0,0,0,0,13,0,0,0,0,0
importantly,0,0,1,0,0,0,0,0,0,0
unrivaled,1,0,0,0,0,0,0,0,0,0
center,0,0,0,0,4,0,0,0,1,0
art,0,0,0,0,19,0,0,0,0,0
mathematics,0,0,0,0,2,0,0,0,0,0
science,0,0,0,0,11,0,0,0,0,0
political,8,0,0,0,0,0,0,0,0,0
thought,0,0,0,0,7,0,0,0,0,0
philosophy,0,0,0,0,8,0,0,0,0,0
mind,0,0,0,0,3,0,0,0,0,0
live,0,0,0,0,0,0,0,0,11,0
playwright,0,0,0,0,1,0,0,0,0,0
sculptor,0,0,0,0,4,0,0,0,0,0
philosopher,0,0,0,0,9,0,0,0,0,0
gather,0,0,0,0,0,0,0,0,1,0
place,0,0,0,0,6,0,0,0,1,0
reach,0,0,0,0,0,0,0,0,10,0
high,2,0,0,0,0,0,0,0,0,0
level,0,0,0,0,2,0,0,0,0,0
achievement,0,0,0,0,5,0,0,0,0,0
say,0,0,0,0,0,0,0,0,4,0
love,0,0,0,0,3,0,0,0,0,0
lead,1,0,0,0,0,0,0,0,8,0
extravagance,0,0,0,0,1,0,0,0,0,0
thing,0,0,0,0,4,0,0,0,0,0
soft,1,0,0,0,0,0,0,0,0,0
stubborn,1,0,0,0,0,0,0,0,0,0
inventive,1,0,0,0,0,0,0,0,0,0
experimental,1,0,0,0,0,0,0,0,0,0
help,0,0,0,0,0,0,0,0,3,0
lay,0,0,0,0,0,0,0,0,4,0
foundation,0,0,0,0,4,0,0,0,0,0
western,9,0,0,0,0,0,0,0,0,0
civilization,0,0,0,0,13,0,0,0,0,0
goddess,0,0,0,0,3,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,5,0
atop,0,1,0,0,0,0,0,0,0,0
female,2,0,0,0,0,0,0,0,0,0
figure,0,0,0,0,6,0,0,0,0,0
call,0,0,0,0,0,0,0,0,21,0
caryatid,0,0,0,0,1,0,0,0,0,0
serve,0,0,0,0,0,0,0,0,5,0
pillar,0,0,0,0,1,0,0,0,0,0
famous,11,0,0,0,0,0,0,0,0,0
ancient,24,0,0,0,1,0,0,0,0,0
state,0,0,0,0,44,0,0,0,0,0
occupy,0,0,0,0,0,0,0,0,4,0
mainland,0,0,0,0,3,0,0,0,0,0
peninsula,0,0,0,0,3,0,0,0,0,0
spread,0,0,0,0,0,0,0,0,5,0
vast,2,0,0,0,0,0,0,0,0,0
collection,0,0,0,0,2,0,0,0,0,0
island,0,0,0,0,14,0,0,0,0,0
colony,0,0,0,0,7,0,0,0,0,0
coast,0,0,0,0,5,0,0,0,0,0
sea,0,0,0,0,5,0,0,0,0,0
unlike,0,1,0,0,0,0,0,0,0,0
hold,0,0,0,0,0,0,0,0,6,0
independent,5,0,0,0,0,0,0,0,0,0
system,0,0,0,0,4,0,0,0,0,0
government,0,0,0,0,9,0,0,0,0,0
likely,1,0,0,0,0,0,0,0,0,0
compete,0,0,0,0,0,0,0,0,3,0
cooperate,0,0,0,0,0,0,0,0,1,0
long,8,0,4,0,0,0,0,0,0,0
history,0,0,0,0,14,0,0,0,0,0
age,0,0,0,0,17,0,0,0,0,0
volume,0,0,0,0,2,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,2,0
minoan,7,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,6,0
palace,0,0,0,0,6,0,0,0,0,0
mycenaean,5,0,0,0,0,0,0,0,0,0
kingdom,0,0,0,0,1,0,0,0,0,0
fight,0,0,0,0,0,0,0,0,3,0
later,1,0,12,0,0,0,0,0,0,0
immortalize,0,0,0,0,0,0,0,0,1,0
learn,0,0,0,0,0,0,0,0,4,0
fierce,1,0,0,0,0,0,0,0,0,0
militarized,1,0,0,0,0,0,0,0,0,0
unite,0,0,0,0,0,0,0,0,5,0
defeat,0,0,0,0,4,0,0,0,11,0
early,10,0,2,0,0,0,0,0,0,0
century,0,0,0,0,38,0,0,0,0,0
contentious,2,0,0,0,0,0,0,0,0,0
golden,8,0,0,0,0,0,0,0,0,0
undo,0,0,0,0,0,0,0,0,1,0
hubris,0,0,0,0,1,0,0,0,0,0
word,0,0,0,0,6,0,0,0,0,0
exaggerated,1,0,0,0,0,0,0,0,0,0
pride,0,0,0,0,2,0,0,0,0,0
combine,0,0,0,0,0,0,0,0,2,0
jealousy,0,0,0,0,4,0,0,0,0,0
inspire,0,0,0,0,0,0,0,0,2,0
momentous,2,0,0,0,0,0,0,0,0,0
power,0,0,0,0,21,0,0,0,0,0
alliance,0,0,0,0,2,0,0,0,0,0
