word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
window,0,0,0,0,0,0,22,0,0,0,0
room,0,0,0,0,0,0,15,0,0,0,0
tall,3,0,0,0,0,0,0,0,0,0,0
cotton,0,0,0,0,0,0,2,0,0,0,0
rose,0,0,0,0,0,0,4,0,0,0,0
hibiscus,0,0,0,0,0,0,3,0,0,0,0
spring,0,0,0,0,0,0,14,0,0,0,1
green,4,0,0,0,0,0,0,0,0,0,0
foliage,0,0,0,0,0,0,1,0,0,0,0
half,1,0,1,0,2,0,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,0,0,5
mist,0,0,0,0,0,0,1,0,0,0,0
tree,0,0,0,0,0,0,9,0,0,0,0
look,0,0,0,0,0,0,0,0,0,0,37
enchanting,1,0,0,0,0,0,0,0,0,0,0
dot,0,0,0,0,0,0,0,0,0,0,1
red,6,0,0,0,0,0,0,0,0,0,0
blossom,0,0,0,0,0,0,5,0,0,0,0
inspiring,1,0,0,0,0,0,0,0,0,0,0
neighbor,0,0,0,0,0,0,4,0,0,0,0
set,0,0,0,0,0,0,0,0,0,0,6
mind,0,0,0,0,0,0,8,0,0,0,1
work,0,0,0,0,0,0,8,0,0,0,14
gradually,0,0,4,0,0,0,0,0,0,0,0
regard,0,0,0,0,0,0,1,0,0,0,1
good,29,0,0,0,0,1,3,0,0,0,0
friend,0,0,0,0,0,0,19,0,0,0,0
open,5,0,0,0,0,0,0,0,0,0,13
morning,0,0,0,0,0,0,11,0,0,0,0
amazement,0,0,0,0,0,0,1,0,0,0,0
bare,1,0,0,0,0,0,0,0,0,0,0
recognition,0,0,0,0,0,0,1,0,0,0,0
result,0,0,0,0,0,0,4,0,0,0,0
storm,0,0,0,0,0,0,2,0,0,0,1
ravage,0,0,0,0,0,0,1,0,0,0,0
night,0,0,0,0,0,0,19,0,0,0,0
strike,0,0,0,0,0,0,1,0,0,0,2
plight,0,0,0,0,0,0,2,0,0,0,0
seize,0,0,0,0,0,0,0,0,0,0,2
sadness,0,0,0,0,0,0,5,0,0,0,0
thought,0,0,0,0,0,0,6,0,0,0,0
doom,0,0,0,0,0,0,0,0,0,0,3
fall,0,0,0,0,0,0,0,0,0,0,8
help,0,0,0,0,0,0,3,0,0,0,14
sigh,0,0,0,0,0,0,0,0,0,0,1
emotion,0,0,0,0,0,0,3,0,0,0,0
course,0,0,3,0,0,0,6,0,0,0,0
life,0,0,0,0,0,0,53,0,0,0,0
run,0,0,0,0,0,0,0,0,0,0,19
smooth,1,0,0,0,0,0,0,0,0,0,1
up,0,0,0,0,0,0,1,0,0,0,0
down,0,0,0,0,0,0,1,0,0,0,0
twist,0,0,0,0,0,0,1,0,0,0,1
turn,0,0,0,0,0,0,3,0,0,0,14
vicissitude,0,0,0,0,0,0,1,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,24
beloved,3,0,0,0,0,0,0,0,0,0,0
part,0,0,0,0,0,0,2,0,0,0,1
similar,2,0,0,0,0,0,0,0,0,0,0
shed,0,0,0,0,0,0,0,0,0,0,2
flower,0,0,0,0,0,0,20,0,0,0,1
wind,0,0,0,0,0,0,5,0,0,0,0
event,0,0,0,0,0,0,5,0,0,0,0
fade,0,0,0,0,0,0,0,0,0,0,3
memory,0,0,0,0,0,0,11,0,0,0,0
time,0,0,0,0,0,0,76,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,25
day,0,0,0,0,0,0,61,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,59
home,0,0,12,0,0,0,12,0,0,0,0
countryside,0,0,0,0,0,0,1,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,25
stuffy,1,0,0,0,0,0,0,0,0,0,0
casually,0,0,1,0,0,0,0,0,0,0,0
outside,0,2,7,0,0,0,1,0,0,0,0
catch,0,0,0,0,0,0,0,0,0,0,4
eye,0,0,0,0,0,0,14,0,0,0,1
dazzle,0,0,0,0,0,0,0,0,0,0,1
plum,0,0,0,0,0,0,2,0,0,0,0
scarlet,1,0,0,0,0,0,0,0,0,0,0
beautifully,0,0,2,0,0,0,0,0,0,0,0
sunset,0,0,0,0,0,0,2,0,0,0,0
surprise,0,0,0,0,0,0,3,0,0,0,0
discovery,0,0,0,0,0,0,2,0,0,0,0
overwhelm,0,0,0,0,0,0,0,0,0,0,1
pleasure,0,0,0,0,0,0,2,0,0,0,0
wonder,0,0,0,0,0,0,1,0,0,0,14
idea,0,0,0,0,0,0,6,0,0,0,0
unyielding,1,0,0,0,0,0,0,0,0,0,0
sprout,0,0,0,0,0,0,1,0,0,0,1
fallen,2,0,0,0,0,0,0,0,0,0,0
petal,0,0,0,0,0,0,4,0,0,0,0
grieve,0,0,0,0,0,0,0,0,0,0,1
withered,1,0,0,0,0,0,0,0,0,0,0
drop,0,0,0,0,0,0,2,0,0,0,4
joyful,1,0,0,0,0,0,0,0,0,0,0
admiration,0,0,0,0,0,0,2,0,0,0,0
sink,0,0,0,0,0,0,0,0,0,0,4
oblivion,0,0,0,0,0,0,1,0,0,0,0
leave,0,0,0,0,0,0,4,0,0,0,30
landscape,0,0,0,0,0,0,1,0,0,0,0
ablaze,1,0,0,0,0,0,0,0,0,0,0
remind,0,0,0,0,0,0,0,0,0,0,4
people,0,0,0,0,0,0,35,0,0,0,0
alternation,0,0,0,0,0,0,1,0,0,0,0
continuance,0,0,0,0,0,0,1,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,80
actually,0,0,2,0,0,0,0,0,0,0,0
symphony,0,0,0,0,0,0,1,0,0,0,0
harmonious,1,0,0,0,0,0,0,0,0,0,0
composition,0,0,0,0,0,0,1,0,0,0,0
loss,0,0,0,0,0,0,2,0,0,0,0
gain,0,0,0,0,0,0,1,0,0,0,0
stand,0,0,0,0,0,0,1,0,0,0,14
lose,0,0,0,0,0,0,0,0,0,0,12
long,9,0,17,0,0,0,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,0,0,8
scenery,0,0,0,0,0,0,1,0,0,0,0
world,0,0,0,0,0,0,31,0,0,0,0
remain,0,0,0,0,0,0,0,0,0,0,3
unchanged,1,0,0,0,0,0,0,0,0,0,0
heart,0,0,0,0,0,0,13,0,0,0,0
bask,0,0,0,0,0,0,0,0,0,0,1
sun,0,0,0,0,0,0,7,0,0,0,0
dawn,0,0,0,0,0,0,4,0,0,0,2
present,0,0,0,0,0,0,0,0,0,0,2
fine,3,0,0,0,0,0,0,0,0,0,0
prospect,0,0,0,0,0,0,1,0,0,0,0
unfold,0,0,0,0,0,0,0,0,0,0,1
new,20,0,0,0,0,0,0,0,0,0,0
hope,0,0,0,0,0,0,7,0,0,0,11
year,0,0,0,0,0,0,60,0,0,0,0
old,25,0,0,0,0,0,0,0,0,0,0
son,0,0,0,0,0,0,15,0,0,0,0
spot,0,0,0,0,0,0,1,0,0,0,1
coat,0,0,0,0,0,0,14,0,0,0,0
simultaneously,0,0,1,0,0,0,0,0,0,0,0
hang,0,0,0,0,0,0,0,0,0,0,1
rack,0,0,0,0,0,0,1,0,0,0,0
second,2,0,0,0,0,0,1,0,0,0,0
hand,0,0,0,0,0,0,16,0,0,0,4
clothing,0,0,0,0,0,0,1,0,0,0,0
store,0,0,0,0,0,0,3,0,0,0,2
cram,0,0,0,0,0,0,0,0,0,0,1
shoddy,1,0,0,0,0,0,0,0,0,0,0
trench,0,0,0,0,0,0,2,0,0,0,0
assortment,0,0,0,0,0,0,1,0,0,0,0
sad,5,0,0,0,0,0,0,0,0,0,0
woolen,2,0,0,0,0,0,0,0,0,0,0
overcoat,0,0,0,0,0,0,1,0,0,0,0
thorn,0,0,0,0,0,0,1,0,0,0,0
droop,0,0,0,0,0,0,0,0,0,0,2
hold,0,0,0,0,0,0,1,0,0,0,8
thick,2,0,0,0,0,0,0,0,0,0,0
black,3,0,0,0,0,0,0,0,0,0,0
wool,0,0,0,0,0,0,1,0,0,0,0
double,1,0,0,0,0,0,0,0,0,0,0
breasted,2,0,0,0,0,0,0,0,0,0,0
chesterfield,0,0,0,0,0,0,1,0,0,0,0
soft,1,0,0,0,0,0,0,0,0,0,0
unworn,1,0,0,0,0,0,0,0,0,0,0
preserve,0,0,0,0,0,0,0,0,0,0,1
mothball,0,0,0,0,0,0,1,0,0,0,0
dead,2,0,1,0,0,0,0,0,0,0,0
steamer,0,0,0,0,0,0,1,0,0,0,0
trunk,0,0,0,0,0,0,1,0,0,0,0
velvet,0,0,0,0,0,0,1,0,0,0,0
collar,0,0,0,0,0,0,1,0,0,0,0
beautiful,10,0,0,0,0,0,0,0,0,0,0
tailoring,0,0,0,0,0,0,1,0,0,0,0
label,0,0,0,0,0,0,1,0,0,0,0
unbelievable,1,0,0,0,0,0,0,0,0,0,0
price,0,0,0,0,0,0,1,0,0,0,0
gleam,0,0,0,0,0,0,0,0,0,0,1
dark,5,0,0,0,0,0,2,0,0,0,0
topcoat,0,0,0,0,0,0,1,0,0,0,0
popular,1,0,0,0,0,0,0,0,0,0,0
teenage,1,0,0,0,0,0,0,0,0,0,0
boy,0,0,0,0,0,0,3,0,0,0,0
cost,0,0,0,0,0,0,1,0,0,0,1
dollar,0,0,0,0,0,0,2,0,0,0,0
well,5,0,2,0,0,0,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,0,7
touch,0,0,0,0,0,0,2,0,0,0,4
classic,1,0,0,0,0,0,0,0,0,0,0
elegance,0,0,0,0,0,0,1,0,0,0,0
bygone,1,0,0,0,0,0,0,0,0,0,0
era,0,0,0,0,0,0,1,0,0,0,0
slide,0,0,0,0,0,0,0,0,0,0,1
arm,0,0,0,0,0,0,9,0,0,0,0
heavy,2,0,0,0,0,0,0,0,0,0,0
satin,0,0,0,0,0,0,1,0,0,0,0
lining,0,0,0,0,0,0,1,0,0,0,0
sleeve,0,0,0,0,0,0,2,0,0,0,0
button,0,0,0,0,0,0,0,0,0,0,1
mirror,0,0,0,0,0,0,4,0,0,0,0
studied,1,0,0,0,0,0,0,0,0,0,0
expression,0,0,0,0,0,0,1,0,0,0,0
soon,0,0,9,0,0,0,0,0,0,0,0
change,0,0,0,0,0,0,2,0,0,0,9
smile,0,0,0,0,0,0,5,0,0,0,13
fit,0,0,0,0,0,0,1,0,0,0,0
perfect,3,0,0,0,0,0,0,0,0,0,2
wear,0,0,0,0,0,0,0,0,0,0,10
school,0,0,0,0,0,0,19,0,0,0,0
big,8,0,0,0,0,0,0,0,0,0,0
grin,0,0,0,0,0,0,1,0,0,0,0
kid,0,0,0,0,0,0,5,0,0,0,0
like,0,24,0,0,0,0,0,0,0,0,12
ask,0,0,0,0,0,0,0,0,0,0,40
love,0,0,0,0,0,1,29,0,0,0,29
carefully,0,0,4,0,0,0,0,0,0,0,0
fold,0,0,0,0,0,0,0,0,0,0,4
chair,0,0,0,0,0,0,3,0,0,0,0
flat,2,0,0,0,0,0,0,0,0,0,0
start,0,0,0,0,0,0,0,0,0,0,10
call,0,0,0,0,0,0,0,0,0,0,14
week,0,0,0,0,0,0,14,0,0,0,0
agreement,0,0,0,0,0,0,1,0,0,0,0
replace,0,0,0,0,0,0,0,0,0,0,3
contrariness,0,0,0,0,0,0,1,0,0,0,0
quiet,3,0,0,0,0,0,0,0,0,0,0
reasoned,1,0,0,0,0,0,0,0,0,0,0
discussion,0,0,0,0,0,0,2,0,0,0,0
argument,0,0,0,0,0,0,3,0,0,0,0
judicious,1,0,0,0,0,0,0,0,0,0,0
mannerly,1,0,0,0,0,0,0,0,0,0,0
thoughtful,1,0,0,0,0,0,0,0,0,0,0
eager,2,0,0,0,0,0,0,0,0,0,0
dinner,0,0,0,0,0,0,3,0,0,0,0
evening,0,0,0,0,0,0,3,0,0,0,0
generously,0,0,1,0,0,0,0,0,0,0,0
loan,0,0,0,0,0,0,0,0,0,0,1
young,20,0,0,0,0,0,0,0,0,0,0
brother,0,0,0,0,0,0,2,0,0,0,0
tape,0,0,0,0,0,0,6,0,0,0,2
lecture,0,0,0,0,0,0,0,0,0,0,2
nicety,0,0,0,0,0,0,1,0,0,0,0
behaviour,0,0,0,0,0,0,2,0,0,0,0
word,0,0,0,0,0,0,17,0,0,0,0
objection,0,0,0,0,0,0,1,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,8
wood,0,0,0,0,0,0,4,0,0,0,0
stove,0,0,0,0,0,0,1,0,0,0,0
suggest,0,0,0,0,0,0,0,0,0,0,4
homework,0,0,0,0,0,0,1,0,0,0,0
veteran,1,0,0,0,0,0,0,0,0,0,0
procrastinator,0,0,0,0,0,0,1,0,0,0,0
right,7,0,8,0,0,0,2,0,0,0,2
guess,0,0,0,0,0,0,0,0,0,0,4
mention,0,0,0,0,0,0,0,0,0,0,2
incident,0,0,0,0,0,0,2,0,0,0,0
teacher,0,0,0,0,0,0,6,0,0,0,0
remark,0,0,0,0,0,0,0,0,0,0,2
know,0,0,0,0,0,0,0,0,0,0,70
cause,0,0,0,0,0,0,2,0,0,0,4
laugh,0,0,0,0,0,0,1,0,0,0,5
tell,0,0,0,0,0,0,0,0,0,0,28
give,0,0,0,0,0,0,0,0,0,0,9
mark,0,0,0,0,0,0,1,0,0,0,1
earn,0,0,0,0,0,0,0,0,0,0,1
library,0,0,0,0,0,0,1,0,0,0,0
child,0,0,0,0,0,0,39,0,0,0,0
height,0,0,0,0,0,0,2,0,0,0,0
assess,0,0,0,0,0,0,0,0,0,0,1
cut,0,0,0,0,0,0,1,0,0,0,0
extend,0,0,0,0,0,0,0,0,0,0,3
gentleman,0,0,0,0,0,0,2,0,0,0,0
mistake,0,0,0,0,0,0,12,0,0,0,2
person,0,0,0,0,0,0,9,0,0,0,0
clothe,0,0,0,0,0,0,8,0,0,0,0
real,5,0,0,0,0,0,0,0,0,0,0
standard,0,0,0,0,0,0,3,0,0,0,0
excellence,0,0,0,0,0,0,2,0,0,0,0
practice,0,0,0,0,0,0,1,0,0,0,3
speech,0,0,0,0,0,0,1,0,0,0,0
match,0,0,0,0,0,0,0,0,0,0,1
inside,0,2,1,0,0,0,1,0,0,0,0
watch,0,0,0,0,0,0,3,0,0,0,11
remember,0,0,0,0,0,0,0,0,0,0,26
keen,1,0,0,0,0,0,0,0,0,0,0
sting,0,0,0,0,0,0,1,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,18
eighth,1,0,0,0,0,0,0,0,0,0,0
grade,0,0,0,0,0,0,3,0,0,0,0
easy,3,0,0,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,22
different,10,0,0,0,0,0,0,0,0,0,0
approach,0,0,0,0,0,0,2,0,0,0,2
future,0,0,0,0,0,0,6,0,0,0,0
stretch,0,0,0,0,0,0,0,0,0,0,3
ahead,0,0,4,0,0,0,0,0,0,0,0
vast,2,0,0,0,0,0,0,0,0,0,0
panorama,0,0,0,0,0,0,2,0,0,0,0
door,0,0,0,0,0,0,16,0,0,0,0
picture,0,0,0,0,0,0,1,0,0,0,4
walk,0,0,0,0,0,0,1,0,0,0,12
wonderful,8,0,0,0,0,0,0,0,0,0,0
magical,1,0,0,0,0,0,0,0,0,0,0
thank,0,0,0,0,0,0,1,0,0,0,35
weep,0,0,0,0,0,0,0,0,0,0,1
feed,0,0,0,0,0,0,0,0,0,0,1
bathe,0,0,0,0,0,0,0,0,0,0,1
cry,0,0,0,0,0,0,0,0,0,0,10
teach,0,0,0,0,0,0,0,0,0,0,14
away,0,4,16,0,0,0,0,0,0,0,0
meal,0,0,0,0,0,0,1,0,0,0,0
toss,0,0,0,0,0,0,0,0,0,0,1
plate,0,0,0,0,0,0,1,0,0,0,0
floor,0,0,0,0,0,0,2,0,0,0,0
crayon,0,0,0,0,0,0,1,0,0,0,0
color,0,0,0,0,0,0,2,0,0,0,1
