word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB,X
meet,0,0,0,0,0,0,0,0,0,2,0
live,0,0,0,0,0,0,0,0,0,12,0
spring,0,0,0,0,0,0,4,0,0,0,0
summer,0,0,0,0,0,0,1,0,0,0,0
young,2,0,0,0,0,0,0,0,0,0,0
old,13,0,0,0,0,0,0,0,0,0,0
famous,2,0,0,0,0,0,0,0,0,0,0
family,0,0,0,0,0,0,3,0,0,0,0
poor,4,0,0,0,0,0,0,0,0,0,0
little,8,0,0,0,0,0,0,0,0,0,0
money,0,0,0,0,0,0,9,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,1,0
drank,0,0,0,0,0,0,0,0,0,1,0
buy,0,0,0,0,0,0,0,0,0,1,0
clothe,0,0,0,0,0,0,1,0,0,0,0
quietly,0,0,5,0,0,0,0,0,0,0,0
book,0,0,0,0,0,0,13,0,0,0,0
love,0,0,0,0,0,0,1,0,0,0,0
life,0,0,0,0,0,0,4,0,0,0,0
easy,2,0,0,0,0,0,0,0,0,0,0
meeting,0,0,0,0,0,0,1,0,0,0,0
small,5,0,0,0,0,0,0,0,0,0,0
bookshop,0,0,0,0,0,0,2,0,0,0,0
look,0,0,0,0,0,0,1,0,0,31,0
conversation,0,0,0,0,0,0,2,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,7,0
soon,0,0,2,0,0,0,0,0,0,0,0
friendly,2,0,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,42,0
man,0,0,0,0,0,0,17,0,0,0,0
like,0,14,0,0,0,0,0,0,0,1,0
helpful,3,0,0,0,0,0,0,0,0,0,0
study,0,0,0,0,0,0,1,0,0,0,0
time,0,0,0,0,0,0,8,0,0,0,0
agree,0,0,0,0,0,0,0,0,0,9,0
find,0,0,0,0,0,0,0,0,0,26,0
house,0,0,0,0,0,0,34,0,0,0,0
stay,0,0,0,0,0,0,1,0,0,1,0
quiet,3,0,0,0,0,0,0,0,0,0,0
street,0,0,0,0,0,0,15,0,0,0,0
beautiful,1,0,0,0,0,0,0,0,0,0,0
comfortable,1,0,0,0,0,0,0,0,0,0,0
right,5,0,1,0,0,0,1,0,0,0,0
strange,4,0,0,0,0,0,0,0,0,0,0
way,0,0,0,0,0,0,17,0,0,0,0
see,0,0,0,0,0,0,0,0,0,17,0
visitor,0,0,0,0,0,0,3,0,0,0,0
friend,0,0,0,0,0,0,14,0,0,0,0
night,0,0,0,0,0,0,8,0,0,0,0
morning,0,0,0,0,0,0,7,0,0,0,0
come,0,0,0,0,0,0,0,0,0,16,0
closed,0,0,0,0,0,0,0,0,0,1,0
shutter,0,0,0,0,0,0,10,0,0,0,0
window,0,0,0,0,0,0,44,0,0,0,0
half,1,0,1,0,2,0,3,0,0,0,0
light,0,0,0,0,0,0,3,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,1,0
day,0,0,0,0,0,0,5,0,0,0,0
read,0,0,0,0,0,0,0,0,0,7,0
write,0,0,0,0,0,0,0,0,0,9,0
talk,0,0,0,0,0,0,0,0,0,6,0
true,7,0,0,0,0,0,0,0,0,0,0
darkness,0,0,0,0,0,0,1,0,0,0,0
go,0,0,0,0,0,0,0,0,0,24,0
walk,0,0,0,0,0,0,1,0,0,10,0
hour,0,0,0,0,0,0,1,0,0,0,0
wild,3,0,0,0,0,0,0,0,0,0,0
shadow,0,0,0,0,0,0,1,0,0,0,0
crowd,0,0,0,0,0,0,0,0,0,1,0
city,0,0,0,0,0,0,2,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,1,0
clever,4,0,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,43,0
clearly,0,0,3,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,11,0
people,0,0,0,0,0,0,15,0,0,0,0
thought,0,0,0,0,0,0,6,0,0,0,0
easily,0,0,4,0,0,0,0,0,0,0,0
wall,0,0,0,0,0,0,8,0,0,0,0
say,0,0,0,0,0,0,0,0,0,64,0
laugh,0,0,0,0,0,0,1,0,0,1,0
face,0,0,0,0,0,0,9,0,0,0,0
surprise,0,0,0,0,0,0,1,0,0,1,0
long,7,0,2,0,0,0,0,0,0,0,0
near,0,1,1,0,0,0,0,0,0,0,0
minute,0,0,0,0,0,0,7,0,0,0,0
word,0,0,0,0,0,0,19,0,0,0,0
suddenly,0,0,3,0,0,0,0,0,0,0,0
tragedy,0,0,0,0,0,0,4,0,0,0,0
well,3,0,0,0,0,0,0,0,0,0,0
funny,2,0,0,0,0,0,0,0,0,0,0
piece,0,0,0,0,0,0,8,0,0,0,0
newspaper,0,0,0,0,0,0,8,0,0,0,0
yes,0,0,0,0,0,12,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,12,0
astonished,4,0,0,0,0,0,0,0,0,0,0
possibly,0,0,3,0,0,0,0,0,0,0,0
good,5,0,0,0,0,0,0,0,0,0,0
writer,0,0,0,0,0,0,2,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,7,0
story,0,0,0,0,0,0,5,0,0,0,0
ancient,1,0,0,0,0,0,0,0,0,0,0
wife,0,0,0,0,0,0,1,0,0,0,0
