word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,0,2,0,0,0,0
broadly,0,0,1,0,0,0,0,0,0
planet,0,0,0,0,221,0,0,0,0
define,0,0,0,0,0,0,0,9,0
relatively,0,0,11,0,0,0,0,0,0
large,64,0,0,0,0,0,0,0,0
natural,11,0,0,0,0,0,0,0,0
body,0,0,0,0,20,0,0,0,0
revolve,0,0,0,0,0,0,0,4,0
orbit,0,0,0,0,41,0,0,14,0
star,0,0,0,0,7,0,0,0,0
radiate,0,0,0,0,0,0,0,4,0
energy,0,0,0,0,16,0,0,0,0
internal,9,0,0,0,0,0,0,0,0
nuclear,2,0,0,0,0,0,0,0,0
fusion,0,0,0,0,3,0,0,0,0
reaction,0,0,0,0,3,0,0,0,0
addition,0,0,0,0,13,0,0,0,0
description,0,0,0,0,1,0,0,0,0
scientist,0,0,0,0,22,0,0,0,0
impose,0,0,0,0,0,0,0,1,0
additional,4,0,0,0,0,0,0,0,0
constraint,0,0,0,0,1,0,0,0,0
characteristic,6,0,0,0,6,0,0,0,0
size,0,0,0,0,31,0,0,0,0
object,0,0,0,0,14,0,0,0,0
mile,0,0,0,0,92,0,0,0,0
little,8,0,3,0,0,0,0,0,0
know,0,0,0,0,0,0,0,25,0
asteroid,0,0,0,0,13,0,0,0,0
shape,0,0,0,0,8,0,0,7,0
squeeze,0,0,0,0,0,0,0,2,0
gravity,0,0,0,0,20,0,0,0,0
sphere,0,0,0,0,1,0,0,0,0
roughly,0,0,23,0,0,0,0,0,0
depend,0,0,0,0,0,0,0,2,0
density,0,0,0,0,16,0,0,0,0
mass,0,0,0,0,17,0,0,0,0
insufficient,1,0,0,0,0,0,0,0,0
core,0,0,0,0,44,0,0,0,0
experience,0,0,0,0,0,0,0,6,0
temporary,3,0,0,0,0,0,0,0,0
term,0,0,0,0,6,0,0,3,0
apply,0,0,0,0,0,0,0,2,0
solar,57,0,0,0,0,0,0,0,0
system,0,0,0,0,35,0,0,0,0
charge,0,0,0,0,1,0,0,10,0
scientific,1,0,0,0,0,0,0,0,0
community,0,0,0,0,2,0,0,0,0
classify,0,0,0,0,0,0,0,2,0
astronomical,3,0,0,0,0,0,0,0,0
list,0,0,0,0,0,0,0,1,0
order,0,0,0,0,2,0,0,0,0
increase,0,0,0,0,1,0,0,13,0
distance,0,0,0,0,27,0,0,0,0
divide,0,0,0,0,0,0,0,3,0
group,0,0,0,0,3,0,0,0,0
inner,19,0,0,0,0,0,0,0,0
lie,0,0,0,0,0,0,0,16,0
belt,0,0,0,0,15,0,0,0,0
outer,19,0,0,0,0,0,0,0,0
dense,19,0,0,0,0,0,0,0,0
rocky,8,0,0,0,0,0,0,0,0
small,43,0,0,0,0,0,0,0,0
typical,6,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,29,0
terrestrial,23,0,0,0,0,0,0,0,0
like,6,14,0,0,0,0,0,0,0
caption,0,0,0,0,28,0,0,0,2
illustration,0,0,0,0,1,0,0,0,0
show,0,0,0,0,0,0,0,11,0
approximate,1,0,0,0,0,0,0,0,0
relative,10,0,0,0,0,0,0,0,0
left,1,0,1,0,0,0,0,0,0
noticeably,0,0,2,0,0,0,0,0,0
average,7,0,0,0,0,0,0,4,0
