word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
let,0,0,0,0,0,0,0,0,0,0,54,0
return,0,0,0,0,0,0,7,0,0,0,46,0
glance,0,0,0,0,0,0,15,0,0,0,0,0
throw,0,0,0,0,0,0,0,0,0,0,23,0
coast,0,0,0,0,0,0,3,0,0,0,0,0
lose,0,0,0,0,0,0,0,0,0,0,49,0
sight,0,0,0,0,0,0,7,0,0,0,0,0
instant,0,0,0,0,0,0,31,0,0,0,0,0
shall,0,0,0,97,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,57,0
despairing,2,0,0,0,0,0,0,0,0,0,0,0
attitude,0,0,0,0,0,0,3,0,0,0,0,0
leave,0,0,0,0,0,0,12,0,0,0,80,0
plunge,0,0,0,0,0,0,0,0,0,0,6,0
abyss,0,0,0,0,0,0,6,0,0,0,0,0
dismal,5,0,0,0,0,0,0,0,0,0,0,0
reflection,0,0,0,0,0,0,4,0,0,0,0,0
dark,11,0,0,0,0,0,0,0,0,0,0,0
hell,0,0,0,0,0,0,4,0,0,0,0,0
gate,0,0,0,0,0,0,12,0,0,0,0,0
hope,0,0,0,0,0,0,15,0,0,0,9,0
time,0,0,0,0,0,0,105,0,0,0,0,0
doubt,0,0,11,0,0,0,16,0,0,0,7,0
fear,0,0,0,0,0,0,11,0,0,0,19,0
occasion,0,0,0,0,0,0,4,0,0,0,0,0
fortune,0,0,0,0,0,0,9,0,0,0,0,0
fail,0,0,0,0,0,0,0,0,0,0,10,0
discover,0,0,0,0,0,0,0,0,0,0,12,0
betray,0,0,0,0,0,0,0,0,0,0,7,0
fatal,7,0,0,0,0,0,0,0,0,0,0,0
genius,0,0,0,0,0,0,7,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,42,0
doubtlessly,0,0,1,0,0,0,0,0,0,0,0,0
combat,0,0,0,0,0,0,0,0,0,0,3,0
succumb,0,0,0,0,0,0,0,0,0,0,1,0
conquer,0,0,0,0,0,0,0,0,0,0,5,0
invincible,1,0,0,0,0,0,0,0,0,0,0,0
power,0,0,0,0,0,0,23,0,0,0,0,0
evil,1,0,0,0,0,0,2,0,0,0,0,0
deceive,0,0,0,0,0,0,0,0,0,0,13,0
love,0,0,0,0,0,0,13,0,0,0,23,1
humble,1,0,0,0,0,0,0,0,0,0,1,0
pride,0,0,0,0,0,0,4,0,0,0,0,0
thwart,0,0,0,0,0,0,0,0,0,0,2,0
ambition,0,0,0,0,0,0,1,0,0,0,0,0
ruin,0,0,0,0,0,0,3,0,0,0,7,0
deprive,0,0,0,0,0,0,0,0,0,0,6,0
liberty,0,0,0,0,0,0,11,0,0,0,0,0
threaten,0,0,0,0,0,0,0,0,0,0,10,0
life,0,0,0,0,0,0,38,0,0,0,0,0
lift,0,0,0,0,0,0,0,0,0,0,4,0
corner,0,0,0,0,0,0,3,0,0,0,0,0
mask,0,0,0,0,0,0,3,0,0,0,2,0
shield,0,0,0,0,0,0,1,0,0,0,0,0
cover,0,0,0,0,0,0,1,0,0,0,10,0
render,0,0,0,0,0,0,0,0,0,0,4,0
strong,10,0,0,0,0,0,0,0,0,0,0,0
turn,0,0,0,0,0,0,17,0,0,0,19,0
aside,0,0,2,0,0,0,0,0,0,0,0,0
hate,0,0,0,0,0,0,0,0,0,0,2,0
tempest,0,0,0,0,0,0,3,0,0,0,0,0
person,0,0,0,0,0,0,18,0,0,0,0,0
queen,0,0,0,0,0,0,23,0,0,0,0,0
pass,0,0,0,0,0,0,0,0,0,0,57,0
conceive,0,0,0,0,0,0,0,0,0,0,5,0
tigerlike,1,0,0,0,0,0,0,0,0,0,0,0
fancy,0,0,0,0,0,0,1,0,0,0,5,0
common,2,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,0,136,0,0,0,0,0
character,0,0,0,0,0,0,4,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,148,0
terrible,26,0,0,0,0,0,0,0,0,0,0,0
secret,3,0,0,0,0,0,8,0,0,0,0,0
swear,0,0,0,0,0,0,0,0,0,0,18,0
die,0,0,0,0,0,0,0,0,0,0,45,0
short,7,0,0,0,0,0,0,0,0,0,0,0
moment,0,0,0,0,0,0,56,0,0,0,0,0
obtain,0,0,0,0,0,0,0,0,0,0,10,0
carte,0,0,0,0,0,0,0,0,0,0,0,1
blanche,0,0,0,0,0,0,0,0,0,0,0,1
mean,1,0,0,0,0,0,13,0,0,0,10,0
vengeance,0,0,0,0,0,0,24,0,0,0,0,0
