word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
master,0,0,0,0,0,0,122,0,0,0,3,0
fix,0,0,0,0,0,0,5,0,0,0,2,0
mistake,0,0,0,0,0,0,7,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,567,0
stand,0,0,0,0,0,0,0,0,0,0,72,0
despondently,0,0,1,0,0,0,0,0,0,0,0,0
hunched,1,0,0,0,0,0,0,0,0,0,0,0
shoulder,0,0,0,0,0,0,16,0,0,0,0,0
peer,0,0,0,0,0,0,0,0,0,0,14,0
puckered,1,0,0,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,0,165,0,0,0,1,0
gloom,0,0,0,0,0,0,12,0,0,0,0,0
evening,0,0,0,0,0,0,17,0,0,0,0,0
flee,0,0,0,0,0,0,0,0,0,0,8,0
far,5,0,110,0,0,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,65,0
lose,0,0,0,0,0,0,0,0,0,0,39,0
count,0,0,0,0,0,0,3,0,0,0,3,0
hour,0,0,0,0,0,0,37,0,0,0,0,0
climb,0,0,0,0,0,0,3,0,0,0,40,0
labour,0,0,0,0,0,0,3,0,0,0,4,0
barren,6,0,0,0,0,0,0,0,0,0,0,0
slope,0,0,0,0,0,0,21,0,0,0,4,0
stone,0,0,0,0,0,0,59,0,0,0,0,0
retrace,0,0,0,0,0,0,0,0,0,0,2,0
step,0,0,0,0,0,0,34,0,0,0,10,0
find,0,0,0,0,0,0,0,0,0,0,123,0
way,0,0,0,0,0,0,192,0,0,0,0,0
forward,0,0,30,0,0,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,3,0
wander,0,0,0,0,0,0,0,0,0,0,8,0
circle,0,0,0,0,0,0,4,0,0,0,0,0
work,0,0,0,0,0,0,8,0,0,0,5,0
steadily,0,0,9,0,0,0,0,0,0,0,0,0
eastward,0,0,9,0,0,0,0,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,0,0,27,0
near,15,14,30,0,0,0,0,0,0,0,1,0
outer,9,0,0,0,0,0,0,0,0,0,0,0
edge,0,0,0,0,0,0,32,0,0,0,0,0
strange,23,0,0,0,0,0,0,0,0,0,0,0
twisted,3,0,0,0,0,0,0,0,0,0,0,0
knot,0,0,0,0,0,0,9,0,0,0,0,0
hill,0,0,0,0,0,0,30,0,0,0,0,0
outward,1,0,0,0,0,0,0,0,0,0,0,0
face,0,0,0,0,0,0,68,0,0,0,6,0
sheer,13,0,1,0,0,0,0,0,0,0,0,0
high,34,0,23,0,0,0,0,0,0,0,0,0
impassable,3,0,0,0,0,0,0,0,0,0,0,0
frown,0,0,0,0,0,0,0,0,0,0,7,0
plain,7,0,1,0,0,0,7,0,0,0,0,0
tumbled,2,0,0,0,0,0,0,0,0,0,0,0
skirt,0,0,0,0,0,0,5,0,0,0,2,0
lie,0,0,0,0,0,0,4,0,0,0,88,0
livid,5,0,0,0,0,0,0,0,0,0,0,0
fester,0,0,0,0,0,0,0,0,0,0,1,0
marsh,0,0,0,0,0,0,11,0,0,0,0,0
move,0,0,0,0,0,0,0,0,0,0,23,0
bird,0,0,0,0,0,0,20,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,120,0
hobbit,0,0,0,0,0,0,139,0,0,0,0,0
brink,0,0,0,0,0,0,11,0,0,0,0,0
tall,23,0,0,0,0,0,0,0,0,0,0,0
cliff,0,0,0,0,0,0,38,0,0,0,0,0
bare,9,0,0,0,0,0,0,0,0,0,0,0
bleak,4,0,0,0,0,0,0,0,0,0,0,0
foot,0,0,0,0,0,0,76,0,0,0,0,0
wrap,0,0,0,0,0,0,0,0,0,0,3,0
mist,0,0,0,0,0,0,16,0,0,0,0,0
rise,0,0,0,0,0,0,0,0,0,0,32,0
broken,20,0,0,0,0,0,0,0,0,0,0,0
highland,0,0,0,0,0,0,1,0,0,0,0,0
crown,0,0,0,0,0,0,4,0,0,0,3,0
drift,0,0,0,0,0,0,1,0,0,0,2,0
cloud,0,0,0,0,0,0,23,0,0,0,0,0
chill,5,0,0,0,0,0,2,0,0,0,0,0
wind,0,0,0,0,0,0,21,0,0,0,19,0
blow,0,0,0,0,0,0,2,0,0,0,11,0
night,0,0,0,0,0,0,68,0,0,0,0,0
gather,0,0,0,0,0,0,0,0,0,0,17,0
shapeless,5,0,0,0,0,0,0,0,0,0,0,0
land,0,0,0,0,0,0,65,0,0,0,2,0
sickly,3,0,2,0,0,0,0,0,0,0,0,0
green,33,0,0,0,0,0,3,0,0,0,0,0
fade,0,0,0,0,0,0,0,0,0,0,18,0
sullen,8,0,0,0,0,0,0,0,0,0,0,0
brown,10,0,0,0,0,0,2,0,0,0,0,0
away,0,3,129,0,0,0,0,0,0,0,0,0
right,24,0,28,0,0,1,16,0,0,0,0,0
gleam,0,0,0,0,0,0,7,0,0,0,14,0
fitfully,0,0,1,0,0,0,0,0,0,0,0,0
sun,0,0,0,0,0,0,22,0,0,0,0,0
break,0,0,0,0,0,0,1,0,0,0,26,0
day,0,0,0,0,0,0,99,0,0,0,0,0
hide,0,0,0,0,0,0,3,0,0,0,33,0
shadow,0,0,0,0,0,0,76,0,0,0,0,0
look,0,0,0,0,0,0,18,0,0,0,141,0
friend,0,0,0,0,0,0,17,0,0,0,0,0
south,0,0,7,0,0,0,6,0,0,0,0,0
east,3,0,6,0,0,0,10,0,0,0,0,0
stare,0,0,0,0,0,0,1,0,0,0,17,0
oncoming,1,0,0,0,0,0,0,0,0,0,0,0
dark,105,0,0,0,0,0,17,0,0,0,0,0
line,0,0,0,0,0,0,15,0,0,0,0,0
hang,0,0,0,0,0,0,0,0,0,0,11,0
like,12,133,1,0,0,0,1,0,0,0,20,0
distant,5,0,0,0,0,0,0,0,0,0,0,0
mountain,0,0,0,0,0,0,47,0,0,0,0,0
motionless,2,0,0,0,0,0,0,0,0,0,0,0
smoke,0,0,0,0,0,0,13,0,0,0,3,0
tiny,4,0,0,0,0,0,0,0,0,0,0,0
red,31,0,0,0,0,0,2,0,0,0,0,0
flicker,0,0,0,0,0,0,2,0,0,0,11,0
upwards,0,0,4,0,0,0,0,0,0,0,0,0
rim,0,0,0,0,0,0,5,0,0,0,0,0
earth,0,0,0,0,0,0,12,0,0,0,0,0
sky,0,0,0,0,0,0,32,0,0,0,0,0
place,0,0,0,0,0,0,75,0,0,0,3,0
hear,0,0,0,0,0,0,0,0,0,0,87,0
want,0,0,0,0,0,0,0,0,0,0,52,0
close,9,0,20,0,0,0,0,0,0,0,7,0
try,0,0,0,0,0,0,0,0,0,0,61,0
nohow,0,0,1,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,327,0
wrong,12,0,0,0,0,0,0,0,0,0,0,0
altogether,0,0,5,0,0,0,0,0,0,0,0,0
seemingly,0,0,2,0,0,0,0,0,0,0,0,0
nasty,16,0,0,0,0,0,0,0,0,0,0,0
bog,0,0,0,0,0,0,3,0,0,0,0,0
warrant,0,0,0,0,0,0,0,0,0,0,5,0
phew,0,0,0,0,0,2,0,0,0,0,0,0
smell,0,0,0,0,0,0,10,0,0,0,12,0
sniff,0,0,0,0,0,0,0,0,0,0,12,0
yes,0,0,1,0,0,152,0,0,0,0,0,0
remain,0,0,0,0,0,0,0,0,0,0,10,0
fixed,2,0,0,0,0,0,0,0,0,0,0,0
flame,0,0,0,0,0,0,10,0,0,0,2,0
mutter,0,0,0,0,0,0,1,0,0,0,22,0
breath,0,0,0,0,0,0,25,0,0,0,0,0
wish,0,0,0,0,0,0,4,0,0,0,37,0
quickly,0,0,26,0,0,0,0,0,0,0,0,0
end,0,0,0,0,0,0,57,0,0,0,7,0
shudder,0,0,0,0,0,0,2,0,0,0,8,0
chilly,2,0,0,0,0,0,0,0,0,0,0,0
heavy,31,0,0,0,0,0,0,0,0,0,0,0
odour,0,0,0,0,0,0,4,0,0,0,0,0
cold,43,0,0,0,0,0,0,0,0,0,0,0
decay,0,0,0,0,0,0,7,0,0,0,0,0
withdraw,0,0,0,0,0,0,0,0,0,0,5,0
stay,0,0,0,0,0,0,0,0,0,0,17,0
sheltered,2,0,0,0,0,0,0,0,0,0,0,0
spot,0,0,0,0,0,0,5,0,0,0,2,0
camp,0,0,0,0,0,0,3,0,0,0,0,0
path,0,0,0,0,0,0,41,0,0,0,0,0
maybe,0,0,39,0,0,0,0,0,0,0,0,0
wonder,0,0,0,0,0,0,13,0,0,0,24,0
doom,0,0,0,0,0,0,8,0,0,0,2,0
think,0,0,0,0,0,0,0,0,0,0,162,0
yonder,0,0,2,0,0,0,2,0,1,0,0,0
good,83,0,0,0,0,3,11,0,0,0,0,0
evil,31,0,1,0,0,0,6,0,0,0,0,0
hope,0,0,0,0,0,0,17,0,0,0,19,0
speed,0,0,0,0,0,0,13,0,0,0,1,0
delay,0,0,0,0,0,0,6,0,0,0,3,0
play,0,0,0,0,0,0,1,0,0,0,7,0
hand,0,0,0,0,0,0,143,0,0,0,3,0
steer,0,0,0,0,0,0,0,0,0,0,5,0
choice,0,0,0,0,0,0,6,0,0,0,0,0
prove,0,0,0,0,0,0,0,0,0,0,6,0
