word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
country,0,0,0,0,0,0,15,0,0,0,0,0,0
north,0,0,1,0,0,0,1,0,0,0,0,0,0
live,1,0,0,0,0,0,0,0,0,0,0,19,0
youth,0,0,0,0,0,0,2,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,0,18,0
old,83,0,0,0,0,0,0,0,0,0,0,0,0
declare,0,0,0,0,0,0,0,0,0,0,0,30,0
expect,0,0,0,0,0,0,0,0,0,0,0,11,0
long,22,0,22,0,0,0,0,0,0,0,0,0,0
word,0,0,0,0,0,0,28,0,0,0,0,0,0
boy,0,0,0,0,0,0,112,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,0,0,15,0
parent,0,0,0,0,0,0,3,0,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,0,42,0
young,8,0,0,0,0,0,0,0,0,0,0,0,0
rear,1,0,0,0,0,0,2,0,0,0,0,2,0
woman,0,0,0,0,0,0,29,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,83,0
reputation,0,0,0,0,0,0,2,0,0,0,0,0,0
sorry,6,0,0,0,0,0,0,0,0,0,0,0,0
good,88,0,0,0,0,0,1,0,0,0,0,0,0
people,0,0,0,0,0,0,21,0,0,0,0,0,0
reason,0,0,0,0,0,0,15,0,0,0,0,0,0
suspect,0,0,0,0,0,0,0,0,0,0,0,11,0
indulge,0,0,0,0,0,0,0,0,0,0,0,2,0
magical,14,0,0,0,0,0,0,0,0,0,0,0,0
art,0,0,0,0,0,0,6,0,0,0,0,0,0
hesitate,0,0,0,0,0,0,0,0,0,0,0,6,0
associate,0,0,0,0,0,0,1,0,0,0,0,2,0
exactly,0,0,9,0,0,0,0,0,0,0,0,0,0
rule,0,0,0,0,0,0,3,0,0,0,0,24,0
forbid,0,0,0,0,0,0,0,0,0,0,0,1,0
exist,0,0,0,0,0,0,0,0,0,0,0,2,0
dominion,0,0,0,0,0,0,2,0,0,0,0,0,0
guardian,0,0,0,0,0,0,2,0,0,0,0,0,0
aspire,0,0,0,0,0,0,0,0,0,0,0,1,0
work,0,0,0,0,0,0,9,0,0,0,0,23,0
magic,4,0,0,0,0,0,17,0,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,0,0,0,6,0
unlawful,1,0,0,0,0,0,0,0,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,0,37,0
wood,0,0,0,0,0,0,14,0,0,0,0,0,0
forest,0,0,0,0,0,0,9,0,0,0,0,0,0
boil,0,0,0,0,0,0,0,0,0,0,0,3,0
pot,0,0,0,0,0,0,3,0,0,0,0,0,0
corn,0,0,0,0,0,0,6,0,0,0,0,0,0
field,0,0,0,0,0,0,12,0,0,0,0,0,0
hoe,0,0,0,0,0,0,0,0,0,0,0,1,0
husking,0,0,0,0,0,0,1,0,0,0,0,0,0
feed,0,0,0,0,0,0,0,0,0,0,0,6,0
pig,0,0,0,0,0,0,4,0,0,0,0,0,0
milk,0,0,0,0,0,0,1,0,0,0,0,3,0
horned,2,0,0,0,0,0,0,0,0,0,0,0,0
cow,0,0,0,0,0,0,6,0,0,0,0,0,0
especial,1,0,0,0,0,0,0,0,0,0,0,0,0
pride,0,0,0,0,0,0,11,0,0,0,0,0,0
suppose,0,0,0,0,0,0,0,0,0,0,0,16,0
time,0,0,0,0,0,0,65,0,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,0,13,0
bad,6,0,0,0,0,0,0,0,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,0,18,0
climb,0,0,0,0,0,0,0,0,0,0,0,8,0
tree,0,0,0,0,0,0,21,0,0,0,0,0,0
bird,0,0,0,0,0,0,11,0,0,0,0,0,0
egg,0,0,0,0,0,0,2,0,0,0,0,0,0
amuse,0,0,0,0,0,0,0,0,0,0,0,3,0
chase,0,0,0,0,0,0,0,0,0,0,0,1,0
fleet,2,0,0,0,0,0,0,0,0,0,0,0,0
white,9,0,0,0,0,0,2,0,0,0,0,0,0
rabbit,0,0,0,0,0,0,3,0,0,0,0,0,0
fish,0,0,0,0,0,0,1,0,0,0,0,2,0
brook,0,0,0,0,0,0,2,0,0,0,0,0,0
bent,1,0,0,0,0,0,0,0,0,0,0,0,0
pin,0,0,0,0,0,0,2,0,0,0,0,2,0
hastily,0,0,2,0,0,0,0,0,0,0,0,0,0
gather,0,0,0,0,0,0,0,0,0,0,0,7,0
armful,0,0,0,0,0,0,1,0,0,0,0,0,0
home,0,0,12,0,0,0,2,0,0,0,0,0,0
tall,10,0,0,0,0,0,0,0,0,0,0,0,0
stalk,0,0,0,0,0,0,6,0,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,0,0,0,16,0
view,0,0,0,0,0,0,6,0,0,0,0,2,0
dig,0,0,0,0,0,0,0,0,0,0,0,4,0
gopher,0,0,0,0,0,0,2,0,0,0,0,0,0
hole,0,0,0,0,0,0,15,0,0,0,0,0,0
mood,0,0,0,0,0,0,1,0,0,0,0,0,0
seize,0,0,0,0,0,0,0,0,0,0,0,6,0
lie,0,0,0,0,0,0,0,0,0,0,0,25,0
row,0,0,0,0,0,0,5,0,0,0,0,2,0
nap,0,0,0,0,0,0,1,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,0,31,0
care,0,0,0,0,0,0,6,0,0,0,0,3,0
exhaust,0,0,0,0,0,0,0,0,0,0,0,1,0
strength,0,0,0,0,0,0,4,0,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,0,15,0
strong,12,0,0,0,0,0,0,0,0,0,0,0,0
rugged,1,0,0,0,0,0,0,0,0,0,0,0,0
curious,10,0,0,0,0,0,0,0,0,0,0,0,0
frighten,0,0,0,0,0,0,0,0,0,0,0,6,0
neighbor,0,0,0,0,0,0,1,0,0,0,0,0,0
treat,0,0,0,0,0,0,0,0,0,0,0,2,0
shyly,0,0,1,0,0,0,0,0,0,0,0,0,0
respectfully,0,0,2,0,0,0,0,0,0,0,0,0,0
weird,1,0,0,0,0,0,0,0,0,0,0,0,0
power,0,0,0,0,0,0,10,0,0,0,0,0,0
frankly,0,0,3,0,0,0,0,0,0,0,0,0,0
hate,0,0,0,0,0,0,0,0,0,0,0,1,0
pain,0,0,0,0,0,0,10,0,0,0,0,0,0
feeling,0,0,0,0,0,0,2,0,0,0,0,0,0
show,0,0,0,0,0,0,0,0,0,0,0,4,0
respect,0,0,0,0,0,0,4,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,0,18,0
pumpkin,0,0,0,0,0,0,45,0,0,0,0,0,0
golden,12,0,0,0,0,0,0,0,0,0,0,0,0
red,14,0,0,0,0,0,3,0,0,0,0,0,0
green,34,0,0,0,0,0,2,0,0,0,0,0,0
plant,0,0,0,0,0,0,0,0,0,0,0,2,0
carefully,0,0,23,0,0,0,0,0,0,0,0,0,0
tend,0,0,0,0,0,0,0,0,0,0,0,1,0
eat,0,0,0,0,0,0,0,0,0,0,0,23,0
winter,0,0,0,0,0,0,1,0,0,0,0,0,0
day,0,0,0,0,0,0,25,0,0,0,0,0,0
cut,0,0,0,0,0,0,0,0,0,0,0,10,0
stack,0,0,0,0,0,0,0,0,0,0,0,1,0
stable,0,0,0,0,0,0,4,0,0,0,0,0,0
notion,0,0,0,0,0,0,2,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,0,35,0
fright,0,0,0,0,0,0,2,0,0,0,0,0,0
select,2,0,0,0,0,0,0,0,0,0,0,6,0
fine,5,0,1,0,0,0,0,0,0,0,0,0,0
big,23,0,0,0,0,0,0,0,0,0,0,0,0
lustrous,1,0,0,0,0,0,0,0,0,0,0,0,0
orange,0,0,0,0,0,0,1,0,0,0,0,0,0
color,0,0,0,0,0,0,11,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,0,45,0
carve,0,0,0,0,0,0,0,0,0,0,0,8,0
point,0,0,0,0,0,0,9,0,0,0,0,6,0
knife,0,0,0,0,0,0,10,0,0,0,0,0,0
round,11,1,0,0,0,0,0,0,0,0,0,1,0
eye,0,0,0,0,0,0,41,0,0,0,0,2,0
cornered,1,0,0,0,0,0,0,0,0,0,0,0,0
nose,0,0,0,0,0,0,5,0,0,0,0,0,0
mouth,0,0,0,0,0,0,7,0,0,0,0,0,0
shape,0,0,0,0,0,0,5,0,0,0,0,2,0
like,1,31,0,0,0,0,0,0,0,0,0,9,0
new,29,0,0,0,0,0,0,0,0,0,0,0,0
moon,0,0,0,0,0,0,5,0,0,0,0,0,0
face,0,0,0,0,0,0,39,0,0,0,0,7,0
complete,4,0,0,0,0,0,0,0,0,0,0,6,0
strictly,0,0,2,0,0,0,0,0,0,0,0,0,0
beautiful,16,0,0,0,0,0,0,0,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,0,0,28,0
smile,0,0,0,0,0,0,13,0,0,0,0,11,0
broad,4,0,0,0,0,0,0,0,0,0,0,0,0
jolly,3,0,0,0,0,0,0,0,0,0,0,0,0
expression,0,0,0,0,0,0,12,0,0,0,0,0,0
laugh,0,0,0,0,0,0,4,0,0,0,0,18,0
look,0,0,0,0,0,0,8,0,0,0,0,79,0
admiringly,0,0,6,0,0,0,0,0,0,0,0,0,0
child,0,0,0,0,0,0,7,0,0,0,0,0,0
playmate,0,0,0,0,0,0,1,0,0,0,0,0,0
inside,0,0,0,0,0,0,3,0,0,0,0,0,0
jack,0,0,0,0,0,0,4,0,0,0,0,0,0
space,0,0,0,0,0,0,3,0,0,0,0,0,0
light,2,0,0,0,0,0,3,0,0,0,0,3,0
candle,0,0,0,0,0,0,5,0,0,0,0,0,0
render,0,0,0,0,0,0,0,0,0,0,0,5,0
startling,4,0,0,0,0,0,0,0,0,0,0,0,0
conceive,0,0,0,0,0,0,0,0,0,0,0,3,0
idea,0,0,0,0,0,0,12,0,0,0,0,0,0
promise,0,0,0,0,0,0,2,0,0,0,0,10,0
effective,2,0,0,0,0,0,0,0,0,0,0,0,0
decide,0,0,0,0,0,0,0,0,0,0,0,17,0
manufacture,0,0,0,0,0,0,0,0,0,0,0,4,0
form,0,0,0,0,0,0,16,0,0,0,0,5,0
man,0,0,0,0,0,0,73,0,0,0,0,0,0
head,0,0,0,0,0,0,103,0,0,0,0,4,0
stand,0,0,0,0,0,0,0,0,0,0,0,38,0
place,0,0,0,0,0,0,24,0,0,0,0,15,0
meet,0,0,0,0,0,0,0,0,0,0,0,14,0
say,0,0,0,0,0,0,0,0,0,0,0,328,0
squeal,0,0,0,0,0,0,0,0,0,0,0,1,0
louder,0,0,1,0,0,0,0,0,0,0,0,0,0
