word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
city,0,0,0,0,0,0,39,0,0,0,0,0
float,0,0,0,0,0,0,0,0,0,0,7,0
water,0,0,0,0,0,0,42,0,0,0,0,0
sixth,0,0,0,0,0,0,2,0,0,0,0,0
gentle,3,0,0,0,0,0,0,0,0,0,0,0
kind,11,0,0,0,0,0,22,0,0,0,0,0
little,109,0,1,0,0,0,0,0,0,0,0,0
gray,19,0,0,0,0,0,0,0,0,0,0,0
goose,0,0,0,0,0,0,191,0,0,0,0,0
wild,116,0,0,0,0,0,0,0,0,0,0,0
love,0,0,0,0,0,0,3,0,0,0,6,0
tame,8,0,0,0,0,0,0,0,0,0,0,0
white,48,0,0,0,0,0,2,0,0,0,0,0
goosey,0,0,0,0,0,0,44,0,0,0,0,0
gander,0,0,0,0,0,0,52,0,0,0,0,0
die,0,0,0,0,0,0,0,0,0,0,13,0
ask,0,0,0,0,0,0,0,0,0,0,86,0
soon,0,0,53,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,236,0
landscape,0,0,0,0,0,0,5,0,0,0,0,0
look,0,0,0,0,0,0,4,0,0,0,109,0
familiar,7,0,0,0,0,0,0,0,0,0,0,0
lake,0,0,0,0,0,0,25,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,0,43,0
sea,0,0,0,0,0,0,36,0,0,0,0,0
wooded,5,0,0,0,0,0,0,0,0,0,0,0
island,0,0,0,0,0,0,67,0,0,0,0,0
islet,0,0,0,0,0,0,11,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,77,0
parent,0,0,0,0,0,0,21,0,0,0,0,0
brother,0,0,0,0,0,0,14,0,0,0,0,0
sister,0,0,0,0,0,0,25,0,0,0,0,0
beg,0,0,0,0,0,0,0,0,0,0,9,0
fly,0,0,0,0,0,0,0,0,0,0,102,0
home,0,0,23,0,0,0,67,0,0,0,0,0
travel,0,0,0,0,0,0,2,0,0,0,48,0
far,2,0,71,0,0,0,0,0,0,0,0,0
north,0,0,14,0,0,0,12,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,46,0
family,0,0,0,0,0,0,8,0,0,0,0,0
alive,5,0,0,0,0,0,0,0,0,0,0,0
joy,0,0,0,0,0,0,10,0,0,0,0,0
frankly,0,0,1,0,0,0,0,0,0,0,0,0
declare,0,0,0,0,0,0,0,0,0,0,3,0
think,0,0,0,0,0,0,0,0,0,0,184,0
show,0,0,0,0,0,0,0,0,0,0,9,0
great,66,0,0,0,0,0,0,0,0,0,0,0
abandon,0,0,0,0,0,0,0,0,0,0,4,0
admit,0,0,0,0,0,0,0,0,0,0,5,0
right,20,0,8,0,0,0,3,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,148,0
protest,0,0,0,0,0,0,1,0,0,0,7,0
surely,0,0,14,0,0,0,0,0,0,0,0,0
remain,0,0,0,0,0,0,0,0,0,0,16,0
account,0,0,0,0,0,0,6,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,57,0
tell,0,0,0,0,0,0,0,0,0,0,81,0
archipelago,0,0,0,0,0,0,4,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,50,0
induce,0,0,0,0,0,0,0,0,0,0,1,0
trip,0,0,0,0,0,0,17,0,0,0,2,0
rock,0,0,0,0,0,0,19,0,0,0,0,0
distance,0,0,0,0,0,0,15,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,0,34,0
stone,0,0,0,0,0,0,24,0,0,0,0,0
close,6,0,17,0,0,0,0,0,0,0,7,0
find,0,0,0,0,0,0,2,0,0,0,76,0
choice,1,0,0,0,0,0,3,0,0,0,0,0
tidbit,0,0,0,0,0,0,1,0,0,0,0,0
cleft,0,0,0,0,0,0,10,0,0,0,0,0
hollow,0,0,0,0,0,0,2,0,0,0,0,0
search,0,0,0,0,0,0,5,0,0,0,7,0
long,46,0,60,0,0,0,0,0,0,0,13,0
well,14,0,16,0,0,0,0,0,0,0,1,0
nesting,0,0,0,0,0,0,3,0,0,0,0,0
place,0,0,0,0,0,0,69,0,0,0,3,0
hide,0,0,0,0,0,0,2,0,0,0,15,0
mountain,0,0,0,0,0,0,69,0,0,0,0,0
crevice,0,0,0,0,0,0,2,0,0,0,0,0
osi,3,0,0,0,0,0,0,0,0,0,0,0
bush,0,0,0,0,0,0,17,0,0,0,0,0
good,81,0,0,0,0,1,3,0,0,0,0,0
old,106,0,0,0,0,0,0,0,0,0,0,0
fisherman,0,0,0,0,0,0,37,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,77,0
youth,0,0,0,0,0,0,2,0,0,0,0,0
shot,0,0,0,0,0,0,5,0,0,0,0,0
offing,0,0,0,0,0,0,1,0,0,0,0,0
hunt,0,0,0,0,0,0,1,0,0,0,4,0
bird,0,0,0,0,0,0,85,0,0,0,0,0
age,0,0,0,0,0,0,6,0,0,0,0,0
wife,0,0,0,0,0,0,7,0,0,0,0,0
child,0,0,0,0,0,0,71,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,115,0
