word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB
old,24,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,42,0,0,0
eighty,0,0,0,0,0,0,0,1,0,0
spring,0,0,0,0,0,0,5,0,0,0
house,0,0,0,0,0,0,16,0,0,0
right,7,0,4,0,0,0,0,0,0,0
middle,0,0,0,0,0,0,5,0,0,0
watch,0,0,0,0,0,0,0,0,0,6
street,0,0,0,0,0,0,4,0,0,0
market,0,0,0,0,0,0,4,0,0,0
window,0,0,0,0,0,0,1,0,0,0
live,0,0,0,0,0,0,0,0,0,14
quietly,0,0,4,0,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,10
chair,0,0,0,0,0,0,2,0,0,0
know,0,0,0,0,0,0,0,0,0,31
great,11,0,0,0,0,0,0,0,0,0
thirty,0,0,0,0,0,0,0,6,0,0
year,0,0,0,0,0,0,42,0,0,0
friend,0,0,0,0,0,0,29,0,0,0
work,0,0,0,0,0,0,6,0,0,12
theatre,0,0,0,0,0,0,24,0,0,0
good,44,0,2,0,0,0,0,0,0,0
time,0,0,0,0,0,0,32,0,0,0
bad,9,0,0,0,0,0,0,0,0,0
playwright,0,0,0,0,0,0,5,0,0,0
poet,0,0,0,0,0,0,7,0,0,0
see,0,0,0,0,0,0,0,0,0,13
play,0,0,0,0,0,0,110,0,0,13
people,0,0,0,0,0,0,32,0,0,0
love,0,0,0,0,0,0,9,0,0,15
shout,0,0,0,0,0,0,0,0,0,11
laugh,0,0,0,0,0,0,0,0,0,24
cry,0,0,0,0,0,0,0,0,0,6
eat,0,0,0,0,0,0,0,0,0,3
orange,0,0,0,0,0,0,1,0,0,0
call,0,0,0,0,0,0,0,0,0,9
kind,0,0,0,0,0,0,7,0,0,0
king,0,0,0,0,0,0,9,0,0,0
lord,0,0,0,0,0,0,4,0,0,0
lady,0,0,0,0,0,0,2,0,0,0
poor,6,0,0,0,0,0,0,0,0,0
boy,0,0,0,0,0,0,17,0,0,0
hold,0,0,0,0,0,0,0,0,0,2
horse,0,0,0,0,0,0,9,0,0,0
remember,0,0,0,0,0,0,0,0,0,14
big,9,0,0,0,0,0,0,0,0,0
fat,2,0,0,0,0,0,0,0,0,0
like,0,26,0,0,0,0,0,0,0,23
drink,0,0,0,0,0,0,1,0,0,5
have,0,0,0,0,0,0,0,0,0,3
dead,9,0,0,0,0,0,0,0,0,0
course,0,0,3,0,0,0,13,0,0,0
close,2,0,0,0,0,0,0,0,0,7
singing,0,0,0,0,0,0,3,0,0,0
dancing,0,0,0,0,0,0,4,0,0,0
young,19,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,35,0,0,0
tooth,0,0,0,0,0,0,2,0,0,0
hair,0,0,0,0,0,0,6,0,0,0
fall,0,0,0,0,0,0,0,0,0,5
think,0,0,0,0,0,0,0,0,0,26
sunny,1,0,0,0,0,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,6
outside,0,4,0,0,0,0,0,0,0,0
near,0,3,0,0,0,0,0,0,0,0
field,0,0,0,0,0,0,3,0,0,0
apple,0,0,0,0,0,0,7,0,0,0
tree,0,0,0,0,0,0,4,0,0,0
red,8,0,0,0,0,0,0,0,0,0
look,0,0,0,0,0,0,2,0,0,26
get,0,0,0,0,0,0,0,0,0,24
say,0,0,0,0,0,0,0,0,0,97
smile,0,0,0,0,0,0,0,0,0,9
send,0,0,0,0,0,0,0,0,0,2
dog,0,0,0,0,0,0,1,0,0,0
go,0,0,0,0,0,0,0,0,0,49
come,0,0,0,0,0,0,0,0,0,43
minute,0,0,0,0,0,0,8,0,0,0
wrong,4,0,1,0,0,0,0,0,0,0
later,0,0,13,0,0,0,0,0,0,0
angry,4,0,0,0,0,0,0,0,0,0
face,0,0,0,0,0,0,7,0,0,0
wall,0,0,0,0,0,0,1,0,0,0
far,1,0,0,0,0,0,0,0,0,0
run,0,0,0,0,0,0,0,0,0,11
wind,0,0,0,0,0,0,1,0,0,0
stop,0,0,0,0,0,0,0,0,0,6
reach,0,0,0,0,0,0,0,0,0,1
river,0,0,0,0,0,0,7,0,0,0
tell,0,0,0,0,0,0,0,0,0,9
father,0,0,0,0,0,0,10,0,0,0
sister,0,0,0,0,0,0,6,0,0,0
brother,0,0,0,0,0,0,9,0,0,0
die,0,0,0,0,0,0,0,0,0,24
learn,0,0,0,0,0,0,0,0,0,12
little,7,0,0,0,0,0,0,0,0,0
baby,0,0,0,0,0,0,3,0,0,0
family,0,0,0,0,0,0,17,0,0,0
ask,0,0,0,0,0,0,0,0,0,13
parent,0,0,0,0,0,0,2,0,0,0
mother,0,0,0,0,0,0,4,0,0,0
shoemaker,0,0,0,0,0,0,1,0,0,0
school,0,0,0,0,0,0,3,0,0,0
seven,0,0,0,0,0,0,0,4,0,0
sorry,4,0,0,0,0,0,0,0,0,0
boring,2,0,0,0,0,0,0,0,0,0
usually,0,0,4,0,0,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,2
hand,0,0,0,0,0,0,5,0,0,0
head,0,0,0,0,0,0,5,0,0,0
read,0,0,0,0,0,0,0,0,0,15
latin,1,0,0,0,0,0,0,0,0,0
writer,0,0,0,0,0,0,11,0,0,0
want,0,0,0,0,0,0,0,0,0,19
modern,3,0,0,0,0,0,0,0,0,0
english,3,0,0,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,13
world,0,0,0,0,0,0,5,0,0,0
nearly,0,0,3,0,0,0,0,0,0,0
teach,0,0,0,0,0,0,0,0,0,2
lot,0,0,0,0,0,0,32,0,0,0
book,0,0,0,0,0,0,6,0,0,0
poetry,0,0,0,0,0,0,10,0,0,0
nose,0,0,0,0,0,0,1,0,0,0
leave,0,0,0,0,0,0,0,0,0,7
glove,0,0,0,0,0,0,2,0,0,0
maker,0,0,0,0,0,0,1,0,0,0
business,0,0,0,0,0,0,4,0,0,0
buy,0,0,0,0,0,0,0,0,0,5
sell,0,0,0,0,0,0,0,0,0,1
sheep,0,0,0,0,0,0,4,0,0,0
interested,5,0,0,0,0,0,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,5
life,0,0,0,0,0,0,14,0,0,0
make,0,0,0,0,0,0,0,0,0,5
shoe,0,0,0,0,0,0,3,0,0,0
away,0,2,3,0,0,0,0,0,0,0
sea,0,0,0,0,0,0,4,0,0,0
sailor,0,0,0,0,0,0,1,0,0,0
sail,0,0,0,0,0,0,0,0,0,3
round,0,4,3,0,0,0,0,0,0,0
journey,0,0,0,0,0,0,2,0,0,0
plan,0,0,0,0,0,0,2,0,0,0
write,0,0,0,0,0,0,0,0,0,39
poem,0,0,0,0,0,0,5,0,0,0
show,0,0,0,0,0,0,0,0,0,3
happy,11,0,0,0,0,0,0,0,0,0
writing,0,0,0,0,0,0,7,0,0,0
woman,0,0,0,0,0,0,18,0,0,0
long,4,0,3,0,0,0,0,0,0,0
marry,0,0,0,0,0,0,0,0,0,11
week,0,0,0,0,0,0,9,0,0,0
mouth,0,0,0,0,0,0,1,0,0,0
open,3,0,0,0,0,0,0,0,0,4
stay,0,0,0,0,0,0,0,0,0,7
yes,0,0,0,0,0,8,0,0,0,0
table,0,0,0,0,0,0,5,0,0,0
pick,0,0,0,0,0,0,0,0,0,2
fine,8,0,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,0,6,0,0,0
uncomfortably,0,0,1,0,0,0,0,0,0,0
eighteen,0,0,0,0,0,0,0,3,0,0
mean,0,0,0,0,0,0,0,0,0,2
month,0,0,0,0,0,0,4,0,0,0
pleased,7,0,0,0,0,0,0,0,0,0
son,0,0,0,0,0,0,15,0,0,0
married,3,0,0,0,0,0,0,0,0,0
cost,0,0,0,0,0,0,0,0,0,2
money,0,0,0,0,0,0,16,0,0,0
trouble,0,0,0,0,0,0,3,0,0,0
hard,2,0,3,0,0,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,2
eye,0,0,0,0,0,0,11,0,0,0
happily,0,0,1,0,0,0,0,0,0,0
beautiful,6,0,0,0,0,0,0,0,0,0
clever,9,0,0,0,0,0,0,0,0,0
talk,0,0,0,0,0,0,4,0,0,22
child,0,0,0,0,0,0,11,0,0,0
believe,0,0,0,0,0,0,0,0,0,2
word,0,0,0,0,0,0,19,0,0,0
wife,0,0,0,0,0,0,7,0,0,0
wild,4,0,0,0,0,0,0,0,0,0
puritan,1,0,0,0,0,0,0,0,0,0
church,0,0,0,0,0,0,5,0,0,0
going,0,0,0,0,0,0,1,0,0,0
soon,0,0,8,0,0,0,0,0,0,0
way,0,0,0,0,0,0,4,0,0,0
evening,0,0,0,0,0,0,6,0,0,0
hurry,0,0,0,0,0,0,0,0,0,4
hear,0,0,0,0,0,0,0,0,0,8
news,0,0,0,0,0,0,2,0,0,0
door,0,0,0,0,0,0,8,0,0,0
stair,0,0,0,0,0,0,2,0,0,0
twin,0,0,0,0,0,0,4,0,0,0
wonderful,4,0,0,0,0,0,0,0,0,0
grandson,0,0,0,0,0,0,3,0,0,0
change,0,0,0,0,0,0,2,0,0,6
small,5,0,0,0,0,0,0,0,0,0
slow,1,0,0,0,0,0,0,0,0,0
quiet,6,0,0,0,0,0,0,0,0,0
answer,0,0,0,0,0,0,0,0,0,2
summer,0,0,0,0,0,0,7,0,0,0
company,0,0,0,0,0,0,8,0,0,0
player,0,0,0,0,0,0,3,0,0,0
town,0,0,0,0,0,0,5,0,0,0
different,10,0,0,0,0,0,0,0,0,0
actor,0,0,0,0,0,0,30,0,0,0
listen,0,0,0,0,0,0,0,0,0,9
story,0,0,0,0,0,0,5,0,0,0
stupid,6,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,4
happen,0,0,0,0,0,0,0,0,0,5
walk,0,0,0,0,0,0,0,0,0,3
kitchen,0,0,0,0,0,0,1,0,0,0
voice,0,0,0,0,0,0,8,0,0,0
scream,0,0,0,0,0,0,0,0,0,1
acting,0,0,0,0,0,0,4,0,0,0
dirty,2,0,0,0,0,0,0,0,0,0
wicked,3,0,0,0,0,0,0,0,0,0
thief,0,0,0,0,0,0,2,0,0,0
criminal,0,0,0,0,0,0,1,0,0,0
true,6,0,0,0,0,0,0,0,0,0
home,0,0,6,0,0,0,7,0,0,0
room,0,0,0,0,0,0,5,0,0,0
start,0,0,0,0,0,0,0,0,0,2
bright,8,0,0,0,0,0,0,0,0,0
excited,3,0,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,7
help,0,0,0,0,0,0,0,0,0,3
ride,0,0,0,0,0,0,0,0,0,4
feel,0,0,0,0,0,0,0,0,0,4
afraid,1,0,0,0,0,0,0,0,0,0
city,0,0,0,0,0,0,3,0,0,0
unimportant,1,0,0,0,0,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,0,5
noise,0,0,0,0,0,0,2,0,0,0
smell,0,0,0,0,0,0,1,0,0,1
crowd,0,0,0,0,0,0,2,0,0,0
famous,9,0,0,0,0,0,0,0,0,0
shop,0,0,0,0,0,0,1,0,0,0
enemy,0,0,0,0,0,0,2,0,0,0
gate,0,0,0,0,0,0,1,0,0,0
inn,0,0,0,0,0,0,3,0,0,0
expensive,2,0,0,0,0,0,0,0,0,0
bread,0,0,0,0,0,0,3,0,0,0
meat,0,0,0,0,0,0,3,0,0,0
beer,0,0,0,0,0,0,9,0,0,0
supper,0,0,0,0,0,0,1,0,0,0
mmm,0,0,0,0,0,1,0,0,0,0
early,1,0,0,0,0,0,0,0,0,0
new,30,0,0,0,0,0,0,0,0,0
shilling,0,0,0,0,0,0,2,0,0,0
decide,0,0,0,0,0,0,0,0,0,2
act,0,0,0,0,0,0,1,0,0,3
part,0,0,0,0,0,0,4,0,0,0
soldier,0,0,0,0,0,0,2,0,0,0
murderer,0,0,0,0,0,0,3,0,0,0
italian,4,0,0,0,0,0,0,0,0,0
stage,0,0,0,0,0,0,12,0,0,0
late,2,0,1,0,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,5
place,0,0,0,0,0,0,5,0,0,0
costume,0,0,0,0,0,0,5,0,0,0
property,0,0,0,0,0,0,3,0,0,0
need,0,0,0,0,0,0,0,0,0,5
clothe,0,0,0,0,0,0,4,0,0,0
thing,0,0,0,0,0,0,6,0,0,0
slowly,0,0,7,0,0,0,0,0,0,0
fight,0,0,0,0,0,0,4,0,0,7
tomorrow,0,0,0,0,0,0,1,0,0,0
blood,0,0,0,0,0,0,4,0,0,0
kindly,0,0,1,0,0,0,0,0,0,0
morning,0,0,0,0,0,0,4,0,0,0
keep,0,0,0,0,0,0,0,0,0,1
warm,1,0,0,0,0,0,0,0,0,0
