word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
sit,0,0,0,0,0,0,0,0,0,0,0,36,0
glitter,0,0,0,0,0,0,0,0,0,0,0,5,0
tin,1,0,0,0,0,0,175,0,0,0,0,0,0
throne,0,0,0,0,0,0,13,0,0,0,0,0,0
handsome,5,0,0,0,0,0,0,0,0,0,0,0,0
hall,0,0,0,0,0,0,7,0,0,0,0,0,0
splendid,8,0,0,0,0,0,0,0,0,0,0,0,0
castle,0,0,0,0,0,0,43,0,0,0,0,0,0
chair,0,0,0,0,0,0,24,0,0,0,0,0,0
weave,0,0,0,0,0,0,0,0,0,0,0,2,0
straw,0,0,0,0,0,0,71,0,0,0,0,0,0
good,92,0,3,0,0,4,7,0,0,0,0,0,0
friend,0,0,0,0,0,0,112,0,0,0,0,0,0
time,0,0,0,0,0,0,87,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,0,21,0
curious,13,0,0,0,0,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,0,33,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,0,52,0
strange,22,0,0,0,0,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,0,20,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,86,0
meet,0,0,0,0,0,0,0,0,0,0,0,27,0
comrade,0,0,0,0,0,0,11,0,0,0,0,0,0
silent,11,0,0,0,0,0,0,0,0,0,0,0,0
talk,0,0,0,0,0,0,0,0,0,0,0,15,0
find,0,0,0,0,0,0,0,0,0,0,0,109,0
contented,5,0,0,0,0,0,0,0,0,0,0,0,0
merely,0,0,13,0,0,0,0,0,0,0,0,0,0
brief,3,0,0,0,0,0,0,0,0,0,0,0,0
sentence,0,0,0,0,0,0,1,0,0,0,0,0,0
prove,0,0,0,0,0,0,0,0,0,0,0,14,0
wide,4,0,1,0,0,0,0,0,0,0,0,0,0
awake,3,0,0,0,0,0,0,0,0,0,0,0,0
attentive,2,0,0,0,0,0,0,0,0,0,0,0,0
quaint,1,0,0,0,0,0,0,0,0,0,0,0,0
person,0,0,0,0,0,0,21,0,0,0,0,0,0
sleep,0,0,0,0,0,0,4,0,0,0,0,14,0
tired,6,0,0,0,0,0,0,0,0,0,0,0,0
brilliant,4,0,0,0,0,0,0,0,0,0,0,0,0
sun,0,0,0,0,0,0,8,0,0,0,0,0,0
sink,0,0,0,0,0,0,0,0,0,0,0,3,0
low,5,0,3,0,0,0,0,0,0,0,0,0,0
tint,0,0,0,0,0,0,2,0,0,0,0,2,0
glisten,0,0,0,0,0,0,0,0,0,0,0,1,0
