word,ADJ,ADP,ADV,DET,NOUN,NUM,VERB,X
picture,0,0,0,0,1,0,1,0
location,0,0,0,0,11,0,0,0
distinguishing,1,0,0,0,0,0,0,0
geographic,1,0,0,0,0,0,0,0
cultural,2,0,0,0,0,0,0,0
landmark,0,0,0,0,1,0,0,0
instance,0,0,0,0,1,0,0,0
frequently,0,0,5,0,0,0,0,0
thing,0,0,0,0,1,0,0,0
come,0,0,0,0,0,0,3,0
mind,0,0,0,0,1,0,0,0
apparent,2,0,0,0,0,0,0,0
climate,0,0,0,0,147,0,0,0
indispensable,1,0,0,0,0,0,0,0
understanding,0,0,0,0,1,0,0,0
particular,1,0,0,0,0,0,0,0
area,0,0,0,0,50,0,0,0
play,0,0,0,0,0,0,1,0
large,14,0,0,0,0,0,0,0
craft,0,0,0,0,0,0,1,0
land,0,0,0,0,19,0,0,0
shape,0,0,0,0,0,0,4,0
way,0,0,0,0,5,0,0,0
life,0,0,0,0,10,0,0,0
evolve,0,0,0,0,0,0,1,0
place,0,0,0,0,10,0,0,0
continue,0,0,0,0,0,0,3,0
interaction,0,0,0,0,1,0,0,0
landscape,0,0,0,0,4,0,0,0
visit,0,0,0,0,0,0,1,0
pyramid,0,0,0,0,1,0,0,0
example,0,0,0,0,14,0,0,0
vastly,0,0,1,0,0,0,0,0
different,7,0,0,0,0,0,0,0
experience,0,0,0,0,1,0,7,0
arid,7,0,0,0,0,0,0,0
desert,0,0,0,0,15,0,0,0
backdrop,0,0,0,0,1,0,0,0
volume,0,0,0,0,2,0,0,0
provide,0,0,0,0,0,0,3,0
thorough,1,0,0,0,0,0,0,0
introduction,0,0,0,0,1,0,0,0
region,0,0,0,0,40,0,0,0
world,0,0,0,0,22,0,0,0
examine,0,0,0,0,0,0,1,0
account,0,0,0,0,2,0,2,0
global,12,0,0,0,0,0,0,0
variation,0,0,0,0,8,0,0,0
influence,0,0,0,0,5,0,5,0
number,0,0,0,0,5,0,0,0
factor,0,0,0,0,10,0,0,0
simply,0,0,1,0,0,0,0,0
determine,0,0,0,0,0,0,6,0
glance,0,0,0,0,0,0,1,0
weather,0,0,0,0,14,0,0,0
forecast,0,0,0,0,1,0,1,0
give,0,0,0,0,0,0,7,0
day,0,0,0,0,6,0,0,0
describe,0,0,0,0,0,0,7,0
aggregate,1,0,0,0,1,0,0,0
period,0,0,0,0,13,0,0,0
year,0,0,0,0,36,0,0,0
govern,0,0,0,0,0,0,1,0
control,0,0,0,0,9,0,1,0
latitude,0,0,0,0,52,0,0,0
water,0,0,0,0,26,0,0,0
distribution,0,0,0,0,7,0,0,0
atmospheric,3,0,0,0,0,0,0,0
pressure,0,0,0,0,16,0,0,0
altitude,0,0,0,0,5,0,0,0
ocean,0,0,0,0,15,0,0,0
current,2,0,0,0,8,0,0,0
common,4,0,0,0,0,0,0,0
measure,0,0,0,0,4,0,0,0
include,0,0,0,0,0,0,12,0
mean,26,0,0,0,5,0,1,0
average,13,0,0,0,5,0,9,0
value,0,0,0,0,6,0,0,0
temperature,0,0,0,0,98,0,0,0
precipitation,0,0,0,0,39,0,0,0
rain,0,0,0,0,9,0,1,0
snow,0,0,0,0,15,0,0,0
compare,0,0,0,0,0,0,5,0
like,0,2,0,0,0,0,0,0
reveal,0,0,0,0,0,0,2,0
incredible,1,0,0,0,0,0,0,0
range,0,0,0,0,9,0,6,0
condition,0,0,0,0,13,0,0,0
affect,0,0,0,0,0,0,16,0
planet,0,0,0,0,6,0,0,0
true,3,0,0,0,0,0,0,0
color,0,0,0,0,2,0,0,0
satellite,1,0,0,0,1,0,0,0
image,0,0,0,0,2,0,0,0
depict,0,0,0,0,0,0,2,0
cover,0,0,0,0,8,0,11,0
vegetation,0,0,0,0,19,0,0,0
green,4,0,0,0,0,0,0,0
brown,1,0,0,0,0,0,0,0
white,1,0,0,0,1,0,0,0
blue,0,0,0,0,1,0,0,0
largely,0,0,4,0,0,0,0,0
central,9,0,0,0,0,0,0,0
landmass,0,0,0,0,7,0,0,0
represent,0,0,0,0,0,0,2,0
north,2,0,1,0,7,0,0,0
american,1,0,0,0,0,0,0,0
continent,0,0,0,0,6,0,0,0
contrast,0,0,0,0,1,0,2,0
northern,10,0,0,0,0,0,0,0
demonstrate,0,0,0,0,0,0,1,0
vary,0,0,0,0,0,0,7,0
subject,1,0,0,0,1,0,0,0
diversity,0,0,0,0,3,0,0,0
reflect,0,0,0,0,0,0,5,0
system,0,0,0,0,10,0,0,0
classify,0,0,0,0,0,0,2,0
identify,0,0,0,0,0,0,2,0
divide,0,0,0,0,0,0,7,0
climatic,13,0,0,0,0,0,0,0
zone,0,0,0,0,15,0,0,0
base,0,0,0,0,1,0,4,0
similarity,0,0,0,0,1,0,0,0
help,0,0,0,0,0,0,6,0
pattern,0,0,0,0,8,0,0,0
disparate,1,0,0,0,0,0,0,0
classification,0,0,0,0,7,0,0,0
scheme,0,0,0,0,3,0,0,0
book,0,0,0,0,3,0,0,0
take,0,0,0,0,0,0,2,0
illustrate,0,0,0,0,0,0,3,0
southern,13,0,0,0,0,0,0,0
coast,0,0,0,0,19,0,0,0
separate,0,0,0,0,0,0,1,0
thousand,0,0,0,0,3,0,0,0
mile,0,0,0,0,3,0,0,0
share,0,0,0,0,0,0,1,0
impact,0,0,0,0,2,0,2,0
natural,10,0,0,0,0,0,0,0
human,8,0,0,0,0,0,0,0
wide,1,0,1,0,0,0,0,0
generally,0,0,18,0,0,0,0,0
directly,0,0,7,0,0,0,0,0
soil,0,0,0,0,14,0,0,0
turn,0,0,0,0,1,0,0,0
settlement,0,0,0,0,2,0,0,0
activity,0,0,0,0,6,0,0,0
agriculture,0,0,0,0,4,0,0,0
fundamental,1,0,0,0,0,0,0,0
survival,0,0,0,0,2,0,0,0
technological,2,0,0,0,0,0,0,0
response,0,0,0,0,1,0,0,0
heating,0,0,0,0,4,0,0,0
air,0,0,0,0,26,0,0,0
conditioning,0,0,0,0,2,0,0,0
irrigation,0,0,0,0,11,0,0,0
develop,0,0,0,0,0,0,2,0
adaptation,0,0,0,0,2,0,0,0
extreme,7,0,0,0,2,0,0,0
aridity,0,0,0,0,1,0,0,0
inadequate,1,0,0,0,0,0,0,0
deal,0,0,0,0,0,0,1,0
phenomenon,0,0,0,0,1,0,0,0
know,0,0,0,0,0,0,11,0
warming,0,0,0,0,6,0,0,0
long,19,0,2,0,0,0,0,0
term,0,0,0,0,5,0,0,0
view,0,0,0,0,0,0,1,0
static,1,0,0,0,0,0,0,0
constant,1,0,0,0,0,0,0,0
overall,2,0,0,0,0,0,0,0
remain,0,0,0,0,0,0,2,0
stable,2,0,0,0,0,0,0,0
course,0,0,0,0,1,0,0,0
history,0,0,0,0,2,0,0,0
support,0,0,0,0,0,0,3,0
go,0,0,0,0,0,0,1,0
great,16,0,0,0,0,0,0,0
change,0,0,0,0,7,0,0,0
alternate,0,0,0,0,0,0,2,0
ice,0,0,0,0,11,0,0,0
age,0,0,0,0,2,0,0,0
warmth,0,0,0,0,1,0,0,0
rapid,4,0,0,0,0,0,0,0
rise,0,0,0,0,1,0,8,0
near,1,9,0,0,0,0,0,0
surface,0,0,0,0,12,0,0,0
past,1,0,0,0,1,0,0,0
century,0,0,0,0,2,0,0,0
scientist,0,0,0,0,4,0,0,0
attribute,0,0,0,0,0,0,1,0
cause,0,0,0,0,2,0,1,0
threaten,0,0,0,0,0,0,1,0
ecosystem,0,0,0,0,1,0,0,0
manage,0,0,0,0,0,0,1,0
international,2,0,0,0,0,0,0,0
level,1,0,0,0,11,0,0,0
innovative,1,0,0,0,0,0,0,0
strategy,0,0,0,0,1,0,0,0
policy,0,0,0,0,2,0,0,0
topic,0,0,0,0,1,0,0,0
conversation,0,0,0,0,1,0,0,0
discussion,0,0,0,0,1,0,0,0
understand,0,0,0,0,0,0,2,0
effect,0,0,0,0,9,0,0,0
unique,2,0,0,0,0,0,0,0
perspective,0,0,0,0,1,0,0,0
development,0,0,0,0,3,0,0,0
geographical,1,0,0,0,0,0,0,0
endanger,0,0,0,0,0,0,1,0
environment,0,0,0,0,4,0,0,0
vital,2,0,0,0,0,0,0,0
importance,0,0,0,0,2,0,0,0
state,0,0,0,0,4,0,0,0
atmosphere,0,0,0,0,12,0,0,0
description,0,0,0,0,3,0,0,0
yesterday,0,0,0,0,1,0,0,0
get,0,0,0,0,0,0,2,0
inch,0,0,0,0,21,0,0,0
statement,0,0,0,0,1,0,0,0
element,0,0,0,0,4,0,0,0
humidity,0,0,0,0,7,0,0,0
wind,0,0,0,0,19,0,0,0
cloudiness,0,0,0,0,1,0,0,0
study,0,0,0,0,2,0,1,0
climatology,0,0,0,0,3,0,0,0
variety,0,0,0,0,2,0,0,0
statistical,2,0,0,0,0,0,0,0
introduce,0,0,0,0,0,0,5,0
illuminate,0,0,0,0,0,0,1,0
usually,0,0,11,0,0,0,0,0
compute,0,0,0,0,0,0,3,0
fairly,0,0,4,0,0,0,0,0
time,0,0,0,0,13,0,0,0
calculate,0,0,0,0,0,0,1,0
month,0,0,0,0,17,0,0,0
maximum,5,0,0,0,3,0,0,0
minimum,2,0,0,0,3,0,0,0
figure,0,0,0,0,1,0,0,0
convey,0,0,0,0,0,0,1,0
degree,0,0,0,0,6,0,0,0
variability,0,0,0,0,1,0,0,0
information,0,0,0,0,1,0,0,0
frequency,0,0,0,0,1,0,0,0
event,0,0,0,0,1,0,0,0
thunderstorm,0,0,0,0,4,0,0,0
frost,0,0,0,0,3,0,0,0
typical,1,0,0,0,0,0,0,0
winter,0,0,0,0,38,0,0,0
important,8,0,0,0,0,0,0,0
map,0,0,0,0,6,0,1,0
show,0,0,0,0,0,0,7,0
adjust,0,0,0,0,0,0,2,0
indicate,0,0,0,0,0,0,3,0
sea,0,0,0,0,11,0,0,0
convert,0,0,0,0,0,0,3,0
fahrenheit,0,0,0,0,2,0,0,0
celsius,0,0,0,0,2,0,0,0
subtract,0,0,0,0,0,0,3,0
daily,7,0,0,0,0,0,0,0
hour,0,0,0,0,10,0,0,0
entire,2,0,0,0,0,0,0,0
normal,1,0,0,0,0,0,0,0
date,0,0,0,0,1,0,0,0
cite,0,0,0,0,0,0,3,0
difference,0,0,0,0,5,0,0,0
nighttime,2,0,0,0,0,0,0,0
low,29,0,2,0,7,0,0,0
afternoon,0,0,0,0,2,0,0,0
high,31,0,3,0,7,0,0,0
cloudy,1,0,0,0,0,0,0,0
record,0,0,0,0,2,0,4,0
site,0,0,0,0,1,0,0,0
idea,0,0,0,0,1,0,0,0
live,0,0,0,0,0,0,3,0
lifetime,0,0,0,0,1,0,0,0
