word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
day,0,0,0,0,0,0,93,0,0,0,0
long,19,0,16,0,0,0,0,0,0,0,0
hot,4,0,0,0,0,0,0,0,0,0,0
summer,0,0,0,0,0,0,9,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,111
end,0,0,0,0,0,0,17,0,0,0,6
feel,0,0,0,0,0,0,0,0,0,0,30
ill,19,0,0,0,0,0,0,0,0,0,0
depressed,3,0,0,0,0,0,0,0,0,0,0
short,4,0,0,0,0,0,0,0,0,0,0
money,0,0,0,0,0,0,20,0,0,0,0
little,44,0,1,0,0,0,0,0,0,0,0
chance,0,0,0,0,0,0,5,0,0,0,0
escape,0,0,0,0,0,0,0,0,0,0,18
dusty,2,0,0,0,0,0,0,0,0,0,0
street,0,0,0,0,0,0,7,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,0,7
autumn,0,0,0,0,0,0,4,0,0,0,0
economically,0,0,1,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,68,0,0,0,0
city,0,0,0,0,0,0,2,0,0,0,0
mother,0,0,0,0,0,0,42,0,0,0,0
house,0,0,0,0,0,0,97,0,0,0,0
sister,0,0,0,0,0,0,34,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,24
cottage,0,0,0,0,0,0,3,0,0,0,0
northern,1,0,0,0,0,0,0,0,0,0,0
suburb,0,0,0,0,0,0,1,0,0,0,0
usually,0,0,4,0,0,0,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,134
twice,0,0,1,0,1,0,0,0,0,0,0
week,0,0,0,0,0,0,10,0,0,0,0
evening,0,0,0,0,0,0,24,0,0,0,0
arrive,0,0,0,0,0,0,0,0,0,0,28
gate,0,0,0,0,0,0,2,0,0,0,0
start,0,0,0,0,0,0,0,0,0,0,13
dark,12,0,0,0,0,0,1,0,0,0,0
hardly,0,0,7,0,0,0,0,0,0,0,0
ring,0,0,0,0,0,0,2,0,0,0,2
bell,0,0,0,0,0,0,2,0,0,0,0
door,0,0,0,0,0,0,33,0,0,0,0
open,5,1,0,0,0,0,0,0,0,0,9
violently,0,0,3,0,0,0,0,0,0,0,0
italian,4,0,0,0,0,0,0,0,0,0,0
friend,0,0,0,0,0,0,43,0,0,0,0
rush,0,0,0,0,0,0,1,0,0,0,6
greet,0,0,0,0,0,0,0,0,0,0,5
language,0,0,0,0,0,0,4,0,0,0,0
teacher,0,0,0,0,0,0,14,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,105
political,6,0,0,0,0,0,0,0,0,0,0
reason,0,0,0,0,0,0,22,0,0,0,0
home,0,0,10,0,0,0,7,0,0,0,0
strange,14,0,0,0,0,0,0,0,0,0,0
excitable,1,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,99,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,42
english,2,0,0,0,0,0,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,24
time,0,0,0,0,0,0,56,0,0,0,0
teach,0,0,0,0,0,0,0,0,0,0,2
agree,0,0,0,0,0,0,0,0,0,0,23
swim,0,0,0,0,0,0,1,0,0,0,1
sea,0,0,0,0,0,0,3,0,0,0,0
enthusiastic,1,0,0,0,0,0,0,0,0,0,0
moment,0,0,0,0,0,0,19,0,0,0,0
occur,0,0,0,0,0,0,0,0,0,0,1
know,0,0,0,0,0,0,0,0,0,0,128
fortunately,0,0,1,0,0,0,0,0,0,0,0
suddenly,0,0,19,0,0,0,0,0,0,0,0
sink,0,0,0,0,0,0,0,0,0,0,6
able,9,0,0,0,0,0,0,0,0,0,0
dive,0,0,0,0,0,0,0,0,0,0,1
save,0,0,0,0,0,0,0,0,0,0,6
grateful,3,0,0,0,0,0,0,0,0,0,0
show,0,0,0,0,0,0,0,0,0,0,16
gratitude,0,0,0,0,0,0,1,0,0,0,0
way,0,0,0,0,0,0,29,0,0,0,0
change,0,0,0,0,0,0,13,0,0,0,18
life,0,0,0,0,0,0,34,0,0,0,0
good,29,0,0,0,0,0,1,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,272
sitting,0,0,0,0,0,0,8,0,0,0,0
wonderful,2,0,0,0,0,0,0,0,0,0,0
news,0,0,0,0,0,0,22,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,87
employer,0,0,0,0,0,0,5,0,0,0,0
recommend,0,0,0,0,0,0,0,0,0,0,4
drawing,0,0,0,0,0,0,14,0,0,0,0
post,0,0,0,0,0,0,7,0,0,0,2
rich,3,0,0,0,0,0,0,0,0,0,0
family,0,0,0,0,0,0,12,0,0,0,0
north,0,0,0,0,0,0,2,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,76
world,0,0,0,0,0,0,5,0,0,0,0
dear,15,0,0,0,0,0,1,0,0,0,0
exclaim,0,0,0,0,0,0,0,0,0,0,1
kind,11,0,0,0,0,0,7,0,0,0,0
generous,2,0,0,0,0,0,0,0,0,0,0
certainly,0,0,9,0,0,0,0,0,0,0,0
kindness,0,0,0,0,0,0,3,0,0,0,0
strangely,0,0,1,0,0,0,0,0,0,0,0
thank,0,0,0,0,0,0,2,0,0,0,11
warmly,0,0,3,0,0,0,0,0,0,0,0
condition,0,0,0,0,0,0,5,0,0,0,0
note,0,0,0,0,0,0,16,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,30
qualified,1,0,0,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,39
young,12,0,0,0,0,0,0,0,0,0,0
niece,0,0,0,0,0,0,7,0,0,0,0
period,0,0,0,0,0,0,1,0,0,0,0
month,0,0,0,0,0,0,18,0,0,0,0
gentleman,0,0,0,0,0,0,8,0,0,0,0
receive,0,0,0,0,0,0,0,0,0,0,25
pound,0,0,0,0,0,0,5,0,0,0,0
letter,0,0,0,0,0,0,95,0,0,0,0
character,0,0,0,0,0,0,6,0,0,0,0
require,0,0,0,0,0,0,0,0,0,0,2
position,0,0,0,0,0,0,7,0,0,0,0
attractive,1,0,0,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,0,17
enthusiasm,0,0,0,0,0,0,1,0,0,0,0
great,29,0,0,0,0,0,0,0,0,0,0
opportunity,0,0,0,0,0,0,4,0,0,0,0
wish,0,0,0,0,0,0,7,0,0,0,9
hurt,0,0,0,0,0,0,0,0,0,0,1
feeling,0,0,0,0,0,0,11,0,0,0,0
apply,0,0,0,0,0,0,0,0,0,0,1
job,0,0,0,0,0,0,6,0,0,0,0
morning,0,0,0,0,0,0,32,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,18
recommendation,0,0,0,0,0,0,1,0,0,0,0
later,0,0,42,0,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,66
accept,0,0,0,0,0,0,0,0,0,0,10
service,0,0,0,0,0,0,3,0,0,0,0
request,0,0,0,0,0,0,6,0,0,0,1
immediately,0,0,12,0,0,0,0,0,0,0,0
arrange,0,0,0,0,0,0,0,0,0,0,10
walk,0,0,0,0,0,0,4,0,0,0,31
goodbye,0,0,0,0,0,1,3,0,0,0,0
midnight,0,0,0,0,0,0,1,0,0,0,0
moon,0,0,0,0,0,0,1,0,0,0,0
shine,0,0,0,0,0,0,0,0,0,0,2
blue,4,0,0,0,0,0,0,0,0,0,0
starless,1,0,0,0,0,0,0,0,0,0,0
sky,0,0,0,0,0,0,2,0,0,0,0
air,0,0,0,0,0,0,8,0,0,0,0
soft,3,0,0,0,0,0,0,0,0,0,0
warm,3,0,0,0,0,0,0,0,0,0,0
decide,0,0,0,0,0,0,0,0,0,0,21
route,0,0,0,0,0,0,2,0,0,0,0
join,0,0,0,0,0,0,0,0,0,0,2
road,0,0,0,0,0,0,12,0,0,0,0
centre,0,0,0,0,0,0,3,0,0,0,0
crossroad,0,0,0,0,0,0,1,0,0,0,0
turn,0,0,0,0,0,0,0,0,0,0,30
lost,4,0,0,0,0,0,0,0,0,0,0
thought,0,0,0,0,0,0,10,0,0,0,0
wonder,0,0,0,0,0,0,1,0,0,0,18
lady,0,0,0,0,0,0,20,0,0,0,0
heart,0,0,0,0,0,0,18,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,27
beat,0,0,0,0,0,0,0,0,0,0,8
hand,0,0,0,0,0,0,32,0,0,0,1
touch,0,0,0,0,0,0,0,0,0,0,3
shoulder,0,0,0,0,0,0,4,0,0,0,0
tighten,0,0,0,0,0,0,0,0,0,0,1
walking,0,0,0,0,0,0,1,0,0,0,0
stick,0,0,0,0,0,0,1,0,0,0,0
drop,0,0,0,0,0,0,0,0,0,0,5
stand,0,0,0,0,0,0,0,0,0,0,19
figure,0,0,0,0,0,0,7,0,0,0,0
woman,0,0,0,0,0,0,51,0,0,0,0
dress,0,0,0,0,0,0,11,0,0,0,8
head,0,0,0,0,0,0,11,0,0,0,0
foot,0,0,0,0,0,0,7,0,0,0,0
white,35,0,0,0,0,0,3,0,0,0,0
clothe,0,0,0,0,0,0,11,0,0,0,0
surprised,6,0,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,50
look,0,0,0,0,0,0,6,0,0,0,100
carefully,0,0,6,0,0,0,0,0,0,0,0
nearly,0,0,5,0,0,0,0,0,0,0,0
moonlight,0,0,0,0,0,0,4,0,0,0,0
colourless,1,0,0,0,0,0,0,0,0,0,0
face,0,0,0,0,0,0,68,0,0,0,2
large,6,0,0,0,0,0,0,0,0,0,0
sad,13,0,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,0,36,0,0,0,0
light,3,0,0,0,0,0,12,0,0,0,3
brown,2,0,0,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,0,5,0,0,0,0
manner,0,0,0,0,0,0,5,0,0,0,0
quiet,9,0,0,0,0,0,0,0,0,0,0
self,0,0,0,0,0,0,6,0,0,0,0
control,0,0,0,0,0,0,2,0,0,0,5
sort,0,0,0,0,0,0,2,0,0,0,0
late,4,0,4,0,0,0,0,0,0,0,0
guess,0,0,0,0,0,0,1,0,0,0,5
evil,3,0,0,0,0,0,0,0,0,0,0
innocence,0,0,0,0,0,0,2,0,0,0,0
quietly,0,0,10,0,0,0,0,0,0,0,0
rapidly,0,0,1,0,0,0,0,0,0,0,0
yes,0,0,0,0,0,42,0,0,0,0,0
reply,0,0,0,0,0,0,5,0,0,0,14
excuse,0,0,0,0,0,0,1,0,0,0,2
surprise,0,0,0,0,0,0,13,0,0,0,7
sudden,4,0,0,0,0,0,0,0,0,0,0
appearance,0,0,0,0,0,0,2,0,0,0,0
suspect,0,0,0,0,0,0,0,0,0,0,4
wrong,7,0,1,0,0,0,1,0,0,0,1
see,0,0,0,0,0,0,0,0,0,0,78
shock,0,0,0,0,0,0,5,0,0,0,3
hide,0,0,0,0,0,0,0,0,0,0,20
tree,0,0,0,0,0,0,4,0,0,0,0
risk,0,0,0,0,0,0,2,0,0,0,3
trust,0,0,0,0,0,0,1,0,0,0,5
search,0,0,0,0,0,0,0,0,0,0,5
anxiously,0,0,7,0,0,0,0,0,0,0,0
loneliness,0,0,0,0,0,0,3,0,0,0,0
helplessness,0,0,0,0,0,0,1,0,0,0,0
obvious,3,0,0,0,0,0,0,0,0,0,0
sympathy,0,0,0,0,0,0,3,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,128
help,0,0,0,0,0,0,12,0,0,0,30
voice,0,0,0,0,0,0,15,0,0,0,0
tremble,0,0,0,0,0,0,0,0,0,0,6
cab,0,0,0,0,0,0,15,0,0,0,0
carriage,0,0,0,0,0,0,4,0,0,0,0
night,0,0,0,0,0,0,29,0,0,0,0
promise,0,0,0,0,0,0,8,0,0,0,13
interfere,0,0,0,0,0,0,0,0,0,0,2
glad,5,0,0,0,0,0,0,0,0,0,0
nervously,0,0,3,0,0,0,0,0,0,0,0
refuse,0,0,0,0,0,0,0,0,0,0,8
fear,0,0,0,0,0,0,10,0,0,0,5
confusion,0,0,0,0,0,0,2,0,0,0,0
painful,2,0,0,0,0,0,0,0,0,0,0
repeat,0,0,0,0,0,0,0,0,0,0,4
set,0,0,0,0,0,0,0,0,0,0,7
like,1,27,0,0,0,0,0,0,0,0,16
dream,0,0,0,0,0,0,8,0,0,0,1
familiar,3,0,0,0,0,0,0,0,0,0,0
mysterious,2,0,0,0,0,0,0,0,0,0,0
companion,0,0,0,0,0,0,4,0,0,0,0
rank,0,0,0,0,0,0,2,0,0,0,0
suspicion,0,0,0,0,0,0,6,0,0,0,0
question,0,0,0,0,0,0,19,0,0,0,7
baronet,0,0,0,0,0,0,3,0,0,0,0
relieved,2,0,0,0,0,0,0,0,0,0,0
murmur,0,0,0,0,0,0,1,0,0,0,5
cruelly,0,0,2,0,0,0,0,0,0,0,0
explain,0,0,0,0,0,0,0,0,0,0,18
softly,0,0,5,0,0,0,0,0,0,0,0
happy,19,0,0,0,0,0,0,0,0,0,0
village,0,0,0,0,0,0,15,0,0,0,0
amazed,6,0,0,0,0,0,0,0,0,0,0
anybody,0,0,0,0,0,0,0,0,2,0,0
call,0,0,0,0,0,0,0,0,0,0,30
recently,0,0,4,0,0,0,0,0,0,0,0
somebody,0,0,0,0,0,0,0,0,1,0,0
dead,27,0,0,0,0,0,0,0,0,0,0
husband,0,0,0,0,0,0,29,0,0,0,0
girl,0,0,0,0,0,0,13,0,0,0,0
marry,0,0,0,0,0,0,0,0,0,0,17
away,0,1,39,0,0,0,0,0,0,0,0
quickly,0,0,10,0,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,0,36
let,0,0,0,0,0,0,0,0,0,0,26
safely,0,0,2,0,0,0,0,0,0,0,0
cry,0,0,0,0,0,0,1,0,0,0,15
safe,11,0,0,0,0,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,0,37
catch,0,0,0,0,0,0,0,0,0,0,8
kiss,0,0,0,0,0,0,0,0,0,0,7
push,0,0,0,0,0,0,0,0,0,0,4
disappear,0,0,0,0,0,0,0,0,0,0,6
black,7,0,0,0,0,0,0,0,0,0,0
shadow,0,0,0,0,0,0,8,0,0,0,0
minute,0,0,0,0,0,0,14,0,0,0,0
uneasily,0,0,2,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,0,4,0,0,0,0
wheel,0,0,0,0,0,0,1,0,0,0,0
pass,0,0,0,0,0,0,0,0,0,0,24
policeman,0,0,0,0,0,0,1,0,0,0,0
officer,0,0,0,0,0,0,1,0,0,0,0
sir,0,0,0,0,0,0,11,0,0,0,0
asylum,0,0,0,0,0,0,24,0,0,0,0
mad,10,0,0,0,0,0,0,0,0,0,0
nervous,6,0,0,0,0,0,0,0,0,0,0
wrongly,0,0,1,0,0,0,0,0,0,0,0
imprison,0,0,0,0,0,0,0,0,0,0,1
fail,0,0,0,0,0,0,0,0,0,0,4
protect,0,0,0,0,0,0,0,0,0,0,8
sick,2,0,0,0,0,0,1,0,0,0,0
person,0,0,0,0,0,0,21,0,0,0,0
harm,0,0,0,0,0,0,3,0,0,0,2
disturbing,2,0,0,0,0,0,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,0,0,11
awake,1,0,0,0,0,0,0,0,0,0,0
travelling,0,0,0,0,0,0,2,0,0,0,0
instruction,0,0,0,0,0,0,1,0,0,0,0
direct,1,0,0,0,0,0,0,0,0,0,1
train,0,0,0,0,0,0,10,0,0,0,0
delay,0,0,0,0,0,0,3,0,0,0,1
miss,0,0,0,0,0,0,5,0,0,0,4
connection,0,0,0,0,0,0,4,0,0,0,0
till,0,0,0,0,0,0,0,0,0,10,0
past,1,5,0,0,0,0,5,0,0,0,0
servant,2,0,0,0,0,0,21,0,0,0,0
bad,16,0,0,0,0,0,0,0,0,0,0
temper,0,0,0,0,0,0,5,0,0,0,0
wait,0,0,0,0,0,0,0,0,0,0,29
station,0,0,0,0,0,0,13,0,0,0,0
bed,0,0,0,0,0,0,8,0,0,0,0
candle,0,0,0,0,0,0,4,0,0,0,0
