word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
time,0,0,0,0,0,0,20,0,0,0,0,0
little,116,0,0,0,0,0,0,0,0,0,0,0
name,0,0,0,0,0,0,3,0,0,0,0,0
tail,0,0,0,0,0,0,16,0,0,0,0,0
live,1,0,0,0,0,0,0,0,0,0,10,0
sand,0,0,0,0,0,0,3,0,0,0,0,0
bank,0,0,0,0,0,0,3,0,0,0,0,0
underneath,0,9,1,0,0,0,0,0,0,0,0,0
root,0,0,0,0,0,0,1,0,0,0,0,0
big,12,0,0,0,0,0,0,0,0,0,0,0
fir,0,0,0,0,0,0,4,0,0,0,0,0
tree,0,0,0,0,0,0,13,0,0,0,0,0
dear,30,0,0,0,0,0,1,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,85,0
old,32,0,0,0,0,0,0,0,0,0,0,0
morning,0,0,0,0,0,0,12,0,0,0,0,0
field,0,0,0,0,0,0,2,0,0,0,0,0
lane,0,0,0,0,0,0,4,0,0,0,0,0
garden,0,0,0,0,0,0,18,0,0,0,0,0
accident,0,0,0,0,0,0,1,0,0,0,0,0
pie,0,0,0,0,0,0,53,0,0,0,0,0
run,0,0,0,0,0,0,0,0,0,0,37,0
mischief,0,0,0,0,0,0,2,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,61,0
take,0,0,0,0,0,0,0,0,0,0,30,0
basket,0,0,0,0,0,0,16,0,0,0,0,0
umbrella,0,0,0,0,0,0,1,0,0,0,0,0
wood,0,0,0,0,0,0,11,0,0,0,0,0
baker,0,0,0,0,0,0,1,0,0,0,0,0
buy,0,0,0,0,0,0,0,0,0,0,12,0
loaf,0,0,0,0,0,0,2,0,0,0,0,0
brown,8,0,0,0,0,0,1,0,0,0,0,0
bread,0,0,0,0,0,0,5,0,0,0,0,0
currant,3,0,0,0,0,0,0,0,0,0,0,0
bun,0,0,0,0,0,0,1,0,0,0,0,0
good,18,0,0,0,0,1,0,0,0,0,0,0
bunny,0,0,0,0,0,0,1,0,0,0,0,0
gather,0,0,0,0,0,0,0,0,0,0,7,0
blackberry,0,0,0,0,0,0,2,0,0,0,0,0
naughty,3,0,0,0,0,0,0,0,0,0,0,0
straight,2,0,4,0,0,0,0,0,0,0,0,0
away,0,2,22,0,0,0,0,0,0,0,0,0
squeeze,0,0,0,0,0,0,0,0,0,0,4,0
gate,0,0,0,0,0,0,6,0,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,0,22,0
lettuce,0,0,0,0,0,0,5,0,0,0,0,0
french,1,0,0,0,0,0,0,0,0,0,0,0
bean,0,0,0,0,0,0,2,0,0,0,0,0
radish,0,0,0,0,0,0,1,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,19,0
sick,1,0,0,0,0,0,0,0,0,0,0,0
look,0,0,0,0,0,0,1,0,0,0,37,0
parsley,0,0,0,0,0,0,1,0,0,0,0,0
round,1,7,8,0,0,0,0,0,0,0,0,0
end,0,0,0,0,0,0,11,0,0,0,1,0
cucumber,0,0,0,0,0,0,1,0,0,0,0,0
frame,0,0,0,0,0,0,2,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,7,0
hand,0,0,0,0,0,0,9,0,0,0,0,0
knee,0,0,0,0,0,0,1,0,0,0,0,0
plant,0,0,0,0,0,0,3,0,0,0,1,0
young,1,0,0,0,0,0,0,0,0,0,0,0
cabbage,0,0,0,0,0,0,2,0,0,0,0,0
jump,0,0,0,0,0,0,5,0,0,0,8,0
wave,0,0,0,0,0,0,0,0,0,0,1,0
rake,0,0,0,0,0,0,1,0,0,0,1,0
call,0,0,0,0,0,0,0,0,0,0,14,0
stop,0,0,0,0,0,0,0,0,0,0,5,0
thief,0,0,0,0,0,0,1,0,0,0,0,0
dreadfully,0,0,2,0,0,0,0,0,0,0,0,0
frighten,0,0,0,0,0,0,0,0,0,0,2,0
rush,0,0,0,0,0,0,3,0,0,0,5,0
forget,0,0,0,0,0,0,0,0,0,0,2,0
way,0,0,0,0,0,0,15,0,0,0,0,0
lose,0,0,0,0,0,0,0,0,0,0,10,0
shoe,0,0,0,0,0,0,8,0,0,0,0,0
potato,0,0,0,0,0,0,1,0,0,0,0,0
leg,0,0,0,0,0,0,5,0,0,0,0,0
fast,1,0,11,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,31,0
get,0,0,0,0,0,0,0,0,0,0,19,0
altogether,0,0,1,0,0,0,0,0,0,0,0,0
unfortunately,0,0,1,0,0,0,0,0,0,0,0,0
gooseberry,0,0,0,0,0,0,1,0,0,0,0,0
net,0,0,0,0,0,0,1,0,0,0,0,0
catch,0,0,0,0,0,0,0,0,0,0,8,0
large,9,0,0,0,0,0,0,0,0,0,0,0
button,0,0,0,0,0,0,17,0,0,0,1,0
jacket,0,0,0,0,0,0,7,0,0,0,0,0
blue,7,0,0,0,0,0,0,0,0,0,0,0
brass,0,0,0,0,0,0,1,0,0,0,0,0
new,2,0,1,0,0,0,0,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,9,0
shed,0,0,0,0,0,0,3,0,0,0,2,0
tear,0,0,0,0,0,0,1,0,0,0,1,0
sob,0,0,0,0,0,0,1,0,0,0,0,0
overhear,0,0,0,0,0,0,0,0,0,0,1,0
friendly,1,0,0,0,0,0,0,0,0,0,0,0
sparrow,0,0,0,0,0,0,2,0,0,0,0,0
fly,0,0,0,0,0,0,1,0,0,0,3,0
great,8,0,1,0,0,0,0,0,0,0,0,0
excitement,0,0,0,0,0,0,1,0,0,0,0,0
implore,0,0,0,0,0,0,0,0,0,0,1,0
exert,0,0,0,0,0,0,0,0,0,0,1,0
come,0,0,0,0,0,0,0,0,0,0,73,0
sieve,0,0,0,0,0,0,1,0,0,0,1,0
intend,0,0,0,0,0,0,0,0,0,0,3,0
pop,0,0,0,0,0,0,1,0,0,0,3,0
wriggle,0,0,0,0,0,0,0,0,0,0,3,0
leave,0,0,0,0,0,0,2,0,0,0,10,0
tool,0,0,0,0,0,0,3,0,0,0,0,0
beautiful,7,0,0,0,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,0,21,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,0,0,8,0
water,0,0,0,0,0,0,17,0,0,0,0,0
sure,5,0,0,0,0,0,0,0,0,0,0,0
flower,0,0,0,0,0,0,6,0,0,0,0,0
pot,0,0,0,0,0,0,8,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,11,0
turn,0,0,0,0,0,0,2,0,0,0,15,0
carefully,0,0,2,0,0,0,0,0,0,0,0,0
presently,0,0,9,0,0,0,0,0,0,0,0,0
sneeze,0,0,0,0,0,0,0,0,0,0,1,0
kertyschoo,0,0,0,0,0,0,1,0,0,0,0,0
try,0,0,0,0,0,0,1,0,0,0,7,0
foot,0,0,0,0,0,0,5,0,0,0,0,0
window,0,0,0,0,0,0,14,0,0,0,0,0
upset,1,0,0,0,0,0,0,0,0,0,1,0
small,13,0,0,0,0,0,0,0,0,0,0,0
tired,3,0,0,0,0,0,0,0,0,0,0,0
work,0,0,0,0,0,0,3,0,0,0,5,0
sit,0,0,0,0,0,0,0,0,0,0,34,0
rest,0,0,0,0,0,0,2,0,0,0,1,0
breath,0,0,0,0,0,0,3,0,0,0,0,0
tremble,0,0,0,0,0,0,0,0,0,0,1,0
fright,0,0,0,0,0,0,1,0,0,0,0,0
idea,0,0,0,0,0,0,3,0,0,0,0,0
damp,2,0,0,0,0,0,0,0,0,0,0,0
wander,0,0,0,0,0,0,0,0,0,0,2,0
lippity,1,0,1,0,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,14,0
door,0,0,0,0,0,0,36,0,0,0,0,0
wall,0,0,0,0,0,0,14,0,0,0,0,0
lock,0,0,0,0,0,0,0,0,0,0,8,0
room,0,0,0,0,0,0,4,0,0,0,0,0
fat,9,0,0,0,0,0,0,0,0,0,0,0
rabbit,0,0,0,0,0,0,11,0,0,0,0,0
mouse,0,0,0,0,0,0,54,0,0,0,0,0
stone,0,0,0,0,0,0,6,0,0,0,0,0
doorstep,0,0,0,0,0,0,3,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,8,0
pea,0,0,0,0,0,0,2,0,0,0,0,0
family,0,0,0,0,0,0,1,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,7,0
mouth,0,0,0,0,0,0,2,0,0,0,0,0
answer,0,0,0,0,0,0,4,0,0,0,4,0
shake,0,0,0,0,0,0,0,0,0,0,4,0
head,0,0,0,0,0,0,13,0,0,0,0,0
cry,0,0,0,0,0,0,0,0,0,0,10,0
puzzled,1,0,0,0,0,0,0,0,0,0,0,0
pond,0,0,0,0,0,0,8,0,0,0,0,0
fill,0,0,0,0,0,0,0,0,0,0,6,0
can,0,0,0,0,0,0,1,0,0,0,0,0
white,19,0,0,0,0,0,0,0,0,0,0,0
cat,0,0,0,0,0,0,20,0,0,0,0,0
stare,0,0,0,0,0,0,0,0,0,0,7,0
gold,1,0,0,0,0,0,3,0,0,0,0,0
fish,0,0,0,0,0,0,9,0,0,0,2,0
tip,0,0,0,0,0,0,16,0,0,0,2,0
twitch,0,0,0,0,0,0,0,0,0,0,1,0
alive,1,0,0,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,3,0
hear,0,0,0,0,0,0,0,0,0,0,13,0
cousin,0,0,0,0,0,0,5,0,0,0,0,0
suddenly,0,0,5,0,0,0,0,0,0,0,0,0
close,0,0,3,0,0,0,0,0,0,0,1,0
noise,0,0,0,0,0,0,13,0,0,0,0,0
hoe,0,0,0,0,0,0,1,0,0,0,1,0
scr,0,0,0,0,0,1,0,0,0,0,0,0
ritch,0,0,0,0,0,1,0,0,0,0,0,0
scratch,0,0,0,0,0,2,0,0,0,0,9,0
scritch,0,0,0,0,0,0,1,0,0,0,0,0
scuttere,0,0,0,0,0,0,0,0,0,0,2,0
bush,0,0,0,0,0,0,7,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,5,0
climb,0,0,0,0,0,0,0,0,0,0,5,0
wheelbarrow,0,0,0,0,0,0,2,0,0,0,0,0
peep,0,0,0,0,0,0,0,0,0,0,13,0
see,0,0,0,0,0,0,0,0,0,0,16,0
onion,0,0,0,0,0,0,9,0,0,0,0,0
quietly,0,0,1,0,0,0,0,0,0,0,0,0
start,0,0,0,0,0,0,0,0,0,0,5,0
walk,0,0,0,0,0,0,3,0,0,0,4,0
black,9,0,0,0,0,0,0,0,0,0,0,0
sight,0,0,0,0,0,0,3,0,0,0,0,0
corner,0,0,0,0,0,0,5,0,0,0,0,0
care,0,0,0,0,0,0,0,0,0,0,1,0
slip,0,0,0,0,0,0,0,0,0,0,3,0
safe,1,0,0,0,0,0,0,0,0,0,0,0
outside,0,3,1,0,0,0,1,0,0,0,0,0
hang,0,0,0,0,0,0,0,0,0,0,3,0
scare,0,0,0,0,0,0,1,0,0,0,0,0
crow,0,0,0,0,0,0,1,0,0,0,0,0
blackbird,0,0,0,0,0,0,1,0,0,0,0,0
till,0,0,0,0,0,0,0,0,0,3,0,0
home,0,0,13,0,0,0,2,0,0,0,0,0
flop,0,0,0,0,0,0,0,0,0,0,1,0
nice,11,0,0,0,0,0,0,0,0,0,0,0
soft,3,0,0,0,0,0,0,0,0,0,0,0
floor,0,0,0,0,0,0,5,0,0,0,0,0
hole,0,0,0,0,0,0,26,0,0,0,0,0
shut,0,0,0,0,0,0,0,0,0,0,9,0
eye,0,0,0,0,0,0,12,0,0,0,0,0
mother,0,0,0,0,0,0,6,0,0,0,0,0
busy,1,0,0,0,0,0,0,0,0,0,0,0
cook,0,0,0,0,0,0,0,0,0,0,2,0
wonder,0,0,0,0,0,0,1,0,0,0,4,0
clothe,0,0,0,0,0,0,20,0,0,0,0,0
second,1,0,0,0,0,0,0,0,0,0,0,0
pair,0,0,0,0,0,0,6,0,0,0,0,0
fortnight,0,0,0,0,0,0,1,0,0,0,0,0
sorry,2,0,0,0,0,0,0,0,0,0,0,0
evening,0,0,0,0,0,0,3,0,0,0,0,0
bed,0,0,0,0,0,0,11,0,0,0,0,0
camomile,0,0,0,0,0,0,2,0,0,0,0,0
tea,0,0,0,0,0,0,26,0,0,0,0,0
dose,0,0,0,0,0,0,1,0,0,0,0,0
table,0,0,0,0,0,0,18,0,0,0,0,0
spoonful,0,0,0,0,0,0,1,0,0,0,0,0
milk,0,0,0,0,0,0,6,0,0,0,0,0
supper,0,0,0,0,0,0,3,0,0,0,0,0
tale,0,0,0,0,0,0,2,0,0,0,0,0
belong,0,0,0,0,0,0,0,0,0,0,13,0
red,15,0,0,0,0,0,1,0,0,0,0,0
squirrel,0,0,0,0,0,0,14,0,0,0,0,0
brother,0,0,0,0,0,0,1,0,0,0,0,0
edge,0,0,0,0,0,0,6,0,0,0,0,0
lake,0,0,0,0,0,0,4,0,0,0,0,0
middle,0,0,0,0,0,0,6,0,0,0,0,0
island,0,0,0,0,0,0,3,0,0,0,0,0
cover,0,0,0,0,0,0,0,0,0,0,5,0
nut,0,0,0,0,0,0,9,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,12,0
hollow,1,0,0,0,0,0,0,0,0,0,0,0
oak,0,0,0,0,0,0,2,0,0,0,0,0
house,0,0,0,0,0,0,26,0,0,0,0,0
owl,0,0,0,0,0,0,1,0,0,0,0,0
autumn,0,0,0,0,0,0,1,0,0,0,0,0
ripe,1,0,0,0,0,0,0,0,0,0,0,0
hazel,0,0,0,0,0,0,1,0,0,0,0,0
golden,1,0,0,0,0,0,0,0,0,0,0,0
green,6,0,0,0,0,0,0,0,0,0,0,0
raft,0,0,0,0,0,0,1,0,0,0,0,0
twig,0,0,0,0,0,0,2,0,0,0,0,0
paddle,0,0,0,0,0,0,3,0,0,0,2,0
sack,0,0,0,0,0,0,4,0,0,0,0,0
oar,0,0,0,0,0,0,1,0,0,0,0,0
spread,0,0,0,0,0,0,0,0,0,0,4,0
sail,0,0,0,0,0,0,1,0,0,0,1,0
offering,0,0,0,0,0,0,1,0,0,0,0,0
present,0,0,0,0,0,0,8,0,0,0,0,0
step,0,0,0,0,0,0,5,0,0,0,3,0
low,4,0,0,0,0,0,0,0,0,0,0,0
bow,0,0,0,0,0,0,2,0,0,0,1,0
politely,0,0,1,0,0,0,0,0,0,0,0,0
favour,0,0,0,0,0,0,0,0,0,0,2,0
permission,0,0,0,0,0,0,2,0,0,0,0,0
excessively,0,0,1,0,0,0,0,0,0,0,0,0
impertinent,2,0,0,0,0,0,0,0,0,0,0,0
manner,0,0,0,0,0,0,3,0,0,0,0,0
bob,0,0,0,0,0,0,1,0,0,0,1,0
like,1,19,0,0,0,0,0,0,0,0,6,0
cherry,0,0,0,0,0,0,13,0,0,0,0,0
singe,0,0,0,0,0,0,0,0,0,0,7,0
riddle,0,0,0,0,0,0,5,0,0,0,2,0
rot,0,0,0,0,0,0,0,0,0,0,1,0
tot,0,0,0,0,0,0,0,0,0,0,0,1
tote,0,0,0,0,0,0,1,0,0,0,0,0
wee,1,0,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,8,0,0,0,0,0
coat,0,0,0,0,0,0,27,0,0,0,0,0
staff,0,0,0,0,0,0,1,0,0,0,0,0
throat,0,0,0,0,0,0,1,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,4,0
groat,0,0,0,0,0,0,3,0,0,0,0,0
hill,0,0,0,0,0,0,12,0,0,0,0,0
pay,0,0,0,0,0,0,0,0,0,0,2,0
attention,0,0,0,0,0,0,1,0,0,0,0,0
obstinately,0,0,1,0,0,0,0,0,0,0,0,0
sleep,0,0,0,0,0,0,3,0,0,0,3,0
bring,0,0,0,0,0,0,0,0,0,0,8,0
fine,12,0,1,0,0,0,0,0,0,0,0,0
mole,0,0,0,0,0,0,2,0,0,0,0,0
lay,0,0,0,0,0,0,0,0,0,0,6,0
doorway,0,0,0,0,0,0,2,0,0,0,0,0
gracious,1,0,0,0,0,0,0,0,0,0,0,0
respect,0,0,0,0,0,0,1,0,0,0,0,0
dance,0,0,0,0,0,0,0,0,0,0,4,0
tickle,0,0,0,0,0,0,0,0,0,0,1,0
nettle,0,0,0,0,0,0,1,0,0,0,0,0
ree,0,0,0,0,0,0,1,0,0,0,0,1
touch,0,0,0,0,0,0,0,0,0,0,3,0
bite,0,0,0,0,0,0,1,0,0,0,2,0
wake,0,0,0,0,0,0,0,0,0,0,3,0
face,0,0,0,0,0,0,3,0,0,0,0,0
thread,0,0,0,0,0,0,6,0,0,0,0,0
smoke,0,0,0,0,0,0,1,0,0,0,1,0
fire,0,0,0,0,0,0,15,0,0,0,0,0
key,0,0,0,0,0,0,6,0,0,0,0,0
sing,0,0,0,0,0,0,0,0,0,0,8,0
bowl,0,0,0,0,0,0,2,0,0,0,0,0
search,0,0,0,0,0,0,1,0,0,0,2,0
apple,0,0,0,0,0,0,2,0,0,0,0,0
yellow,7,0,0,0,0,0,1,0,0,0,0,0
scarlet,3,0,0,0,0,0,0,0,0,0,0,0
beech,0,0,0,0,0,0,1,0,0,0,0,0
stump,0,0,0,0,0,0,1,0,0,0,0,0
play,0,0,0,0,0,0,0,0,0,0,3,0
marble,0,0,0,0,0,0,1,0,0,0,0,0
watch,0,0,0,0,0,0,1,0,0,0,2,0
day,0,0,0,0,0,0,17,0,0,0,0,0
early,1,0,2,0,0,0,0,0,0,0,0,0
seven,0,0,0,0,0,0,0,1,0,0,0,0
minnow,0,0,0,0,0,0,8,0,0,0,0,0
land,0,0,0,0,0,0,1,0,0,0,2,0
crooked,4,0,0,0,0,0,0,0,0,0,0,0
chestnut,0,0,0,0,0,0,2,0,0,0,0,0
wilderness,0,0,0,0,0,0,1,0,0,0,0,0
strawberry,0,0,0,0,0,0,1,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,6,0
sea,0,0,0,0,0,0,1,0,0,0,0,0
herring,0,0,0,0,0,0,1,0,0,0,0,0
interest,0,0,0,0,0,0,2,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,0,0,1,0
fourth,1,0,0,0,0,0,0,0,0,0,0,0
beetle,0,0,0,0,0,0,4,0,0,0,0,0
plum,0,0,0,0,0,0,3,0,0,0,0,0
pudding,0,0,0,0,0,0,6,0,0,0,0,0
wrap,0,0,0,0,0,0,0,0,0,0,1,0
dock,0,0,0,0,0,0,1,0,0,0,0,0
leaf,0,0,0,0,0,0,3,0,0,0,0,0
fasten,0,0,0,0,0,0,0,0,0,0,4,0
pine,0,0,0,0,0,0,2,0,0,0,0,0
needle,0,0,0,0,0,0,2,0,0,0,0,0
pin,0,0,0,0,0,0,5,0,0,0,1,0
rudely,0,0,1,0,0,0,0,0,0,0,0,0
flour,0,0,0,0,0,0,2,0,0,0,0,0
fruit,0,0,0,0,0,0,1,0,0,0,0,0
met,0,0,0,0,0,0,0,0,0,0,1,0
shower,0,0,0,0,0,0,2,0,0,0,0,0
rain,0,0,0,0,0,0,4,0,0,0,1,0
bag,0,0,0,0,0,0,2,0,0,0,0,0
tie,0,0,0,0,0,0,0,0,0,0,6,0
string,0,0,0,0,0,0,2,0,0,0,1,0
ring,0,0,0,0,0,0,2,0,0,0,0,0
ridiculous,1,0,0,0,0,0,0,0,0,0,0,0
hunt,0,0,0,0,0,0,0,0,0,0,4,0
robin,0,0,0,0,0,0,3,0,0,0,0,0
pincushion,0,0,0,0,0,0,1,0,0,0,0,0
briar,0,0,0,0,0,0,1,0,0,0,0,0
stick,0,0,0,0,0,0,1,0,0,0,3,0
fifth,2,0,0,0,0,0,0,0,0,0,0,0
wild,1,0,0,0,0,0,0,0,0,0,0,0
honey,0,0,0,0,0,0,2,0,0,0,0,0
sweet,1,0,0,0,0,0,0,0,0,0,0,0
sticky,1,0,0,0,0,0,0,0,0,0,0,0
lick,0,0,0,0,0,0,0,0,0,0,1,0
finger,0,0,0,0,0,0,7,0,0,0,0,0
steal,0,0,0,0,0,0,0,0,0,0,1,0
bumble,0,0,0,0,0,0,1,0,0,0,0,0
bee,0,0,0,0,0,0,3,0,0,0,0,0
nest,0,0,0,0,0,0,1,0,0,0,0,0
tippitty,1,0,0,0,0,0,0,0,0,0,0,0
skip,0,0,0,0,0,0,2,0,0,0,1,0
hum,0,0,0,0,0,4,0,0,0,0,0,0
bum,0,0,0,0,0,2,0,0,0,0,0,0
buzz,0,0,0,0,0,2,1,0,0,0,0,0
flock,0,0,0,0,0,0,1,0,0,0,0,0
bonny,2,0,0,0,0,0,0,0,0,0,0,0
swine,0,0,0,0,0,0,2,0,0,0,0,0
nacked,1,0,0,0,0,0,0,0,0,0,0,0
backed,1,0,0,0,0,0,0,0,0,0,0,0
disgust,0,0,0,0,0,0,1,0,0,0,0,0
impertinence,0,0,0,0,0,0,1,0,0,0,0,0
