word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB,X
day,0,0,0,0,0,0,43,0,0,0,0
factory,0,0,0,0,0,0,41,0,0,0,0
whistle,0,0,0,0,0,0,10,0,0,4,0
bellow,0,0,0,0,0,0,1,0,0,1,0
forth,0,1,0,0,0,0,0,0,0,0,0
shrill,3,0,0,0,0,0,0,0,0,0,0
roar,0,0,0,0,0,0,0,0,0,2,0
tremble,0,0,0,0,0,0,1,0,0,18,0
noise,0,0,0,0,0,0,5,0,0,0,0
smoke,0,0,0,0,0,0,2,0,0,1,0
begrime,0,0,0,0,0,0,0,0,0,1,0
greasy,3,0,0,0,0,0,0,0,0,0,0
atmosphere,0,0,0,0,0,0,2,0,0,0,0
workingman,0,0,0,0,0,0,25,0,0,0,0
suburb,0,0,0,0,0,0,5,0,0,0,0
obedient,1,0,0,0,0,0,0,0,0,0,0
summon,0,0,0,0,0,0,1,0,0,0,0
power,0,0,0,0,0,0,12,0,0,0,0
steam,0,0,0,0,0,0,3,0,0,0,0
people,0,0,0,0,0,0,133,0,0,0,0
pour,0,0,0,0,0,0,0,0,0,5,0
little,38,0,5,0,0,0,0,0,0,0,0
gray,14,0,0,0,0,0,0,0,0,0,0
house,0,0,0,0,0,0,43,0,0,0,0
street,0,0,0,0,0,0,18,0,0,0,0
somber,2,0,0,0,0,0,0,0,0,0,0
face,0,0,0,0,0,0,106,0,0,0,0
hasten,0,0,0,0,0,0,0,0,0,2,0
forward,0,0,9,0,0,0,0,0,0,0,0
like,0,81,0,0,0,0,0,0,0,10,0
frightened,5,0,0,0,0,0,0,0,0,0,0
roach,0,0,0,0,0,0,1,0,0,0,0
muscle,0,0,0,0,0,0,3,0,0,0,0
stiff,1,0,0,0,0,0,0,0,0,0,0
insufficient,1,0,0,0,0,0,0,0,0,0,0
sleep,0,0,0,0,0,0,2,0,0,6,0
chill,2,0,0,0,0,0,0,0,0,0,0
morning,0,0,0,0,0,0,14,0,0,0,0
twilight,0,0,0,0,0,0,1,0,0,0,0
walk,0,0,0,0,0,0,1,0,0,55,0
narrow,5,0,0,0,0,0,0,0,0,0,0
unpaved,1,0,0,0,0,0,0,0,0,0,0
tall,13,0,0,0,0,0,0,0,0,0,0
stone,0,0,0,0,0,0,3,0,0,0,0
cage,0,0,0,0,0,0,2,0,0,0,0
wait,0,0,0,0,0,0,0,0,0,20,0
cold,14,0,0,0,0,0,4,0,0,0,0
assurance,0,0,0,0,0,0,3,0,0,0,0
illumine,0,0,0,0,0,0,0,0,0,2,0
muddy,3,0,0,0,0,0,0,0,0,0,0
road,0,0,0,0,0,0,3,0,0,0,0
score,0,0,0,0,0,0,5,0,0,0,0
yellow,10,0,0,0,0,0,1,0,0,0,0
square,2,0,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,0,112,0,0,0,0
mud,0,0,0,0,0,0,3,0,0,0,0
plash,0,0,0,0,0,0,0,0,0,1,0
foot,0,0,0,0,0,0,32,0,0,0,0
mock,0,0,0,0,0,0,0,0,0,1,0
commiseration,0,0,0,0,0,0,1,0,0,0,0
hoarse,4,0,0,0,0,0,0,0,0,0,0
exclamation,0,0,0,0,0,0,6,0,0,0,0
sleepy,1,0,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,86,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,42,0
irritated,3,0,0,0,0,0,0,0,0,0,0
peevish,1,0,0,0,0,0,0,0,0,0,0
abusive,1,0,0,0,0,0,0,0,0,0,0
language,0,0,0,0,0,0,3,0,0,0,0
rent,0,0,0,0,0,0,1,0,0,3,0
air,0,0,0,0,0,0,16,0,0,0,0
malice,0,0,0,0,0,0,2,0,0,0,0
welcome,0,0,0,0,0,0,1,0,0,1,0
deafening,1,0,0,0,0,0,0,0,0,0,0
sound,1,0,0,0,0,0,10,0,0,6,0
float,0,0,0,0,0,0,0,0,0,2,0
heavy,17,0,0,0,0,0,0,0,0,0,0
whir,0,0,0,0,0,0,2,0,0,0,0
machinery,0,0,0,0,0,0,2,0,0,0,0
dissatisfied,3,0,0,0,0,0,0,0,0,0,0
snort,0,0,0,0,0,0,3,0,0,2,0
stern,11,0,0,0,0,0,0,0,0,0,0
black,15,0,0,0,0,0,0,0,0,1,0
chimney,0,0,0,0,0,0,1,0,0,0,0
stretch,0,0,0,0,0,0,0,0,0,4,0
huge,2,0,0,0,0,0,0,0,0,0,0
thick,21,0,0,0,0,0,1,0,0,0,0
stick,0,0,0,0,0,0,2,0,0,0,0
high,5,0,1,0,0,0,0,0,0,0,0
village,0,0,0,0,0,0,17,0,0,0,0
evening,0,0,0,0,0,0,26,0,0,0,0
sun,0,0,0,0,0,0,5,0,0,0,0
set,0,0,0,0,0,0,1,0,0,8,0
red,15,0,0,0,0,0,0,0,0,0,0
ray,0,0,0,0,0,0,1,0,0,0,0
languidly,0,0,1,0,0,0,0,0,0,0,0
glimmer,0,0,0,0,0,0,2,0,0,3,0
window,0,0,0,0,0,0,22,0,0,0,0
eject,0,0,0,0,0,0,0,0,0,1,0
burn,0,0,0,0,0,0,0,0,0,8,0
ashe,0,0,0,0,0,0,1,0,0,0,0
cover,0,0,0,0,0,0,0,0,0,14,0
radiate,0,0,0,0,0,0,1,0,0,1,0
sticky,1,0,0,0,0,0,0,0,0,0,0
odor,0,0,0,0,0,0,1,0,0,0,0
machine,0,0,0,0,0,0,5,0,0,0,0
oil,0,0,0,0,0,0,1,0,0,0,0
show,0,0,0,0,0,0,0,0,0,6,0
gleam,0,0,0,0,0,0,4,0,0,4,0
hungry,1,0,0,0,0,0,0,0,0,0,0
tooth,0,0,0,0,0,0,11,0,0,0,0
animation,0,0,0,0,0,0,3,0,0,0,0
gladness,0,0,0,0,0,0,1,0,0,0,0
servitude,0,0,0,0,0,0,2,0,0,0,0
hard,22,0,3,0,0,0,0,0,0,0,0
toil,0,0,0,0,0,0,4,0,0,0,0
supper,0,0,0,0,0,0,8,0,0,0,0
await,0,0,0,0,0,0,0,0,0,4,0
home,0,0,18,0,0,0,11,0,0,0,0
respite,0,0,0,0,0,0,1,0,0,0,0
swallow,0,0,0,0,0,0,0,0,0,2,0
suck,0,0,0,0,0,0,0,0,0,2,0
man,0,0,0,0,0,0,85,0,0,0,0
vigor,0,0,0,0,0,0,2,0,0,0,0
need,0,0,0,1,0,0,2,0,0,12,0
blot,0,0,0,0,0,0,0,0,0,1,0
life,0,0,0,0,0,0,74,0,0,0,0
trace,0,0,0,0,0,0,3,0,0,0,0
leave,0,0,0,0,0,0,2,0,0,19,0
imperceptible,1,0,0,0,0,0,0,0,0,0,0
step,0,0,0,0,0,0,4,0,0,2,0
grave,0,0,0,0,0,0,6,0,0,0,0
see,0,0,0,0,0,0,0,0,0,33,0
close,6,0,2,0,0,0,0,0,0,7,0
delight,0,0,0,0,0,0,5,0,0,1,0
rest,0,0,0,0,0,0,6,0,0,5,0
joy,0,0,0,0,0,0,15,0,0,0,0
odorous,1,0,0,0,0,0,0,0,0,0,0
tavern,0,0,0,0,0,0,8,0,0,0,0
satisfied,3,0,0,0,0,0,0,0,0,0,0
holiday,0,0,0,0,0,0,10,0,0,0,0
worker,0,0,0,0,0,0,6,0,0,0,0
staid,4,0,0,0,0,0,0,0,0,0,0
