word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
high,16,0,4,0,0,0,0,0,0,0,0,0
city,0,0,0,0,0,0,32,0,0,0,0,0
tall,9,0,0,0,0,0,0,0,0,0,0,0
column,0,0,0,0,0,0,3,0,0,0,0,0
stand,0,0,0,0,0,0,1,0,0,0,43,0
statue,0,0,0,0,0,0,15,0,0,0,0,0
gild,0,0,0,0,0,0,0,0,0,0,1,0
thin,6,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,12,0,0,0,22,0
fine,18,0,0,0,0,0,0,0,0,0,0,0
gold,4,0,0,0,0,0,59,0,0,0,0,0
eye,0,0,0,0,0,0,50,0,0,0,0,0
bright,20,0,0,0,0,0,0,0,0,0,0,0
sapphire,0,0,0,0,0,0,4,0,0,0,0,0
large,23,0,0,0,0,0,0,0,0,0,0,0
red,59,0,0,0,0,0,0,0,0,0,0,0
ruby,0,0,0,0,0,0,14,0,0,0,0,0
glow,0,0,0,0,0,0,1,0,0,0,2,0
sword,0,0,0,0,0,0,9,0,0,0,0,0
hilt,0,0,0,0,0,0,2,0,0,0,0,0
admire,0,0,0,0,0,0,0,0,0,0,3,0
beautiful,54,0,0,0,0,0,0,0,0,0,0,0
weathercock,0,0,0,0,0,0,1,0,0,0,0,0
remark,0,0,0,0,0,0,2,0,0,0,7,0
councillor,0,0,0,0,0,0,5,0,0,0,0,0
wish,0,0,0,0,0,0,0,0,0,0,3,0
gain,0,0,0,0,0,0,0,0,0,0,2,0
reputation,0,0,0,0,0,0,1,0,0,0,0,0
have,0,0,0,0,0,0,0,0,0,0,9,0
artistic,1,0,0,0,0,0,0,0,0,0,0,0
taste,0,0,0,0,0,0,3,0,0,0,0,0
useful,4,0,0,0,0,0,0,0,0,0,0,0
add,0,0,0,0,0,0,0,0,0,0,1,0
fear,0,0,0,0,0,0,0,0,0,0,2,0
lest,0,3,0,0,0,0,0,0,0,0,0,0
people,0,0,0,0,0,0,29,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,56,0
unpractical,2,0,0,0,0,0,0,0,0,0,0,0
like,2,76,0,0,0,0,1,0,0,0,18,0
ask,0,0,0,0,0,0,0,0,0,0,31,0
sensible,2,0,0,0,0,0,0,0,0,0,0,0
mother,0,0,0,0,0,0,32,0,0,0,0,0
little,190,0,4,0,0,0,0,0,0,0,0,0
boy,0,0,0,0,0,0,36,0,0,0,0,0
cry,0,0,0,0,0,0,12,0,0,0,102,0
moon,0,0,0,0,0,0,11,0,0,0,0,0
dream,0,0,0,0,0,0,14,0,0,0,7,0
glad,10,0,0,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,36,0,0,0,0,0
happy,21,0,0,0,0,0,0,0,0,0,0,0
mutter,0,0,0,0,0,0,0,0,0,0,2,0
disappointed,1,0,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,45,0,0,0,0,0
gaze,0,0,0,0,0,0,1,0,0,0,2,0
wonderful,20,0,0,0,0,0,0,0,0,0,0,0
look,0,0,0,0,0,0,0,0,0,0,94,0
angel,0,0,0,0,0,0,4,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,289,0
come,0,0,0,0,0,0,0,0,0,0,148,0
cathedral,0,0,0,0,0,0,7,0,0,0,0,0
scarlet,9,0,0,0,0,0,0,0,0,0,0,0
cloak,0,0,0,0,0,0,19,0,0,0,0,0
clean,1,0,0,0,0,0,0,0,0,0,0,0
white,59,0,0,0,0,0,1,0,0,0,0,0
pinafore,0,0,0,0,0,0,1,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,65,0
mathematical,1,0,0,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,74,0
answer,0,0,0,0,0,0,5,0,0,0,77,0
child,0,0,0,0,0,0,87,0,0,0,0,0
frown,0,0,0,0,0,0,0,0,0,0,9,0
severe,2,0,0,0,0,0,0,0,0,0,0,0
approve,0,0,0,0,0,0,0,0,0,0,1,0
