word,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,PUNCT,SCONJ,VERB,X
airplane,0,0,0,0,0,0,3,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,22,0
initial,1,0,0,0,0,0,0,0,0,0,0,0
descent,0,0,0,0,0,0,3,0,0,0,0,0
passenger,0,0,0,0,0,0,1,0,0,0,0,0
chew,0,0,0,0,0,0,0,0,0,0,4,0
gum,0,0,0,0,0,0,2,0,0,0,0,0
yawn,0,0,0,0,0,0,0,0,0,0,2,0
clear,7,0,0,0,0,0,0,0,0,0,4,0
ear,0,0,0,0,0,0,379,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,3,0
bothered,1,0,0,0,0,0,0,0,0,0,0,0
change,0,0,0,0,0,0,20,0,0,0,2,0
air,0,0,0,0,0,0,69,0,0,0,0,0
pressure,0,0,0,0,0,0,38,0,0,0,0,0
common,30,0,0,0,0,0,1,0,0,0,0,0
cold,3,0,0,0,0,0,8,0,0,0,0,0
notorious,1,0,0,0,0,0,0,0,0,0,0,0
obscure,0,0,0,0,0,0,0,0,0,0,1,0
ability,0,0,0,0,0,0,28,0,0,0,0,0
taste,0,0,0,0,0,0,110,0,0,0,15,0
food,0,0,0,0,0,0,27,0,0,0,0,0
experience,0,0,0,0,0,0,9,0,0,0,14,0
demonstrate,0,0,0,0,0,0,0,0,0,0,11,0
close,4,0,6,0,0,0,0,0,0,0,14,0
physiological,9,0,0,0,0,0,0,0,0,0,0,0
relationship,0,0,0,0,0,0,5,0,0,0,0,0
share,0,0,0,0,0,0,1,0,0,0,4,0
nose,0,0,0,0,0,0,76,0,0,0,0,0
throat,0,0,0,0,0,0,51,0,0,0,0,0
tissue,0,0,0,0,0,0,48,0,0,0,0,0
perform,0,0,0,0,0,0,0,0,0,0,12,0
separate,8,0,0,0,0,0,0,0,0,0,17,0
function,0,0,0,0,0,0,45,0,0,0,11,0
human,44,0,0,0,0,0,26,0,0,0,0,0
body,0,0,0,0,0,0,49,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,3,0
book,0,0,0,0,0,0,2,0,0,0,0,0
play,0,0,0,0,0,0,1,0,0,0,7,0
key,5,0,0,0,0,0,0,0,0,0,0,0
role,0,0,0,0,0,0,12,0,0,0,0,0
respiratory,12,0,0,0,0,0,0,0,0,0,0,0
alimentary,1,0,0,0,0,0,0,0,0,0,0,0
system,0,0,0,0,0,0,43,0,0,0,0,0
essential,8,0,0,0,0,0,0,0,0,0,0,0
health,0,0,0,0,0,0,5,0,0,0,0,0
time,0,0,0,0,0,0,33,0,0,0,1,0
unique,10,0,0,0,0,0,0,0,0,0,0,0
example,0,0,0,0,0,0,27,0,0,0,0,0
structure,0,0,0,0,0,0,60,0,0,0,0,0
enable,0,0,0,0,0,0,0,0,0,0,11,0
vocal,30,0,0,0,0,0,0,0,0,0,0,0
expression,0,0,0,0,0,0,8,0,0,0,0,0
hearing,0,0,0,0,0,0,238,0,0,0,0,0
balance,0,0,0,0,0,0,13,0,0,0,1,0
central,16,0,0,0,0,0,0,0,0,0,0,0
sense,0,0,0,0,0,0,39,0,0,0,4,0
smell,0,0,0,0,0,0,33,0,0,0,8,0
late,6,0,0,0,0,0,0,0,0,0,0,0
century,0,0,0,0,0,0,19,0,0,0,0,0
physician,0,0,0,0,0,0,13,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,9,0
organ,0,0,0,0,0,0,75,0,0,0,0,0
separately,0,0,4,0,0,0,0,0,0,0,0,0
otologist,0,0,0,0,0,0,7,0,0,0,0,0
specialize,0,0,0,0,0,0,0,0,0,0,2,0
exclusively,0,0,2,0,0,0,0,0,0,0,0,0
laryngologist,0,0,0,0,0,0,3,0,0,0,0,0
diagnose,0,0,0,0,0,0,0,0,0,0,11,0
treat,0,0,0,0,0,0,0,0,0,0,14,0
disorder,0,0,0,0,0,0,87,0,0,0,0,0
larynx,0,0,0,0,0,0,45,0,0,0,0,0
interdependence,0,0,0,0,0,0,1,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,12,0
well,5,0,10,0,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,0,20,0
medical,23,0,0,0,0,0,0,0,0,0,0,0
science,0,0,0,0,0,0,6,0,0,0,0,0
otology,0,0,0,0,0,0,1,0,0,0,0,0
laryngology,0,0,0,0,0,0,3,0,0,0,0,0
unify,0,0,0,0,0,0,0,0,0,0,1,0
specialized,5,0,0,0,0,0,0,0,0,0,0,0
field,0,0,0,0,0,0,2,0,0,0,0,0
otolaryngology,0,0,0,0,0,0,6,0,0,0,0,0
devote,0,0,0,0,0,0,0,0,0,0,4,0
study,0,0,0,0,0,0,28,0,0,0,4,0
treatment,0,0,0,0,0,0,29,0,0,0,0,0
disease,0,0,0,0,0,0,58,0,0,0,0,0
associate,0,0,0,0,0,0,0,0,0,0,20,0
today,0,0,0,0,0,0,5,0,0,0,0,0
refer,0,0,0,0,0,0,0,0,0,0,12,0
simply,0,0,5,0,0,0,0,0,0,0,0,0
short,13,0,0,0,0,0,0,0,0,0,0,0
scientist,0,0,0,0,0,0,6,0,0,0,0,0
design,0,0,0,0,0,0,2,0,0,0,2,0
architectural,2,0,0,0,0,0,0,0,0,0,0,0
term,0,0,0,0,0,0,14,0,0,0,1,0
describe,0,0,0,0,0,0,0,0,0,0,10,0
feature,0,0,0,0,0,0,9,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,6,0
wall,0,0,0,0,0,0,40,0,0,0,1,0
window,0,0,0,0,0,0,31,0,0,0,0,0
vestibule,0,0,0,0,0,0,20,0,0,0,0,0
ceiling,0,0,0,0,0,0,3,0,0,0,0,0
character,0,0,0,0,0,0,2,0,0,0,0,0
kill,0,0,0,0,0,0,0,0,0,0,2,0
pour,0,0,0,0,0,0,0,0,0,0,1,0
poison,0,0,0,0,0,0,1,0,0,0,0,0
porch,0,0,0,0,0,0,1,0,0,0,0,0
inner,108,0,0,0,0,0,0,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,0,44,0
labyrinth,0,0,0,0,0,0,43,0,0,0,0,0
inside,0,6,0,0,0,0,1,0,0,0,0,0
highly,0,0,8,0,0,0,0,0,0,0,0,0
developed,1,0,0,0,0,0,0,0,0,0,0,0
responsible,10,0,0,0,0,0,0,0,0,0,0,0
entirely,0,0,2,0,0,0,0,0,0,0,0,0
different,44,0,0,0,0,0,0,0,0,0,0,0
equilibrium,0,0,0,0,0,0,12,0,0,0,0,0
govern,0,0,0,0,0,0,0,0,0,0,2,0
vestibular,48,0,0,0,0,0,0,0,0,0,0,0
individual,9,0,0,0,0,0,42,0,0,0,0,0
maintain,0,0,0,0,0,0,0,0,0,0,13,0
transform,0,0,0,0,0,0,0,0,0,0,5,0
vibration,0,0,0,0,0,0,44,0,0,0,0,0
sound,0,0,0,0,0,0,221,0,0,0,5,0
wave,0,0,0,0,0,0,39,0,0,0,0,0
nerve,0,0,0,0,0,0,179,0,0,0,0,0
impulse,0,0,0,0,0,0,42,0,0,0,0,0
brain,0,0,0,0,0,0,61,0,0,0,0,0
interpret,0,0,0,0,0,0,0,0,0,0,5,0
fully,0,0,4,0,0,0,0,0,0,0,0,0
extremely,0,0,6,0,0,0,0,0,0,0,0,0
