word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
walk,0,0,0,0,0,0,3,0,0,0,30,0
afternoon,0,0,0,0,0,0,12,0,0,0,0,0
freezing,2,0,0,0,0,0,0,0,0,0,0,0
cold,25,0,0,0,0,0,2,0,0,0,0,0
wind,0,0,0,0,0,0,9,0,0,0,0,0
heavy,5,0,0,0,0,0,0,0,0,0,0,0
rain,0,0,0,0,0,0,8,0,0,0,0,0
stay,0,0,0,0,0,0,0,0,0,0,41,0
indoors,0,0,2,0,0,0,0,0,0,0,0,0
glad,16,0,0,0,0,0,0,0,0,0,0,0
like,2,45,0,0,0,0,0,0,0,0,38,0
long,27,0,21,0,0,0,0,0,0,0,0,0
especially,0,0,3,0,0,0,0,0,0,0,0,0
winter,0,0,0,0,0,0,2,0,0,0,0,0
hate,0,0,0,0,0,0,1,0,0,0,22,0
come,0,0,0,0,0,0,0,0,0,0,95,0
home,0,0,11,0,0,0,15,0,0,0,0,0
dark,29,0,0,0,0,0,2,0,0,0,0,0
ice,0,0,0,0,0,0,9,0,0,0,0,0
finger,0,0,0,0,0,0,2,0,0,0,0,0
toe,0,0,0,0,0,0,1,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,58,0
miserable,4,0,0,0,0,0,0,0,0,0,0,0
nursemaid,0,0,0,0,0,0,2,0,0,0,0,0
scold,0,0,0,0,0,0,0,0,0,0,8,0
time,0,0,0,0,0,0,73,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,110,0
different,9,0,0,0,0,0,0,0,0,0,0,0
cousin,0,0,0,0,0,0,11,0,0,0,0,0
tall,7,0,0,0,0,0,0,0,0,0,0,0
strong,16,0,0,0,0,0,0,0,0,0,0,0
love,0,0,0,0,0,0,24,0,0,0,59,0
usually,0,0,2,0,0,0,0,0,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,0,18,0
cry,0,0,0,0,0,0,2,0,0,0,52,0
quarrel,0,0,0,0,0,0,1,0,0,0,3,0
today,0,0,0,0,0,0,6,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,30,0
quietly,0,0,15,0,0,0,0,0,0,0,0,0
mother,0,0,0,0,0,0,20,0,0,0,0,0
sitting,0,0,0,0,0,0,8,0,0,0,0,0
room,0,0,0,0,0,0,99,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,75,0
join,0,0,0,0,0,0,0,0,0,0,6,0
family,0,0,0,0,0,0,38,0,0,0,0,0
circle,0,0,0,0,0,0,1,0,0,0,0,0
aunt,0,0,0,0,0,0,20,0,0,0,0,0
refuse,0,0,0,0,0,0,0,0,0,0,10,0
complain,0,0,0,0,0,0,0,0,0,0,2,0
sorry,10,0,0,0,0,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,69,0
try,0,0,0,0,0,0,0,0,0,0,27,0
behave,0,0,0,0,0,0,0,0,0,0,1,0
well,15,0,3,0,0,0,0,0,0,0,0,0
treat,0,0,0,0,0,0,0,0,0,0,6,0
good,55,0,0,0,0,0,2,0,0,0,0,0
happy,26,0,0,0,0,0,0,0,0,0,0,0
child,0,0,0,0,0,0,44,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,109,0
polite,2,0,0,0,0,0,0,0,0,0,0,0
question,0,0,0,0,0,0,17,0,0,0,2,0
way,0,0,0,0,0,0,18,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,29,0
pleasantly,0,0,1,0,0,0,0,0,0,0,0,0
quiet,12,0,0,0,0,0,0,0,0,0,0,0
creep,0,0,0,0,0,0,0,0,0,0,3,0
small,18,0,0,0,0,0,0,0,0,0,0,0
door,0,0,0,0,0,0,51,0,0,0,0,0
choose,0,0,0,0,0,0,0,0,0,0,8,0
book,0,0,0,0,0,0,20,0,0,0,0,0
picture,0,0,0,0,0,0,4,0,0,0,0,0
bookcase,0,0,0,0,0,0,1,0,0,0,0,0
climb,0,0,0,0,0,0,0,0,0,0,2,0
window,0,0,0,0,0,0,12,0,0,0,0,0
seat,0,0,0,0,0,0,4,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,0,6,0
curtain,0,0,0,0,0,0,9,0,0,0,0,0
completely,0,0,3,0,0,0,0,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,0,0,5,0
look,0,0,0,0,0,0,8,0,0,0,130,0
grey,6,0,0,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,53,0
pour,0,0,0,0,0,0,0,0,0,0,3,0
leafless,1,0,0,0,0,0,0,0,0,0,0,0
garden,0,0,0,0,0,0,12,0,0,0,0,0
study,0,0,0,0,0,0,3,0,0,0,4,0
stare,0,0,0,0,0,0,0,0,0,0,11,0
fascinate,0,0,0,0,0,0,0,0,0,0,2,0
lose,0,0,0,0,0,0,0,0,0,0,23,0
world,0,0,0,0,0,0,15,0,0,0,0,0
imagination,0,0,0,0,0,0,1,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,0,0,24,0
sad,8,0,0,0,0,0,0,0,0,0,0,0
lonely,15,0,0,0,0,0,0,0,0,0,0,0
existence,0,0,0,0,0,0,1,0,0,0,0,0
afraid,16,0,0,0,0,0,0,0,0,0,0,0
secret,8,0,0,0,0,0,7,0,0,0,0,0
hiding,0,0,0,0,0,0,2,0,0,0,0,0
place,0,0,0,0,0,0,17,0,0,0,1,0
discover,0,0,0,0,0,0,0,0,0,0,15,0
suddenly,0,0,27,0,0,0,0,0,0,0,0,0
open,5,0,0,0,0,0,0,0,0,0,19,0
rush,0,0,0,0,0,0,0,0,0,0,11,0
rat,0,0,0,0,0,0,2,0,0,0,0,0
shout,0,0,0,0,0,0,1,0,0,0,8,0
tell,0,0,0,0,0,0,0,0,0,0,88,0
run,0,0,0,0,0,0,0,0,0,0,20,0
bad,15,0,0,0,0,0,0,0,0,0,0,0
animal,1,0,0,0,0,0,4,0,0,0,0,0
lucky,1,0,0,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,119,0
find,0,0,0,0,0,0,0,0,0,0,46,0
intelligent,8,0,0,0,0,0,0,0,0,0,0,0
guess,0,0,0,0,0,0,0,0,0,0,3,0
call,0,0,0,0,0,0,0,0,0,0,35,0
immediately,0,0,7,0,0,0,0,0,0,0,0,0
pull,0,0,0,0,0,0,0,0,0,0,5,0
answer,0,0,0,0,0,0,11,0,0,0,47,0
armchair,0,0,0,0,0,0,4,0,0,0,0,0
fourteen,0,0,0,0,0,0,0,1,0,0,0,0
large,13,0,0,0,0,0,0,0,0,0,0,0
fat,2,0,0,0,0,0,0,0,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,0,13,0
meal,0,0,0,0,0,0,1,0,0,0,0,0
ill,19,0,0,0,0,0,0,0,0,0,0,0
boarding,0,0,0,0,0,0,3,0,0,0,0,0
school,0,0,0,0,0,0,48,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,21,0
month,0,0,0,0,0,0,12,0,0,0,0,0
health,0,0,0,0,0,0,3,0,0,0,0,0
delicate,2,0,0,0,0,0,0,0,0,0,0,0
sister,0,0,0,0,0,0,15,0,0,0,0,0
bully,0,0,0,0,0,0,1,0,0,0,2,0
punish,0,0,0,0,0,0,0,0,0,0,10,0
week,0,0,0,0,0,0,20,0,0,0,0,0
twice,0,0,4,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,66,0,0,0,0,0
body,0,0,0,0,0,0,5,0,0,0,0,0
tremble,0,0,0,0,0,0,0,0,0,0,12,0
near,2,10,2,0,0,0,0,0,0,0,0,0
hit,0,0,0,0,0,0,0,0,0,0,11,0
threaten,0,0,0,0,0,0,0,0,0,0,2,0
live,0,0,0,0,0,0,0,0,0,0,46,0
terrible,11,0,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,8,0,0,0,2,0
idea,0,0,0,0,0,0,8,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,26,0
servant,0,0,0,0,0,0,38,0,0,0,0,0
offend,0,0,0,0,0,0,0,0,0,0,3,0
young,40,0,0,0,0,0,0,0,0,0,0,0
master,0,0,0,0,0,0,31,0,0,0,0,0
fault,0,0,0,0,0,0,12,0,0,0,0,0
dear,6,0,0,0,0,0,1,0,0,0,0,0
boy,0,0,0,0,0,0,5,0,0,0,0,0
obey,0,0,0,0,0,0,0,0,0,0,8,0
order,0,0,0,0,0,0,8,0,0,0,1,0
approach,0,0,0,0,0,0,0,0,0,0,11,0
ugly,5,0,0,0,0,0,0,0,0,0,0,0
face,0,0,0,0,0,0,40,0,0,0,1,0
understand,0,0,0,0,0,0,0,0,0,0,20,0
hard,18,0,12,0,0,0,0,0,0,0,0,0
rudeness,0,0,0,0,0,0,2,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,178,0
wickedness,0,0,0,0,0,0,7,0,0,0,0,0
bullying,0,0,0,0,0,0,1,0,0,0,0,0
read,0,0,0,0,0,0,0,0,0,0,24,0
give,0,0,0,0,0,0,0,0,0,0,19,0
right,18,0,2,0,0,0,5,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,0,20,0
money,0,0,0,0,0,0,22,0,0,0,0,0
father,0,0,0,0,0,0,19,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,79,0
ought,0,0,0,5,0,0,0,0,0,0,0,0
beg,0,0,0,0,0,0,0,0,0,0,5,0
street,0,0,0,0,0,0,1,0,0,0,0,0
comfort,0,0,0,0,0,0,1,0,0,0,3,0
gentleman,0,0,0,0,0,0,20,0,0,0,0,0
house,0,0,0,0,0,0,63,0,0,0,0,0
year,0,0,0,0,0,0,40,0,0,0,0,0
teach,0,0,0,0,0,0,0,0,0,0,18,0
borrow,0,0,0,0,0,0,0,0,0,0,1,0
lift,0,0,0,0,0,0,0,0,0,0,8,0
throw,0,0,0,0,0,0,0,0,0,0,9,0
fall,0,0,0,0,0,0,0,0,0,0,19,0
cut,0,0,0,0,0,0,0,0,0,0,4,0
head,0,0,0,0,0,0,18,0,0,0,0,0
great,30,0,0,0,0,0,0,0,0,0,0,0
pain,0,0,0,0,0,0,6,0,0,0,0,0
life,0,0,0,0,0,0,76,0,0,0,0,0
wicked,14,0,0,0,0,0,0,0,0,0,0,0
cruel,9,0,0,0,0,0,0,0,0,0,0,0
murderer,0,0,0,0,0,0,2,0,0,0,0,0
attack,0,0,0,0,0,0,3,0,0,0,5,0
fight,0,0,0,0,0,0,1,0,0,0,4,0
desperate,6,0,0,0,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,0,58,0,0,0,0,0
blood,0,0,0,0,0,0,6,0,0,0,0,0
strength,0,0,0,0,0,0,3,0,0,0,0,0
resistance,0,0,0,0,0,0,1,0,0,0,0,0
surprise,0,0,0,0,0,0,2,0,0,0,2,0
help,0,0,0,0,0,0,10,0,0,0,35,0
maid,0,0,0,0,0,0,2,0,0,0,0,0
apart,0,0,8,0,0,0,0,0,0,0,0,0
calmly,0,0,10,0,0,0,0,0,0,0,0,0
away,0,3,50,0,0,0,0,0,0,0,0,0
red,12,0,0,0,0,0,0,0,0,0,0,0
lock,0,0,0,0,0,0,1,0,0,0,13,0
carry,0,0,0,0,0,0,0,0,0,0,8,0
upstairs,1,0,10,0,0,0,0,0,0,0,0,0
arm,0,0,0,0,0,0,17,0,0,0,0,0
wave,0,0,0,0,0,0,1,0,0,0,2,0
leg,0,0,0,0,0,0,5,0,0,0,0,0
kick,0,0,0,0,0,0,0,0,0,0,2,0
soon,0,0,30,0,0,0,0,0,0,0,0,0
arrive,0,0,0,0,0,0,0,0,0,0,18,0
start,0,0,0,0,0,0,1,0,0,0,14,0
work,0,0,0,0,0,0,16,0,0,0,15,0
reply,0,0,0,0,0,0,0,0,0,0,29,0
strongly,0,0,2,0,0,0,0,0,0,0,0,0
disapprove,0,0,0,0,0,0,0,0,0,0,2,0
remember,0,0,0,0,0,0,0,0,0,0,14,0
miss,0,0,0,0,0,0,7,0,0,0,2,0
pay,0,0,0,0,0,0,0,0,0,0,15,0
food,0,0,0,0,0,0,11,0,0,0,0,0
clothe,0,0,0,0,0,0,16,0,0,0,0,0
grateful,3,0,0,0,0,0,0,0,0,0,0,0
relation,0,0,0,0,0,0,12,0,0,0,0,0
friend,0,0,0,0,0,0,18,0,0,0,0,0
short,9,0,0,0,0,0,0,0,0,0,0,0
silent,12,0,0,0,0,0,0,0,0,0,0,0
listen,0,0,0,0,0,0,0,0,0,0,16,0
painful,1,0,0,0,0,0,0,0,0,0,0,0
reminder,0,0,0,0,0,0,1,0,0,0,0,0
angry,17,0,0,0,0,0,0,0,0,0,0,0
rude,6,0,0,0,0,0,0,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,22,0
add,0,0,0,0,0,0,0,0,0,0,2,0
heart,0,0,0,0,0,0,36,0,0,0,0,0
pray,0,0,0,0,0,0,0,0,0,0,4,0
carefully,0,0,11,0,0,0,0,0,0,0,0,0
hardly,0,0,15,0,0,0,0,0,0,0,0,0
bedroom,0,0,0,0,0,0,14,0,0,0,0,0
ago,0,0,9,0,0,0,0,0,0,0,0,0
uncle,0,0,0,0,0,0,17,0,0,0,0,0
die,0,0,0,0,0,0,0,0,0,0,36,0
sleep,0,0,0,0,0,0,2,0,0,0,10,0
bitterly,0,0,4,0,0,0,0,0,0,0,0,0
people,0,0,0,0,0,0,26,0,0,0,0,0
accuse,0,0,0,0,0,0,0,0,0,0,5,0
selfish,1,0,0,0,0,0,0,0,0,0,0,0
respected,1,0,0,0,0,0,0,0,0,0,0,0
temper,0,0,0,0,0,0,1,0,0,0,0,0
popular,2,0,0,0,0,0,0,0,0,0,0,0
everybody,0,0,0,0,0,0,0,0,3,0,0,0
beautiful,17,0,0,0,0,0,0,0,0,0,0,0
violent,4,0,0,0,0,0,0,0,0,0,0,0
mistake,0,0,0,0,0,0,7,0,0,0,0,0
naughty,2,0,0,0,0,0,0,0,0,0,0,0
moment,0,0,0,0,0,0,30,0,0,0,0,0
turn,0,0,0,0,0,0,1,0,0,0,27,0
protect,0,0,0,0,0,0,0,0,0,0,4,0
blame,0,0,0,0,0,0,0,0,0,0,4,0
suffer,0,0,0,0,0,0,0,0,0,0,8,0
unfair,2,0,0,0,0,0,0,0,0,0,0,0
starve,0,0,0,0,0,0,0,0,0,0,2,0
death,0,0,0,0,0,0,22,0,0,0,0,0
gradually,0,0,3,0,0,0,0,0,0,0,0,0
outside,0,1,13,0,0,0,0,0,0,0,0,0
beat,0,0,0,0,0,0,1,0,0,0,5,0
tree,0,0,0,0,0,0,8,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,23,0
deserve,0,0,0,0,0,0,0,0,0,0,5,0
bury,0,0,0,0,0,0,0,0,0,0,3,0
churchyard,0,0,0,0,0,0,3,0,0,0,0,0
brother,0,0,0,0,0,0,19,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,29,0
parent,0,0,0,0,0,0,7,0,0,0,0,0
bed,0,0,0,0,0,0,15,0,0,0,0,0
wife,0,0,0,0,0,0,24,0,0,0,0,0
promise,0,0,0,0,0,0,5,0,0,0,14,0
suppose,0,0,0,0,0,0,0,0,0,0,9,0
regret,0,0,0,0,0,0,1,0,0,0,3,0
strange,20,0,0,0,0,0,0,0,0,0,0,0
sure,22,0,0,0,0,0,0,0,0,0,0,0
kindly,0,0,9,0,0,0,0,0,0,0,0,0
round,0,6,4,0,0,0,0,0,0,0,0,0
furniture,0,0,0,0,0,0,4,0,0,0,0,0
wall,0,0,0,0,0,0,2,0,0,0,0,0
shadow,0,0,0,0,0,0,4,0,0,0,0,0
ghost,0,0,0,0,0,0,11,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,0,0,8,0
rise,0,0,0,0,0,0,0,0,0,0,3,0
grave,0,0,0,0,0,0,2,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,0,10,0
frightened,5,0,0,0,0,0,0,0,0,0,0,0
thought,0,0,0,0,0,0,11,0,0,0,0,0
dare,0,0,0,0,0,0,0,0,0,0,6,0
breathe,0,0,0,0,0,0,0,0,0,0,2,0
darkness,0,0,0,0,0,0,6,0,0,0,0,0
light,1,0,0,0,0,0,9,0,0,0,5,0
