word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB
flood,0,0,0,129,0,0,18
happen,0,0,0,0,0,0,24
water,0,0,0,79,0,0,0
river,0,0,0,74,0,0,0
sea,0,0,0,23,0,0,0
cover,0,0,0,0,0,0,4
dry,4,0,0,0,0,0,1
land,0,0,0,18,0,0,1
far,0,0,6,0,0,0,0
powerful,4,0,0,0,0,0,0
description,0,0,0,1,0,0,0
make,0,0,0,0,0,0,8
sound,1,0,0,0,0,0,1
heavy,12,0,0,0,0,0,0
rain,0,0,0,34,0,0,1
turn,0,0,0,0,0,0,2
gently,0,0,2,0,0,0,0
flow,0,0,0,3,0,0,20
terrifying,1,0,0,0,0,0,0
torrent,0,0,0,3,0,0,0
sweep,0,0,0,0,0,0,7
landscape,0,0,0,6,0,0,0
submerge,0,0,0,0,0,0,4
foot,0,0,0,12,0,0,0
muddy,1,0,0,0,0,0,0
storm,0,0,0,24,0,0,0
giant,5,0,0,0,0,0,0
wave,0,0,0,13,0,0,0
send,0,0,0,0,0,0,2
seawater,0,0,0,4,0,0,0
cascade,0,0,0,0,0,0,1
low,4,0,8,0,0,0,0
lie,0,0,0,0,0,0,10
coast,0,0,0,12,0,0,0
drown,0,0,0,0,0,0,2
town,0,0,0,8,0,0,0
harbor,0,0,0,1,0,0,0
people,0,0,0,33,0,0,0
killer,1,0,0,0,0,0,0
kill,0,0,0,0,0,0,5
earthquake,0,0,0,6,0,0,0
famine,0,0,0,1,0,0,0
volcanic,2,0,0,0,0,0,0
eruption,0,0,0,3,0,0,0
natural,6,0,0,0,0,0,0
disaster,0,0,0,6,0,0,0
century,0,0,0,2,0,0,0
ten,0,0,0,1,0,0,0
million,0,0,0,7,4,0,0
die,0,0,0,0,0,0,6
single,2,0,0,0,0,0,0
huge,8,0,0,0,0,0,0
bring,0,0,0,0,0,0,3
catastrophe,0,0,0,1,0,0,0
frequent,3,0,0,0,0,0,0
cause,0,0,0,1,0,0,40
damage,0,0,0,6,0,0,9
property,0,0,0,3,0,0,0
fast,1,0,10,0,0,0,0
floodwater,0,0,0,27,0,0,0
wash,0,0,0,0,0,0,9
away,0,3,8,0,0,0,0
building,0,0,0,11,0,0,0
car,0,0,0,6,0,0,0
tree,0,0,0,3,0,0,0
road,0,0,0,2,0,0,0
stagnant,2,0,0,0,0,0,0
electricity,0,0,0,2,0,0,0
cable,0,0,0,3,0,0,0
infrastructure,0,0,0,2,0,0,0
alter,0,0,0,0,0,0,1
erode,0,0,0,0,0,0,6
soil,0,0,0,14,0,0,0
carry,0,0,0,0,0,0,9
dump,0,0,0,0,0,0,1
flooding,0,0,0,36,0,0,0
summer,0,0,0,5,0,0,0
overflow,0,0,0,0,0,0,9
bank,0,0,0,9,0,0,0
spread,0,0,0,0,0,0,5
surround,0,0,0,0,0,0,2
type,0,0,0,4,0,0,0
main,4,0,0,2,0,0,0
flash,0,0,0,22,0,0,0
coastal,13,0,0,0,0,0,0
excess,1,0,0,0,0,0,0
flat,4,0,0,0,0,0,0
call,0,0,0,0,0,0,13
floodplain,0,0,0,16,0,0,0
devastating,2,0,0,0,0,0,0
world,0,0,0,5,0,0,0
great,4,0,0,0,0,0,0
suddenly,0,0,3,0,0,0,0
intense,4,0,0,0,0,0,0
fall,0,0,0,0,0,0,13
small,5,0,0,0,0,0,0
area,0,0,0,26,0,0,0
tsunami,0,0,0,23,0,0,0
raise,0,0,0,0,0,0,3
level,0,0,0,24,0,0,0
despite,0,0,0,0,0,3,0
destructive,1,0,0,0,0,0,0
benefit,0,0,0,1,0,0,0
extremely,0,0,2,0,0,0,0
fertile,1,0,0,0,0,0,0
good,4,0,0,0,0,0,0
place,0,0,0,8,0,0,0
grow,0,0,0,0,0,0,10
crop,0,0,0,10,0,0,0
choose,0,0,0,0,0,0,1
live,1,0,0,0,0,0,13
risk,0,0,0,5,0,0,0
roof,0,0,0,4,0,0,0
poke,0,0,0,0,0,0,1
case,0,0,0,6,0,0,0
study,0,0,0,5,0,0,0
biblical,1,0,0,0,0,0,0
earth,0,0,0,8,0,0,0
man,0,0,0,1,0,0,0
family,0,0,0,2,0,0,0
survive,0,0,0,0,0,0,2
similar,2,0,0,0,0,0,0
legend,0,0,0,1,0,0,0
base,0,0,0,2,0,0,1
real,1,0,0,0,0,0,0
year,0,0,0,17,0,0,0
ago,0,0,1,0,0,0,0
modern,1,0,0,0,0,0,0
day,0,0,0,8,0,0,0
archaeologist,0,0,0,1,0,0,0
find,0,0,0,0,0,0,6
thick,1,0,0,0,0,0,0
layer,0,0,0,3,0,0,0
sediment,0,0,0,9,0,0,0
deposit,0,0,0,0,0,0,6
massive,2,0,0,0,0,0,0
look,0,0,0,0,0,0,1
useful,1,0,0,0,0,0,0
understand,0,0,0,0,0,0,1
constantly,0,0,1,0,0,0,0
circulate,0,0,0,0,0,0,1
ocean,0,0,0,7,0,0,0
atmosphere,0,0,0,3,0,0,0
circulation,0,0,0,1,0,0,0
cycle,0,0,0,2,0,0,0
evaporate,0,0,0,0,0,0,2
form,0,0,0,2,0,0,11
vapor,0,0,0,2,0,0,0
rise,0,0,0,3,0,0,8
cool,0,0,0,0,0,0,1
droplet,0,0,0,3,0,0,0
precipitation,0,0,0,1,0,0,0
soak,0,0,0,0,0,0,11
run,0,0,0,0,0,0,6
ground,0,0,0,17,0,0,0
runoff,0,0,0,3,0,0,0
depend,0,0,0,0,0,0,1
wet,3,0,0,0,0,0,0
example,0,0,0,3,0,0,0
quickly,0,0,4,0,0,0,0
sandy,1,0,0,0,0,0,0
slowly,0,0,5,0,0,0,0
clay,0,0,0,1,0,0,0
heavily,0,0,1,0,0,0,0
surplus,1,0,0,0,0,0,0
sit,0,0,0,0,0,0,1
downhill,0,0,3,0,0,0,0
saturated,2,0,0,0,0,0,0
soaked,1,0,0,0,0,0,0
easy,3,0,0,0,0,0,0
way,0,0,0,4,0,0,0
collect,0,0,0,0,0,0,1
stream,0,0,0,3,0,0,0
hill,0,0,0,1,0,0,0
mountain,0,0,0,2,0,0,0
shape,0,0,0,1,0,0,1
valley,0,0,0,9,0,0,0
rock,0,0,0,7,0,0,0
downstream,0,0,8,0,0,0,0
reach,0,0,0,0,0,0,7
lowland,0,0,0,1,0,0,0
naturally,0,0,3,0,0,0,0
meander,0,0,0,0,0,0,3
bend,0,0,0,1,0,0,0
time,0,0,0,10,0,0,0
cut,0,0,0,0,0,0,4
wide,1,0,0,0,0,0,0
fill,0,0,0,0,0,0,4
transport,0,0,0,0,0,0,1
build,0,0,0,0,0,0,12
center,0,0,0,1,0,0,0
start,0,0,0,0,0,0,4
return,0,0,0,0,0,0,2
mouth,0,0,0,1,0,0,0
know,0,0,0,0,0,0,5
leave,0,0,0,1,0,0,6
groundwater,0,0,0,4,0,0,0
seep,0,0,0,0,0,0,1
saturate,0,0,0,0,0,0,2
table,0,0,0,1,0,0,0
come,0,0,0,0,0,0,5
spring,0,0,0,3,0,0,0
keep,0,0,0,0,0,0,1
long,3,0,0,0,0,0,0
spell,0,0,0,1,0,0,0
weather,0,0,0,2,0,0,0
pattern,0,0,0,2,0,0,0
seasonal,4,0,0,0,0,0,0
high,14,0,0,0,0,0,0
rainfall,0,0,0,2,0,0,0
melt,0,0,0,0,0,0,2
snow,0,0,0,1,0,0,0
major,5,0,0,0,0,0,0
range,0,0,0,1,0,0,0
different,3,0,0,0,0,0,0
climate,0,0,0,3,0,0,0
increase,0,0,0,1,0,0,3
season,0,0,0,1,0,0,0
onetime,2,0,0,0,0,0,0
particularly,0,0,1,0,0,0,0
last,0,0,0,0,0,0,1
regular,3,0,0,0,0,0,0
free,1,0,0,0,0,0,0
severity,0,0,0,1,0,0,0
measure,0,0,0,0,0,0,3
average,4,0,0,0,0,0,0
alongside,0,3,0,0,0,0,0
probably,0,0,1,0,0,0,0
experience,0,0,0,0,0,0,1
lifetime,0,0,0,1,0,0,0
tropical,7,0,0,0,0,0,0
cyclone,0,0,0,11,0,0,0
create,0,0,0,0,0,0,2
drop,0,0,0,1,0,0,4
amount,0,0,0,1,0,0,0
short,3,0,1,0,0,0,0
indian,1,0,0,0,0,0,0
monsoon,0,0,0,5,0,0,0
surge,0,0,0,18,0,0,0
soon,0,0,4,0,0,0,0
take,0,0,0,0,0,0,3
move,0,0,0,0,0,0,6
particular,1,0,0,0,0,0,0
point,0,0,0,1,0,0,0
gradually,0,0,2,0,0,0,0
peak,0,0,0,0,0,0,1
subside,0,0,0,0,0,0,1
hour,0,0,0,3,0,0,0
hundred,0,0,0,6,0,0,0
mile,0,0,0,6,0,0,0
actually,0,0,3,0,0,0,0
certain,1,0,0,0,0,0,0
large,6,0,0,0,0,0,0
volume,0,0,0,3,0,0,0
month,0,0,0,2,0,0,0
drain,0,0,0,2,0,0,4
enormous,1,0,0,0,0,0,0
regularly,0,0,3,0,0,0,0
normal,4,0,0,0,0,0,0
catastrophic,1,0,0,0,0,0,0
meter,0,0,0,9,0,0,0
nearly,0,0,1,0,0,0,0
death,0,0,0,1,0,0,0
sudden,2,0,0,0,0,0,0
slow,0,0,1,0,0,0,1
cloud,0,0,0,7,0,0,0
space,0,0,0,2,0,0,0
quick,1,0,0,0,0,0,0
route,0,0,0,1,0,0,0
narrow,1,0,0,0,0,0,0
city,0,0,0,17,0,0,0
kilometer,0,0,0,2,0,0,0
tall,2,0,0,0,0,0,0
warm,2,0,0,0,0,0,0
humid,1,0,0,0,0,0,0
air,0,0,0,6,0,0,0
inside,0,1,0,0,0,0,0
swirl,0,0,0,0,0,0,1
collapse,0,0,0,0,0,0,6
release,0,0,0,0,0,0,3
thousand,0,0,0,4,0,0,0
ton,0,0,0,2,0,0,0
minute,0,0,0,2,0,0,0
cloudburst,0,0,0,1,0,0,0
torrential,2,0,0,0,0,0,0
street,0,0,0,6,0,0,0
like,1,3,0,0,0,0,0
cope,0,0,0,0,0,0,1
occur,0,0,0,0,0,0,1
waterlogged,1,0,0,0,0,0,0
desert,0,0,0,4,0,0,0
little,2,0,0,0,0,0,0
localized,2,0,0,0,0,0,0
affect,0,0,0,0,0,0,4
english,1,0,0,0,0,0,0
seaside,0,0,0,1,0,0,0
village,0,0,0,4,0,0,0
devastate,0,0,0,0,0,0,3
