word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,VERB,X
tropical,1,0,0,0,0,0,0,0
island,0,0,0,0,14,0,0,0
sweeping,1,0,0,0,0,0,0,0
beach,0,0,0,0,1,0,0,0
lush,1,0,0,0,0,0,0,0
landscape,0,0,0,0,2,0,0,0
majestic,1,0,0,0,0,0,0,0
mountain,0,0,0,0,20,0,0,0
late,1,0,0,0,0,0,0,0
eruption,0,0,0,0,49,0,0,0
volcano,0,0,0,0,70,0,0,0
part,0,0,0,0,4,0,0,0
ugly,1,0,0,0,0,0,0,0
nightmare,0,0,0,0,1,0,0,0
huge,4,0,0,0,0,0,0,0
gas,0,0,0,0,17,0,0,0
cloud,0,0,0,0,6,0,0,0
fiery,2,0,0,0,0,0,0,0
rock,0,0,0,0,51,0,0,0
spew,0,0,0,0,0,0,1,0
high,11,0,3,0,0,0,0,0
air,0,0,0,0,7,0,0,0
glow,0,0,0,0,0,0,2,0
lava,0,0,0,0,41,0,0,0
snake,0,0,0,0,0,0,1,0
mountainside,0,0,0,0,1,0,0,0
shower,0,0,0,0,1,0,0,0
ash,0,0,0,0,14,0,0,0
drape,0,0,0,0,0,0,1,0
home,0,0,0,0,1,0,0,0
field,0,0,0,0,7,0,0,0
ghostly,1,0,0,0,0,0,0,0
gray,0,0,0,0,1,0,0,0
later,0,0,3,0,0,0,0,0
search,0,0,0,0,1,0,0,0
rescue,0,0,0,0,1,0,0,0
team,0,0,0,0,1,0,0,0
hunt,0,0,0,0,0,0,1,0
survivor,0,0,0,0,1,0,0,0
find,0,0,0,0,0,0,9,0
body,0,0,0,0,6,0,0,0
charred,1,0,0,0,0,0,0,0
catch,0,0,0,0,0,0,1,0
mid,0,0,0,0,1,0,0,0
flight,0,0,0,0,2,0,0,0
end,0,0,0,0,1,0,1,0
hundred,0,0,0,0,1,0,0,0
people,0,0,0,0,11,0,0,0
kill,0,0,0,0,0,0,6,0
powerful,6,0,0,0,0,0,0,0
illustration,0,0,0,0,1,0,0,0
scientist,0,0,0,0,13,0,0,0
focus,0,0,0,0,10,0,1,0
study,0,0,0,0,5,0,3,0
plate,0,0,0,0,70,0,0,0
tectonic,11,0,0,0,6,0,0,0
tectonics,0,0,0,0,3,0,0,0
modern,5,0,0,0,0,0,0,0
theory,0,0,0,0,9,0,0,0
movement,0,0,0,0,10,0,0,0
outer,4,0,0,0,0,0,0,0
shell,0,0,0,0,2,0,0,0
lithosphere,0,0,0,0,7,0,0,0
consist,0,0,0,0,0,0,2,0
planet,0,0,0,0,7,0,0,0
rocky,1,0,0,0,0,0,0,0
surface,0,0,0,0,43,0,0,0
layer,0,0,0,0,14,0,0,0
call,0,0,0,0,0,0,34,0
crust,0,0,0,0,49,0,0,0
solid,5,0,0,0,0,0,0,0
outermost,2,0,0,0,0,0,0,0
mantle,0,0,0,0,16,0,0,0
beneath,0,3,1,0,0,0,0,0
break,0,0,0,0,0,0,7,0
dozen,0,0,0,0,2,0,0,0
large,20,0,0,0,0,0,0,0
small,9,0,0,0,0,0,0,0
one,0,0,0,0,2,0,0,0
float,0,0,0,0,0,0,3,0
hot,17,0,0,0,0,0,0,0
partially,0,0,3,0,0,0,0,0
molten,13,0,0,0,0,0,0,0
asthenosphere,0,0,0,0,3,0,0,0
slowly,0,0,6,0,0,0,0,0
churn,0,0,0,0,0,0,2,0
drive,0,0,0,0,0,0,3,0
radioactive,2,0,0,0,0,0,0,0
heating,0,0,0,0,4,0,0,0
core,0,0,0,0,5,0,0,0
churning,0,0,0,0,1,0,0,0
cause,0,0,0,0,2,0,24,0
rate,0,0,0,0,1,0,0,0
inch,0,0,0,0,3,0,0,0
centimeter,0,0,0,0,3,0,0,0
year,0,0,0,0,18,0,0,0
thick,6,0,0,0,0,0,0,0
smoke,0,0,0,0,1,0,0,0
rise,0,0,0,0,4,0,18,0
edge,0,0,0,0,2,0,0,0
interact,0,0,0,0,0,0,2,0
way,0,0,0,0,9,0,0,0
converge,0,0,0,0,0,0,11,0
diverge,0,0,0,0,0,0,8,0
slip,0,0,0,0,2,0,6,0
past,1,8,0,0,1,0,0,0
oceanic,26,0,0,0,0,0,0,0
come,0,0,0,0,0,0,12,0
old,6,0,0,0,0,0,0,0
dense,11,0,0,0,0,0,0,0
slide,0,0,0,0,0,0,11,0
young,1,0,0,0,0,0,0,0
meet,0,0,0,0,0,0,6,0
continental,19,0,0,0,0,0,0,0
underneath,0,0,1,0,0,0,0,0
place,0,0,0,0,12,0,0,0
spread,0,0,0,0,0,0,9,0
apart,0,0,7,0,0,0,0,0
middle,0,0,0,0,3,0,0,0
ocean,0,0,0,0,12,0,0,0
long,11,0,6,0,0,0,0,0
ridge,0,0,0,0,9,0,0,0
form,0,0,0,0,5,0,34,0
magma,0,0,0,0,31,0,0,0
fill,0,0,0,0,0,0,5,0
gap,0,0,0,0,3,0,0,0
create,0,0,0,0,0,0,12,0
new,4,0,0,0,0,0,0,0
seafloor,0,0,0,0,13,0,0,0
continent,0,0,0,0,15,0,0,0
trough,0,0,0,0,1,0,0,0
rift,0,0,0,0,6,0,0,0
valley,0,0,0,0,9,0,0,0
extensive,1,0,0,0,0,0,0,0
boundary,0,0,0,0,10,0,0,0
instead,0,0,1,0,0,0,0,0
fracture,0,0,0,0,10,0,2,0
transform,0,0,0,0,6,0,0,0
fault,0,0,0,0,19,0,0,0
stick,0,0,0,0,0,0,3,0
buildup,0,0,0,0,2,0,0,0
pressure,0,0,0,0,14,0,0,0
release,0,0,0,0,3,0,13,0
earthquake,0,0,0,0,95,0,0,0
