word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
say,0,0,0,0,0,0,0,0,0,0,0,480,0
wound,0,0,0,0,0,0,0,15,0,0,0,12,0
procurator,0,0,0,0,0,0,0,59,0,0,0,0,0
wife,0,0,0,0,0,0,0,58,0,0,0,0,0
prudent,2,0,0,0,0,0,0,0,0,0,0,0,0
lad,0,0,0,0,0,0,0,6,0,0,0,0,0
young,71,0,0,0,0,0,0,0,0,0,0,0,0
consequently,0,0,8,0,0,0,0,0,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,0,0,51,0
believe,0,0,0,0,0,0,0,0,0,0,0,42,0
vainglorious,1,0,0,0,0,0,0,0,0,0,0,0,0
musketeer,0,0,0,0,0,0,0,28,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,0,71,0
convince,0,0,0,0,0,0,0,0,0,0,0,5,0
friendship,0,0,0,0,0,0,0,3,0,0,0,0,0
hold,0,0,0,0,0,0,0,2,0,0,0,25,0
surprised,1,0,0,0,0,0,0,0,0,0,0,0,0
secret,2,0,0,0,0,0,0,9,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,0,33,0
sort,0,0,0,0,0,0,0,12,0,0,0,0,0
mental,1,0,0,0,0,0,0,0,0,0,0,0,0
superiority,0,0,0,0,0,0,0,1,0,0,0,0,0
life,0,0,0,0,0,0,0,27,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,124,0
well,3,0,13,0,0,0,0,0,0,0,0,0,0
suppose,0,0,0,0,0,0,0,0,0,0,0,8,0
project,0,0,0,0,0,0,0,4,0,0,0,0,0
intrigue,0,0,0,0,0,0,0,4,0,0,0,0,0
future,2,0,0,0,0,0,0,5,0,0,0,0,0
determined,3,0,0,0,0,0,0,0,0,0,0,0,0
friend,0,0,0,0,0,0,0,98,0,0,0,0,0
instrument,0,0,0,0,0,0,0,2,0,0,0,0,0
fortune,0,0,0,0,0,0,0,7,0,0,0,0,0
sorry,5,0,0,0,0,0,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,0,0,12,0
grasp,0,0,0,0,0,0,0,2,0,0,0,0,0
invisible,1,0,0,0,0,0,0,0,0,0,0,0,0
string,0,0,0,0,0,0,0,1,0,0,0,0,0
reckon,0,0,0,0,0,0,0,0,0,0,0,9,0
move,0,0,0,0,0,0,0,0,0,0,0,4,0
journey,0,0,0,0,0,0,0,7,0,0,0,1,0
profound,5,0,0,0,0,0,0,0,0,0,0,0,0
sadness,0,0,0,0,0,0,0,7,0,0,0,0,0
weigh,0,0,0,0,0,0,0,0,0,0,0,3,0
heart,0,0,0,0,0,0,0,39,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,0,81,0
pretty,24,0,3,0,0,0,0,0,0,0,0,0,0
pay,0,0,0,0,0,0,0,1,0,0,0,19,0
price,0,0,0,0,0,0,0,4,0,0,0,0,0
devotedness,0,0,0,0,0,0,0,1,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,0,51,0
hasten,0,0,0,0,0,0,0,0,0,0,0,3,0
possess,0,0,0,0,0,0,0,0,0,0,0,4,0
man,0,0,0,0,0,0,0,132,0,0,0,0,0
regret,0,0,0,0,0,0,0,6,0,0,0,8,0
happiness,0,0,0,0,0,0,0,7,0,0,0,0,0
miss,0,0,0,0,0,0,0,0,0,0,0,3,0
fear,0,0,0,0,0,0,0,6,0,0,0,7,0
entertain,0,0,0,0,0,0,0,0,0,0,0,7,0
misfortune,0,0,0,0,0,0,0,4,0,0,0,0,0
befall,0,0,0,0,0,0,0,0,0,0,0,1,0
poor,57,0,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,0,0,65,0,0,0,0,0
doubt,0,0,11,0,0,0,0,19,0,0,0,7,0
victim,0,0,0,0,0,0,0,2,0,0,0,0,0
cardinal,0,0,0,0,0,0,0,17,0,0,0,0,0
vengeance,0,0,0,0,0,0,0,20,0,0,0,0,0
terrible,14,0,0,0,0,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,0,76,0
grace,0,0,0,0,0,0,0,8,0,0,0,0,0
eye,0,0,0,0,0,0,0,56,0,0,0,0,0
minister,0,0,0,0,0,0,0,1,0,0,0,0,0
reveal,0,0,0,0,0,0,0,0,0,0,0,3,0
captain,0,0,0,0,0,0,0,1,0,0,0,0,0
home,0,0,5,0,0,0,0,9,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,0,15,0
time,0,0,0,0,0,0,0,106,0,0,0,1,0
pass,0,0,0,0,0,0,0,2,0,0,0,38,0
quickly,0,0,14,0,0,0,0,0,0,0,0,0,0
shorten,0,0,0,0,0,0,0,0,0,0,0,1,0
thought,0,0,0,0,0,0,0,8,0,0,0,0,0
absorb,0,0,0,0,0,0,0,0,0,0,0,3,0
faculty,0,0,0,0,0,0,0,1,0,0,0,0,0
