word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
introduction,0,0,0,0,0,2,0,0,0,0,0
matter,0,0,1,0,0,90,0,0,0,0,0
energy,0,0,0,0,0,358,0,0,0,0,0
basic,13,0,0,0,0,0,0,0,0,0,0
building,0,0,0,0,0,6,0,0,0,0,0
block,0,0,0,0,0,6,0,0,0,0,0
universe,0,0,0,0,0,33,0,0,0,0,0
mass,0,0,0,0,0,96,0,0,0,0,0
occupy,0,0,0,0,0,0,0,0,0,2,0
space,0,0,0,0,0,19,0,0,0,0,0
particle,0,0,0,0,0,79,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,43,0
atom,0,0,0,0,0,74,0,0,0,0,0
molecule,0,0,0,0,0,55,0,0,0,0,0
mean,0,0,0,0,0,0,0,0,0,6,0
book,0,0,0,0,0,9,0,0,0,0,0
hold,0,0,0,0,0,0,0,0,0,19,0
water,0,0,0,0,0,29,0,0,0,0,0
drink,0,0,0,0,0,0,0,0,0,1,0
air,0,0,0,0,0,23,0,0,0,0,0
breathe,0,0,0,0,0,0,0,0,0,1,0
actually,0,0,8,0,0,0,0,0,0,0,0
electron,0,0,0,0,0,49,0,0,0,0,0
proton,0,0,0,0,0,36,0,0,0,0,0
neutron,0,0,0,0,0,34,0,0,0,0,0
center,0,0,0,0,0,7,0,0,0,1,0
nucleus,0,0,0,0,0,76,0,0,0,0,0
different,19,0,0,0,0,0,0,0,0,0,0
number,0,0,0,0,0,12,0,0,0,0,0
combine,0,0,0,0,0,0,0,0,0,8,0
form,0,0,0,0,0,33,0,0,0,31,0
variety,0,0,0,0,0,2,0,0,0,0,0
chemical,32,0,0,0,0,11,0,0,0,0,0
element,0,0,0,0,0,18,0,0,0,0,0
group,0,0,0,0,0,4,0,0,0,0,0
familiar,5,0,0,0,0,0,0,0,0,0,0
state,0,0,0,0,0,29,0,0,0,12,0
solid,11,0,0,0,0,13,0,0,0,0,0
liquid,6,0,0,0,0,23,0,0,0,0,0
gas,0,0,0,0,0,17,0,0,0,0,0
fourth,3,0,0,0,0,1,0,0,0,0,0
plasma,0,0,0,0,0,6,0,0,0,0,0
caption,0,0,0,0,0,10,0,0,0,0,13
girl,0,0,0,0,0,1,0,0,0,0,0
skateboard,0,0,0,0,0,1,0,0,0,0,0
demonstrate,0,0,0,0,0,0,0,0,0,5,0
kinetic,27,0,0,0,0,0,0,0,0,0,0
motion,0,0,0,0,0,60,0,0,0,0,0
define,0,0,0,0,0,0,0,0,0,6,0
capacity,0,0,0,0,0,2,0,0,0,0,0
work,0,0,0,0,0,53,0,0,0,9,0
early,4,0,2,0,0,0,0,0,0,0,0
theorize,0,0,0,0,0,0,0,0,0,3,0
relate,0,0,0,0,0,0,0,0,0,7,0
fundamental,15,0,0,0,0,1,0,0,0,0,0
way,0,0,0,0,0,11,0,0,0,0,0
propose,0,0,0,0,0,0,0,0,0,9,0
possible,4,0,0,0,0,0,0,0,0,0,0
convert,0,0,0,0,0,0,0,0,0,19,0
theory,0,0,0,0,0,68,0,0,0,0,0
help,0,0,0,0,0,1,0,0,0,5,0
scientist,0,0,0,0,0,29,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,11,0
nuclear,32,0,0,0,0,1,0,0,0,0,0
reverse,0,0,0,0,0,2,0,0,0,1,0
difficult,5,0,0,0,0,0,0,0,0,0,0
achieve,0,0,0,0,0,0,0,0,0,1,0
large,22,0,0,0,0,0,0,0,0,0,0
amount,0,0,0,0,0,6,0,0,0,0,0
need,0,0,0,0,0,0,0,0,0,7,0
categorize,0,0,0,0,0,0,0,0,0,1,0
type,0,0,0,0,0,27,0,0,0,0,0
potential,26,0,0,0,0,2,0,0,0,0,0
bird,0,0,0,0,0,1,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,0,4,0
arrow,0,0,0,0,0,1,0,0,0,0,0
shoot,0,0,0,0,0,0,0,0,0,1,0
bow,0,0,0,0,0,1,0,0,0,0,0
store,0,0,0,0,0,0,0,0,0,11,0
rubber,0,0,0,0,0,11,0,0,0,0,0
band,0,0,0,0,0,8,0,0,0,0,0
