word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
boy,0,0,0,0,0,0,20,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,21,0
deserve,0,0,0,0,0,0,0,0,0,0,1,0
parent,0,0,0,0,0,0,1,0,0,0,0,0
master,0,0,0,0,0,0,9,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,70,0
friend,0,0,0,0,0,0,28,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,38,0
date,0,0,0,0,0,0,2,0,0,0,0,0
advanced,1,0,0,0,0,0,0,0,0,0,0,0
people,0,0,0,0,0,0,51,0,0,0,1,0
vegetarian,0,0,0,0,0,0,1,0,0,0,0,0
non,0,0,0,0,0,0,1,0,0,0,0,0
smoker,0,0,0,0,0,0,1,0,0,0,0,0
tee,0,0,0,0,0,0,1,0,0,0,0,0
totaller,0,0,0,0,0,0,1,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,0,7,0
special,1,0,0,0,0,0,0,0,0,0,0,0
kind,3,0,1,0,0,0,21,0,0,0,0,0
underclothe,0,0,0,0,0,0,1,0,0,0,0,0
house,0,0,0,0,0,0,20,0,0,0,0,0
little,110,0,4,0,0,0,0,0,0,0,0,0
furniture,0,0,0,0,0,0,1,0,0,0,0,0
clothe,0,0,0,0,0,0,13,0,0,0,1,0
bed,0,0,0,0,0,0,12,0,0,0,0,0
window,0,0,0,0,0,0,13,0,0,0,0,0
open,20,0,0,0,0,0,0,0,0,0,22,0
like,5,153,0,0,0,0,0,0,0,0,49,0
animal,0,0,0,0,0,0,7,0,0,0,0,0
especially,0,0,11,0,0,0,0,0,0,0,0,0
beetle,0,0,0,0,0,0,1,0,0,0,0,0
dead,16,0,2,0,0,0,0,0,0,0,0,0
pin,0,0,0,0,0,0,1,0,0,0,1,0
card,0,0,0,0,0,0,2,0,0,0,0,0
book,0,0,0,0,0,0,23,0,0,0,0,0
information,0,0,0,0,0,0,1,0,0,0,0,0
picture,0,0,0,0,0,0,41,0,0,0,0,0
grain,0,0,0,0,0,0,1,0,0,0,0,0
elevator,0,0,0,0,0,0,1,0,0,0,0,0
fat,5,0,0,0,0,0,0,0,0,0,0,0
foreign,2,0,0,0,0,0,0,0,0,0,0,0
child,0,0,0,0,0,0,18,0,0,0,0,0
exercise,0,0,0,0,0,0,2,0,0,0,0,0
model,0,0,0,0,0,0,2,0,0,0,0,0
school,0,0,0,0,0,0,5,0,0,0,0,0
dislike,0,0,0,0,0,0,0,0,0,0,2,0
cousin,0,0,0,0,0,0,1,0,0,0,0,0
glad,6,0,0,0,0,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,77,0
come,0,0,0,0,0,0,0,0,0,0,252,0
stay,0,0,0,0,0,0,0,0,0,0,15,0
deep,13,0,1,0,0,0,0,0,0,0,0,0
inside,0,7,5,0,0,0,0,0,0,0,0,0
bossing,0,0,0,0,0,0,1,0,0,0,0,0
bullying,0,0,0,0,0,0,1,0,0,0,0,0
puny,1,0,0,0,0,0,0,0,0,0,0,0
person,0,0,0,0,0,0,12,0,0,0,0,0
stand,0,0,0,0,0,0,1,0,0,0,52,0
let,0,0,0,0,0,0,0,0,0,0,58,0
fight,0,0,0,0,0,0,4,0,0,0,18,0
know,0,0,0,0,0,0,0,0,0,0,144,0
dozen,0,0,0,0,0,0,6,0,0,0,0,0
way,0,0,0,0,0,0,71,0,0,0,0,0
bad,25,0,0,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,0,99,0,0,0,0,0
home,0,0,9,0,0,0,9,0,0,0,0,0
visitor,0,0,0,0,0,0,4,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,48,0
help,0,0,0,0,0,0,4,0,0,0,14,0
get,0,0,0,0,0,0,0,0,0,0,106,0
job,0,0,0,0,0,0,2,0,0,0,0,0
lecture,0,0,0,0,0,0,0,0,0,0,1,0
sixteen,0,0,0,0,0,0,0,2,0,0,0,0
week,0,0,0,0,0,0,6,0,0,0,0,0
summer,0,0,0,0,0,0,6,0,0,0,0,0
real,33,0,0,0,0,0,0,0,0,0,0,0
holiday,0,0,0,0,0,0,3,0,0,0,0,0
year,0,0,0,0,0,0,23,0,0,0,0,0
work,0,0,0,0,0,0,10,0,0,0,11,0
hard,15,0,21,0,0,0,0,0,0,0,0,0
exam,0,0,0,0,0,0,1,0,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,0,8,0
coach,0,0,0,0,0,0,1,0,0,0,1,0
old,41,0,0,0,0,0,0,0,0,0,0,0
wonderful,7,0,0,0,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,0,17,0,0,0,0,0
long,65,0,41,0,0,0,0,0,0,0,8,0
ago,0,0,12,0,0,0,0,0,0,0,0,0
war,0,0,0,0,0,0,5,0,0,0,0,0
poor,13,0,0,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,103,0,0,0,0,0
live,3,0,0,0,0,0,0,0,0,0,19,0
small,25,0,0,0,0,0,0,0,0,0,0,0
cottage,0,0,0,0,0,0,1,0,0,0,0,0
bedroom,0,0,0,0,0,0,5,0,0,0,0,0
spare,0,0,0,0,0,0,0,0,0,0,2,0
cost,0,0,0,0,0,0,1,0,0,0,1,0
money,0,0,0,0,0,0,5,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,145,0
grown,1,0,0,0,0,0,0,0,0,0,0,0
up,0,0,0,0,0,0,1,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,149,0
pretty,4,0,12,0,0,0,0,0,0,0,0,0
family,0,0,0,0,0,0,3,0,0,0,0,0
good,72,0,0,0,0,0,3,0,0,0,0,0
age,0,0,0,0,0,0,11,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,641,0
far,4,0,44,0,0,0,0,0,0,0,0,0
trip,0,0,0,0,0,0,3,0,0,0,0,0
youngster,0,0,0,0,0,0,2,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,51,0
grudge,0,0,0,0,0,0,0,0,0,0,1,0
luck,0,0,0,0,0,0,2,0,0,0,0,0
dreadful,5,0,0,0,0,0,0,0,0,0,0,0
have,0,0,0,0,0,0,0,0,0,0,15,0
room,0,0,0,0,0,0,20,0,0,0,0,0
shall,0,0,0,41,0,0,0,0,0,0,0,0
share,0,0,0,0,0,0,0,0,0,0,4,0
record,0,0,0,0,0,0,3,0,0,0,0,0
stinker,0,0,0,0,0,0,1,0,0,0,0,0
story,0,0,0,0,0,0,28,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,84,0
afternoon,0,0,0,0,0,0,11,0,0,0,0,0
steal,0,0,0,0,0,0,0,0,0,0,1,0
precious,1,0,0,0,0,0,0,0,0,0,0,0
minute,0,0,0,0,0,0,24,0,0,0,0,0
course,0,0,14,0,0,0,41,0,0,0,0,0
talk,0,0,0,0,0,0,4,0,0,0,45,0
private,3,0,0,0,0,0,0,0,0,0,0,0
secret,3,0,0,0,0,0,0,0,0,0,0,0
country,0,0,0,0,0,0,35,0,0,0,0,0
suppose,0,0,0,0,0,0,0,0,0,0,15,0
imaginary,1,0,0,0,0,0,0,0,0,0,0,0
lucky,1,0,0,0,0,0,0,0,0,0,0,0
respect,0,0,0,0,0,0,2,0,0,0,0,0
visit,0,0,0,0,0,0,2,0,0,0,3,0
twice,0,0,4,0,0,0,0,0,0,0,0,0
game,1,0,0,0,0,0,6,0,0,0,0,0
dream,0,0,0,0,0,0,17,0,0,0,2,0
reality,0,0,0,0,0,0,2,0,0,0,0,0
promise,0,0,0,0,0,0,3,0,0,0,4,0
nearly,0,0,21,0,0,0,0,0,0,0,0,0
imagine,0,0,0,0,0,0,0,0,0,0,12,0
deal,0,0,0,0,0,0,13,0,0,0,1,0
chance,0,0,0,0,0,0,16,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,49,0
edge,0,0,0,0,0,0,21,0,0,0,3,0
look,0,0,0,0,0,0,13,0,0,0,202,0
opposite,3,0,3,0,0,0,1,0,0,0,0,0
wall,0,0,0,0,0,0,14,0,0,0,0,0
away,0,8,58,0,0,0,0,0,0,0,0,0
upstairs,0,0,11,0,0,0,0,0,0,0,0,0
rid,0,0,0,0,0,0,0,0,0,0,3,0
wedding,0,0,0,0,0,0,1,0,0,0,0,0
present,5,0,0,0,0,0,1,0,0,0,1,0
offend,0,0,0,0,0,0,0,0,0,0,2,0
ship,0,0,0,0,0,0,105,0,0,0,0,0
sail,0,0,0,0,0,0,19,0,0,0,49,0
straight,4,0,12,0,0,0,0,0,0,0,0,0
prow,0,0,0,0,0,0,8,0,0,0,0,0
gild,0,0,0,0,0,0,0,0,0,0,1,0
