word,ADJ,ADP,ADV,NOUN,VERB
introduction,0,0,0,1,0
dogwood,0,0,0,2,0
tree,0,0,0,13,0
daffodil,0,0,0,2,0
duck,0,0,0,2,0
dragonfly,0,0,0,2,0
common,5,0,0,0,0
say,0,0,0,0,2
live,0,0,0,0,6
thing,0,0,0,4,0
right,2,0,1,0,0
call,0,0,0,0,24
organism,0,0,0,17,0
guess,0,0,0,0,1
divide,0,0,0,0,4
group,0,0,0,5,0
plant,0,0,0,108,0
animal,1,0,0,58,0
frequently,0,0,1,0,0
green,11,0,0,0,0
generally,0,0,3,0,0
root,0,0,0,22,1
ground,0,0,0,3,0
store,0,0,0,0,9
food,0,0,0,14,0
need,0,0,0,1,13
survive,0,0,0,0,3
eat,0,0,0,0,11
course,0,0,1,0,0
kind,0,0,0,9,0
example,0,0,0,9,0
mushroom,0,0,0,1,0
yeast,0,0,0,1,0
depend,0,0,0,0,7
raise,0,0,0,0,1
bread,0,0,0,1,0
fungus,0,0,0,2,0
algae,0,0,0,3,0
include,0,0,0,0,8
large,17,0,0,0,0
variety,0,0,0,5,0
appear,0,0,0,0,2
stain,0,0,0,1,0
damp,1,0,0,0,0
rock,0,0,0,1,0
trunk,0,0,0,5,0
form,0,0,0,8,8
fine,1,0,0,0,0
scum,0,0,0,1,0
quiet,1,0,0,0,0
pond,0,0,0,1,0
massive,2,0,0,0,0
seaweed,0,0,0,1,0
float,0,0,0,0,3
ocean,0,0,0,2,0
matter,0,0,1,1,0
belong,0,0,0,0,2
cell,0,0,0,256,0
small,10,0,0,0,0
unit,0,0,0,3,0
exist,0,0,0,0,2
consist,0,0,0,0,5
single,4,0,0,0,0
celled,1,0,0,0,0
pyogene,0,0,0,1,0
bacteria,0,0,0,4,0
give,0,0,0,0,5
people,0,0,0,1,0
strep,0,0,0,1,0
throat,0,0,0,1,0
lactobacillus,0,0,0,1,0
acidophilus,0,0,0,1,0
find,0,0,0,0,16
yogurt,0,0,0,1,0
unlike,0,4,0,0,0
multicellular,2,0,0,0,0
mean,0,0,0,1,5
fact,0,0,0,3,0
person,0,0,0,2,0
contain,0,0,0,0,22
billion,0,0,0,1,0
giraffe,0,0,0,1,0
browse,0,0,0,0,1
type,0,0,0,10,0
habitat,0,0,0,1,0
land,0,0,0,1,0
lake,0,0,0,1,0
river,0,0,0,1,0
certain,5,0,0,0,0
recognizable,1,0,0,0,0
part,0,0,0,13,0
nucleus,0,0,0,20,0
serve,0,0,0,0,3
command,0,0,0,3,0
center,0,0,0,6,0
organelle,0,0,0,21,0
organ,0,0,0,3,0
like,2,12,0,0,0
particular,4,0,0,0,0
function,0,0,0,11,0
difference,0,0,0,2,0
possible,3,0,0,0,0
tell,0,0,0,0,2
apart,0,0,1,0,0
terribly,0,0,1,0,0
hard,5,0,0,0,0
spot,0,0,0,1,1
good,2,0,0,0,0
microscope,0,0,0,4,0
tiny,7,0,0,0,0
able,2,0,0,0,0
unusually,0,0,2,0,0
big,4,0,0,0,0
bare,1,0,0,0,0
eye,0,0,0,3,0
detail,0,0,0,2,0
usually,0,0,1,0,0
measure,0,0,0,0,1
micron,0,0,0,3,0
equal,1,0,0,0,0
millionth,0,0,0,1,0
meter,0,0,0,2,0
inch,0,0,0,1,0
highly,0,0,1,0,0
complex,5,0,0,5,0
number,0,0,0,4,0
specialized,3,0,0,0,0
suited,1,0,0,0,0
job,0,0,0,4,0
blood,0,0,0,26,0
carry,0,0,0,0,22
oxygen,0,0,0,37,0
carbon,0,0,0,23,0
dioxide,0,0,0,22,0
body,0,0,0,22,0
wide,1,0,1,0,0
allow,0,0,0,0,14
specific,3,0,0,0,0
contribute,0,0,0,0,1
survival,0,0,0,1,0
similar,2,0,0,0,0
work,0,0,0,0,5
tissue,0,0,0,45,0
muscle,0,0,0,14,0
nerve,0,0,0,6,0
bone,0,0,0,31,0
vascular,16,0,0,0,0
know,0,0,0,0,11
xylem,0,0,0,16,0
phloem,0,0,0,7,0
sustain,0,0,0,0,2
chapter,0,0,0,5,0
inside,0,10,2,9,0
different,8,0,0,0,0
significant,1,0,0,0,0
way,0,0,0,4,0
eukaryotic,5,0,0,0,0
membrane,0,0,0,34,0
bind,0,0,0,0,2
genetic,4,0,0,0,0
material,0,0,0,7,0
archaea,0,0,0,1,0
prokaryotic,1,0,0,0,0
lack,0,0,0,0,3
freely,0,0,3,0,0
surround,0,0,0,0,5
outer,9,0,0,0,0
skin,0,0,0,10,0
filter,0,0,0,0,1
protozoan,0,0,0,1,0
diagram,0,0,0,5,0
clear,1,0,0,0,0
airplane,0,0,0,1,0
cockpit,0,0,0,1,0
pilot,0,0,0,1,0
sit,0,0,0,0,2
locate,0,0,0,0,4
near,0,5,1,0,0
middle,0,0,0,2,0
information,0,0,0,3,0
deoxyribonucleic,1,0,0,0,0
acid,0,0,0,3,0
wrap,0,0,0,0,2
double,3,0,0,0,0
pore,0,0,0,1,0
hole,0,0,0,2,0
let,0,0,0,0,5
pass,0,0,0,0,8
rest,0,0,0,4,0
structure,0,0,0,5,0
clearly,0,0,1,0,0
visible,1,0,0,0,0
see,0,0,0,0,4
round,4,0,0,0,0
nucleolus,0,0,0,2,0
produce,0,0,0,0,21
ribonucleic,0,0,0,1,0
rna,0,0,0,1,0
transport,0,0,0,2,6
syrupy,1,0,0,0,0
nucleoplasm,0,0,0,1,0
threadlike,1,0,0,0,0
chromatin,0,0,0,1,0
control,0,0,0,0,4
generate,0,0,0,0,3
role,0,0,0,3,0
keep,0,0,0,0,3
alive,3,0,0,0,0
product,0,0,0,6,0
use,0,0,0,0,6
deal,0,0,0,1,1
waste,0,0,0,3,0
building,0,0,0,1,0
jellylike,1,0,0,0,0
substance,0,0,0,8,0
cytoplasm,0,0,0,12,0
mesh,0,0,0,1,0
network,0,0,0,9,0
fiber,0,0,0,3,0
cytoskeleton,0,0,0,2,0
crisscross,0,0,0,0,1
shape,0,0,0,7,1
anchor,0,0,0,0,3
place,0,0,0,7,1
direct,0,0,0,0,1
movement,0,0,0,4,0
varied,1,0,0,0,0
refer,0,0,0,0,3
ribosome,0,0,0,4,0
particle,0,0,0,2,0
synthesize,0,0,0,0,2
protein,0,0,0,11,0
accord,0,0,0,0,1
instruction,0,0,0,1,0
send,0,0,0,0,2
nucleolu,0,0,0,1,0
export,0,0,0,1,2
outside,0,3,0,3,0
scatter,0,0,0,0,1
attach,0,0,0,0,1
endoplasmic,4,0,0,2,0
reticulum,0,0,0,6,0
membranous,2,0,0,0,0
tube,0,0,0,5,0
sac,0,0,0,4,0
twist,0,0,0,0,1
portion,0,0,0,2,0
rough,1,0,0,0,0
area,0,0,0,8,0
smooth,6,0,0,0,0
predominant,1,0,0,0,0
involve,0,0,0,0,1
detoxification,0,0,0,1,0
synthesis,0,0,0,1,0
metabolism,0,0,0,1,0
lipid,0,0,0,5,0
apparatus,0,0,0,3,0
play,0,0,0,0,2
important,3,0,0,0,0
modification,0,0,0,1,0
compose,0,0,0,0,6
stack,0,0,0,1,0
thin,8,0,0,0,0
newly,0,0,1,0,0
respectively,0,0,1,0,0
vesicle,0,0,0,4,0
fuse,0,0,0,0,1
content,0,0,0,5,0
lumen,0,0,0,1,0
modify,0,0,0,0,3
subsequently,0,0,1,0,0
signal,0,0,0,1,1
package,0,0,0,0,1
bud,0,0,0,0,1
break,0,0,0,1,6
away,0,1,4,0,0
migrate,0,0,0,0,1
exocytosis,0,0,0,1,0
travel,0,0,0,0,2
intracellular,1,0,0,0,0
location,0,0,0,1,0
process,0,0,0,17,1
method,0,0,0,1,0
powerhouse,0,0,0,2,0
cellular,21,0,0,0,0
respiration,0,0,0,23,0
mitochondrion,0,0,0,10,0
glucose,0,0,0,17,0
react,0,0,0,0,3
energy,0,0,0,22,0
molecule,0,0,0,20,0
adenosine,1,0,0,0,0
triphosphate,0,0,0,1,0
site,0,0,0,4,0
especially,0,0,2,0,0
numerous,2,0,0,0,0
lot,0,0,0,5,0
liver,0,0,0,1,0
inner,7,0,0,0,0
wrinkle,0,0,0,2,0
fold,0,0,0,3,1
increase,0,0,0,0,4
surface,0,0,0,9,0
primary,3,0,0,0,0
dna,0,0,0,1,0
crista,0,0,0,1,0
space,0,0,0,3,0
matrix,0,0,0,2,0
plasma,0,0,0,5,0
wall,0,0,0,15,0
protective,3,0,0,0,0
coat,0,0,0,1,0
act,0,0,0,0,3
gatekeeper,0,0,0,2,0
block,0,0,0,0,1
amino,0,0,0,1,0
build,0,0,0,0,3
carbohydrate,0,0,0,3,0
regulate,0,0,0,0,2
water,0,0,0,41,0
cross,1,0,0,2,1
special,3,0,0,0,0
channel,0,0,0,1,0
layer,0,0,0,11,0
hold,0,0,0,0,1
lie,0,0,0,0,1
mark,0,0,0,0,1
actual,1,0,0,0,0
entrance,0,0,0,1,0
exit,0,0,0,1,1
pathway,0,0,0,1,0
perform,0,0,0,0,5
mitochondria,0,0,0,2,0
region,0,0,0,1,0
compartment,0,0,0,1,0
lysosome,0,0,0,5,0
enzyme,0,0,0,4,0
