word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
come,0,0,0,0,0,0,0,0,0,0,82,0
second,19,0,0,0,0,0,13,0,0,0,0,0
journey,0,0,0,0,0,0,5,0,0,0,0,0
sea,0,0,0,0,0,0,237,0,0,0,0,0
end,0,0,0,0,0,0,17,0,0,0,14,0
move,0,0,0,0,0,0,0,0,0,0,11,0
scene,0,0,0,0,0,0,11,0,0,0,0,0
coral,5,0,0,0,0,0,5,0,0,0,0,0
cemetery,0,0,0,0,0,0,4,0,0,0,0,0
leave,0,0,0,0,0,0,4,0,0,0,75,0
deep,26,0,5,0,0,0,0,0,0,0,0,0
impression,0,0,0,0,0,0,4,0,0,0,0,0
mind,0,0,0,0,0,0,21,0,0,0,3,0
midst,0,0,0,0,0,0,28,0,0,0,0,0
great,71,0,0,0,0,0,0,0,0,0,0,0
life,0,0,0,0,0,0,25,0,0,0,0,0
pass,0,0,0,0,0,0,5,0,0,0,77,0
grave,5,0,0,0,0,0,1,0,0,0,0,0
prepare,0,0,0,0,0,0,0,0,0,0,15,0
abyss,0,0,0,0,0,0,4,0,0,0,0,0
ocean,0,0,0,0,0,0,52,0,0,0,0,0
monster,0,0,0,0,0,0,20,0,0,0,0,0
trouble,0,0,0,0,0,0,6,0,0,0,3,0
sleep,0,0,0,0,0,0,7,0,0,0,6,0
crew,0,0,0,0,0,0,27,0,0,0,0,0
friend,0,0,0,0,0,0,23,0,0,0,0,0
rivet,0,0,0,0,0,0,0,0,0,0,1,0
death,0,0,0,0,0,0,8,0,0,0,0,0
man,0,0,0,0,0,0,103,0,0,0,0,0
add,0,0,0,0,0,0,0,0,0,0,13,0
fierce,1,0,0,0,0,0,0,0,0,0,0,0
implacable,3,0,0,0,0,0,0,0,0,0,0,0
defiance,0,0,0,0,0,0,1,0,0,0,0,0
human,9,0,0,0,0,0,1,0,0,0,0,0
society,0,0,0,0,0,0,3,0,0,0,0,0
long,82,0,48,0,0,0,0,0,0,0,3,0
content,0,0,0,0,0,0,2,0,0,0,7,0
theory,0,0,0,0,0,0,3,0,0,0,0,0
satisfy,0,0,0,0,0,0,0,0,0,0,2,0
worthy,8,0,0,0,0,0,0,0,0,0,0,0
fellow,0,0,0,0,0,0,5,0,0,0,0,0
persist,0,0,0,0,0,0,0,0,0,0,1,0
see,0,0,0,0,0,0,0,0,0,0,108,0
unknown,8,0,0,0,0,0,0,0,0,0,0,0
savant,0,0,0,0,0,0,3,0,0,0,0,0
return,0,0,0,0,0,0,4,0,0,0,54,0
mankind,0,0,0,0,0,0,1,0,0,0,0,0
contempt,0,0,0,0,0,0,1,0,0,0,0,0
indifference,0,0,0,0,0,0,1,0,0,0,0,0
misunderstand,0,0,0,0,0,0,0,0,0,0,1,0
genius,0,0,0,0,0,0,2,0,0,0,0,0
tired,4,0,0,0,0,0,0,0,0,0,0,0
earth,0,0,0,0,0,0,19,0,0,0,0,0
deception,0,0,0,0,0,0,1,0,0,0,0,0
