word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
map,0,0,0,0,0,0,0,1,0,0,0,0,0
handy,1,0,0,0,0,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,0,133,0
great,89,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,1,0
shore,0,0,0,0,0,0,0,40,0,0,0,0,0
lie,0,0,0,0,0,0,0,2,0,0,0,35,0
strip,0,0,0,0,0,0,0,2,0,0,0,0,0
country,0,0,0,0,0,0,0,26,0,0,0,0,0
big,41,0,0,0,0,0,0,0,0,0,0,0,0
close,2,0,9,0,0,0,0,0,0,0,0,10,0
ocean,0,0,0,0,0,0,0,8,0,0,0,0,0
house,0,0,0,0,0,0,0,14,0,0,0,0,0
palace,0,0,0,0,0,0,0,85,0,0,0,0,0
build,0,0,0,0,0,0,0,0,0,0,0,8,0
near,4,8,6,0,0,0,0,0,0,0,0,1,0
people,0,0,0,0,0,0,0,94,0,0,0,0,0
live,1,0,0,0,0,0,0,0,0,0,0,31,0
water,0,0,0,0,0,0,0,28,0,0,0,0,0
boating,0,0,0,0,0,0,0,1,0,0,0,0,0
fishing,0,0,0,0,0,0,0,2,0,0,0,0,0
wealth,0,0,0,0,0,0,0,3,0,0,0,0,0
gain,0,0,0,0,0,0,0,0,0,0,0,5,0
trade,0,0,0,0,0,0,0,1,0,0,0,1,0
coast,0,0,0,0,0,0,0,8,0,0,0,0,0
island,0,0,0,0,0,0,0,85,0,0,0,0,0
nearest,0,1,0,0,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,0,57,0,0,0,0,0
journey,0,0,0,0,0,0,0,19,0,0,0,0,0
boat,0,0,0,0,0,0,0,156,0,0,0,0,0
north,1,0,1,0,0,0,0,11,0,0,0,0,0
story,0,0,0,0,0,0,0,23,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,0,53,0
tell,0,0,0,0,0,0,0,0,0,0,0,53,0
end,0,0,0,0,0,0,0,33,0,0,0,1,0
wide,7,0,3,0,0,0,0,0,0,0,0,0,0
land,0,0,0,0,0,0,0,12,0,0,0,13,0
mile,0,0,0,0,0,0,0,8,0,0,0,0,0
south,3,0,1,0,0,0,0,5,0,0,0,0,0
scarcely,0,0,10,0,0,0,0,0,0,0,0,0,0
half,3,0,4,0,0,3,0,1,0,0,0,0,0
broad,6,0,0,0,0,0,0,0,0,0,0,0,0
long,28,0,27,0,0,0,0,0,0,0,0,1,0
call,0,0,0,0,0,0,0,0,0,0,0,20,0
exceedingly,0,0,7,0,0,0,0,0,0,0,0,0,0
pretty,17,0,3,0,0,0,0,0,0,0,0,0,0
gull,0,0,0,0,0,0,0,1,0,0,0,0,0
approach,0,0,0,0,0,0,0,2,0,0,0,15,0
sea,0,0,0,0,0,0,0,18,0,0,0,0,0
resemble,0,0,0,0,0,0,0,0,0,0,0,3,0
huge,10,0,0,0,0,0,0,0,0,0,0,0,0
green,8,0,0,0,0,0,0,0,0,0,0,0,0
wedge,0,0,0,0,0,0,0,1,0,0,0,0,0
grass,0,0,0,0,0,0,0,14,0,0,0,0,0
tree,0,0,0,0,0,0,0,34,0,0,0,0,0
color,0,0,0,0,0,0,0,3,0,0,0,0,0
emerald,0,0,0,0,0,0,0,1,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,0,136,0
edge,0,0,0,0,0,0,0,12,0,0,0,1,0
slope,0,0,0,0,0,0,0,4,0,0,0,1,0
beautiful,11,0,0,0,0,0,0,0,0,0,0,0,0
occupy,0,0,0,0,0,0,0,0,0,0,0,5,0
central,2,0,0,0,0,0,0,0,0,0,0,0,0
portion,0,0,0,0,0,0,0,1,0,0,0,0,0
form,0,0,0,0,0,0,0,3,0,0,0,5,0
continuous,1,0,0,0,0,0,0,0,0,0,0,0,0
grove,0,0,0,0,0,0,0,4,0,0,0,0,0
branch,0,0,0,0,0,0,0,9,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,0,22,0
high,15,0,4,0,0,0,0,0,0,0,0,0,0
overhead,0,0,3,0,0,0,0,0,0,0,0,0,0
space,0,0,0,0,0,0,0,7,0,0,0,0,0
beneath,0,6,1,0,0,0,0,0,0,0,0,0,0
cosy,1,0,0,0,0,0,0,0,0,0,0,0,0
inhabitant,0,0,0,0,0,0,0,6,0,0,0,0,0
scatter,0,0,0,0,0,0,0,0,0,0,0,5,0
town,0,0,0,0,0,0,0,1,0,0,0,0,0
city,0,0,0,0,0,0,0,39,0,0,0,0,0
canopy,0,0,0,0,0,0,0,7,0,0,0,0,0
leave,0,0,0,0,0,0,0,5,0,0,0,50,0
shelter,0,0,0,0,0,0,0,2,0,0,0,0,0
sun,0,0,0,0,0,0,0,9,0,0,0,0,0
rain,0,0,0,0,0,0,0,3,0,0,0,0,0
dweller,0,0,0,0,0,0,0,3,0,0,0,0,0
look,0,0,0,0,0,0,0,6,0,0,0,50,0
past,1,1,0,0,0,0,0,0,0,0,0,0,0
straight,2,0,3,0,0,0,0,0,0,0,0,0,0
trunk,0,0,0,0,0,0,0,1,0,0,0,0,0
grassy,2,0,0,0,0,0,0,0,0,0,0,0,0
purple,6,0,0,0,0,0,0,1,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,0,54,0
royal,40,0,0,0,0,0,0,0,0,0,0,0,0
ruler,0,0,0,0,0,0,0,5,0,0,0,0,0
entirely,0,0,2,0,0,0,0,0,0,0,0,0,0
snow,0,0,0,0,0,0,0,1,0,0,0,1,0
white,11,0,0,0,0,0,0,2,0,0,0,0,0
marble,0,0,0,0,0,0,0,19,0,0,0,0,0
cap,0,0,0,0,0,0,0,4,0,0,0,1,0
dome,0,0,0,0,0,0,0,4,0,0,0,0,0
burnished,1,0,0,0,0,0,0,0,0,0,0,0,0
gold,6,0,0,0,0,0,0,21,0,0,0,0,0
king,0,0,0,0,0,0,0,129,0,0,0,0,0
wealthy,1,0,0,0,0,0,0,0,0,0,0,0,0
large,16,0,0,0,0,0,0,0,0,0,0,0,0
fine,17,0,0,0,0,0,0,0,0,0,0,0,0
pearl,0,0,0,0,0,0,0,71,0,0,0,0,0
world,0,0,0,0,0,0,0,17,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,0,19,0
shell,0,0,0,0,0,0,0,4,0,0,0,0,0
oyster,0,0,0,0,0,0,0,9,0,0,0,0,0
rake,0,0,0,0,0,0,0,3,0,0,0,2,0
watery,2,0,0,0,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,0,0,18,0,0,0,0,0
seek,0,0,0,0,0,0,0,0,0,0,0,7,0
milky,1,0,0,0,0,0,0,0,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,0,45,0
dutifully,0,0,1,0,0,0,0,0,0,0,0,0,0
