word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
voyage,0,0,0,0,0,0,6,0,0,0,0,0
mile,0,0,0,0,0,0,54,0,0,0,0,0
perilous,2,0,0,0,0,0,0,0,0,0,0,0
venture,0,0,0,0,0,0,1,0,0,0,3,0
craft,0,0,0,0,0,0,11,0,0,0,0,0
ton,0,0,0,0,0,0,2,0,0,0,0,0
season,0,0,0,0,0,0,4,0,0,0,0,0
year,0,0,0,0,0,0,6,0,0,0,0,0
chinese,4,0,0,0,0,0,0,0,0,0,0,0
sea,0,0,0,0,0,0,31,0,0,0,0,0
usually,0,0,2,0,0,0,0,0,0,0,0,0
boisterous,4,0,0,0,0,0,0,0,0,0,0,0
subject,1,0,0,0,0,0,2,0,0,0,2,0
terrible,10,0,0,0,0,0,0,0,0,0,0,0
gale,0,0,0,0,0,0,5,0,0,0,0,0
wind,0,0,0,0,0,0,32,0,0,0,2,0
especially,0,0,7,0,0,0,0,0,0,0,0,0
equinox,0,0,0,0,0,0,2,0,0,0,0,0
early,2,0,0,0,0,0,0,0,0,0,0,0
clearly,0,0,1,0,0,0,0,0,0,0,0,0
master,0,0,0,0,0,0,52,0,0,0,0,0
advantage,0,0,0,0,0,0,2,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,30,0
passenger,0,0,0,0,0,0,49,0,0,0,0,0
pay,0,0,0,0,0,0,0,0,0,0,8,0
certain,12,0,0,0,0,0,0,0,0,0,0,0
sum,0,0,0,0,0,0,4,0,0,0,0,0
day,0,0,0,0,0,0,80,0,0,0,0,0
rash,2,0,0,0,0,0,0,0,0,0,0,0
attempt,0,0,0,0,0,0,2,0,0,0,7,0
imprudent,1,0,0,0,0,0,0,0,0,0,0,0
reach,0,0,0,0,0,0,1,0,0,0,45,0
believe,0,0,0,0,0,0,0,0,0,0,4,0
ride,0,0,0,0,0,0,0,0,0,0,1,0
wave,0,0,0,0,0,0,13,0,0,0,0,0
like,1,41,0,0,0,0,0,0,0,0,6,0
seagull,0,0,0,0,0,0,1,0,0,0,0,0
wrong,2,0,0,0,0,0,0,0,0,0,0,0
late,3,0,4,0,0,0,0,0,0,0,0,0
pass,0,0,0,0,0,0,1,0,0,0,54,0
capricious,3,0,0,0,0,0,0,0,0,0,0,0
channel,0,0,0,0,0,0,1,0,0,0,0,0
impel,0,0,0,0,0,0,0,0,0,0,2,0
favourable,6,0,0,0,0,0,0,0,0,0,0,0
conduct,0,0,0,0,0,0,1,0,0,0,3,0
admirably,0,0,2,0,0,0,0,0,0,0,0,0
need,0,0,0,1,0,0,2,0,0,0,1,0
pilot,0,0,0,0,0,0,14,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,98,0
get,0,0,0,0,0,0,0,0,0,0,26,0
open,6,1,1,0,0,0,0,0,0,0,7,0
advise,0,0,0,0,0,0,0,0,0,0,1,0
use,0,0,0,0,0,0,7,0,0,0,2,0
possible,9,0,0,0,0,0,0,0,0,0,0,0
speed,0,0,0,0,0,0,25,0,0,0,3,0
trust,0,0,0,0,0,0,0,0,0,0,1,0
honour,0,0,0,0,0,0,10,0,0,0,1,0
sail,0,0,0,0,0,0,27,0,0,0,2,0
let,0,0,0,0,0,0,0,0,0,0,17,0
pole,0,0,0,0,0,0,4,0,0,0,0,0
add,0,0,0,0,0,0,0,0,0,0,16,0
go,0,0,0,0,0,0,0,0,0,0,71,0
port,0,0,0,0,0,0,6,0,0,0,0,0
trade,0,0,0,0,0,0,1,0,0,0,0,0
confide,0,0,0,0,0,0,0,0,0,0,3,0
body,0,0,0,0,0,0,4,0,0,0,0,0
erect,1,0,0,0,0,0,0,0,0,0,2,0
leg,0,0,0,0,0,0,4,0,0,0,0,0
wide,2,0,2,0,0,0,0,0,0,0,0,0
apart,0,0,4,0,0,0,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,8,0
sailor,0,0,0,0,0,0,5,0,0,0,0,0
gaze,0,0,0,0,0,0,0,0,0,0,3,0
stagger,0,0,0,0,0,0,0,0,0,0,3,0
swell,0,0,0,0,0,0,0,0,0,0,3,0
water,0,0,0,0,0,0,11,0,0,0,0,0
young,14,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,0,13,0,0,0,0,0
seat,0,0,0,0,0,0,14,0,0,0,5,0
aft,0,0,1,0,0,0,0,0,0,0,0,0
profoundly,0,0,2,0,0,0,0,0,0,0,0,0
affect,0,0,0,0,0,0,0,0,0,0,3,0
look,0,0,0,0,0,0,5,0,0,0,25,0
ocean,0,0,0,0,0,0,5,0,0,0,0,0
darken,0,0,0,0,0,0,0,0,0,0,2,0
twilight,0,0,0,0,0,0,1,0,0,0,0,0
frail,1,0,0,0,0,0,0,0,0,0,0,0
vessel,0,0,0,0,0,0,20,0,0,0,0,0
head,0,0,0,0,0,0,16,0,0,0,0,0
rustle,0,0,0,0,0,0,0,0,0,0,1,0
white,12,0,0,0,0,0,1,0,0,0,0,0
great,38,0,0,0,0,0,0,0,0,0,0,0
wing,0,0,0,0,0,0,6,0,0,0,0,0
boat,0,0,0,0,0,0,23,0,0,0,0,0
forward,3,0,11,0,0,0,0,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,0,0,6,0
air,0,0,0,0,0,0,16,0,0,0,0,0
night,0,0,0,0,0,0,24,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,30,0
moon,0,0,0,0,0,0,3,0,0,0,0,0
enter,0,0,0,0,0,0,0,0,0,0,22,0
quarter,0,0,0,0,0,0,29,0,0,0,0,0
insufficient,1,0,0,0,0,0,0,0,0,0,0,0
light,2,0,0,0,0,0,6,0,0,0,3,0
soon,0,0,25,0,0,0,0,0,0,0,0,0
die,0,0,0,0,0,0,0,0,0,0,1,0
mist,0,0,0,0,0,0,9,0,0,0,0,0
horizon,0,0,0,0,0,0,7,0,0,0,0,0
cloud,0,0,0,0,0,0,3,0,0,0,0,0
rise,0,0,0,0,0,0,0,0,0,0,24,0
east,1,0,1,0,0,0,9,0,0,0,0,0
overcast,1,0,0,0,0,0,0,0,0,0,1,0
heaven,0,0,0,0,0,0,7,0,0,0,0,0
hang,0,0,0,0,0,0,0,0,0,0,5,0
necessary,17,0,0,0,0,0,0,0,0,0,0,0
crowd,0,0,0,0,0,0,16,0,0,0,2,0
bind,0,0,0,0,0,0,0,0,0,0,3,0
landward,0,0,1,0,0,0,0,0,0,0,0,0
collision,0,0,0,0,0,0,2,0,0,0,0,0
uncommon,1,0,0,0,0,0,0,0,0,0,0,0
occurrence,0,0,0,0,0,0,1,0,0,0,0,0
shock,0,0,0,0,0,0,3,0,0,0,0,0
shatter,0,0,0,0,0,0,0,0,0,0,2,0
