word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,SCONJ,VERB,X
university,0,0,0,0,0,0,2,0,0,0,0,0,0
commencement,0,0,0,0,0,0,1,0,0,0,0,0,0
address,0,0,0,0,0,0,1,0,0,0,0,0,0
year,0,0,0,0,0,0,37,0,0,0,0,0,0
ago,0,0,3,0,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,0,7,0
relation,0,0,0,0,0,0,1,0,0,0,0,0,0
work,0,0,0,0,0,0,27,0,0,0,0,15,0
commitment,0,0,0,0,0,0,2,0,0,0,0,0,0
imagine,0,0,0,0,0,0,0,0,0,0,0,4,0
life,0,0,0,0,0,0,94,0,0,0,0,0,0
game,0,0,0,0,0,0,3,0,0,0,0,0,0
juggle,0,0,0,0,0,0,0,0,0,0,0,2,0
ball,0,0,0,0,0,0,5,0,0,0,0,0,0
air,0,0,0,0,0,0,4,0,0,0,0,0,0
family,0,0,0,0,0,0,15,0,0,0,0,0,0
health,0,0,0,0,0,0,2,0,0,0,0,0,0
friend,0,0,0,0,0,0,28,0,0,0,0,0,0
spirit,0,0,0,0,0,0,4,0,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,0,0,0,7,0
soon,0,0,4,0,0,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,0,0,14,0
rubber,0,0,0,0,0,0,2,0,0,0,0,0,0
drop,0,0,0,0,0,0,0,0,0,0,0,7,0
bounce,0,0,0,0,0,0,1,0,0,0,0,1,0
glass,0,0,0,0,0,0,4,0,0,0,0,0,0
irrevocably,0,0,1,0,0,0,0,0,0,0,0,0,0
scuff,0,0,0,0,0,0,0,0,0,0,0,1,0
mark,0,0,0,0,0,0,0,0,0,0,0,1,0
nick,0,0,0,0,0,0,1,0,0,0,0,1,0
damage,0,0,0,0,0,0,0,0,0,0,0,1,0
shatter,0,0,0,0,0,0,0,0,0,0,0,1,0
strive,0,0,0,0,0,0,0,0,0,0,0,3,0
balance,0,0,0,0,0,0,1,0,0,0,0,0,0
undermine,0,0,0,0,0,0,0,0,0,0,0,1,0
worth,7,0,0,0,0,0,3,0,0,0,0,0,0
compare,0,0,0,0,0,0,0,0,0,0,0,2,0
different,5,0,0,0,0,0,0,0,0,0,0,0,0
special,5,0,0,0,0,0,0,0,0,0,0,0,0
set,0,0,0,0,0,0,2,0,0,0,0,4,0
goal,0,0,0,0,0,0,3,0,0,0,0,0,0
people,0,0,0,0,0,0,19,0,0,0,0,0,0
deem,0,0,0,0,0,0,0,0,0,0,0,2,0
important,4,0,0,0,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,42,0
good,35,0,0,0,0,0,4,0,0,0,0,0,0
granted,1,0,0,0,0,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,0,24,0,0,0,0,0,0
close,2,0,4,0,0,0,0,0,0,0,0,1,0
heart,0,0,0,0,0,0,40,0,0,0,0,0,0
cle,0,0,0,0,0,0,0,0,0,0,0,1,0
meaningless,1,0,0,0,0,0,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,0,24,0
slip,0,0,0,0,0,0,0,0,0,0,0,4,0
finger,0,0,0,0,0,0,4,0,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,0,40,0
past,3,0,1,0,0,0,8,0,0,0,0,0,0
future,0,0,0,0,0,0,6,0,0,0,0,0,0
