word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
bring,0,0,0,0,0,0,0,0,0,0,9,0
home,0,0,4,0,0,0,1,0,0,0,0,0
night,0,0,0,0,0,0,26,0,0,0,0,0
set,0,0,0,0,0,0,0,0,0,0,9,0
free,4,0,0,0,0,0,0,0,0,0,0,0
herd,0,0,0,0,0,0,12,0,0,0,3,0
shut,0,0,0,0,0,0,0,0,0,0,4,0
barn,0,0,0,0,0,0,2,0,0,0,0,0
hut,0,0,0,0,0,0,8,0,0,0,0,0
loose,2,0,1,0,0,0,0,0,0,0,2,0
till,0,0,0,0,0,0,0,0,0,19,0,0
dawn,0,0,0,0,0,0,4,0,0,0,0,0
hour,0,0,0,0,0,0,6,0,0,0,0,0
pride,0,0,0,0,0,0,4,0,0,0,0,0
power,0,0,0,0,0,0,2,0,0,0,0,0
talon,0,0,0,0,0,0,2,0,0,0,0,0
tush,0,0,0,0,0,0,1,0,0,0,0,0
claw,0,0,0,0,0,0,1,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,28,0
good,33,0,0,0,0,0,0,0,0,0,0,0
hunting,0,0,0,0,0,0,7,0,0,0,0,0
song,0,0,0,0,0,0,6,0,0,0,0,0
seven,0,0,0,0,0,0,0,2,0,0,0,0
warm,5,0,0,0,0,0,0,0,0,0,1,0
evening,0,0,0,0,0,0,5,0,0,0,0,0
hill,0,0,0,0,0,0,13,0,0,0,0,0
wake,0,0,0,0,0,0,0,0,0,0,9,0
day,0,0,0,0,0,0,26,0,0,0,0,0
rest,0,0,0,0,0,0,3,0,0,0,0,0
scratch,0,0,0,0,0,0,3,0,0,0,3,0
yawn,0,0,0,0,0,0,0,0,0,0,1,0
spread,0,0,0,0,0,0,0,0,0,0,4,0
paw,0,0,0,0,0,0,7,0,0,0,0,0
rid,0,0,0,0,0,0,0,0,0,0,1,0
sleepy,4,0,0,0,0,0,0,0,0,0,0,0
feeling,0,0,0,0,0,0,2,0,0,0,0,0
tip,0,0,0,0,0,0,1,0,0,0,1,0
lie,0,0,0,0,0,0,0,0,0,0,12,0
big,33,0,0,0,0,0,0,0,0,0,0,0
gray,8,0,0,0,0,0,0,0,0,0,0,0
nose,0,0,0,0,0,0,7,0,0,0,2,0
tumble,0,0,0,0,0,0,0,0,0,0,3,0
squeal,0,0,0,0,0,0,0,0,0,0,2,0
cub,0,0,0,0,0,0,35,0,0,0,0,0
moon,0,0,0,0,0,0,9,0,0,0,0,0
shine,0,0,0,0,0,0,0,0,0,0,3,0
mouth,0,0,0,0,0,0,9,0,0,0,1,0
cave,0,0,0,0,0,0,15,0,0,0,1,0
live,0,0,0,0,0,0,0,0,0,0,10,0
augrh,0,0,0,0,0,1,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,186,0
time,0,0,0,0,0,0,30,0,0,0,0,0
hunt,0,0,0,0,0,0,1,0,0,0,16,0
go,0,0,0,0,0,0,0,0,0,0,60,0
spring,0,0,0,0,0,0,3,0,0,0,4,0
downhill,0,0,1,0,0,0,0,0,0,0,0,0
little,56,0,1,0,0,0,0,0,0,0,0,0
shadow,0,0,0,0,0,0,2,0,0,0,0,0
bushy,1,0,0,0,0,0,0,0,0,0,0,0
tail,1,0,0,0,0,0,13,0,0,0,0,0
cross,0,0,0,0,0,0,0,0,0,0,2,0
threshold,0,0,0,0,0,0,1,0,0,0,0,0
whine,0,0,0,0,0,0,1,0,0,0,2,0
luck,0,0,0,0,0,0,4,0,0,0,0,0
strong,5,0,0,0,0,0,0,0,0,0,0,0
white,17,0,0,0,0,0,0,0,0,0,0,0
tooth,0,0,0,0,0,0,13,0,0,0,0,0
noble,1,0,0,0,0,0,0,0,0,0,0,0
child,0,0,0,0,0,0,20,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,0,0,9,0
hungry,6,0,0,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,4,0,0,0,0,0
dish,0,0,0,0,0,0,1,0,0,0,0,0
licker,0,0,0,0,0,0,1,0,0,0,0,0
wolf,0,0,0,0,0,0,29,0,0,0,0,0
despise,0,0,0,0,0,0,0,0,0,0,1,0
run,0,0,0,0,0,0,0,0,0,0,32,0
make,0,0,0,0,0,0,0,0,0,0,3,0
