word,ADJ,ADV,AUX,INTJ,NOUN,PRON,VERB
year,0,0,0,0,2,0,0
king,0,0,0,0,14,0,0
people,0,0,0,0,6,0,0
fight,0,0,0,0,1,0,17
night,0,0,0,0,3,0,0
magician,0,0,0,0,1,0,0
dream,0,0,0,0,3,0,0
morning,0,0,0,0,3,0,0
wonderful,1,0,0,0,0,0,0
find,0,0,0,0,0,0,8
make,0,0,0,0,0,0,1
magic,2,0,0,0,3,0,0
stone,0,0,0,0,1,0,0
put,0,0,0,0,0,0,1
sword,0,0,0,0,7,0,0
true,4,0,0,0,0,0,0
pull,0,0,0,0,0,0,2
shall,0,0,3,0,0,0,0
try,0,0,0,0,0,0,2
boy,0,0,0,0,1,0,0
son,0,0,0,0,5,0,0
let,0,0,0,0,0,0,11
good,8,0,0,0,0,0,0
laugh,0,0,0,0,1,0,0
hard,0,1,0,0,0,0,0
new,2,0,0,0,0,0,0
know,0,0,0,0,0,0,2
suddenly,0,2,0,0,0,0,0
afraid,2,0,0,0,0,0,0
help,0,0,0,0,1,0,6
day,0,0,0,0,4,0,0
important,1,0,0,0,0,0,0
come,0,0,0,0,0,0,14
young,2,0,0,0,0,0,0
half,1,0,0,0,0,0,0
sister,0,0,0,0,1,0,0
future,1,0,0,0,5,0,0
teach,0,0,0,0,0,0,1
strong,7,0,0,0,0,0,0
soldier,0,0,0,0,8,0,0
visit,0,0,0,0,0,0,2
lord,0,0,0,0,2,0,0
fast,0,2,0,0,0,0,0
man,0,0,0,0,6,0,0
arrive,0,0,0,0,0,0,4
long,1,0,0,0,0,0,0
battle,0,0,0,0,4,0,0
hour,0,0,0,0,3,0,0
later,0,5,0,0,0,0,0
dead,5,0,0,0,0,0,0
win,0,0,0,0,0,0,2
castle,0,0,0,0,5,0,0
eat,0,0,0,0,0,0,3
drink,0,0,0,0,0,0,2
food,0,0,0,0,2,0,0
everybody,0,0,0,0,0,2,0
daughter,0,0,0,0,2,0,0
nice,2,0,0,0,0,0,0
meet,0,0,0,0,0,0,2
talk,0,0,0,0,0,0,2
evening,0,0,0,0,2,0,0
want,0,0,0,0,0,0,6
marry,0,0,0,0,0,0,3
dark,1,0,0,0,0,0,0
choose,0,0,0,0,0,0,1
build,0,0,0,0,0,0,1
speak,0,0,0,0,0,0,1
matter,0,0,0,0,1,0,0
leave,0,0,0,0,0,0,3
lose,0,0,0,0,0,0,1
look,0,0,0,0,0,0,6
water,0,0,0,0,3,0,0
need,0,0,0,0,0,0,2
thank,0,0,0,0,0,0,4
careful,2,0,0,0,0,0,0
break,0,0,0,0,0,0,1
goodbye,0,0,0,4,0,0,0
week,0,0,0,0,3,0,0
luck,0,0,0,0,2,0,0
stand,0,0,0,0,0,0,1
unhappy,2,0,0,0,0,0,0
give,0,0,0,0,0,0,1
large,1,0,0,0,0,0,0
round,0,0,0,0,1,0,0
table,0,0,0,0,2,0,0
knight,0,0,0,0,12,0,0
sit,0,0,0,0,0,0,2
country,0,0,0,0,4,0,0
competition,0,0,0,0,1,0,0
today,0,0,0,0,3,0,0
different,1,0,0,0,0,0,0
beat,0,0,0,0,0,0,1
face,0,0,0,0,2,0,0
watch,0,0,0,0,0,0,1
yes,0,0,0,6,0,0,0
dear,1,0,0,0,1,0,0
soon,0,1,0,0,0,0,0
happy,1,0,0,0,0,0,0
friend,0,0,0,0,5,0,0
village,0,0,0,0,3,0,0
lot,0,0,0,0,1,0,0
fighting,0,0,0,0,1,0,0
ride,0,0,0,0,0,0,4
beautiful,2,0,0,0,0,0,0
flower,0,0,0,0,1,0,0
hello,0,0,0,2,0,0,0
like,0,0,0,0,0,0,1
stay,0,0,0,0,0,0,2
friendly,1,0,0,0,0,0,0
mother,0,0,0,0,1,0,0
die,0,0,0,0,0,0,3
brother,0,0,0,0,1,0,0
bad,1,0,0,0,0,0,0
tell,0,0,0,0,0,0,1
worry,0,0,0,0,0,0,1
story,0,0,0,0,1,0,0
listen,0,0,0,0,0,0,1
excitedly,0,1,0,0,0,0,0
course,0,0,0,0,1,0,0
say,0,0,0,0,0,0,1
love,0,0,0,0,1,0,1
wife,0,0,0,0,2,0,0
kill,0,0,0,0,0,0,5
understand,0,0,0,0,0,0,1
away,0,1,0,0,0,0,0
quickly,0,2,0,0,0,0,0
town,0,0,0,0,1,0,0
begin,0,0,0,0,0,0,1
bye,0,0,0,1,0,0,0
ready,1,0,0,0,0,0,0
time,0,0,0,0,1,0,0
think,0,0,0,0,0,0,2
queen,0,0,0,0,1,0,0
prison,0,0,0,0,1,0,0
forget,0,0,0,0,0,0,2
sleep,0,0,0,0,0,0,1
tomorrow,0,0,0,0,3,0,0
wait,0,0,0,0,0,0,2
old,1,0,0,0,0,0,0
crown,0,0,0,0,1,0,0
traitor,0,0,0,0,3,0,0
see,0,0,0,0,0,0,1
snake,0,0,0,0,2,0,0
quick,0,1,0,0,0,0,0
start,0,0,0,0,0,0,1
happen,0,0,0,0,0,0,1
throw,0,0,0,0,0,0,2
hand,0,0,0,0,1,0,0
