word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,SCONJ,VERB
natural,42,0,0,0,0,0,0,0,0
selection,0,0,0,0,35,0,0,0,0
important,15,0,0,0,0,0,0,0,0
question,0,0,0,0,2,0,0,0,0
animal,0,0,0,0,41,0,0,0,0
plant,0,0,0,0,20,0,0,0,1
people,0,0,0,0,19,0,0,0,0
planet,0,0,0,0,1,0,0,0,0
look,0,0,0,0,0,0,0,0,10
act,0,0,0,0,0,0,0,0,2
way,0,0,0,0,22,0,0,0,0
different,32,0,0,0,0,0,0,0,0
type,0,0,0,0,8,0,0,0,0
specie,0,0,0,0,27,0,0,0,0
live,0,0,0,0,0,0,0,0,41
thing,0,0,0,0,34,0,0,0,0
science,0,0,0,0,8,0,0,0,0
especially,0,0,5,0,0,0,0,0,0
biology,0,0,0,0,4,0,0,0,0
life,0,0,0,0,25,0,0,0,0
scientist,0,0,0,0,38,0,0,0,0
answer,0,0,0,0,3,0,0,0,0
discover,0,0,0,0,0,0,0,0,9
world,0,0,0,0,20,0,0,0,0
theory,0,0,0,0,29,0,0,0,0
develop,0,0,0,0,0,0,0,0,20
time,0,0,0,0,35,0,0,0,0
explorer,0,0,0,0,2,0,0,0,0
find,0,0,0,0,1,0,0,0,26
creature,0,0,0,0,19,0,0,0,0
fungus,0,0,0,0,1,0,0,0,0
bacteria,0,0,0,0,6,0,0,0,0
fossil,3,0,0,0,31,0,0,0,0
learn,0,0,0,0,0,0,0,0,2
earth,0,0,0,0,19,0,0,0,0
long,11,0,12,0,0,0,0,0,0
ago,0,0,6,0,0,0,0,0,0
wonder,0,0,0,0,0,0,0,0,7
dinosaur,0,0,0,0,3,0,0,0,0
modern,10,0,0,0,0,0,0,0,0
form,0,0,0,0,8,0,0,0,7
change,0,0,0,0,7,0,0,0,34
evolve,0,0,0,0,0,0,0,0,25
come,0,0,0,0,0,0,0,0,15
interesting,8,0,0,0,0,0,0,0,0
idea,0,0,0,0,39,0,0,0,0
famous,8,0,0,0,0,0,0,0,0
name,0,0,0,0,0,0,0,0,6
today,0,0,0,0,19,0,0,0,0
work,0,0,0,0,23,0,0,0,14
see,0,0,0,0,0,0,0,0,20
scientific,7,0,0,0,0,0,0,0,0
