word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
month,0,0,0,0,0,0,10,0,0,0,0,0
market,0,0,0,0,0,0,1,0,0,0,0,0
town,0,0,0,0,0,0,1,0,0,0,0,0
author,0,0,0,0,0,0,1,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,0,15,0
appear,0,0,0,0,0,0,0,0,0,0,51,0
perfect,4,0,0,0,0,0,0,0,0,0,1,0
state,0,0,0,0,0,0,7,0,0,0,0,0
revolution,0,0,0,0,0,0,1,0,0,0,0,0
second,22,0,0,0,0,0,6,0,0,0,0,0
citizen,0,0,0,0,0,0,18,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,84,0
woman,0,0,0,0,0,0,84,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,0,0,11,0
leave,0,0,0,0,0,0,4,0,0,0,51,0
child,0,0,0,0,0,0,5,0,0,0,0,0
cry,0,0,0,0,0,0,10,0,0,0,111,0
open,17,1,0,0,0,0,0,0,0,0,25,0
door,0,0,0,0,0,0,59,0,0,0,0,0
hasten,0,0,0,0,0,0,0,0,0,0,6,0
don,0,0,0,0,0,0,0,0,0,0,3,0
cuirass,0,0,0,0,0,0,1,0,0,0,0,0
support,0,0,0,0,0,0,1,0,0,0,8,0
somewhat,0,0,5,0,0,0,0,0,0,0,0,0
uncertain,1,0,0,0,0,0,0,0,0,0,0,0
courage,0,0,0,0,0,0,14,0,0,0,0,0
musket,0,0,0,0,0,0,1,0,0,0,0,0
partisan,1,0,0,0,0,0,1,0,0,0,0,0
direct,0,0,0,0,0,0,0,0,0,0,5,0
step,0,0,0,0,0,0,36,0,0,0,2,0
hostelry,0,0,0,0,0,0,6,0,0,0,0,0
gather,0,0,0,0,0,0,0,0,0,0,1,0
increase,0,0,0,0,0,0,0,0,0,0,5,0
minute,1,0,0,0,0,0,26,0,0,0,0,0
compact,1,0,0,0,0,0,0,0,0,0,0,0
group,0,0,0,0,0,0,8,0,0,0,1,0
vociferous,2,0,0,0,0,0,0,0,0,0,0,0
curiosity,0,0,0,0,0,0,5,0,0,0,0,0
time,0,0,0,0,0,0,132,0,0,0,0,0
panic,0,0,0,0,0,0,1,0,0,0,0,0
common,2,0,0,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,61,0,0,0,0,0
pass,0,0,0,0,0,0,0,0,0,0,50,0
city,0,0,0,0,0,0,4,0,0,0,0,0
register,0,0,0,0,0,0,0,0,0,0,1,0
archive,0,0,0,0,0,0,1,0,0,0,0,0
event,0,0,0,0,0,0,8,0,0,0,0,0
kind,2,0,0,0,0,0,6,0,0,0,0,0
noble,10,0,0,0,0,0,11,0,0,0,0,0
war,0,0,0,0,0,0,14,0,0,0,0,0
king,0,0,0,0,0,0,137,0,0,0,0,0
cardinal,3,0,0,0,0,0,75,0,0,0,0,0
addition,0,0,0,0,0,0,9,0,0,0,0,0
concealed,2,0,0,0,0,0,0,0,0,0,0,0
public,3,0,0,0,0,0,1,0,0,0,0,0
secret,4,0,0,0,0,0,13,0,0,0,0,0
robber,0,0,0,0,0,0,4,0,0,0,0,0
mendicant,0,0,0,0,0,0,1,0,0,0,0,0
wolf,0,0,0,0,0,0,2,0,0,0,0,0
scoundrel,0,0,0,0,0,0,3,0,0,0,0,0
everybody,0,0,0,0,0,0,0,0,8,0,0,0
take,0,0,0,0,0,0,0,0,0,0,74,0
arm,0,0,0,0,0,0,32,0,0,0,1,0
readily,0,0,1,0,0,0,0,0,0,0,0,0
thief,0,0,0,0,0,0,2,0,0,0,0,0
result,0,0,0,0,0,0,2,0,0,0,5,0
habit,0,0,0,0,0,0,6,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,287,0
hear,0,0,0,0,0,0,0,0,0,0,38,0
clamor,0,0,0,0,0,0,2,0,0,0,0,0
red,1,0,0,0,0,0,0,0,0,0,0,0
yellow,5,0,0,0,0,0,0,0,0,0,0,0
standard,0,0,0,0,0,0,1,0,0,0,0,0
livery,0,0,0,0,0,0,3,0,0,0,0,0
rush,0,0,0,0,0,0,0,0,0,0,14,0
hostel,0,0,0,0,0,0,1,0,0,0,0,0
arrive,0,0,0,0,0,0,0,0,0,0,15,0
cause,0,0,0,0,0,0,12,0,0,0,11,0
hubbub,0,0,0,0,0,0,1,0,0,0,0,0
apparent,2,0,0,0,0,0,0,0,0,0,0,0
young,131,0,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,223,0,0,0,0,0
sketch,0,0,0,0,0,0,0,0,0,0,2,0
portrait,0,0,0,0,0,0,7,0,0,0,0,0
dash,0,0,0,0,0,0,1,0,0,0,0,0
imagine,0,0,0,0,0,0,0,0,0,0,3,0
eighteen,0,0,0,0,0,0,0,1,0,0,0,0
corselet,0,0,0,0,0,0,1,0,0,0,0,0
coat,0,0,0,0,0,0,3,0,0,0,0,0
mail,0,0,0,0,0,0,1,0,0,0,0,0
cuisse,0,0,0,0,0,0,1,0,0,0,0,0
clothe,0,0,0,0,0,0,4,0,0,0,4,0
woolen,1,0,0,0,0,0,0,0,0,0,0,0
doublet,0,0,0,0,0,0,15,0,0,0,0,0
blue,5,0,0,0,0,0,0,0,0,0,0,0
color,0,0,0,0,0,0,6,0,0,0,0,0
fade,0,0,0,0,0,0,0,0,0,0,3,0
nameless,1,0,0,0,0,0,0,0,0,0,0,0
shade,0,0,0,0,0,0,3,0,0,0,1,0
lee,0,0,0,0,0,0,1,0,0,0,0,0
wine,0,0,0,0,0,0,11,0,0,0,0,0
