word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
magnificent,15,0,0,0,0,0,0,0,0,0,0,0
yacht,0,0,0,0,0,0,36,0,0,0,0,0
steam,0,0,0,0,0,0,3,0,0,0,4,0
speed,0,0,0,0,0,0,11,0,0,0,3,0
strong,17,0,0,0,0,0,0,0,0,0,0,0
breeze,0,0,0,0,0,0,8,0,0,0,0,0
blow,0,0,0,0,0,0,1,0,0,0,7,0
fly,0,0,0,0,0,0,1,0,0,0,23,0
mizzen,0,0,0,0,0,0,1,0,0,0,0,0
mast,0,0,0,0,0,0,9,0,0,0,0,0
blue,2,0,0,0,0,0,1,0,0,0,0,0
standard,0,0,0,0,0,0,1,0,0,0,0,0
bear,0,0,0,0,0,0,1,0,0,0,14,0
initial,0,0,0,0,0,0,1,0,0,0,0,0
embroider,0,0,0,0,0,0,0,0,0,0,2,0
gold,0,0,0,0,0,0,5,0,0,0,0,0
surmount,0,0,0,0,0,0,0,0,0,0,1,0
ducal,1,0,0,0,0,0,0,0,0,0,0,0
coronet,0,0,0,0,0,0,1,0,0,0,0,0
float,0,0,0,0,0,0,0,0,0,0,3,0
topgallant,2,0,0,0,0,0,0,0,0,0,0,0
head,0,0,0,0,0,0,45,0,0,0,1,0
main,3,0,1,0,0,0,0,0,0,0,0,0
owner,0,0,0,0,0,0,1,0,0,0,0,0
sixteen,0,0,0,0,0,0,0,2,0,0,0,0
peer,0,0,0,0,0,0,1,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,12,0
distinguished,2,0,0,0,0,0,0,0,0,0,0,0
member,0,0,0,0,0,0,2,0,0,0,0,0
famous,7,0,0,0,0,0,0,0,0,0,0,0
board,0,0,0,0,0,0,26,0,0,0,0,0
young,35,0,0,0,0,0,0,0,0,0,0,0
wife,0,0,0,0,0,0,16,0,0,0,0,0
cousin,0,0,0,0,0,0,13,0,0,0,0,0
newly,0,0,2,0,0,0,0,0,0,0,0,0
build,0,0,0,0,0,0,0,0,0,0,4,0
make,0,0,0,0,0,0,0,0,0,0,31,0
trial,2,0,0,0,0,0,0,0,0,0,0,0
trip,0,0,0,0,0,0,6,0,0,0,0,0
mile,0,0,0,0,0,0,50,0,0,0,0,0
outside,0,2,3,0,0,0,2,0,0,0,0,0
return,0,0,0,0,0,0,2,0,0,0,41,0
loom,0,0,0,0,0,0,0,0,0,0,1,0
distance,0,0,0,0,0,0,16,0,0,0,0,0
sailor,0,0,0,0,0,0,43,0,0,0,0,0
watch,0,0,0,0,0,0,5,0,0,0,11,0
catch,0,0,0,0,0,0,0,0,0,0,27,0
sight,0,0,0,0,0,0,28,0,0,0,2,0
enormous,16,0,0,0,0,0,0,0,0,0,0,0
fish,0,0,0,0,0,0,10,0,0,0,1,0
sport,0,0,0,0,0,0,1,0,0,0,1,0
wake,0,0,0,0,0,0,1,0,0,0,7,0
ship,0,0,0,0,0,0,32,0,0,0,0,0
immediately,0,0,25,0,0,0,0,0,0,0,0,0
apprise,0,0,0,0,0,0,0,0,0,0,2,0
fact,0,0,0,0,0,0,17,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,125,0
poop,0,0,0,0,0,0,8,0,0,0,0,0
minute,1,0,0,0,0,0,52,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,92,0
captain,0,0,0,0,0,0,46,0,0,0,0,0
sort,0,0,0,0,0,0,18,0,0,0,0,0
animal,0,0,0,0,0,0,43,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,62,0
lordship,0,0,0,0,0,0,15,0,0,0,0,0
opinion,0,0,0,0,0,0,14,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,346,0
shark,0,0,0,0,0,0,12,0,0,0,0,0
fine,15,0,0,0,0,0,0,0,0,0,0,0
large,25,0,0,0,0,0,0,0,0,0,0,0
shore,0,0,0,0,0,0,30,0,0,0,0,0
improbable,2,0,0,0,0,0,0,0,0,0,0,0
belong,0,0,0,0,0,0,0,0,0,0,6,0
species,0,0,0,0,0,0,8,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,123,0
latitude,0,0,0,0,0,0,16,0,0,0,0,0
sea,0,0,0,0,0,0,36,0,0,0,0,0
balance,0,0,0,0,0,0,2,0,0,0,0,0
hammer,0,0,0,0,0,0,4,0,0,0,0,0
headed,1,0,0,0,0,0,0,0,0,0,0,0
mistaken,7,0,0,0,0,0,0,0,0,0,0,0
objection,0,0,0,0,0,0,1,0,0,0,0,0
small,18,0,0,0,0,0,0,0,0,0,0,0
pleasure,0,0,0,0,0,0,18,0,0,0,0,0
novelty,0,0,0,0,0,0,1,0,0,0,0,0
way,0,0,0,0,0,0,44,0,0,0,0,0
fishing,0,0,0,0,0,0,1,0,0,0,0,0
soon,0,0,60,0,0,0,0,0,0,0,0,0
haul,0,0,0,0,0,0,0,0,0,0,2,0
monster,0,0,0,0,0,0,5,0,0,0,0,0
shall,0,0,0,57,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,31,0
like,1,78,0,0,0,0,0,0,0,0,17,0
cool,4,0,0,0,0,0,0,0,0,0,0,0
reply,0,0,0,0,0,0,33,0,0,0,144,0
terrible,17,0,0,0,0,0,0,0,0,0,0,0
creature,0,0,0,0,0,0,12,0,0,0,0,0
kill,0,0,0,0,0,0,0,0,0,0,9,0
well,20,0,14,0,0,0,1,0,0,0,0,0
event,0,0,0,0,0,0,11,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,42,0
seize,0,0,0,0,0,0,0,0,0,0,18,0
chance,0,0,0,0,0,0,13,0,0,0,2,0
little,50,0,4,0,0,0,0,0,0,0,0,0
diversion,0,0,0,0,0,0,1,0,0,0,0,0
good,100,0,0,0,0,0,4,0,0,0,0,0
