word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,PUNCT,SCONJ,VERB,X
know,0,0,0,0,0,0,0,0,0,0,0,0,173,0
read,0,0,0,0,0,0,0,0,0,0,0,0,22,0
book,0,0,0,0,0,0,38,0,0,0,0,0,0,0
matter,0,0,2,0,0,0,12,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,0,0,174,0
truth,0,0,0,0,0,0,4,0,0,0,0,0,0,0
mainly,0,0,6,0,0,0,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,0,119,0,0,0,0,0,0,0
stretch,0,0,0,0,0,0,2,0,0,0,0,0,13,0
see,0,0,0,0,0,0,0,0,0,0,0,0,46,0
anybody,0,0,0,0,0,0,0,0,0,40,0,0,0,0
lie,0,0,0,0,0,0,7,0,0,0,0,0,6,0
time,0,0,0,0,0,0,196,0,0,0,0,0,0,0
widow,0,0,0,0,0,0,41,0,0,0,0,0,0,0
maybe,0,0,43,0,0,0,0,0,0,0,0,0,0,0
true,10,0,0,0,0,0,0,0,0,0,0,0,0,0
stretcher,0,0,0,0,0,0,1,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,0,0,543,0
way,0,0,2,0,0,0,149,0,0,0,0,0,0,0
wind,0,0,0,0,0,0,8,0,0,0,0,0,2,0
find,0,0,0,0,0,0,0,0,0,0,0,0,77,0
money,0,0,0,0,0,0,40,0,0,0,0,0,0,0
robber,0,0,0,0,0,0,9,0,0,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,0,0,0,0,24,1
cave,0,0,0,0,0,0,7,0,0,0,0,0,6,0
rich,18,0,0,0,0,0,0,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,0,0,0,334,0
thousand,0,0,0,0,0,0,0,17,0,0,0,0,0,0
dollar,0,0,0,0,0,0,47,0,0,0,0,0,0,0
apiece,0,0,7,0,0,0,0,0,0,0,0,0,0,0
gold,1,0,0,0,0,0,4,0,0,0,0,0,0,0
awful,12,0,6,0,0,0,0,0,0,0,0,0,0,0
sight,0,0,0,0,0,0,29,0,0,0,0,0,0,0
pile,0,0,0,0,0,0,5,0,0,0,0,0,6,0
take,0,0,0,0,0,0,0,0,0,0,0,0,100,0
interest,0,0,0,0,0,0,4,0,0,0,0,0,0,0
fetch,0,0,0,0,0,0,0,0,0,0,0,0,51,0
day,0,0,0,0,0,0,87,0,0,0,0,0,0,0
year,0,0,0,0,0,0,23,0,0,0,0,0,0,0
round,3,10,8,0,0,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,0,35,0,0,0,0,0,0,0
son,0,0,0,0,0,0,12,0,0,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,0,0,0,15,0
sivilize,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rough,7,0,1,0,0,0,0,0,0,0,0,0,0,0
live,1,0,1,0,0,0,0,0,0,0,0,0,36,0
house,0,0,0,0,0,0,46,0,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,0,0,2,0
dismal,2,0,0,0,0,0,0,0,0,0,0,0,0,0
regular,9,0,2,0,0,0,0,0,0,0,0,0,0,0
decent,2,0,0,0,0,0,0,0,0,0,0,0,0,0
stand,0,0,0,0,0,0,1,0,0,0,0,0,52,0
long,60,0,52,0,0,0,0,0,0,0,0,0,0,0
light,4,0,0,0,0,0,37,0,0,0,0,0,21,0
old,151,0,0,0,0,0,0,0,0,0,0,0,0,0
rag,0,0,0,0,0,0,10,0,0,0,0,0,0,0
sugar,0,0,0,0,0,0,4,0,0,0,0,0,0,0
hogshead,0,0,0,0,0,0,2,0,0,0,0,0,0,0
free,19,0,0,0,0,0,0,0,0,0,0,0,0,0
satisfied,10,0,0,0,0,0,0,0,0,0,0,0,0,0
hunt,0,0,0,0,0,0,2,0,0,0,0,0,25,0
go,0,0,0,0,0,0,0,0,0,0,0,0,331,0
start,0,0,0,0,0,0,4,0,0,0,0,0,52,0
band,0,0,0,0,0,0,7,0,0,0,0,0,0,0
join,0,0,0,0,0,0,0,0,0,0,0,0,3,0
respectable,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cry,0,0,0,0,0,0,1,0,0,0,0,0,23,0
call,0,0,0,0,0,0,0,0,0,0,0,0,29,0
poor,21,0,0,0,0,0,1,0,0,0,0,0,0,0
lost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lamb,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lot,0,0,0,0,0,0,36,0,0,0,0,0,0,0
name,0,0,0,0,0,0,3,0,0,0,0,0,2,0
mean,11,0,1,0,0,0,0,0,0,0,0,0,22,0
harm,0,0,0,0,0,0,10,0,0,0,0,0,0,0
new,17,0,0,0,0,0,0,0,0,0,0,0,0,0
clothe,0,0,0,0,0,0,23,0,0,0,0,0,0,0
sweat,0,0,0,0,0,0,8,0,0,0,0,0,4,0
feel,0,0,0,0,0,0,0,0,0,0,0,0,47,0
