word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
hole,0,0,0,0,0,0,0,55,0,0,0,0,0
ground,0,0,0,0,0,0,0,41,0,0,0,0,0
live,2,0,0,0,0,0,0,0,0,0,0,55,0
hobbit,0,0,0,0,0,0,0,168,0,0,0,0,0
nasty,31,0,0,0,0,0,0,0,0,0,0,0,0
dirty,3,0,0,0,0,0,0,0,0,0,0,0,0
wet,13,0,0,0,0,0,0,0,0,0,0,1,0
fill,0,0,0,0,0,0,0,1,0,0,0,41,0
end,0,0,0,0,0,0,0,101,0,0,0,12,0
worm,0,0,0,0,0,0,0,6,0,0,0,0,0
oozy,1,0,0,0,0,0,0,0,0,0,0,0,0
smell,0,0,0,0,0,0,0,17,0,0,0,17,0
dry,14,0,0,0,0,0,0,0,0,0,0,4,0
bare,5,0,1,0,0,0,0,0,0,0,0,0,0
sandy,1,0,0,0,0,0,0,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,0,126,0
eat,0,0,0,0,0,0,0,0,0,0,0,50,0
mean,0,0,0,0,0,0,0,1,0,0,0,51,0
comfort,0,0,0,0,0,0,0,5,0,0,0,3,0
perfectly,0,0,6,0,0,0,0,0,0,0,0,0,0
round,9,56,43,0,0,0,0,1,0,0,0,3,0
door,0,0,0,0,0,0,0,139,0,0,0,0,0
like,7,185,0,0,0,0,0,2,0,0,0,61,0
porthole,0,0,0,0,0,0,0,1,0,0,0,0,0
paint,0,0,0,0,0,0,0,0,0,0,0,2,0
green,35,0,0,0,0,0,0,6,0,0,0,1,0
shiny,1,0,0,0,0,0,0,0,0,0,0,0,0
yellow,12,0,0,0,0,0,0,2,0,0,0,1,0
brass,0,0,0,0,0,0,0,4,0,0,0,0,0
knob,0,0,0,0,0,0,0,2,0,0,0,0,0
exact,3,0,0,0,0,0,0,0,0,0,0,0,0
middle,0,0,0,0,0,0,0,20,0,0,0,0,0
open,24,2,0,0,0,0,0,1,0,0,0,36,0
tube,0,0,0,0,0,0,0,1,0,0,0,0,0
shape,0,0,0,0,0,0,0,16,0,0,0,4,0
hall,0,0,0,0,0,0,0,71,0,0,0,0,0
tunnel,0,0,0,0,0,0,0,54,0,0,0,3,0
comfortable,15,0,0,0,0,0,0,0,0,0,0,0,0
smoke,0,0,0,0,0,0,0,27,0,0,0,4,0
panel,0,0,0,0,0,0,0,0,0,0,0,1,0
wall,0,0,0,0,0,0,0,63,0,0,0,1,0
floor,0,0,0,0,0,0,0,43,0,0,0,0,0
tile,0,0,0,0,0,0,0,0,0,0,0,1,0
carpet,0,0,0,0,0,0,0,1,0,0,0,1,0
provide,0,0,0,0,0,0,0,0,0,0,0,5,0
polished,1,0,0,0,0,0,0,0,0,0,0,0,0
chair,0,0,0,0,0,0,0,12,0,0,0,0,0
lot,0,0,0,0,0,0,0,39,0,0,0,0,0
peg,0,0,0,0,0,0,0,4,0,0,0,0,0
hat,0,0,0,0,0,0,0,9,0,0,0,0,0
coat,0,0,0,0,0,0,0,13,0,0,0,0,0
fond,8,0,0,0,0,0,0,0,0,0,0,0,0
visitor,0,0,0,0,0,0,0,2,0,0,0,0,0
wind,0,0,0,0,0,0,0,51,0,0,0,14,0
go,0,0,0,0,0,0,0,1,0,0,0,325,0
fairly,0,0,5,0,0,0,0,0,0,0,0,0,0
straight,4,0,17,0,0,0,0,0,0,0,0,0,0
hill,0,0,0,0,0,0,0,35,0,0,0,0,0
people,0,0,0,0,0,0,0,75,0,0,0,0,0
mile,0,0,0,0,0,0,0,25,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,0,57,0
little,163,0,4,0,0,0,0,0,0,0,0,0,0
upstairs,0,0,1,0,0,0,0,0,0,0,0,0,0
bedroom,0,0,0,0,0,0,0,4,0,0,0,0,0
bathroom,0,0,0,0,0,0,0,1,0,0,0,0,0
cellar,0,0,0,0,0,0,0,14,0,0,0,0,0
pantry,0,0,0,0,0,0,0,6,0,0,0,0,0
wardrobe,0,0,0,0,0,0,0,1,0,0,0,0,0
room,0,0,0,0,0,0,0,24,0,0,0,0,0
devote,0,0,0,0,0,0,0,0,0,0,0,1,0
clothe,0,0,0,0,0,0,0,11,0,0,0,3,0
kitchen,0,0,0,0,0,0,0,6,0,0,0,0,0
dining,0,0,0,0,0,0,0,5,0,0,0,0,0
passage,0,0,0,0,0,0,0,37,0,0,0,0,0
good,189,0,2,0,0,0,14,15,0,0,0,0,0
left,18,0,4,0,0,0,0,5,0,0,0,0,0
